open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646323200000;PICE11.SA;85.43;85.43;85.37;85.37;85.37;203;83.25;2.55;62.7;ESTAVEL;2022-03-03 16:00:00;fii;83.25;2.55;83.25;2.55
1646326800000;PICE11.SA;85.37;85.7;85.34;85.34;85.34;713;83.27;2.48;62.27;ESTAVEL;2022-03-03 17:00:00;fii;83.27;2.49;83.27;2.49
1646330400000;PICE11.SA;85.34;85.52;85.34;85.49;85.49;220;83.29;2.64;63.62;ESTAVEL;2022-03-03 18:00:00;fii;83.3;2.63;83.3;2.63
1646334000000;PICE11.SA;85.8;85.9;85.8;85.9;85.9;348;83.32;3.1;67.09;ESTAVEL;2022-03-03 19:00:00;fii;83.33;3.09;83.33;3.09
1646402400000;PICE11.SA;85.4;85.88;85.38;85.5;85.5;40;83.34;2.59;60.98;ESTAVEL;2022-03-04 14:00:00;fii;83.35;2.58;83.35;2.58
1646406000000;PICE11.SA;85.5;85.5;85.46;85.46;85.46;21;83.36;2.52;60.39;ESTAVEL;2022-03-04 15:00:00;fii;83.37;2.5;83.37;2.5
1646409600000;PICE11.SA;85.46;85.48;85.46;85.48;85.48;20;83.38;2.51;60.59;ESTAVEL;2022-03-04 16:00:00;fii;83.4;2.5;83.4;2.5
1646413200000;PICE11.SA;85.48;85.89;85.45;85.47;85.47;777;83.41;2.47;60.42;ESTAVEL;2022-03-04 17:00:00;fii;83.42;2.45;83.42;2.45
1646416800000;PICE11.SA;85.47;85.88;85.3;85.62;85.62;1945;83.43;2.63;62.13;ESTAVEL;2022-03-04 18:00:00;fii;83.45;2.6;83.45;2.6
1646420400000;PICE11.SA;85.3;85.59;85.3;85.45;85.45;1919;83.45;2.4;59.02;ESTAVEL;2022-03-04 19:00:00;fii;83.47;2.37;83.47;2.37
1646658000000;PICE11.SA;85.89;85.89;85.31;85.39;85.39;0;83.47;2.3;57.92;ESTAVEL;2022-03-07 13:00:00;fii;83.49;2.27;83.49;2.27
1646661600000;PICE11.SA;85.32;85.49;85.3;85.3;85.3;419;83.49;2.17;56.22;ESTAVEL;2022-03-07 14:00:00;fii;83.51;2.14;83.51;2.14
1646665200000;PICE11.SA;85.04;85.48;85.04;85.41;85.41;1251;83.51;2.28;57.85;ESTAVEL;2022-03-07 15:00:00;fii;83.53;2.25;83.53;2.25
1646668800000;PICE11.SA;85.41;85.41;85.35;85.35;85.35;938;83.52;2.19;56.61;ESTAVEL;2022-03-07 16:00:00;fii;83.55;2.15;83.55;2.15
1646672400000;PICE11.SA;85.35;85.48;85.3;85.3;85.3;780;83.54;2.1;55.55;ESTAVEL;2022-03-07 17:00:00;fii;83.57;2.07;83.57;2.07
1646676000000;PICE11.SA;85.3;85.3;85.03;85.03;85.03;124;83.56;1.76;50.08;ESTAVEL;2022-03-07 18:00:00;fii;83.59;1.72;83.59;1.72
1646679600000;PICE11.SA;85.03;85.07;85.03;85.07;85.07;116;83.57;1.79;50.85;ESTAVEL;2022-03-07 19:00:00;fii;83.61;1.75;83.61;1.75
1646744400000;PICE11.SA;85.46;85.48;85.01;85.01;85.01;1203;83.59;1.7;49.61;ESTAVEL;2022-03-08 13:00:00;fii;83.62;1.66;83.62;1.66
1646748000000;PICE11.SA;85.01;85.11;85.01;85.11;85.11;129;83.6;1.8;51.72;ESTAVEL;2022-03-08 14:00:00;fii;83.64;1.76;83.64;1.76
1646751600000;PICE11.SA;85.11;85.11;85.0;85.0;85.0;707;83.62;1.65;49.27;ESTAVEL;2022-03-08 15:00:00;fii;83.65;1.61;83.65;1.61
1646755200000;PICE11.SA;85.0;85.2;85.0;85.0;85.0;112;83.63;1.64;49.27;ESTAVEL;2022-03-08 16:00:00;fii;83.67;1.59;83.67;1.59
1646758800000;PICE11.SA;85.0;85.0;84.95;85.0;85.0;3151;83.65;1.62;49.27;ESTAVEL;2022-03-08 17:00:00;fii;83.68;1.57;83.68;1.57
1646762400000;PICE11.SA;85.0;85.19;84.4;84.4;84.4;1973;83.65;0.89;37.26;ESTAVEL;2022-03-08 18:00:00;fii;83.69;0.85;83.69;0.85
1646766000000;PICE11.SA;84.4;85.01;84.4;85.0;85.0;1073;83.67;1.59;50.31;ESTAVEL;2022-03-08 19:00:00;fii;83.71;1.54;83.71;1.54
1646830800000;PICE11.SA;85.59;85.6;85.59;85.6;85.6;0;83.69;2.29;59.4;ESTAVEL;2022-03-09 13:00:00;fii;83.73;2.24;83.73;2.24
1646838000000;PICE11.SA;85.16;85.16;85.14;85.16;85.16;136;83.7;1.74;51.9;ESTAVEL;2022-03-09 15:00:00;fii;83.74;1.69;83.74;1.69
1646845200000;PICE11.SA;85.16;85.16;84.42;84.42;84.42;488;83.71;0.85;42.24;ESTAVEL;2022-03-09 17:00:00;fii;83.75;0.8;83.75;0.8
1646848800000;PICE11.SA;84.6;84.6;84.43;84.43;84.43;571;83.72;0.85;42.4;ESTAVEL;2022-03-09 18:00:00;fii;83.76;0.8;83.76;0.8
1646917200000;PICE11.SA;84.43;85.58;84.43;85.09;85.09;1644;83.73;1.63;51.68;ESTAVEL;2022-03-10 13:00:00;fii;83.77;1.57;83.77;1.57
1646920800000;PICE11.SA;84.6;85.07;84.51;84.51;84.51;55;83.74;0.92;44.84;ESTAVEL;2022-03-10 14:00:00;fii;83.78;0.87;83.78;0.87
1646924400000;PICE11.SA;84.52;85.07;84.51;84.51;84.51;574;83.74;0.91;44.84;ESTAVEL;2022-03-10 15:00:00;fii;83.79;0.86;83.79;0.86
1646928000000;PICE11.SA;84.51;84.88;84.51;84.7;84.7;205;83.75;1.13;47.48;ESTAVEL;2022-03-10 16:00:00;fii;83.8;1.07;83.8;1.07
1646931600000;PICE11.SA;84.7;84.7;84.5;84.5;84.5;515;83.76;0.88;45.04;ESTAVEL;2022-03-10 17:00:00;fii;83.81;0.83;83.81;0.83
1646935200000;PICE11.SA;84.5;85.59;84.5;84.55;84.55;3736;83.77;0.93;45.79;ESTAVEL;2022-03-10 18:00:00;fii;83.82;0.88;83.82;0.88
1646938800000;PICE11.SA;85.58;85.59;84.56;84.92;84.92;1084;83.78;1.36;51.11;ESTAVEL;2022-03-10 19:00:00;fii;83.83;1.3;83.83;1.3
1647003600000;PICE11.SA;84.52;85.02;84.52;85.02;85.02;0;83.79;1.46;52.47;ESTAVEL;2022-03-11 13:00:00;fii;83.84;1.41;83.84;1.41
1647007200000;PICE11.SA;85.02;85.1;85.02;85.05;85.05;696;83.81;1.48;52.89;ESTAVEL;2022-03-11 14:00:00;fii;83.85;1.43;83.85;1.43
1647010800000;PICE11.SA;85.05;85.34;85.02;85.02;85.02;309;83.82;1.43;52.39;ESTAVEL;2022-03-11 15:00:00;fii;83.87;1.37;83.87;1.37
1647014400000;PICE11.SA;85.02;85.23;85.0;85.02;85.02;1371;83.83;1.42;52.39;ESTAVEL;2022-03-11 16:00:00;fii;83.88;1.36;83.88;1.36
1647018000000;PICE11.SA;85.02;85.48;85.02;85.07;85.07;395;83.84;1.46;53.25;ESTAVEL;2022-03-11 17:00:00;fii;83.89;1.4;83.89;1.4
1647021600000;PICE11.SA;85.07;85.4;85.06;85.1;85.1;527;83.86;1.48;53.79;ESTAVEL;2022-03-11 18:00:00;fii;83.91;1.42;83.91;1.42
1647025200000;PICE11.SA;85.1;85.4;85.06;85.07;85.07;756;83.87;1.43;53.13;ESTAVEL;2022-03-11 19:00:00;fii;83.92;1.37;83.92;1.37
1647262800000;PICE11.SA;85.49;85.49;85.0;85.0;85.0;0;83.88;1.34;51.54;ESTAVEL;2022-03-14 13:00:00;fii;83.93;1.27;83.93;1.27
1647266400000;PICE11.SA;85.0;85.01;84.56;84.85;84.85;397;83.89;1.14;48.22;ESTAVEL;2022-03-14 14:00:00;fii;83.94;1.08;83.94;1.08
1647270000000;PICE11.SA;84.85;84.85;84.4;84.42;84.42;2071;83.89;0.63;40.22;ESTAVEL;2022-03-14 15:00:00;fii;83.95;0.56;83.95;0.56
1647273600000;PICE11.SA;84.42;84.51;84.4;84.5;84.5;643;83.9;0.71;42.15;ESTAVEL;2022-03-14 16:00:00;fii;83.95;0.65;83.95;0.65
1647277200000;PICE11.SA;84.5;84.51;84.01;84.03;84.03;3957;83.9;0.15;35.02;ESTAVEL;2022-03-14 17:00:00;fii;83.95;0.09;83.95;0.09
1647280800000;PICE11.SA;84.03;84.5;84.0;84.01;84.01;2918;83.9;0.13;34.75;ESTAVEL;2022-03-14 18:00:00;fii;83.95;0.07;83.95;0.07
1647284400000;PICE11.SA;84.01;84.86;84.0;84.0;84.0;1532;83.9;0.11;34.61;ESTAVEL;2022-03-14 19:00:00;fii;83.95;0.05;83.95;0.05
1647349200000;PICE11.SA;84.02;84.81;84.02;84.34;84.34;0;83.91;0.51;43.18;ESTAVEL;2022-03-15 13:00:00;fii;83.96;0.45;83.96;0.45
1647352800000;PICE11.SA;84.34;84.37;84.1;84.1;84.1;2042;83.91;0.23;39.27;ESTAVEL;2022-03-15 14:00:00;fii;83.96;0.17;83.96;0.17
1647356400000;PICE11.SA;84.1;84.1;83.9;83.9;83.9;6000;83.91;-0.01;36.31;ESTAVEL;2022-03-15 15:00:00;fii;83.96;-0.07;83.96;-0.07
1647360000000;PICE11.SA;83.9;84.08;83.85;83.85;83.85;2097;83.91;-0.07;35.59;ESTAVEL;2022-03-15 16:00:00;fii;83.96;-0.13;83.96;-0.13
1647363600000;PICE11.SA;83.85;83.88;83.85;83.85;83.85;899;83.91;-0.07;35.59;ESTAVEL;2022-03-15 17:00:00;fii;83.96;-0.13;83.96;-0.13
1647367200000;PICE11.SA;83.85;84.09;83.81;83.81;83.81;1013;83.91;-0.12;34.95;ESTAVEL;2022-03-15 18:00:00;fii;83.96;-0.17;83.96;-0.17
