open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;POSI3.SA;8.77;8.83;8.58;8.76;8.76;635900;9.04;-3.09;34.45;ESTAVEL;2022-02-22 14:00:00;stocks;8.97;-2.31;8.97;-2.31
1645542000000;POSI3.SA;8.76;8.89;8.74;8.78;8.78;311800;9.04;-2.84;35.68;ESTAVEL;2022-02-22 15:00:00;stocks;8.96;-2.06;8.96;-2.06
1645545600000;POSI3.SA;8.78;8.8;8.64;8.64;8.64;235700;9.03;-4.35;31.25;ESTAVEL;2022-02-22 16:00:00;stocks;8.96;-3.58;8.96;-3.58
1645549200000;POSI3.SA;8.65;8.82;8.65;8.74;8.74;365200;9.03;-3.21;37.25;ESTAVEL;2022-02-22 17:00:00;stocks;8.96;-2.44;8.96;-2.44
1645552800000;POSI3.SA;8.74;8.78;8.6;8.61;8.61;200600;9.03;-4.61;33.19;ESTAVEL;2022-02-22 18:00:00;stocks;8.95;-3.85;8.95;-3.85
1645556400000;POSI3.SA;8.61;8.73;8.59;8.71;8.71;395500;9.02;-3.46;38.72;ESTAVEL;2022-02-22 19:00:00;stocks;8.95;-2.7;8.95;-2.7
1645621200000;POSI3.SA;8.79;8.93;8.78;8.81;8.81;0;9.02;-2.33;43.73;ESTAVEL;2022-02-23 13:00:00;stocks;8.95;-1.57;8.95;-1.57
1645624800000;POSI3.SA;8.81;8.84;8.69;8.74;8.74;671800;9.02;-3.08;41.19;ESTAVEL;2022-02-23 14:00:00;stocks;8.95;-2.32;8.95;-2.32
1645628400000;POSI3.SA;8.74;8.74;8.56;8.59;8.59;320300;9.01;-4.7;36.32;ESTAVEL;2022-02-23 15:00:00;stocks;8.94;-3.95;8.94;-3.95
1645632000000;POSI3.SA;8.57;8.68;8.54;8.65;8.65;368800;9.01;-3.99;39.41;ESTAVEL;2022-02-23 16:00:00;stocks;8.94;-3.25;8.94;-3.25
1645635600000;POSI3.SA;8.64;8.68;8.62;8.62;8.62;103000;9.01;-4.28;38.41;ESTAVEL;2022-02-23 17:00:00;stocks;8.94;-3.54;8.94;-3.54
1645639200000;POSI3.SA;8.63;8.63;8.56;8.57;8.57;193000;9.0;-4.79;36.73;ESTAVEL;2022-02-23 18:00:00;stocks;8.93;-4.06;8.93;-4.06
1645642800000;POSI3.SA;8.57;8.58;8.35;8.41;8.41;673500;9.0;-6.51;31.93;ESTAVEL;2022-02-23 19:00:00;stocks;8.93;-5.79;8.93;-5.79
1645707600000;POSI3.SA;7.81;8.06;7.54;7.97;7.97;0;8.98;-11.29;23.02;SUBIR;2022-02-24 13:00:00;stocks;8.92;-10.61;8.92;-10.61
1645711200000;POSI3.SA;7.96;7.96;7.74;7.86;7.86;667000;8.97;-12.41;21.41;SUBIR;2022-02-24 14:00:00;stocks;8.9;-11.72;8.9;-11.72
1645714800000;POSI3.SA;7.86;7.99;7.82;7.94;7.94;354300;8.96;-11.41;25.49;SUBIR;2022-02-24 15:00:00;stocks;8.89;-10.72;8.89;-10.72
1645718400000;POSI3.SA;7.93;7.97;7.87;7.92;7.92;204400;8.95;-11.53;25.14;SUBIR;2022-02-24 16:00:00;stocks;8.88;-10.83;8.88;-10.83
1645722000000;POSI3.SA;7.92;7.93;7.71;7.72;7.72;401200;8.94;-13.65;21.89;SUBIR;2022-02-24 17:00:00;stocks;8.87;-12.96;8.87;-12.96
1645725600000;POSI3.SA;7.71;7.83;7.6;7.78;7.78;947400;8.93;-12.86;25.02;SUBIR;2022-02-24 18:00:00;stocks;8.86;-12.16;8.86;-12.16
1645729200000;POSI3.SA;7.78;8.12;7.76;8.02;8.02;764200;8.92;-10.08;36.06;ESTAVEL;2022-02-24 19:00:00;stocks;8.85;-9.35;8.85;-9.35
1645794000000;POSI3.SA;7.98;8.22;7.9;8.02;8.02;0;8.91;-9.99;36.06;ESTAVEL;2022-02-25 13:00:00;stocks;8.84;-9.26;8.84;-9.26
1645797600000;POSI3.SA;8.01;8.02;7.77;7.84;7.84;857800;8.9;-11.9;31.96;ESTAVEL;2022-02-25 14:00:00;stocks;8.83;-11.18;8.83;-11.18
1645801200000;POSI3.SA;7.84;7.94;7.75;7.9;7.9;312600;8.89;-11.13;34.63;ESTAVEL;2022-02-25 15:00:00;stocks;8.82;-10.4;8.82;-10.4
1645804800000;POSI3.SA;7.9;7.95;7.85;7.92;7.92;124900;8.88;-10.8;35.53;ESTAVEL;2022-02-25 16:00:00;stocks;8.81;-10.07;8.81;-10.07
1645808400000;POSI3.SA;7.93;7.99;7.85;7.87;7.87;323500;8.87;-11.27;34.26;ESTAVEL;2022-02-25 17:00:00;stocks;8.8;-10.53;8.8;-10.53
1645812000000;POSI3.SA;7.87;7.95;7.85;7.93;7.93;205400;8.86;-10.49;37.18;ESTAVEL;2022-02-25 18:00:00;stocks;8.79;-9.75;8.79;-9.75
1645815600000;POSI3.SA;7.93;7.96;7.89;7.93;7.93;281700;8.85;-10.4;37.18;ESTAVEL;2022-02-25 19:00:00;stocks;8.78;-9.65;8.78;-9.65
1646236800000;POSI3.SA;8.04;8.07;7.88;7.9;7.9;496000;8.84;-10.64;36.24;ESTAVEL;2022-03-02 16:00:00;stocks;8.77;-9.89;8.77;-9.89
1646240400000;POSI3.SA;7.89;8.04;7.85;8.04;8.04;370400;8.83;-8.97;43.39;ESTAVEL;2022-03-02 17:00:00;stocks;8.76;-8.21;8.76;-8.21
1646244000000;POSI3.SA;8.04;8.3;8.01;8.23;8.23;566000;8.83;-6.76;51.35;ESTAVEL;2022-03-02 18:00:00;stocks;8.75;-5.98;8.75;-5.98
1646312400000;POSI3.SA;8.3;8.52;8.21;8.29;8.29;0;8.82;-6.02;53.58;ESTAVEL;2022-03-03 13:00:00;stocks;8.75;-5.24;8.75;-5.24
1646316000000;POSI3.SA;8.3;8.34;8.1;8.17;8.17;438400;8.81;-7.31;48.78;ESTAVEL;2022-03-03 14:00:00;stocks;8.74;-6.54;8.74;-6.54
1646319600000;POSI3.SA;8.18;8.23;8.1;8.12;8.12;327100;8.81;-7.81;46.89;ESTAVEL;2022-03-03 15:00:00;stocks;8.74;-7.04;8.74;-7.04
1646323200000;POSI3.SA;8.11;8.15;8.06;8.12;8.12;327100;8.8;-7.73;46.89;ESTAVEL;2022-03-03 16:00:00;stocks;8.73;-6.97;8.73;-6.97
1646326800000;POSI3.SA;8.11;8.13;8.03;8.1;8.1;321200;8.79;-7.89;46.07;ESTAVEL;2022-03-03 17:00:00;stocks;8.72;-7.13;8.72;-7.13
1646330400000;POSI3.SA;8.1;8.14;8.07;8.11;8.11;199100;8.79;-7.7;46.57;ESTAVEL;2022-03-03 18:00:00;stocks;8.71;-6.94;8.71;-6.94
1646334000000;POSI3.SA;8.1;8.14;8.06;8.07;8.07;186100;8.78;-8.08;44.76;ESTAVEL;2022-03-03 19:00:00;stocks;8.71;-7.32;8.71;-7.32
1646398800000;POSI3.SA;8.0;8.06;7.85;7.87;7.87;0;8.77;-10.26;37.01;ESTAVEL;2022-03-04 13:00:00;stocks;8.7;-9.52;8.7;-9.52
1646402400000;POSI3.SA;7.85;7.94;7.76;7.81;7.81;512900;8.76;-10.85;35.05;ESTAVEL;2022-03-04 14:00:00;stocks;8.69;-10.11;8.69;-10.11
1646406000000;POSI3.SA;7.81;7.85;7.71;7.71;7.71;1003300;8.75;-11.89;32.01;ESTAVEL;2022-03-04 15:00:00;stocks;8.68;-11.15;8.68;-11.15
1646409600000;POSI3.SA;7.7;7.78;7.67;7.73;7.73;361400;8.74;-11.55;33.26;ESTAVEL;2022-03-04 16:00:00;stocks;8.67;-10.82;8.67;-10.82
1646413200000;POSI3.SA;7.73;7.8;7.72;7.76;7.76;242100;8.73;-11.11;35.18;ESTAVEL;2022-03-04 17:00:00;stocks;8.66;-10.37;8.66;-10.37
1646416800000;POSI3.SA;7.76;7.82;7.73;7.74;7.74;236000;8.72;-11.24;34.47;ESTAVEL;2022-03-04 18:00:00;stocks;8.65;-10.5;8.65;-10.5
1646420400000;POSI3.SA;7.75;7.75;7.68;7.68;7.68;285000;8.71;-11.82;32.35;ESTAVEL;2022-03-04 19:00:00;stocks;8.64;-11.08;8.64;-11.08
1646658000000;POSI3.SA;7.62;7.74;7.6;7.68;7.68;0;8.7;-11.71;32.35;ESTAVEL;2022-03-07 13:00:00;stocks;8.63;-10.97;8.63;-10.97
1646661600000;POSI3.SA;7.68;7.73;7.57;7.58;7.58;382700;8.69;-12.75;28.92;SUBIR;2022-03-07 14:00:00;stocks;8.62;-12.02;8.62;-12.02
1646665200000;POSI3.SA;7.58;7.59;7.41;7.46;7.46;383500;8.68;-14.01;25.43;SUBIR;2022-03-07 15:00:00;stocks;8.6;-13.28;8.6;-13.28
1646668800000;POSI3.SA;7.46;7.47;7.32;7.35;7.35;597900;8.66;-15.15;22.72;SUBIR;2022-03-07 16:00:00;stocks;8.59;-14.43;8.59;-14.43
1646672400000;POSI3.SA;7.34;7.4;7.32;7.34;7.34;168500;8.65;-15.13;22.49;SUBIR;2022-03-07 17:00:00;stocks;8.58;-14.41;8.58;-14.41
1646676000000;POSI3.SA;7.35;7.4;7.33;7.37;7.37;196200;8.64;-14.66;24.99;SUBIR;2022-03-07 18:00:00;stocks;8.56;-13.93;8.56;-13.93
1646679600000;POSI3.SA;7.37;7.37;7.23;7.24;7.24;228800;8.62;-16.03;21.72;SUBIR;2022-03-07 19:00:00;stocks;8.55;-15.3;8.55;-15.3
1646744400000;POSI3.SA;7.26;7.3;7.02;7.04;7.04;0;8.61;-18.2;17.85;SUBIR;2022-03-08 13:00:00;stocks;8.53;-17.48;8.53;-17.48
1646748000000;POSI3.SA;7.04;7.16;6.94;7.05;7.05;627300;8.59;-17.93;18.63;SUBIR;2022-03-08 14:00:00;stocks;8.52;-17.21;8.52;-17.21
1646751600000;POSI3.SA;7.05;7.12;6.99;7.11;7.11;285700;8.58;-17.09;23.34;SUBIR;2022-03-08 15:00:00;stocks;8.5;-16.36;8.5;-16.36
1646755200000;POSI3.SA;7.1;7.15;7.05;7.1;7.1;167100;8.56;-17.06;23.1;SUBIR;2022-03-08 16:00:00;stocks;8.49;-16.33;8.49;-16.33
1646758800000;POSI3.SA;7.1;7.38;7.1;7.33;7.33;607800;8.55;-14.25;38.69;ESTAVEL;2022-03-08 17:00:00;stocks;8.47;-13.49;8.47;-13.49
1646762400000;POSI3.SA;7.33;7.42;7.23;7.26;7.26;499800;8.54;-14.94;36.28;ESTAVEL;2022-03-08 18:00:00;stocks;8.46;-14.18;8.46;-14.18
1646766000000;POSI3.SA;7.25;7.38;7.22;7.32;7.32;388600;8.52;-14.11;39.75;ESTAVEL;2022-03-08 19:00:00;stocks;8.45;-13.35;8.45;-13.35
1646830800000;POSI3.SA;7.46;7.6;7.39;7.51;7.51;0;8.51;-11.78;49.18;ESTAVEL;2022-03-09 13:00:00;stocks;8.44;-10.99;8.44;-10.99
1646834400000;POSI3.SA;7.51;7.69;7.44;7.56;7.56;555600;8.5;-11.09;51.34;ESTAVEL;2022-03-09 14:00:00;stocks;8.43;-10.3;8.43;-10.3
1646838000000;POSI3.SA;7.57;7.69;7.55;7.66;7.66;361900;8.49;-9.83;55.41;ESTAVEL;2022-03-09 15:00:00;stocks;8.42;-9.02;8.42;-9.02
1646841600000;POSI3.SA;7.66;7.66;7.53;7.53;7.53;106300;8.49;-11.26;49.6;ESTAVEL;2022-03-09 16:00:00;stocks;8.41;-10.47;8.41;-10.47
1646845200000;POSI3.SA;7.54;7.63;7.5;7.63;7.63;115700;8.48;-9.99;53.63;ESTAVEL;2022-03-09 17:00:00;stocks;8.4;-9.19;8.4;-9.19
1646848800000;POSI3.SA;7.62;7.69;7.6;7.63;7.63;174700;8.47;-9.9;53.63;ESTAVEL;2022-03-09 18:00:00;stocks;8.39;-9.1;8.39;-9.1
1646852400000;POSI3.SA;7.63;7.67;7.59;7.65;7.65;133000;8.46;-9.57;54.47;ESTAVEL;2022-03-09 19:00:00;stocks;8.39;-8.77;8.39;-8.77
1646917200000;POSI3.SA;7.58;7.63;7.45;7.46;7.46;0;8.45;-11.71;45.91;ESTAVEL;2022-03-10 13:00:00;stocks;8.38;-10.93;8.38;-10.93
1646920800000;POSI3.SA;7.47;7.5;7.27;7.49;7.49;561600;8.44;-11.26;47.32;ESTAVEL;2022-03-10 14:00:00;stocks;8.37;-10.47;8.37;-10.47
1646924400000;POSI3.SA;7.48;7.56;7.4;7.52;7.52;220300;8.43;-10.8;48.76;ESTAVEL;2022-03-10 15:00:00;stocks;8.36;-10.02;8.36;-10.02
1646928000000;POSI3.SA;7.53;7.69;7.5;7.68;7.68;150300;8.42;-8.82;55.7;ESTAVEL;2022-03-10 16:00:00;stocks;8.35;-8.02;8.35;-8.02
1646931600000;POSI3.SA;7.68;7.69;7.58;7.61;7.61;121800;8.42;-9.57;52.36;ESTAVEL;2022-03-10 17:00:00;stocks;8.34;-8.78;8.34;-8.78
1646935200000;POSI3.SA;7.6;7.75;7.6;7.75;7.75;169900;8.41;-7.83;57.81;ESTAVEL;2022-03-10 18:00:00;stocks;8.34;-7.03;8.34;-7.03
1646938800000;POSI3.SA;7.74;7.79;7.67;7.72;7.72;230200;8.4;-8.11;56.32;ESTAVEL;2022-03-10 19:00:00;stocks;8.33;-7.31;8.33;-7.31
1647003600000;POSI3.SA;7.69;7.76;7.39;7.49;7.49;0;8.39;-10.75;46.45;ESTAVEL;2022-03-11 13:00:00;stocks;8.32;-9.98;8.32;-9.98
1647007200000;POSI3.SA;7.49;7.56;7.35;7.38;7.38;413800;8.38;-11.96;42.61;ESTAVEL;2022-03-11 14:00:00;stocks;8.31;-11.19;8.31;-11.19
1647010800000;POSI3.SA;7.38;7.42;7.29;7.36;7.36;420100;8.37;-12.09;41.93;ESTAVEL;2022-03-11 15:00:00;stocks;8.3;-11.33;8.3;-11.33
1647014400000;POSI3.SA;7.36;7.37;7.29;7.31;7.31;184100;8.36;-12.57;40.21;ESTAVEL;2022-03-11 16:00:00;stocks;8.29;-11.82;8.29;-11.82
1647018000000;POSI3.SA;7.31;7.4;7.3;7.33;7.33;204200;8.35;-12.23;41.25;ESTAVEL;2022-03-11 17:00:00;stocks;8.28;-11.47;8.28;-11.47
1647021600000;POSI3.SA;7.33;7.35;7.26;7.26;7.26;253400;8.34;-12.95;38.71;ESTAVEL;2022-03-11 18:00:00;stocks;8.27;-12.2;8.27;-12.2
1647025200000;POSI3.SA;7.27;7.3;7.18;7.21;7.21;385700;8.33;-13.43;36.95;ESTAVEL;2022-03-11 19:00:00;stocks;8.26;-12.68;8.26;-12.68
1647262800000;POSI3.SA;7.23;7.32;7.02;7.09;7.09;0;8.32;-14.74;33.09;ESTAVEL;2022-03-14 13:00:00;stocks;8.24;-14.01;8.24;-14.01
1647266400000;POSI3.SA;7.09;7.25;7.06;7.18;7.18;286500;8.3;-13.54;38.3;ESTAVEL;2022-03-14 14:00:00;stocks;8.23;-12.8;8.23;-12.8
1647270000000;POSI3.SA;7.19;7.19;7.01;7.02;7.02;276700;8.29;-15.34;33.33;ESTAVEL;2022-03-14 15:00:00;stocks;8.22;-14.61;8.22;-14.61
1647273600000;POSI3.SA;7.02;7.08;7.0;7.02;7.02;200000;8.28;-15.21;33.33;ESTAVEL;2022-03-14 16:00:00;stocks;8.21;-14.47;8.21;-14.47
