open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1646413200000;PTNT4.SA;6.07;6.09;6.0;6.0;6.0;2200;5.97;0.43;46.38;ESTAVEL;2022-03-04 17:00:00;stocks;5.98;0.3;5.98;0.3
1646420400000;PTNT4.SA;6.1;6.11;6.1;6.11;6.11;600;5.98;2.24;55.5;ESTAVEL;2022-03-04 19:00:00;stocks;5.98;2.12;5.98;2.12
1646658000000;PTNT4.SA;6.03;6.03;6.03;6.03;6.03;0;5.98;0.9;48.98;ESTAVEL;2022-03-07 13:00:00;stocks;5.98;0.77;5.98;0.77
1646661600000;PTNT4.SA;6.04;6.09;6.03;6.03;6.03;1100;5.98;0.89;48.98;ESTAVEL;2022-03-07 14:00:00;stocks;5.98;0.76;5.98;0.76
1646665200000;PTNT4.SA;6.08;6.08;6.08;6.08;6.08;200;5.98;1.71;52.98;ESTAVEL;2022-03-07 15:00:00;stocks;5.99;1.58;5.99;1.58
1646668800000;PTNT4.SA;6.08;6.08;6.01;6.01;6.01;400;5.98;0.53;47.38;ESTAVEL;2022-03-07 16:00:00;stocks;5.99;0.41;5.99;0.41
1646672400000;PTNT4.SA;6.01;6.01;6.01;6.01;6.01;200;5.98;0.52;47.38;ESTAVEL;2022-03-07 17:00:00;stocks;5.99;0.4;5.99;0.4
1646676000000;PTNT4.SA;5.96;6.01;5.96;6.0;6.0;400;5.98;0.35;46.56;ESTAVEL;2022-03-07 18:00:00;stocks;5.99;0.23;5.99;0.23
1646679600000;PTNT4.SA;6.01;6.01;5.93;5.98;5.98;3400;5.98;0.02;44.89;ESTAVEL;2022-03-07 19:00:00;stocks;5.99;-0.1;5.99;-0.1
1646744400000;PTNT4.SA;6.03;6.03;6.03;6.03;6.03;100;5.98;0.85;49.74;ESTAVEL;2022-03-08 13:00:00;stocks;5.99;0.72;5.99;0.72
1646748000000;PTNT4.SA;5.76;5.9;5.76;5.85;5.85;1400;5.98;-2.14;37.1;ESTAVEL;2022-03-08 14:00:00;stocks;5.99;-2.26;5.99;-2.26
1646751600000;PTNT4.SA;5.85;5.86;5.85;5.86;5.86;300;5.98;-1.96;38.04;ESTAVEL;2022-03-08 15:00:00;stocks;5.98;-2.07;5.98;-2.07
1646755200000;PTNT4.SA;5.98;5.98;5.98;5.98;5.98;100;5.98;0.05;48.09;ESTAVEL;2022-03-08 16:00:00;stocks;5.98;-0.06;5.98;-0.06
1646758800000;PTNT4.SA;5.96;5.96;5.77;5.94;5.94;1200;5.98;-0.61;45.44;ESTAVEL;2022-03-08 17:00:00;stocks;5.98;-0.72;5.98;-0.72
1646762400000;PTNT4.SA;5.94;5.94;5.94;5.94;5.94;100;5.98;-0.61;45.44;ESTAVEL;2022-03-08 18:00:00;stocks;5.98;-0.71;5.98;-0.71
1646766000000;PTNT4.SA;5.94;5.94;5.94;5.94;5.94;100;5.98;-0.6;45.44;ESTAVEL;2022-03-08 19:00:00;stocks;5.98;-0.7;5.98;-0.7
1646830800000;PTNT4.SA;5.71;5.88;5.71;5.88;5.88;0;5.97;-1.59;41.2;ESTAVEL;2022-03-09 13:00:00;stocks;5.98;-1.69;5.98;-1.69
