open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645542000000;RBHG11.SA;86.2;86.21;85.55;86.19;86.19;987;86.47;-0.32;48.18;ESTAVEL;2022-02-22 15:00:00;fii;86.6;-0.47;86.6;-0.47
1645545600000;RBHG11.SA;86.2;86.2;86.19;86.19;86.19;9;86.46;-0.32;48.18;ESTAVEL;2022-02-22 16:00:00;fii;86.59;-0.47;86.59;-0.47
1645549200000;RBHG11.SA;86.18;86.18;85.75;86.15;86.15;404;86.46;-0.36;47.72;ESTAVEL;2022-02-22 17:00:00;fii;86.59;-0.51;86.59;-0.51
1645552800000;RBHG11.SA;86.16;86.16;86.0;86.0;86.0;25;86.46;-0.53;45.96;ESTAVEL;2022-02-22 18:00:00;fii;86.58;-0.67;86.58;-0.67
1645556400000;RBHG11.SA;86.17;86.41;86.17;86.33;86.33;62;86.46;-0.15;50.3;ESTAVEL;2022-02-22 19:00:00;fii;86.58;-0.29;86.58;-0.29
1645621200000;RBHG11.SA;86.0;86.2;86.0;86.1;86.1;0;86.45;-0.41;47.44;ESTAVEL;2022-02-23 13:00:00;fii;86.57;-0.55;86.57;-0.55
1645624800000;RBHG11.SA;86.14;86.14;86.1;86.1;86.1;101;86.45;-0.4;47.44;ESTAVEL;2022-02-23 14:00:00;fii;86.57;-0.54;86.57;-0.54
1645628400000;RBHG11.SA;86.09;86.11;86.01;86.08;86.08;435;86.44;-0.42;47.17;ESTAVEL;2022-02-23 15:00:00;fii;86.56;-0.56;86.56;-0.56
1645632000000;RBHG11.SA;86.08;86.68;86.08;86.56;86.56;777;86.45;0.13;53.96;ESTAVEL;2022-02-23 16:00:00;fii;86.56;-0.0;86.56;-0.0
1645635600000;RBHG11.SA;86.66;86.66;86.12;86.43;86.43;59;86.45;-0.02;52.01;ESTAVEL;2022-02-23 17:00:00;fii;86.56;-0.15;86.56;-0.15
1645639200000;RBHG11.SA;86.44;86.63;86.38;86.58;86.58;485;86.45;0.15;54.07;ESTAVEL;2022-02-23 18:00:00;fii;86.56;0.02;86.56;0.02
1645642800000;RBHG11.SA;86.58;86.58;86.13;86.53;86.53;170;86.45;0.1;53.25;ESTAVEL;2022-02-23 19:00:00;fii;86.56;-0.04;86.56;-0.04
1645707600000;RBHG11.SA;86.14;86.14;85.75;85.75;85.75;0;86.44;-0.8;42.43;ESTAVEL;2022-02-24 13:00:00;fii;86.55;-0.93;86.55;-0.93
1645711200000;RBHG11.SA;85.77;86.26;85.74;85.8;85.8;217;86.43;-0.73;43.22;ESTAVEL;2022-02-24 14:00:00;fii;86.54;-0.86;86.54;-0.86
1645714800000;RBHG11.SA;85.8;86.27;85.72;85.72;85.72;252;86.43;-0.82;42.22;ESTAVEL;2022-02-24 15:00:00;fii;86.53;-0.94;86.53;-0.94
1645718400000;RBHG11.SA;85.73;86.26;85.6;86.22;86.22;60;86.42;-0.24;50.05;ESTAVEL;2022-02-24 16:00:00;fii;86.53;-0.36;86.53;-0.36
1645722000000;RBHG11.SA;85.73;85.73;85.73;85.73;85.73;1;86.42;-0.8;43.78;ESTAVEL;2022-02-24 17:00:00;fii;86.52;-0.92;86.52;-0.92
1645725600000;RBHG11.SA;85.73;85.73;85.73;85.73;85.73;70;86.41;-0.79;43.78;ESTAVEL;2022-02-24 18:00:00;fii;86.51;-0.9;86.51;-0.9
1645729200000;RBHG11.SA;85.65;85.73;85.54;85.67;85.67;246;86.4;-0.85;43.02;ESTAVEL;2022-02-24 19:00:00;fii;86.5;-0.96;86.5;-0.96
1645794000000;RBHG11.SA;85.59;86.85;85.59;86.69;86.69;0;86.41;0.33;56.82;ESTAVEL;2022-02-25 13:00:00;fii;86.51;0.21;86.51;0.21
1645797600000;RBHG11.SA;86.7;86.75;86.48;86.49;86.49;282;86.41;0.1;54.06;ESTAVEL;2022-02-25 14:00:00;fii;86.51;-0.02;86.51;-0.02
1645801200000;RBHG11.SA;85.83;85.83;85.8;85.8;85.8;379;86.4;-0.7;45.78;ESTAVEL;2022-02-25 15:00:00;fii;86.5;-0.81;86.5;-0.81
1645804800000;RBHG11.SA;85.85;85.85;85.72;85.72;85.72;192;86.39;-0.78;44.92;ESTAVEL;2022-02-25 16:00:00;fii;86.49;-0.89;86.49;-0.89
1645808400000;RBHG11.SA;86.38;86.39;85.76;86.38;86.38;27;86.39;-0.02;52.79;ESTAVEL;2022-02-25 17:00:00;fii;86.49;-0.12;86.49;-0.12
1645812000000;RBHG11.SA;86.39;87.0;85.83;86.15;86.15;1126;86.39;-0.28;50.1;ESTAVEL;2022-02-25 18:00:00;fii;86.48;-0.39;86.48;-0.39
1645815600000;RBHG11.SA;86.97;87.0;86.15;86.36;86.36;100;86.39;-0.04;52.48;ESTAVEL;2022-02-25 19:00:00;fii;86.48;-0.14;86.48;-0.14
1646236800000;RBHG11.SA;85.69;86.94;85.25;86.94;86.94;536;86.4;0.63;58.38;ESTAVEL;2022-03-02 16:00:00;fii;86.49;0.52;86.49;0.52
1646240400000;RBHG11.SA;87.43;87.43;86.25;86.7;86.7;112;86.4;0.35;55.32;ESTAVEL;2022-03-02 17:00:00;fii;86.49;0.24;86.49;0.24
1646244000000;RBHG11.SA;86.7;86.83;86.07;86.44;86.44;274;86.4;0.05;52.13;ESTAVEL;2022-03-02 18:00:00;fii;86.49;-0.06;86.49;-0.06
1646312400000;RBHG11.SA;86.58;86.75;86.07;86.74;86.74;0;86.4;0.39;55.33;ESTAVEL;2022-03-03 13:00:00;fii;86.49;0.29;86.49;0.29
1646316000000;RBHG11.SA;86.74;87.53;85.7;86.03;86.03;1647;86.4;-0.43;47.28;ESTAVEL;2022-03-03 14:00:00;fii;86.49;-0.53;86.49;-0.53
1646319600000;RBHG11.SA;86.15;86.98;86.11;86.18;86.18;37;86.4;-0.25;48.97;ESTAVEL;2022-03-03 15:00:00;fii;86.48;-0.35;86.48;-0.35
1646323200000;RBHG11.SA;86.97;86.97;86.16;86.24;86.24;101;86.4;-0.18;49.66;ESTAVEL;2022-03-03 16:00:00;fii;86.48;-0.28;86.48;-0.28
1646326800000;RBHG11.SA;86.7;86.7;86.19;86.46;86.46;81;86.4;0.07;52.23;ESTAVEL;2022-03-03 17:00:00;fii;86.48;-0.02;86.48;-0.02
1646330400000;RBHG11.SA;86.43;86.51;86.27;86.5;86.5;504;86.4;0.12;52.7;ESTAVEL;2022-03-03 18:00:00;fii;86.48;0.02;86.48;0.02
1646334000000;RBHG11.SA;86.9;86.9;86.47;86.89;86.89;45;86.4;0.56;57.15;ESTAVEL;2022-03-03 19:00:00;fii;86.49;0.47;86.49;0.47
1646398800000;RBHG11.SA;87.93;87.94;85.87;85.87;85.87;0;86.4;-0.61;45.18;ESTAVEL;2022-03-04 13:00:00;fii;86.48;-0.7;86.48;-0.7
1646402400000;RBHG11.SA;87.04;87.25;86.13;86.13;86.13;275;86.39;-0.31;48.16;ESTAVEL;2022-03-04 14:00:00;fii;86.47;-0.4;86.47;-0.4
1646406000000;RBHG11.SA;86.13;87.3;86.13;87.16;87.16;29;86.4;0.88;57.92;ESTAVEL;2022-03-04 15:00:00;fii;86.48;0.78;86.48;0.78
1646409600000;RBHG11.SA;86.89;87.35;86.55;87.0;87.0;160;86.41;0.68;56.15;ESTAVEL;2022-03-04 16:00:00;fii;86.49;0.59;86.49;0.59
1646413200000;RBHG11.SA;86.99;87.58;86.99;87.5;87.5;1288;86.42;1.25;60.24;ESTAVEL;2022-03-04 17:00:00;fii;86.5;1.16;86.5;1.16
1646416800000;RBHG11.SA;87.5;87.5;87.1;87.1;87.1;27;86.43;0.78;55.76;ESTAVEL;2022-03-04 18:00:00;fii;86.51;0.69;86.51;0.69
1646420400000;RBHG11.SA;87.1;87.1;87.1;87.1;87.1;31;86.43;0.77;55.76;ESTAVEL;2022-03-04 19:00:00;fii;86.51;0.68;86.51;0.68
1646658000000;RBHG11.SA;87.58;87.96;87.55;87.61;87.61;0;86.44;1.35;60.14;ESTAVEL;2022-03-07 13:00:00;fii;86.52;1.26;86.52;1.26
1646661600000;RBHG11.SA;87.95;87.96;87.61;87.93;87.93;190;86.46;1.7;62.64;ESTAVEL;2022-03-07 14:00:00;fii;86.54;1.61;86.54;1.61
1646665200000;RBHG11.SA;87.9;87.98;86.0;86.0;86.0;2910;86.46;-0.53;44.51;ESTAVEL;2022-03-07 15:00:00;fii;86.53;-0.62;86.53;-0.62
1646668800000;RBHG11.SA;86.0;86.95;86.0;86.55;86.55;3677;86.46;0.11;49.04;ESTAVEL;2022-03-07 16:00:00;fii;86.53;0.02;86.53;0.02
1646672400000;RBHG11.SA;86.55;86.55;86.05;86.35;86.35;387;86.46;-0.12;47.52;ESTAVEL;2022-03-07 17:00:00;fii;86.53;-0.21;86.53;-0.21
1646676000000;RBHG11.SA;86.16;86.35;86.02;86.35;86.35;248;86.45;-0.12;47.52;ESTAVEL;2022-03-07 18:00:00;fii;86.53;-0.21;86.53;-0.21
1646679600000;RBHG11.SA;86.34;86.35;86.03;86.03;86.03;41;86.45;-0.49;44.94;ESTAVEL;2022-03-07 19:00:00;fii;86.52;-0.57;86.52;-0.57
1646744400000;RBHG11.SA;86.43;86.43;86.3;86.38;86.38;0;86.45;-0.08;48.25;ESTAVEL;2022-03-08 13:00:00;fii;86.52;-0.16;86.52;-0.16
1646748000000;RBHG11.SA;86.36;86.64;85.87;86.63;86.63;253;86.45;0.21;50.54;ESTAVEL;2022-03-08 14:00:00;fii;86.52;0.12;86.52;0.12
1646751600000;RBHG11.SA;86.63;86.63;86.63;86.63;86.63;30;86.45;0.21;50.54;ESTAVEL;2022-03-08 15:00:00;fii;86.53;0.12;86.53;0.12
1646755200000;RBHG11.SA;86.63;87.91;86.58;87.77;87.77;614;86.47;1.51;59.91;ESTAVEL;2022-03-08 16:00:00;fii;86.54;1.42;86.54;1.42
1646758800000;RBHG11.SA;86.75;87.95;86.6;86.65;86.65;1269;86.47;0.21;49.91;ESTAVEL;2022-03-08 17:00:00;fii;86.54;0.13;86.54;0.13
1646762400000;RBHG11.SA;86.65;87.01;86.6;86.6;86.6;71;86.47;0.15;49.51;ESTAVEL;2022-03-08 18:00:00;fii;86.54;0.07;86.54;0.07
1646766000000;RBHG11.SA;86.65;86.8;86.61;86.8;86.8;68;86.47;0.38;51.18;ESTAVEL;2022-03-08 19:00:00;fii;86.54;0.3;86.54;0.3
1646830800000;RBHG11.SA;87.7;87.79;86.76;87.69;87.69;0;86.48;1.39;57.88;ESTAVEL;2022-03-09 13:00:00;fii;86.56;1.31;86.56;1.31
1646834400000;RBHG11.SA;87.67;87.67;86.02;87.05;87.05;253;86.49;0.65;52.32;ESTAVEL;2022-03-09 14:00:00;fii;86.56;0.57;86.56;0.57
1646838000000;RBHG11.SA;87.04;87.23;86.1;86.37;86.37;372;86.49;-0.14;47.14;ESTAVEL;2022-03-09 15:00:00;fii;86.56;-0.22;86.56;-0.22
1646841600000;RBHG11.SA;86.38;87.49;86.38;87.01;87.01;468;86.49;0.6;51.96;ESTAVEL;2022-03-09 16:00:00;fii;86.56;0.52;86.56;0.52
1646845200000;RBHG11.SA;86.96;87.68;86.61;87.65;87.65;207;86.51;1.32;56.26;ESTAVEL;2022-03-09 17:00:00;fii;86.58;1.24;86.58;1.24
1646848800000;RBHG11.SA;87.6;87.68;86.38;87.68;87.68;210;86.52;1.34;56.45;ESTAVEL;2022-03-09 18:00:00;fii;86.59;1.26;86.59;1.26
1646852400000;RBHG11.SA;87.57;87.7;87.01;87.01;87.01;121;86.52;0.56;50.95;ESTAVEL;2022-03-09 19:00:00;fii;86.59;0.48;86.59;0.48
1646917200000;RBHG11.SA;87.7;87.91;87.29;87.3;87.3;0;86.53;0.89;53.08;ESTAVEL;2022-03-10 13:00:00;fii;86.6;0.81;86.6;0.81
1646920800000;RBHG11.SA;86.14;87.89;86.0;87.64;87.64;1899;86.54;1.27;55.52;ESTAVEL;2022-03-10 14:00:00;fii;86.61;1.19;86.61;1.19
1646924400000;RBHG11.SA;87.72;87.72;87.17;87.17;87.17;73;86.55;0.72;51.53;ESTAVEL;2022-03-10 15:00:00;fii;86.62;0.64;86.62;0.64
1646928000000;RBHG11.SA;87.2;87.45;86.44;87.45;87.45;166;86.56;1.03;53.67;ESTAVEL;2022-03-10 16:00:00;fii;86.63;0.95;86.63;0.95
1646931600000;RBHG11.SA;87.45;87.45;87.38;87.38;87.38;65;86.57;0.94;53.04;ESTAVEL;2022-03-10 17:00:00;fii;86.63;0.86;86.63;0.86
1646935200000;RBHG11.SA;87.35;87.43;86.62;87.43;87.43;331;86.57;0.99;53.46;ESTAVEL;2022-03-10 18:00:00;fii;86.64;0.91;86.64;0.91
1646938800000;RBHG11.SA;87.39;87.4;87.3;87.3;87.3;29;86.58;0.83;52.15;ESTAVEL;2022-03-10 19:00:00;fii;86.65;0.75;86.65;0.75
1647003600000;RBHG11.SA;87.55;87.85;87.55;87.82;87.82;0;86.59;1.42;56.71;ESTAVEL;2022-03-11 13:00:00;fii;86.66;1.34;86.66;1.34
1647007200000;RBHG11.SA;87.7;87.79;87.08;87.78;87.78;110;86.61;1.36;56.27;ESTAVEL;2022-03-11 14:00:00;fii;86.67;1.28;86.67;1.28
1647010800000;RBHG11.SA;87.36;87.36;87.04;87.04;87.04;215;86.61;0.5;48.67;ESTAVEL;2022-03-11 15:00:00;fii;86.68;0.42;86.68;0.42
1647014400000;RBHG11.SA;87.05;87.29;87.0;87.29;87.29;108;86.62;0.78;51.08;ESTAVEL;2022-03-11 16:00:00;fii;86.68;0.7;86.68;0.7
1647018000000;RBHG11.SA;87.06;87.29;87.06;87.29;87.29;13;86.62;0.77;51.08;ESTAVEL;2022-03-11 17:00:00;fii;86.69;0.69;86.69;0.69
1647021600000;RBHG11.SA;87.29;87.29;87.01;87.02;87.02;32;86.63;0.45;48.25;ESTAVEL;2022-03-11 18:00:00;fii;86.69;0.38;86.69;0.38
1647025200000;RBHG11.SA;87.29;87.29;87.19;87.19;87.19;53;86.63;0.64;50.12;ESTAVEL;2022-03-11 19:00:00;fii;86.7;0.57;86.7;0.57
1647262800000;RBHG11.SA;87.87;87.97;86.75;86.75;86.75;0;86.63;0.13;45.53;ESTAVEL;2022-03-14 13:00:00;fii;86.7;0.06;86.7;0.06
1647266400000;RBHG11.SA;86.79;87.8;86.73;86.84;86.84;250;86.64;0.23;46.61;ESTAVEL;2022-03-14 14:00:00;fii;86.7;0.16;86.7;0.16
1647270000000;RBHG11.SA;87.23;87.23;86.98;86.98;86.98;50;86.64;0.39;48.32;ESTAVEL;2022-03-14 15:00:00;fii;86.7;0.32;86.7;0.32
1647273600000;RBHG11.SA;87.08;87.18;86.88;87.18;87.18;99;86.65;0.62;50.75;ESTAVEL;2022-03-14 16:00:00;fii;86.71;0.54;86.71;0.54
1647277200000;RBHG11.SA;86.93;87.28;86.92;87.28;87.28;133;86.65;0.73;51.97;ESTAVEL;2022-03-14 17:00:00;fii;86.72;0.65;86.72;0.65
1647280800000;RBHG11.SA;87.0;87.06;87.0;87.06;87.06;82;86.66;0.47;49.09;ESTAVEL;2022-03-14 18:00:00;fii;86.72;0.39;86.72;0.39
1647284400000;RBHG11.SA;87.23;87.4;87.23;87.25;87.25;168;86.66;0.68;51.58;ESTAVEL;2022-03-14 19:00:00;fii;86.72;0.61;86.72;0.61
1647349200000;RBHG11.SA;87.72;87.73;87.36;87.37;87.37;0;86.67;0.81;53.14;ESTAVEL;2022-03-15 13:00:00;fii;86.73;0.74;86.73;0.74
1647352800000;RBHG11.SA;87.6;87.6;87.5;87.5;87.5;175;86.68;0.95;54.84;ESTAVEL;2022-03-15 14:00:00;fii;86.74;0.88;86.74;0.88
1647356400000;RBHG11.SA;87.49;87.55;87.22;87.55;87.55;108;86.69;1.0;55.5;ESTAVEL;2022-03-15 15:00:00;fii;86.75;0.92;86.75;0.92
1647360000000;RBHG11.SA;87.54;87.8;87.4;87.8;87.8;1885;86.7;1.27;58.78;ESTAVEL;2022-03-15 16:00:00;fii;86.76;1.2;86.76;1.2
1647363600000;RBHG11.SA;87.37;87.84;87.34;87.34;87.34;4;86.7;0.73;51.29;ESTAVEL;2022-03-15 17:00:00;fii;86.76;0.66;86.76;0.66
1647367200000;RBHG11.SA;87.34;87.48;87.22;87.42;87.42;268;86.71;0.82;52.43;ESTAVEL;2022-03-15 18:00:00;fii;86.77;0.75;86.77;0.75
1647370800000;RBHG11.SA;87.48;87.48;87.47;87.48;87.48;242;86.72;0.88;53.31;ESTAVEL;2022-03-15 19:00:00;fii;86.78;0.81;86.78;0.81
1647435600000;RBHG11.SA;87.48;87.48;87.47;87.48;87.48;0;86.73;0.87;53.31;ESTAVEL;2022-03-16 13:00:00;fii;86.79;0.8;86.79;0.8
1647439200000;RBHG11.SA;87.8;87.85;87.5;87.85;87.85;649;86.74;1.28;58.76;ESTAVEL;2022-03-16 14:00:00;fii;86.8;1.21;86.8;1.21
1647442800000;RBHG11.SA;87.84;87.85;87.8;87.84;87.84;605;86.75;1.26;58.56;ESTAVEL;2022-03-16 15:00:00;fii;86.81;1.19;86.81;1.19
1647446400000;RBHG11.SA;87.84;87.84;87.84;87.84;87.84;79;86.76;1.25;58.56;ESTAVEL;2022-03-16 16:00:00;fii;86.82;1.18;86.82;1.18
1647450000000;RBHG11.SA;87.84;87.84;87.57;87.57;87.57;495;86.77;0.92;52.95;ESTAVEL;2022-03-16 17:00:00;fii;86.83;0.86;86.83;0.86
1647453600000;RBHG11.SA;87.79;87.8;87.79;87.8;87.8;102;86.78;1.18;56.75;ESTAVEL;2022-03-16 18:00:00;fii;86.84;1.11;86.84;1.11
1647457200000;RBHG11.SA;87.79;87.79;87.5;87.7;87.7;585;86.79;1.05;54.68;ESTAVEL;2022-03-16 19:00:00;fii;86.85;0.98;86.85;0.98
1647522000000;RBHG11.SA;87.5;87.7;87.16;87.16;87.16;0;86.79;0.43;45.11;ESTAVEL;2022-03-17 13:00:00;fii;86.85;0.36;86.85;0.36
1647525600000;RBHG11.SA;87.19;87.59;86.01;86.56;86.56;2929;86.79;-0.26;37.3;ESTAVEL;2022-03-17 14:00:00;fii;86.85;-0.33;86.85;-0.33
1647529200000;RBHG11.SA;86.88;87.0;86.71;86.97;86.97;392;86.79;0.21;44.39;ESTAVEL;2022-03-17 15:00:00;fii;86.85;0.14;86.85;0.14
1647532800000;RBHG11.SA;86.97;87.45;86.82;87.07;87.07;673;86.79;0.32;45.99;ESTAVEL;2022-03-17 16:00:00;fii;86.85;0.25;86.85;0.25
1647536400000;RBHG11.SA;87.45;87.69;87.45;87.69;87.69;429;86.8;1.02;54.71;ESTAVEL;2022-03-17 17:00:00;fii;86.86;0.96;86.86;0.96
1647540000000;RBHG11.SA;87.56;87.69;87.55;87.55;87.55;287;86.81;0.85;52.64;ESTAVEL;2022-03-17 18:00:00;fii;86.87;0.79;86.87;0.79
1647543600000;RBHG11.SA;87.68;87.7;87.55;87.7;87.7;907;86.82;1.02;54.62;ESTAVEL;2022-03-17 19:00:00;fii;86.88;0.95;86.88;0.95
1647608400000;RBHG11.SA;87.89;87.89;87.6;87.6;87.6;0;86.83;0.89;53.03;ESTAVEL;2022-03-18 13:00:00;fii;86.88;0.83;86.88;0.83
1647612000000;RBHG11.SA;87.6;87.78;87.59;87.61;87.61;102;86.83;0.89;53.18;ESTAVEL;2022-03-18 14:00:00;fii;86.89;0.83;86.89;0.83
1647615600000;RBHG11.SA;87.6;87.79;87.06;87.5;87.5;872;86.84;0.76;51.28;ESTAVEL;2022-03-18 15:00:00;fii;86.9;0.69;86.9;0.69
1647619200000;RBHG11.SA;87.5;87.78;87.41;87.51;87.51;206;86.85;0.76;51.45;ESTAVEL;2022-03-18 16:00:00;fii;86.9;0.7;86.9;0.7
1647622800000;RBHG11.SA;87.61;87.77;87.5;87.5;87.5;439;86.85;0.74;51.26;ESTAVEL;2022-03-18 17:00:00;fii;86.91;0.68;86.91;0.68
1647626400000;RBHG11.SA;87.5;87.57;87.4;87.4;87.4;287;86.86;0.62;49.27;ESTAVEL;2022-03-18 18:00:00;fii;86.91;0.56;86.91;0.56
1647630000000;RBHG11.SA;87.4;87.58;87.27;87.35;87.35;303;86.86;0.56;48.27;ESTAVEL;2022-03-18 19:00:00;fii;86.92;0.5;86.92;0.5
1647867600000;RBHG11.SA;87.68;88.0;87.64;88.0;88.0;0;86.88;1.29;59.76;ESTAVEL;2022-03-21 13:00:00;fii;86.93;1.23;86.93;1.23
1647871200000;RBHG11.SA;87.8;87.8;87.77;87.79;87.79;19;86.88;1.04;55.47;ESTAVEL;2022-03-21 14:00:00;fii;86.94;0.98;86.94;0.98
1647874800000;RBHG11.SA;87.77;87.8;87.67;87.8;87.8;812;86.89;1.04;55.64;ESTAVEL;2022-03-21 15:00:00;fii;86.95;0.98;86.95;0.98
1647878400000;RBHG11.SA;87.8;87.8;87.8;87.8;87.8;16;86.9;1.03;55.64;ESTAVEL;2022-03-21 16:00:00;fii;86.96;0.97;86.96;0.97
1647882000000;RBHG11.SA;87.8;88.18;87.1;87.55;87.55;946;86.91;0.74;50.29;ESTAVEL;2022-03-21 17:00:00;fii;86.96;0.67;86.96;0.67
1647885600000;RBHG11.SA;87.55;87.83;87.03;87.03;87.03;886;86.91;0.14;41.38;ESTAVEL;2022-03-21 18:00:00;fii;86.96;0.08;86.96;0.08
1647889200000;RBHG11.SA;87.04;87.68;87.0;87.01;87.01;647;86.91;0.11;41.08;ESTAVEL;2022-03-21 19:00:00;fii;86.96;0.05;86.96;0.05
1647954000000;RBHG11.SA;88.08;88.08;87.06;87.68;87.68;0;86.92;0.87;53.34;ESTAVEL;2022-03-22 13:00:00;fii;86.97;0.81;86.97;0.81
1647957600000;RBHG11.SA;87.26;87.74;87.21;87.4;87.4;333;86.92;0.55;48.77;ESTAVEL;2022-03-22 14:00:00;fii;86.98;0.49;86.98;0.49
