open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1681412400000;RBIF11.SA;94.02;94.02;94.02;94.02;94.02;0;99.5;-5.51;45.1;ESTAVEL;2023-04-13 19:00:00;fii;99.2;-5.22;99.2;-5.22
1681477200000;RBIF11.SA;98.0;98.0;98.0;98.0;98.0;0;99.49;-1.49;51.41;ESTAVEL;2023-04-14 13:00:00;fii;99.18;-1.19;99.18;-1.19
1681826400000;RBIF11.SA;95.0;95.0;94.87;94.99;94.99;51;99.44;-4.48;47.01;ESTAVEL;2023-04-18 14:00:00;fii;99.13;-4.18;99.13;-4.18
1681830000000;RBIF11.SA;97.99;97.99;97.99;97.99;97.99;1;99.43;-1.44;51.47;ESTAVEL;2023-04-18 15:00:00;fii;99.12;-1.14;99.12;-1.14
1681833600000;RBIF11.SA;97.99;97.99;97.99;97.99;97.99;10;99.41;-1.43;51.47;ESTAVEL;2023-04-18 16:00:00;fii;99.11;-1.13;99.11;-1.13
1681995600000;RBIF11.SA;97.99;98.0;97.99;98.0;98.0;152;99.4;-1.41;51.49;ESTAVEL;2023-04-20 13:00:00;fii;99.1;-1.11;99.1;-1.11
1682006400000;RBIF11.SA;98.0;98.0;98.0;98.0;98.0;16;99.38;-1.39;51.49;ESTAVEL;2023-04-20 16:00:00;fii;99.08;-1.09;99.08;-1.09
1682010000000;RBIF11.SA;100.0;100.0;100.0;100.0;100.0;5;99.39;0.61;54.89;ESTAVEL;2023-04-20 17:00:00;fii;99.09;0.92;99.09;0.92
1682352000000;RBIF11.SA;98.0;98.0;98.0;98.0;98.0;0;99.38;-1.38;51.03;ESTAVEL;2023-04-24 16:00:00;fii;99.08;-1.09;99.08;-1.09
1682427600000;RBIF11.SA;100.0;100.0;100.0;100.0;100.0;0;99.38;0.62;54.48;ESTAVEL;2023-04-25 13:00:00;fii;99.09;0.92;99.09;0.92
1682431200000;RBIF11.SA;98.01;98.01;98.0;98.0;98.0;21;99.37;-1.38;50.64;ESTAVEL;2023-04-25 14:00:00;fii;99.08;-1.09;99.08;-1.09
1682445600000;RBIF11.SA;98.0;98.0;98.0;98.0;98.0;17;99.35;-1.36;50.64;ESTAVEL;2023-04-25 18:00:00;fii;99.07;-1.08;99.07;-1.08
1682600400000;RBIF11.SA;97.02;97.02;97.0;97.0;97.0;0;99.33;-2.35;48.66;ESTAVEL;2023-04-27 13:00:00;fii;99.04;-2.06;99.04;-2.06
1682611200000;RBIF11.SA;98.99;98.99;98.99;98.99;98.99;0;99.33;-0.34;52.64;ESTAVEL;2023-04-27 16:00:00;fii;99.04;-0.05;99.04;-0.05
1682686800000;RBIF11.SA;97.68;97.68;97.68;97.68;97.68;0;99.31;-1.64;49.89;ESTAVEL;2023-04-28 13:00:00;fii;99.03;-1.36;99.03;-1.36
1682690400000;RBIF11.SA;97.0;97.0;97.0;97.0;97.0;3;99.29;-2.3;48.48;ESTAVEL;2023-04-28 14:00:00;fii;99.0;-2.02;99.0;-2.02
1682701200000;RBIF11.SA;97.0;97.0;97.0;97.0;97.0;150;99.26;-2.28;48.48;ESTAVEL;2023-04-28 17:00:00;fii;98.98;-2.0;98.98;-2.0
1683032400000;RBIF11.SA;97.0;97.0;97.0;97.0;97.0;0;99.24;-2.26;48.48;ESTAVEL;2023-05-02 13:00:00;fii;98.96;-1.98;98.96;-1.98
1683054000000;RBIF11.SA;97.0;99.0;97.0;97.0;97.0;1;99.22;-2.24;48.48;ESTAVEL;2023-05-02 19:00:00;fii;98.94;-1.96;98.94;-1.96
1683208800000;RBIF11.SA;95.0;95.0;95.0;95.0;95.0;3;99.18;-4.21;43.6;ESTAVEL;2023-05-04 14:00:00;fii;98.89;-3.94;98.89;-3.94
1683216000000;RBIF11.SA;95.0;95.0;95.0;95.0;95.0;15;99.13;-4.17;43.6;ESTAVEL;2023-05-04 16:00:00;fii;98.85;-3.89;98.85;-3.89
1683223200000;RBIF11.SA;95.0;96.5;95.0;96.5;96.5;580;99.11;-2.63;48.14;ESTAVEL;2023-05-04 18:00:00;fii;98.82;-2.35;98.82;-2.35
1683226800000;RBIF11.SA;99.0;100.0;97.0;100.0;100.0;2;99.12;0.89;56.87;ESTAVEL;2023-05-04 19:00:00;fii;98.84;1.18;98.84;1.18
1683302400000;RBIF11.SA;95.03;95.03;95.03;95.03;95.03;0;99.07;-4.08;45.23;ESTAVEL;2023-05-05 16:00:00;fii;98.79;-3.81;98.79;-3.81
1683306000000;RBIF11.SA;95.03;97.49;95.03;97.49;97.49;50;99.06;-1.58;50.62;ESTAVEL;2023-05-05 17:00:00;fii;98.78;-1.31;98.78;-1.31
1683568800000;RBIF11.SA;97.49;97.49;97.49;97.49;97.49;0;99.04;-1.57;50.62;ESTAVEL;2023-05-08 18:00:00;fii;98.77;-1.29;98.77;-1.29
1683637200000;RBIF11.SA;97.3;97.3;97.3;97.3;97.3;3;99.02;-1.74;50.18;ESTAVEL;2023-05-09 13:00:00;fii;98.75;-1.47;98.75;-1.47
1683644400000;RBIF11.SA;97.0;97.0;97.0;97.0;97.0;4;99.0;-2.02;49.44;ESTAVEL;2023-05-09 15:00:00;fii;98.73;-1.75;98.73;-1.75
1683651600000;RBIF11.SA;97.0;97.0;97.0;97.0;97.0;1;98.98;-2.0;49.44;ESTAVEL;2023-05-09 17:00:00;fii;98.71;-1.73;98.71;-1.73
1683723600000;RBIF11.SA;97.49;97.49;95.02;97.48;97.48;0;98.97;-1.5;50.78;ESTAVEL;2023-05-10 13:00:00;fii;98.7;-1.23;98.7;-1.23
1683810000000;RBIF11.SA;95.02;95.02;95.0;95.0;95.0;9;98.93;-3.97;44.27;ESTAVEL;2023-05-11 13:00:00;fii;98.66;-3.71;98.66;-3.71
1683813600000;RBIF11.SA;95.0;95.0;95.0;95.0;95.0;5;98.89;-3.93;44.27;ESTAVEL;2023-05-11 14:00:00;fii;98.62;-3.67;98.62;-3.67
1683831600000;RBIF11.SA;97.5;97.5;97.5;97.5;97.5;0;98.88;-1.39;51.53;ESTAVEL;2023-05-11 19:00:00;fii;98.6;-1.12;98.6;-1.12
1683910800000;RBIF11.SA;97.49;100.0;97.49;100.0;100.0;124;98.89;1.13;57.5;ESTAVEL;2023-05-12 17:00:00;fii;98.62;1.4;98.62;1.4
1683918000000;RBIF11.SA;100.4;100.4;99.0;99.0;99.0;227;98.89;0.11;54.6;ESTAVEL;2023-05-12 19:00:00;fii;98.62;0.38;98.62;0.38
1684252800000;RBIF11.SA;99.0;99.0;99.0;99.0;99.0;0;98.89;0.11;54.6;ESTAVEL;2023-05-16 16:00:00;fii;98.63;0.38;98.63;0.38
1684350000000;RBIF11.SA;97.0;97.0;92.01;92.01;92.01;199;98.82;-6.89;38.77;ESTAVEL;2023-05-17 19:00:00;fii;98.55;-6.64;98.55;-6.64
1684414800000;RBIF11.SA;98.99;98.99;95.0;96.98;96.98;0;98.8;-1.84;49.9;ESTAVEL;2023-05-18 13:00:00;fii;98.54;-1.58;98.54;-1.58
1684436400000;RBIF11.SA;98.99;98.99;98.99;98.99;98.99;10;98.8;0.19;53.57;ESTAVEL;2023-05-18 19:00:00;fii;98.54;0.45;98.54;0.45
1684508400000;RBIF11.SA;98.98;98.98;98.98;98.98;98.98;0;98.8;0.18;53.55;ESTAVEL;2023-05-19 15:00:00;fii;98.55;0.44;98.55;0.44
1684512000000;RBIF11.SA;98.99;98.99;98.99;98.99;98.99;2;98.81;0.19;53.57;ESTAVEL;2023-05-19 16:00:00;fii;98.55;0.44;98.55;0.44
1684515600000;RBIF11.SA;98.99;98.99;98.99;98.99;98.99;5;98.81;0.18;53.57;ESTAVEL;2023-05-19 17:00:00;fii;98.56;0.44;98.56;0.44
1684767600000;RBIF11.SA;98.99;98.99;98.99;98.99;98.99;5;98.81;0.18;53.57;ESTAVEL;2023-05-22 15:00:00;fii;98.56;0.43;98.56;0.43
1684846800000;RBIF11.SA;97.01;98.98;97.01;98.98;98.98;0;98.81;0.17;53.54;ESTAVEL;2023-05-23 13:00:00;fii;98.57;0.42;98.57;0.42
1685030400000;RBIF11.SA;97.0;98.98;93.0;93.0;93.0;9;98.75;-5.83;39.96;ESTAVEL;2023-05-25 16:00:00;fii;98.51;-5.59;98.51;-5.59
1685034000000;RBIF11.SA;98.49;98.49;98.49;98.49;98.49;1;98.75;-0.26;52.0;ESTAVEL;2023-05-25 17:00:00;fii;98.5;-0.02;98.5;-0.02
1685041200000;RBIF11.SA;98.49;98.5;98.49;98.5;98.5;59;98.75;-0.25;52.02;ESTAVEL;2023-05-25 19:00:00;fii;98.5;-0.01;98.5;-0.01
1685109600000;RBIF11.SA;98.99;98.99;98.98;98.98;98.98;2;98.75;0.23;52.97;ESTAVEL;2023-05-26 14:00:00;fii;98.51;0.48;98.51;0.48
1685113200000;RBIF11.SA;96.76;98.97;96.76;98.97;98.97;2;98.75;0.22;52.95;ESTAVEL;2023-05-26 15:00:00;fii;98.52;0.46;98.52;0.46
1685376000000;RBIF11.SA;96.76;96.76;96.76;96.76;96.76;0;98.73;-2.0;47.86;ESTAVEL;2023-05-29 16:00:00;fii;98.5;-1.76;98.5;-1.76
1685383200000;RBIF11.SA;96.76;97.96;92.19;92.19;92.19;240;98.67;-6.56;39.42;ESTAVEL;2023-05-29 18:00:00;fii;98.43;-6.34;98.43;-6.34
1685386800000;RBIF11.SA;97.95;97.96;93.51;93.51;93.51;51;98.62;-5.18;42.57;ESTAVEL;2023-05-29 19:00:00;fii;98.37;-4.94;98.37;-4.94
1685451600000;RBIF11.SA;93.0;93.0;92.2;92.2;92.2;0;98.55;-6.44;40.33;ESTAVEL;2023-05-30 13:00:00;fii;98.31;-6.21;98.31;-6.21
1685458800000;RBIF11.SA;97.85;97.89;97.85;97.89;97.89;6;98.54;-0.66;52.12;ESTAVEL;2023-05-30 15:00:00;fii;98.3;-0.42;98.3;-0.42
1685466000000;RBIF11.SA;92.38;92.38;92.38;92.38;92.38;1;98.48;-6.2;43.22;ESTAVEL;2023-05-30 17:00:00;fii;98.24;-5.96;98.24;-5.96
1685473200000;RBIF11.SA;93.5;97.84;92.05;92.5;92.5;764;98.42;-6.02;43.44;ESTAVEL;2023-05-30 19:00:00;fii;98.18;-5.78;98.18;-5.78
1685538000000;RBIF11.SA;92.0;92.0;92.0;92.0;92.0;0;98.36;-6.46;42.68;ESTAVEL;2023-05-31 13:00:00;fii;98.11;-6.23;98.11;-6.23
1685548800000;RBIF11.SA;95.99;95.99;95.99;95.99;95.99;1;98.33;-2.38;50.21;ESTAVEL;2023-05-31 16:00:00;fii;98.09;-2.14;98.09;-2.14
1685552400000;RBIF11.SA;95.97;95.97;95.97;95.97;95.97;1;98.31;-2.38;50.17;ESTAVEL;2023-05-31 17:00:00;fii;98.06;-2.14;98.06;-2.14
1685556000000;RBIF11.SA;95.97;97.63;92.07;92.07;92.07;301;98.25;-6.29;43.67;ESTAVEL;2023-05-31 18:00:00;fii;98.0;-6.05;98.0;-6.05
1685559600000;RBIF11.SA;97.39;98.99;93.01;98.99;98.99;102;98.25;0.75;54.85;ESTAVEL;2023-05-31 19:00:00;fii;98.01;1.0;98.01;1.0
1685710800000;RBIF11.SA;97.64;97.64;92.07;93.2;93.2;599;98.2;-5.1;46.53;ESTAVEL;2023-06-02 13:00:00;fii;97.96;-4.86;97.96;-4.86
1685714400000;RBIF11.SA;93.2;93.2;92.11;92.11;92.11;500;98.14;-6.15;45.14;ESTAVEL;2023-06-02 14:00:00;fii;97.9;-5.91;97.9;-5.91
1685718000000;RBIF11.SA;92.17;92.17;92.17;92.17;92.17;1;98.08;-6.03;45.24;ESTAVEL;2023-06-02 15:00:00;fii;97.84;-5.79;97.84;-5.79
1685728800000;RBIF11.SA;97.07;97.14;93.1;93.34;93.34;105;98.03;-4.79;47.2;ESTAVEL;2023-06-02 18:00:00;fii;97.79;-4.55;97.79;-4.55
1685732400000;RBIF11.SA;96.87;97.0;92.21;92.26;92.26;59;97.98;-5.83;45.58;ESTAVEL;2023-06-02 19:00:00;fii;97.73;-5.6;97.73;-5.6
1685977200000;RBIF11.SA;94.0;94.0;93.02;93.02;93.02;4;97.93;-5.01;46.96;ESTAVEL;2023-06-05 15:00:00;fii;97.68;-4.77;97.68;-4.77
1685988000000;RBIF11.SA;95.2;95.2;93.03;93.03;93.03;2;97.88;-4.95;46.98;ESTAVEL;2023-06-05 18:00:00;fii;97.63;-4.71;97.63;-4.71
1685991600000;RBIF11.SA;93.03;93.03;92.01;92.61;92.61;500;97.82;-5.33;46.22;ESTAVEL;2023-06-05 19:00:00;fii;97.57;-5.09;97.57;-5.09
1686056400000;RBIF11.SA;95.62;95.62;95.62;95.62;95.62;0;97.8;-2.23;52.13;ESTAVEL;2023-06-06 13:00:00;fii;97.55;-1.98;97.55;-1.98
1686063600000;RBIF11.SA;93.75;93.75;93.75;93.75;93.75;2;97.76;-4.1;48.56;ESTAVEL;2023-06-06 15:00:00;fii;97.51;-3.86;97.51;-3.86
1686067200000;RBIF11.SA;93.6;93.6;92.01;92.05;92.05;248;97.7;-5.79;45.51;ESTAVEL;2023-06-06 16:00:00;fii;97.45;-5.55;97.45;-5.55
1686070800000;RBIF11.SA;92.07;92.07;92.07;92.07;92.07;2;97.65;-5.71;45.56;ESTAVEL;2023-06-06 17:00:00;fii;97.4;-5.47;97.4;-5.47
1686146400000;RBIF11.SA;94.39;94.39;94.3;94.3;94.3;5;97.61;-3.4;50.3;ESTAVEL;2023-06-07 14:00:00;fii;97.36;-3.15;97.36;-3.15
1686150000000;RBIF11.SA;94.29;95.25;94.29;95.1;95.1;41;97.59;-2.55;51.92;ESTAVEL;2023-06-07 15:00:00;fii;97.34;-2.3;97.34;-2.3
1686153600000;RBIF11.SA;94.97;94.97;94.97;94.97;94.97;1;97.56;-2.66;51.62;ESTAVEL;2023-06-07 16:00:00;fii;97.31;-2.41;97.31;-2.41
1686164400000;RBIF11.SA;94.8;94.82;94.8;94.82;94.82;10;97.54;-2.78;51.26;ESTAVEL;2023-06-07 19:00:00;fii;97.29;-2.54;97.29;-2.54
1686322800000;RBIF11.SA;94.41;94.41;94.41;94.41;94.41;0;97.5;-3.17;50.23;ESTAVEL;2023-06-09 15:00:00;fii;97.26;-2.93;97.26;-2.93
1686326400000;RBIF11.SA;92.01;92.01;92.01;92.01;92.01;1;97.45;-5.58;44.56;ESTAVEL;2023-06-09 16:00:00;fii;97.2;-5.34;97.2;-5.34
1686337200000;RBIF11.SA;94.34;94.35;94.3;94.3;94.3;3;97.42;-3.2;50.32;ESTAVEL;2023-06-09 19:00:00;fii;97.17;-2.96;97.17;-2.96
1686578400000;RBIF11.SA;94.27;94.27;94.27;94.27;94.27;26;97.39;-3.2;50.25;ESTAVEL;2023-06-12 14:00:00;fii;97.14;-2.96;97.14;-2.96
