open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;RBRF11.SA;71.14;71.63;71.14;71.42;71.42;4990;72.67;-1.71;45.55;ESTAVEL;2022-02-22 14:00:00;fii;72.51;-1.5;72.51;-1.5
1645542000000;RBRF11.SA;71.42;71.44;71.06;71.4;71.4;4377;72.65;-1.72;45.24;ESTAVEL;2022-02-22 15:00:00;fii;72.49;-1.51;72.49;-1.51
1645545600000;RBRF11.SA;71.4;72.4;71.4;72.25;72.25;8523;72.65;-0.55;58.33;ESTAVEL;2022-02-22 16:00:00;fii;72.49;-0.33;72.49;-0.33
1645549200000;RBRF11.SA;72.25;72.65;71.57;72.64;72.64;8055;72.65;-0.01;62.73;ESTAVEL;2022-02-22 17:00:00;fii;72.49;0.2;72.49;0.2
1645552800000;RBRF11.SA;72.64;72.64;71.41;71.41;71.41;4418;72.64;-1.69;46.17;ESTAVEL;2022-02-22 18:00:00;fii;72.48;-1.47;72.48;-1.47
1645556400000;RBRF11.SA;71.41;71.68;71.26;71.44;71.44;4654;72.62;-1.63;46.54;ESTAVEL;2022-02-22 19:00:00;fii;72.47;-1.42;72.47;-1.42
1645621200000;RBRF11.SA;71.5;71.8;71.26;71.56;71.56;0;72.61;-1.45;48.08;ESTAVEL;2022-02-23 13:00:00;fii;72.46;-1.24;72.46;-1.24
1645624800000;RBRF11.SA;71.55;71.55;71.14;71.27;71.27;5468;72.6;-1.83;44.73;ESTAVEL;2022-02-23 14:00:00;fii;72.44;-1.62;72.44;-1.62
1645628400000;RBRF11.SA;71.25;71.5;71.2;71.23;71.23;2505;72.59;-1.87;44.27;ESTAVEL;2022-02-23 15:00:00;fii;72.43;-1.66;72.43;-1.66
1645632000000;RBRF11.SA;71.3;71.36;71.15;71.3;71.3;3849;72.57;-1.75;45.32;ESTAVEL;2022-02-23 16:00:00;fii;72.42;-1.54;72.42;-1.54
1645635600000;RBRF11.SA;71.3;71.45;70.81;71.1;71.1;5649;72.56;-2.01;42.83;ESTAVEL;2022-02-23 17:00:00;fii;72.4;-1.8;72.4;-1.8
1645639200000;RBRF11.SA;71.18;71.4;71.13;71.24;71.24;3794;72.54;-1.8;45.11;ESTAVEL;2022-02-23 18:00:00;fii;72.39;-1.59;72.39;-1.59
