open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;RBVA11.SA;95.05;95.06;94.75;94.92;94.92;1314;96.7;-1.84;44.54;ESTAVEL;2022-02-22 14:00:00;fii;96.44;-1.57;96.44;-1.57
1645542000000;RBVA11.SA;94.76;94.94;94.76;94.79;94.79;389;96.68;-1.95;40.88;ESTAVEL;2022-02-22 15:00:00;fii;96.42;-1.69;96.42;-1.69
1645545600000;RBVA11.SA;94.8;96.19;94.78;94.89;94.89;1798;96.66;-1.83;44.65;ESTAVEL;2022-02-22 16:00:00;fii;96.4;-1.57;96.4;-1.57
1645549200000;RBVA11.SA;94.82;95.0;94.81;94.98;94.98;784;96.64;-1.72;47.87;ESTAVEL;2022-02-22 17:00:00;fii;96.38;-1.46;96.38;-1.46
1645552800000;RBVA11.SA;94.98;95.16;94.9;94.91;94.91;1276;96.62;-1.77;45.65;ESTAVEL;2022-02-22 18:00:00;fii;96.37;-1.51;96.37;-1.51
1645556400000;RBVA11.SA;94.92;95.08;94.9;94.9;94.9;578;96.61;-1.77;45.32;ESTAVEL;2022-02-22 19:00:00;fii;96.35;-1.51;96.35;-1.51
1645621200000;RBVA11.SA;95.1;95.83;94.8;94.84;94.84;0;96.59;-1.81;43.33;ESTAVEL;2022-02-23 13:00:00;fii;96.33;-1.55;96.33;-1.55
1645624800000;RBVA11.SA;94.84;95.28;94.84;95.01;95.01;2448;96.57;-1.62;50.03;ESTAVEL;2022-02-23 14:00:00;fii;96.32;-1.36;96.32;-1.36
1645628400000;RBVA11.SA;95.0;95.09;94.86;95.07;95.07;1667;96.56;-1.54;52.17;ESTAVEL;2022-02-23 15:00:00;fii;96.3;-1.28;96.3;-1.28
1645632000000;RBVA11.SA;95.15;95.19;94.9;94.9;94.9;1405;96.54;-1.7;46.13;ESTAVEL;2022-02-23 16:00:00;fii;96.29;-1.44;96.29;-1.44
1645635600000;RBVA11.SA;94.9;94.99;94.75;94.75;94.75;1129;96.52;-1.84;41.55;ESTAVEL;2022-02-23 17:00:00;fii;96.27;-1.58;96.27;-1.58
1645639200000;RBVA11.SA;94.75;95.15;94.05;94.05;94.05;4110;96.5;-2.54;27.73;SUBIR;2022-02-23 18:00:00;fii;96.25;-2.28;96.25;-2.28
1645642800000;RBVA11.SA;94.39;94.85;94.11;94.61;94.61;1004;96.48;-1.94;43.83;ESTAVEL;2022-02-23 19:00:00;fii;96.23;-1.68;96.23;-1.68
1645707600000;RBVA11.SA;94.06;94.12;93.03;93.5;93.5;0;96.45;-3.06;29.7;SUBIR;2022-02-24 13:00:00;fii;96.2;-2.8;96.2;-2.8
1645711200000;RBVA11.SA;93.5;93.98;93.5;93.85;93.85;724;96.42;-2.67;36.64;ESTAVEL;2022-02-24 14:00:00;fii;96.17;-2.41;96.17;-2.41
1645714800000;RBVA11.SA;93.85;94.25;93.46;93.7;93.7;2183;96.39;-2.79;35.04;ESTAVEL;2022-02-24 15:00:00;fii;96.14;-2.54;96.14;-2.54
1645718400000;RBVA11.SA;93.7;94.02;93.64;93.66;93.66;800;96.37;-2.81;34.61;ESTAVEL;2022-02-24 16:00:00;fii;96.11;-2.55;96.11;-2.55
1645722000000;RBVA11.SA;93.66;93.85;93.31;93.49;93.49;1047;96.34;-2.96;32.76;ESTAVEL;2022-02-24 17:00:00;fii;96.08;-2.7;96.08;-2.7
1645725600000;RBVA11.SA;93.5;93.85;93.35;93.38;93.38;494;96.31;-3.04;31.58;ESTAVEL;2022-02-24 18:00:00;fii;96.05;-2.78;96.05;-2.78
1645729200000;RBVA11.SA;93.39;93.96;93.38;93.85;93.85;1510;96.28;-2.53;41.29;ESTAVEL;2022-02-24 19:00:00;fii;96.03;-2.27;96.03;-2.27
1645794000000;RBVA11.SA;93.99;94.6;93.8;94.12;94.12;0;96.26;-2.22;46.03;ESTAVEL;2022-02-25 13:00:00;fii;96.01;-1.97;96.01;-1.97
1645797600000;RBVA11.SA;94.27;94.57;94.07;94.11;94.11;1262;96.24;-2.21;45.88;ESTAVEL;2022-02-25 14:00:00;fii;95.99;-1.96;95.99;-1.96
1645801200000;RBVA11.SA;94.11;94.2;94.11;94.2;94.2;1140;96.22;-2.1;47.51;ESTAVEL;2022-02-25 15:00:00;fii;95.97;-1.84;95.97;-1.84
1645804800000;RBVA11.SA;94.18;94.2;93.84;93.99;93.99;1493;96.2;-2.29;44.17;ESTAVEL;2022-02-25 16:00:00;fii;95.94;-2.04;95.94;-2.04
1645808400000;RBVA11.SA;94.0;94.15;93.9;94.0;94.0;1058;96.17;-2.26;44.37;ESTAVEL;2022-02-25 17:00:00;fii;95.92;-2.01;95.92;-2.01
1645812000000;RBVA11.SA;94.0;94.1;93.98;94.01;94.01;1165;96.15;-2.23;44.58;ESTAVEL;2022-02-25 18:00:00;fii;95.9;-1.97;95.9;-1.97
1645815600000;RBVA11.SA;94.01;94.2;94.0;94.18;94.18;833;96.13;-2.03;48.24;ESTAVEL;2022-02-25 19:00:00;fii;95.88;-1.78;95.88;-1.78
1646236800000;RBVA11.SA;93.28;94.9;93.0;93.18;93.18;1572;96.1;-3.04;34.01;ESTAVEL;2022-03-02 16:00:00;fii;95.85;-2.79;95.85;-2.79
1646240400000;RBVA11.SA;93.01;93.18;92.6;92.74;92.74;1942;96.07;-3.46;29.84;SUBIR;2022-03-02 17:00:00;fii;95.82;-3.21;95.82;-3.21
1646244000000;RBVA11.SA;92.74;94.0;92.74;92.95;92.95;2545;96.04;-3.21;34.0;ESTAVEL;2022-03-02 18:00:00;fii;95.79;-2.96;95.79;-2.96
1646247600000;RBVA11.SA;93.09;94.2;92.95;94.2;94.2;1353;96.02;-1.89;52.18;ESTAVEL;2022-03-02 19:00:00;fii;95.77;-1.64;95.77;-1.64
1646312400000;RBVA11.SA;92.75;93.99;92.75;93.59;93.59;0;95.99;-2.5;45.58;ESTAVEL;2022-03-03 13:00:00;fii;95.75;-2.25;95.75;-2.25
1646316000000;RBVA11.SA;93.6;93.89;93.0;93.15;93.15;1916;95.97;-2.93;41.5;ESTAVEL;2022-03-03 14:00:00;fii;95.72;-2.68;95.72;-2.68
1646319600000;RBVA11.SA;93.14;93.74;92.78;93.54;93.54;1177;95.94;-2.5;46.1;ESTAVEL;2022-03-03 15:00:00;fii;95.69;-2.25;95.69;-2.25
1646323200000;RBVA11.SA;93.02;93.38;92.8;92.92;92.92;1316;95.91;-3.12;40.63;ESTAVEL;2022-03-03 16:00:00;fii;95.66;-2.87;95.66;-2.87
1646326800000;RBVA11.SA;92.81;93.08;92.5;92.71;92.71;1758;95.88;-3.3;38.95;ESTAVEL;2022-03-03 17:00:00;fii;95.63;-3.05;95.63;-3.05
1646330400000;RBVA11.SA;92.7;92.9;92.53;92.64;92.64;664;95.85;-3.34;38.38;ESTAVEL;2022-03-03 18:00:00;fii;95.6;-3.09;95.6;-3.09
1646334000000;RBVA11.SA;92.62;92.9;92.61;92.78;92.78;954;95.81;-3.17;40.26;ESTAVEL;2022-03-03 19:00:00;fii;95.57;-2.91;95.57;-2.91
1646398800000;RBVA11.SA;92.72;93.05;92.71;92.71;92.71;0;95.78;-3.21;39.61;ESTAVEL;2022-03-04 13:00:00;fii;95.53;-2.96;95.53;-2.96
1646402400000;RBVA11.SA;92.71;92.98;92.7;92.96;92.96;537;95.75;-2.92;43.16;ESTAVEL;2022-03-04 14:00:00;fii;95.51;-2.67;95.51;-2.67
1646406000000;RBVA11.SA;92.95;92.96;92.75;92.94;92.94;592;95.73;-2.91;42.94;ESTAVEL;2022-03-04 15:00:00;fii;95.48;-2.66;95.48;-2.66
1646409600000;RBVA11.SA;92.95;92.96;92.6;92.92;92.92;1140;95.7;-2.9;42.71;ESTAVEL;2022-03-04 16:00:00;fii;95.45;-2.65;95.45;-2.65
1646413200000;RBVA11.SA;92.93;92.96;92.53;92.87;92.87;1418;95.67;-2.93;42.1;ESTAVEL;2022-03-04 17:00:00;fii;95.42;-2.67;95.42;-2.67
1646416800000;RBVA11.SA;92.74;92.94;92.53;92.6;92.6;1183;95.64;-3.18;38.86;ESTAVEL;2022-03-04 18:00:00;fii;95.39;-2.93;95.39;-2.93
1646420400000;RBVA11.SA;92.69;92.94;92.53;92.64;92.64;1282;95.61;-3.1;39.6;ESTAVEL;2022-03-04 19:00:00;fii;95.36;-2.85;95.36;-2.85
1646658000000;RBVA11.SA;92.97;92.97;92.5;92.78;92.78;0;95.58;-2.93;42.24;ESTAVEL;2022-03-07 13:00:00;fii;95.33;-2.68;95.33;-2.68
1646661600000;RBVA11.SA;92.74;92.75;92.05;92.43;92.43;2138;95.55;-3.26;37.8;ESTAVEL;2022-03-07 14:00:00;fii;95.3;-3.01;95.3;-3.01
1646665200000;RBVA11.SA;92.43;92.44;92.0;92.25;92.25;1095;95.51;-3.42;35.72;ESTAVEL;2022-03-07 15:00:00;fii;95.27;-3.17;95.27;-3.17
1646668800000;RBVA11.SA;92.25;92.31;92.02;92.3;92.3;595;95.48;-3.33;36.76;ESTAVEL;2022-03-07 16:00:00;fii;95.24;-3.08;95.24;-3.08
1646672400000;RBVA11.SA;92.3;92.37;92.01;92.23;92.23;1018;95.45;-3.37;35.88;ESTAVEL;2022-03-07 17:00:00;fii;95.2;-3.12;95.2;-3.12
1646676000000;RBVA11.SA;92.23;92.79;92.0;92.45;92.45;1121;95.42;-3.11;40.67;ESTAVEL;2022-03-07 18:00:00;fii;95.17;-2.86;95.17;-2.86
1646679600000;RBVA11.SA;92.45;92.46;92.26;92.44;92.44;456;95.39;-3.09;40.52;ESTAVEL;2022-03-07 19:00:00;fii;95.14;-2.84;95.14;-2.84
1646744400000;RBVA11.SA;92.4;92.4;91.77;91.98;91.98;1739;95.36;-3.54;34.33;ESTAVEL;2022-03-08 13:00:00;fii;95.11;-3.29;95.11;-3.29
1646748000000;RBVA11.SA;91.98;91.99;91.56;91.99;91.99;1136;95.32;-3.5;34.56;ESTAVEL;2022-03-08 14:00:00;fii;95.08;-3.25;95.08;-3.25
1646751600000;RBVA11.SA;91.99;92.0;91.8;91.93;91.93;746;95.29;-3.52;33.78;ESTAVEL;2022-03-08 15:00:00;fii;95.04;-3.27;95.04;-3.27
1646755200000;RBVA11.SA;91.93;91.99;91.75;91.96;91.96;508;95.25;-3.46;34.58;ESTAVEL;2022-03-08 16:00:00;fii;95.01;-3.21;95.01;-3.21
1646758800000;RBVA11.SA;91.76;91.97;91.65;91.83;91.83;716;95.22;-3.56;32.75;ESTAVEL;2022-03-08 17:00:00;fii;94.97;-3.31;94.97;-3.31
1646762400000;RBVA11.SA;91.85;91.98;91.51;91.71;91.71;2027;95.18;-3.65;31.11;ESTAVEL;2022-03-08 18:00:00;fii;94.94;-3.4;94.94;-3.4
1646766000000;RBVA11.SA;91.71;92.0;91.71;92.0;92.0;337;95.15;-3.31;39.04;ESTAVEL;2022-03-08 19:00:00;fii;94.91;-3.06;94.91;-3.06
1646830800000;RBVA11.SA;92.0;92.49;91.5;92.4;92.4;0;95.12;-2.86;47.95;ESTAVEL;2022-03-09 13:00:00;fii;94.88;-2.61;94.88;-2.61
1646834400000;RBVA11.SA;92.39;92.4;91.31;91.96;91.96;1752;95.09;-3.29;40.87;ESTAVEL;2022-03-09 14:00:00;fii;94.85;-3.05;94.85;-3.05
1646838000000;RBVA11.SA;91.53;91.53;91.35;91.35;91.35;1638;95.06;-3.9;33.5;ESTAVEL;2022-03-09 15:00:00;fii;94.81;-3.65;94.81;-3.65
1646841600000;RBVA11.SA;91.4;91.95;91.4;91.5;91.5;829;95.02;-3.7;36.53;ESTAVEL;2022-03-09 16:00:00;fii;94.78;-3.46;94.78;-3.46
1646845200000;RBVA11.SA;91.51;91.7;91.4;91.7;91.7;1532;94.99;-3.46;40.43;ESTAVEL;2022-03-09 17:00:00;fii;94.74;-3.21;94.74;-3.21
1646848800000;RBVA11.SA;91.67;91.67;91.35;91.5;91.5;1765;94.95;-3.63;37.92;ESTAVEL;2022-03-09 18:00:00;fii;94.71;-3.39;94.71;-3.39
1646852400000;RBVA11.SA;91.5;91.85;91.5;91.6;91.6;182;94.92;-3.49;39.93;ESTAVEL;2022-03-09 19:00:00;fii;94.68;-3.25;94.68;-3.25
1646917200000;RBVA11.SA;91.9;91.9;91.31;91.31;91.31;0;94.88;-3.76;36.27;ESTAVEL;2022-03-10 13:00:00;fii;94.64;-3.52;94.64;-3.52
1646920800000;RBVA11.SA;91.32;91.66;91.31;91.6;91.6;506;94.85;-3.42;42.0;ESTAVEL;2022-03-10 14:00:00;fii;94.61;-3.18;94.61;-3.18
1646924400000;RBVA11.SA;91.65;91.65;91.35;91.63;91.63;1157;94.82;-3.36;42.57;ESTAVEL;2022-03-10 15:00:00;fii;94.57;-3.11;94.57;-3.11
1646928000000;RBVA11.SA;91.39;91.7;91.32;91.33;91.33;730;94.78;-3.64;38.46;ESTAVEL;2022-03-10 16:00:00;fii;94.54;-3.4;94.54;-3.4
1646931600000;RBVA11.SA;91.35;91.62;91.2;91.2;91.2;1507;94.74;-3.74;36.81;ESTAVEL;2022-03-10 17:00:00;fii;94.5;-3.5;94.5;-3.5
1646935200000;RBVA11.SA;91.2;91.32;91.19;91.32;91.32;624;94.71;-3.58;39.4;ESTAVEL;2022-03-10 18:00:00;fii;94.47;-3.34;94.47;-3.34
1646938800000;RBVA11.SA;91.32;91.49;91.31;91.46;91.46;162;94.68;-3.4;42.38;ESTAVEL;2022-03-10 19:00:00;fii;94.44;-3.15;94.44;-3.15
1647003600000;RBVA11.SA;91.48;91.88;91.47;91.7;91.7;0;94.65;-3.11;47.16;ESTAVEL;2022-03-11 13:00:00;fii;94.41;-2.87;94.41;-2.87
1647007200000;RBVA11.SA;91.48;91.74;91.4;91.55;91.55;884;94.62;-3.24;44.67;ESTAVEL;2022-03-11 14:00:00;fii;94.38;-3.0;94.38;-3.0
1647010800000;RBVA11.SA;91.65;91.67;91.4;91.62;91.62;774;94.59;-3.14;46.1;ESTAVEL;2022-03-11 15:00:00;fii;94.35;-2.89;94.35;-2.89
1647014400000;RBVA11.SA;91.61;91.64;91.01;91.05;91.05;1330;94.55;-3.7;37.56;ESTAVEL;2022-03-11 16:00:00;fii;94.31;-3.46;94.31;-3.46
1647018000000;RBVA11.SA;91.2;91.25;91.0;91.24;91.24;1568;94.52;-3.47;41.45;ESTAVEL;2022-03-11 17:00:00;fii;94.28;-3.23;94.28;-3.23
1647021600000;RBVA11.SA;91.24;91.66;91.15;91.66;91.66;1181;94.49;-2.99;49.02;ESTAVEL;2022-03-11 18:00:00;fii;94.25;-2.75;94.25;-2.75
1647025200000;RBVA11.SA;91.5;91.8;91.08;91.55;91.55;674;94.46;-3.08;47.3;ESTAVEL;2022-03-11 19:00:00;fii;94.23;-2.84;94.23;-2.84
1647262800000;RBVA11.SA;91.7;91.77;91.53;91.72;91.72;0;94.43;-2.87;50.21;ESTAVEL;2022-03-14 13:00:00;fii;94.2;-2.63;94.2;-2.63
1647266400000;RBVA11.SA;91.72;91.74;91.07;91.13;91.13;673;94.4;-3.46;41.61;ESTAVEL;2022-03-14 14:00:00;fii;94.17;-3.22;94.17;-3.22
1647270000000;RBVA11.SA;91.15;91.71;91.0;91.1;91.1;865;94.37;-3.46;41.22;ESTAVEL;2022-03-14 15:00:00;fii;94.13;-3.22;94.13;-3.22
1647273600000;RBVA11.SA;91.22;91.28;91.03;91.23;91.23;549;94.33;-3.29;43.67;ESTAVEL;2022-03-14 16:00:00;fii;94.1;-3.05;94.1;-3.05
1647277200000;RBVA11.SA;91.3;91.38;91.1;91.1;91.1;626;94.3;-3.4;41.8;ESTAVEL;2022-03-14 17:00:00;fii;94.07;-3.16;94.07;-3.16
1647280800000;RBVA11.SA;91.3;91.3;91.08;91.15;91.15;604;94.27;-3.31;42.81;ESTAVEL;2022-03-14 18:00:00;fii;94.04;-3.07;94.04;-3.07
1647284400000;RBVA11.SA;91.15;91.23;91.0;91.18;91.18;980;94.24;-3.25;43.45;ESTAVEL;2022-03-14 19:00:00;fii;94.01;-3.01;94.01;-3.01
1647349200000;RBVA11.SA;91.5;91.75;91.02;91.34;91.34;0;94.21;-3.05;46.85;ESTAVEL;2022-03-15 13:00:00;fii;93.98;-2.81;93.98;-2.81
1647352800000;RBVA11.SA;91.34;91.78;91.25;91.46;91.46;1978;94.18;-2.89;49.31;ESTAVEL;2022-03-15 14:00:00;fii;93.96;-2.66;93.96;-2.66
1647356400000;RBVA11.SA;91.47;91.87;91.47;91.87;91.87;533;94.16;-2.43;56.69;ESTAVEL;2022-03-15 15:00:00;fii;93.93;-2.2;93.93;-2.2
1647360000000;RBVA11.SA;91.87;91.87;91.75;91.85;91.85;1354;94.14;-2.43;56.26;ESTAVEL;2022-03-15 16:00:00;fii;93.91;-2.2;93.91;-2.2
1647363600000;RBVA11.SA;91.85;91.86;91.7;91.72;91.72;677;94.11;-2.54;53.42;ESTAVEL;2022-03-15 17:00:00;fii;93.89;-2.31;93.89;-2.31
1647367200000;RBVA11.SA;91.7;91.75;91.4;91.55;91.55;986;94.09;-2.7;49.88;ESTAVEL;2022-03-15 18:00:00;fii;93.86;-2.47;93.86;-2.47
1647370800000;RBVA11.SA;91.54;91.83;91.25;91.83;91.83;900;94.06;-2.38;55.16;ESTAVEL;2022-03-15 19:00:00;fii;93.84;-2.14;93.84;-2.14
1647435600000;RBVA11.SA;91.62;92.49;91.62;92.41;92.41;0;94.05;-1.74;63.69;ESTAVEL;2022-03-16 13:00:00;fii;93.83;-1.51;93.83;-1.51
1647439200000;RBVA11.SA;92.41;92.42;92.01;92.14;92.14;1049;94.03;-2.01;58.14;ESTAVEL;2022-03-16 14:00:00;fii;93.81;-1.78;93.81;-1.78
1647442800000;RBVA11.SA;92.14;92.24;92.0;92.0;92.0;637;94.01;-2.14;55.45;ESTAVEL;2022-03-16 15:00:00;fii;93.79;-1.91;93.79;-1.91
