open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1640700000000;RCFF11.SA;100.85;100.85;100.85;100.85;100.85;0;;;;;fii;;;;
1642687200000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;0;;;;;fii;;;;
1643050800000;RCFF11.SA;99.89;99.89;99.89;99.89;99.89;0;;;;;fii;;;;
1644422400000;RCFF11.SA;90.0;90.0;90.0;90.0;90.0;0;;;;;fii;;;;
1644498000000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;0;;;;;fii;;;;
1647367200000;RCFF11.SA;90.52;90.52;90.52;90.52;90.52;0;;;;;fii;;;;
1647529200000;RCFF11.SA;90.88;90.89;90.88;90.89;90.89;0;;;;;fii;;;;
1647536400000;RCFF11.SA;99.99;99.99;99.99;99.99;99.99;1;;;;;fii;;;;
1649095200000;RCFF11.SA;98.89;98.89;98.89;98.89;98.89;1;;;;;fii;;;;
1650290400000;RCFF11.SA;93.01;93.01;93.01;93.01;93.01;6;;;;;fii;;;;
1650459600000;RCFF11.SA;93.01;93.01;93.01;93.01;93.01;0;;;;;fii;;;;
1650895200000;RCFF11.SA;98.89;98.89;98.89;98.89;98.89;1;;;;;fii;;;;
1650898800000;RCFF11.SA;98.89;98.89;98.89;98.89;98.89;2;;;;;fii;;;;
1651075200000;RCFF11.SA;93.01;93.01;93.01;93.01;93.01;0;;;;;fii;;;;
1651248000000;RCFF11.SA;98.79;98.79;98.79;98.79;98.79;0;;;48.53;;fii;;;;
1651496400000;RCFF11.SA;98.76;98.76;98.76;98.76;98.76;0;;;48.51;;fii;;;;
1652288400000;RCFF11.SA;98.76;98.76;98.76;98.76;98.76;0;;;48.51;;fii;;;;
1653494400000;RCFF11.SA;98.48;98.48;98.48;98.48;98.48;8;;;48.27;;fii;;;;
1654707600000;RCFF11.SA;98.0;98.0;98.0;98.0;98.0;0;;;47.83;;fii;;;;
1654783200000;RCFF11.SA;98.0;98.0;98.0;98.0;98.0;0;;;47.83;;fii;;;;
1655211600000;RCFF11.SA;98.26;98.26;98.26;98.26;98.26;0;;;48.13;;fii;;;;
1655308800000;RCFF11.SA;93.02;93.02;93.01;93.01;93.01;8;;;42.84;;fii;;;;
1657299600000;RCFF11.SA;93.3;93.3;93.3;93.3;93.3;152;;;43.21;;fii;;;;
1657551600000;RCFF11.SA;93.31;93.31;93.3;93.3;93.3;40;;;43.21;;fii;;;;
1657555200000;RCFF11.SA;93.3;93.3;93.3;93.3;93.3;200;;;43.21;;fii;;;;
1657558800000;RCFF11.SA;93.3;93.3;93.3;93.3;93.3;25;;;43.21;;fii;;;;
1657566000000;RCFF11.SA;93.3;93.3;93.3;93.3;93.3;234;;;43.21;;fii;;;;
1657652400000;RCFF11.SA;93.3;93.3;93.3;93.3;93.3;0;;;43.21;;fii;;;;
1660827600000;RCFF11.SA;96.0;96.0;96.0;96.0;96.0;0;;;48.1;;fii;;;;
1660834800000;RCFF11.SA;96.0;97.0;96.0;97.0;97.0;21;;;49.83;;fii;;;;
1660845600000;RCFF11.SA;97.0;97.0;96.99;96.99;96.99;32;;;49.81;;fii;;;;
1660935600000;RCFF11.SA;96.0;96.0;96.0;96.0;96.0;2;;;47.98;;fii;;;;
1661958000000;RCFF11.SA;92.01;92.01;92.01;92.01;92.01;2;;;41.39;;fii;;;;
1662037200000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;0;;;50.54;;fii;;;;
1662472800000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;0;;;50.54;;fii;;;;
1662483600000;RCFF11.SA;92.01;92.01;92.01;92.01;92.01;123;;;42.79;;fii;;;;
1663081200000;RCFF11.SA;92.01;92.01;92.01;92.01;92.01;1;;;42.79;;fii;;;;
1664283600000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;0;;;51.43;;fii;;;;
1664391600000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;6;;;51.43;;fii;;;;
1664899200000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;50;;;51.43;;fii;;;;
1664992800000;RCFF11.SA;97.0;97.0;97.0;97.0;97.0;0;;;51.43;;fii;;;;
1665770400000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;0;;;55.09;;fii;;;;
1666098000000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;0;;;55.09;;fii;;;;
1666184400000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;37;;;55.09;;fii;;;;
1666202400000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;1;;;55.06;;fii;;;;
1666360800000;RCFF11.SA;92.01;92.01;92.01;92.01;92.01;169;;;40.69;;fii;;;;
1666364400000;RCFF11.SA;92.51;92.51;92.51;92.51;92.51;1;;;41.86;;fii;;;;
1666620000000;RCFF11.SA;92.51;92.51;92.01;92.01;92.01;0;;;40.99;;fii;;;;
1666706400000;RCFF11.SA;98.0;98.0;98.0;98.0;98.0;101;;;53.48;;fii;;;;
1666789200000;RCFF11.SA;98.98;98.98;98.98;98.98;98.98;0;;;55.15;;fii;;;;
1666792800000;RCFF11.SA;98.98;98.99;98.98;98.99;98.99;120;;;55.17;;fii;;;;
1666875600000;RCFF11.SA;99.0;99.0;98.99;98.99;98.99;324;;;55.17;;fii;;;;
1666879200000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;500;;;52.75;;fii;;;;
1666969200000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;0;;;54.88;;fii;;;;
1666980000000;RCFF11.SA;98.98;98.98;98.98;98.98;98.98;172;;;54.86;;fii;;;;
1667239200000;RCFF11.SA;92.01;92.01;92.01;92.01;92.01;0;;;40.22;;fii;;;;
1667307600000;RCFF11.SA;98.98;98.99;98.98;98.99;98.99;369;;;53.58;;fii;;;;
1667491200000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;0;;;53.58;;fii;;;;
1667570400000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;108;;;51.66;;fii;;;;
1667584800000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;1645;;;51.66;;fii;;;;
1667826000000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;0;;;51.66;;fii;;;;
