open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1655920800000;RECX11.SA;78.0;78.0;77.99;78.0;78.0;52;82.63;-5.61;44.42;ESTAVEL;2022-06-22 18:00:00;fii;81.87;-4.72;81.87;-4.72
1655924400000;RECX11.SA;75.5;77.99;75.5;77.99;77.99;3;82.59;-5.57;44.4;ESTAVEL;2022-06-22 19:00:00;fii;81.82;-4.68;81.82;-4.68
1655989200000;RECX11.SA;77.3;77.3;77.3;77.3;77.3;0;82.53;-6.34;42.61;ESTAVEL;2022-06-23 13:00:00;fii;81.77;-5.47;81.77;-5.47
1655992800000;RECX11.SA;77.3;77.8;72.01;72.01;72.01;584;82.43;-12.64;31.96;ESTAVEL;2022-06-23 14:00:00;fii;81.66;-11.81;81.66;-11.81
1655996400000;RECX11.SA;72.09;72.09;72.07;72.07;72.07;53;82.32;-12.45;32.17;ESTAVEL;2022-06-23 15:00:00;fii;81.55;-11.62;81.55;-11.62
1656000000000;RECX11.SA;77.09;77.09;77.09;77.09;77.09;1;82.27;-6.3;46.76;ESTAVEL;2022-06-23 16:00:00;fii;81.5;-5.41;81.5;-5.41
1656003600000;RECX11.SA;77.1;77.1;73.81;73.81;73.81;4;82.18;-10.19;40.61;ESTAVEL;2022-06-23 17:00:00;fii;81.41;-9.33;81.41;-9.33
1656007200000;RECX11.SA;77.19;77.19;77.09;77.09;77.09;1;82.13;-6.14;47.98;ESTAVEL;2022-06-23 18:00:00;fii;81.36;-5.25;81.36;-5.25
1656010800000;RECX11.SA;77.08;78.92;77.08;78.92;78.92;47;82.1;-3.87;51.59;ESTAVEL;2022-06-23 19:00:00;fii;81.33;-2.97;81.33;-2.97
1656075600000;RECX11.SA;78.9;78.94;78.9;78.94;78.94;0;82.07;-3.81;51.63;ESTAVEL;2022-06-24 13:00:00;fii;81.3;-2.91;81.3;-2.91
1656086400000;RECX11.SA;78.94;78.95;78.94;78.95;78.95;11;82.04;-3.76;51.65;ESTAVEL;2022-06-24 16:00:00;fii;81.28;-2.86;81.28;-2.86
1656090000000;RECX11.SA;77.29;77.29;74.5;75.0;75.0;200;81.96;-8.5;43.52;ESTAVEL;2022-06-24 17:00:00;fii;81.21;-7.64;81.21;-7.64
1656093600000;RECX11.SA;74.24;76.1;74.24;76.1;76.1;16;81.91;-7.09;46.07;ESTAVEL;2022-06-24 18:00:00;fii;81.15;-6.22;81.15;-6.22
1656097200000;RECX11.SA;76.3;76.5;76.3;76.5;76.5;11;81.85;-6.54;47.0;ESTAVEL;2022-06-24 19:00:00;fii;81.1;-5.67;81.1;-5.67
1656334800000;RECX11.SA;77.49;77.49;76.0;76.01;76.01;0;81.79;-7.07;45.95;ESTAVEL;2022-06-27 13:00:00;fii;81.04;-6.21;81.04;-6.21
1656338400000;RECX11.SA;78.29;78.29;76.31;76.31;76.31;48;81.74;-6.64;46.74;ESTAVEL;2022-06-27 14:00:00;fii;80.99;-5.77;80.99;-5.77
1656349200000;RECX11.SA;77.79;77.8;77.79;77.8;77.8;7;81.7;-4.77;50.58;ESTAVEL;2022-06-27 17:00:00;fii;80.95;-3.89;80.95;-3.89
1656352800000;RECX11.SA;77.8;78.99;77.8;78.99;78.99;2;81.67;-3.28;53.47;ESTAVEL;2022-06-27 18:00:00;fii;80.93;-2.4;80.93;-2.4
1656356400000;RECX11.SA;78.7;78.9;78.7;78.9;78.9;10;81.64;-3.36;53.21;ESTAVEL;2022-06-27 19:00:00;fii;80.91;-2.48;80.91;-2.48
1656424800000;RECX11.SA;78.44;78.45;78.44;78.45;78.45;0;81.61;-3.87;51.89;ESTAVEL;2022-06-28 14:00:00;fii;80.88;-3.0;80.88;-3.0
1656428400000;RECX11.SA;77.0;77.0;76.62;76.62;76.62;2;81.56;-6.05;46.79;ESTAVEL;2022-06-28 15:00:00;fii;80.83;-5.21;80.83;-5.21
1656432000000;RECX11.SA;78.2;78.2;78.2;78.2;78.2;1;81.52;-4.08;51.25;ESTAVEL;2022-06-28 16:00:00;fii;80.8;-3.22;80.8;-3.22
1656435600000;RECX11.SA;78.4;78.4;78.4;78.4;78.4;2;81.49;-3.8;51.8;ESTAVEL;2022-06-28 17:00:00;fii;80.77;-2.94;80.77;-2.94
1656439200000;RECX11.SA;77.0;78.4;76.8;78.4;78.4;3;81.46;-3.76;51.8;ESTAVEL;2022-06-28 18:00:00;fii;80.75;-2.91;80.75;-2.91
1656442800000;RECX11.SA;78.4;78.4;76.8;78.2;78.2;5;81.43;-3.96;51.13;ESTAVEL;2022-06-28 19:00:00;fii;80.72;-3.12;80.72;-3.12
1656507600000;RECX11.SA;76.0;76.0;76.0;76.0;76.0;0;81.37;-6.6;44.34;ESTAVEL;2022-06-29 13:00:00;fii;80.67;-5.79;80.67;-5.79
1656511200000;RECX11.SA;77.98;77.98;77.98;77.98;77.98;1;81.34;-4.13;50.68;ESTAVEL;2022-06-29 14:00:00;fii;80.64;-3.3;80.64;-3.3
1656514800000;RECX11.SA;77.95;77.95;77.95;77.95;77.95;5;81.31;-4.13;50.59;ESTAVEL;2022-06-29 15:00:00;fii;80.61;-3.3;80.61;-3.3
1656522000000;RECX11.SA;77.47;77.47;74.0;74.0;74.0;391;81.23;-8.9;40.05;ESTAVEL;2022-06-29 17:00:00;fii;80.53;-8.11;80.53;-8.11
1656525600000;RECX11.SA;76.01;76.01;76.01;76.01;76.01;13;81.18;-6.37;46.2;ESTAVEL;2022-06-29 18:00:00;fii;80.48;-5.56;80.48;-5.56
1656529200000;RECX11.SA;76.01;76.01;76.01;76.01;76.01;27;81.13;-6.31;46.2;ESTAVEL;2022-06-29 19:00:00;fii;80.43;-5.5;80.43;-5.5
