open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;RNGO11.SA;47.88;48.3;47.85;48.0;48.0;222;49.89;-3.78;42.84;ESTAVEL;2022-02-22 14:00:00;fii;49.63;-3.29;49.63;-3.29
1645542000000;RNGO11.SA;48.0;48.24;47.83;48.23;48.23;182;49.87;-3.29;46.14;ESTAVEL;2022-02-22 15:00:00;fii;49.61;-2.79;49.61;-2.79
1645545600000;RNGO11.SA;47.84;48.15;47.84;48.15;48.15;124;49.85;-3.41;45.16;ESTAVEL;2022-02-22 16:00:00;fii;49.6;-2.92;49.6;-2.92
1645549200000;RNGO11.SA;48.0;48.13;47.8;48.13;48.13;127;49.83;-3.42;44.91;ESTAVEL;2022-02-22 17:00:00;fii;49.58;-2.93;49.58;-2.93
1645552800000;RNGO11.SA;47.81;48.09;47.8;47.81;47.81;269;49.81;-4.02;40.91;ESTAVEL;2022-02-22 18:00:00;fii;49.56;-3.53;49.56;-3.53
1645556400000;RNGO11.SA;47.81;47.99;47.8;47.8;47.8;953;49.79;-4.0;40.79;ESTAVEL;2022-02-22 19:00:00;fii;49.54;-3.51;49.54;-3.51
1645621200000;RNGO11.SA;47.85;48.42;47.6;47.75;47.75;0;49.77;-4.06;40.15;ESTAVEL;2022-02-23 13:00:00;fii;49.52;-3.57;49.52;-3.57
1645624800000;RNGO11.SA;47.75;47.77;47.61;47.61;47.61;634;49.75;-4.3;38.32;ESTAVEL;2022-02-23 14:00:00;fii;49.5;-3.81;49.5;-3.81
1645628400000;RNGO11.SA;47.81;48.0;47.81;48.0;48.0;435;49.73;-3.49;45.73;ESTAVEL;2022-02-23 15:00:00;fii;49.48;-2.99;49.48;-2.99
1645632000000;RNGO11.SA;48.0;48.05;47.61;48.05;48.05;465;49.72;-3.35;46.61;ESTAVEL;2022-02-23 16:00:00;fii;49.46;-2.86;49.46;-2.86
1645635600000;RNGO11.SA;47.9;47.9;47.9;47.9;47.9;419;49.7;-3.62;44.28;ESTAVEL;2022-02-23 17:00:00;fii;49.45;-3.13;49.45;-3.13
1645639200000;RNGO11.SA;48.04;48.05;47.9;48.05;48.05;203;49.68;-3.28;47.13;ESTAVEL;2022-02-23 18:00:00;fii;49.43;-2.79;49.43;-2.79
1645642800000;RNGO11.SA;47.92;48.09;47.9;48.09;48.09;124;49.67;-3.17;47.9;ESTAVEL;2022-02-23 19:00:00;fii;49.42;-2.68;49.42;-2.68
1645707600000;RNGO11.SA;48.09;48.37;47.5;47.55;47.55;0;49.64;-4.22;39.57;ESTAVEL;2022-02-24 13:00:00;fii;49.4;-3.74;49.4;-3.74
1645711200000;RNGO11.SA;47.68;48.26;47.68;48.23;48.23;80;49.63;-2.82;51.1;ESTAVEL;2022-02-24 14:00:00;fii;49.38;-2.33;49.38;-2.33
1645714800000;RNGO11.SA;47.85;47.85;47.69;47.7;47.7;89;49.61;-3.85;44.04;ESTAVEL;2022-02-24 15:00:00;fii;49.36;-3.37;49.36;-3.37
1645718400000;RNGO11.SA;47.7;47.79;47.51;47.51;47.51;217;49.59;-4.19;41.82;ESTAVEL;2022-02-24 16:00:00;fii;49.34;-3.71;49.34;-3.71
1645722000000;RNGO11.SA;47.6;47.7;47.5;47.6;47.6;234;49.57;-3.97;43.28;ESTAVEL;2022-02-24 17:00:00;fii;49.32;-3.49;49.32;-3.49
1645725600000;RNGO11.SA;47.6;47.7;47.5;47.53;47.53;223;49.55;-4.07;42.39;ESTAVEL;2022-02-24 18:00:00;fii;49.3;-3.6;49.3;-3.6
1645729200000;RNGO11.SA;47.53;47.79;47.5;47.52;47.52;332;49.53;-4.05;42.25;ESTAVEL;2022-02-24 19:00:00;fii;49.28;-3.58;49.28;-3.58
1645794000000;RNGO11.SA;47.6;47.6;47.6;47.6;47.6;0;49.51;-3.85;43.79;ESTAVEL;2022-02-25 13:00:00;fii;49.26;-3.38;49.26;-3.38
1645797600000;RNGO11.SA;48.17;48.2;47.6;48.2;48.2;420;49.49;-2.62;53.71;ESTAVEL;2022-02-25 14:00:00;fii;49.25;-2.14;49.25;-2.14
1645801200000;RNGO11.SA;47.68;48.19;47.68;47.94;47.94;125;49.48;-3.11;49.62;ESTAVEL;2022-02-25 15:00:00;fii;49.24;-2.63;49.24;-2.63
1645804800000;RNGO11.SA;48.01;48.2;47.92;48.0;48.0;178;49.46;-2.96;50.56;ESTAVEL;2022-02-25 16:00:00;fii;49.22;-2.49;49.22;-2.49
1645808400000;RNGO11.SA;48.01;48.21;47.99;48.01;48.01;1546;49.45;-2.91;50.72;ESTAVEL;2022-02-25 17:00:00;fii;49.21;-2.44;49.21;-2.44
1645812000000;RNGO11.SA;48.19;48.2;47.88;47.88;47.88;194;49.43;-3.14;48.47;ESTAVEL;2022-02-25 18:00:00;fii;49.2;-2.67;49.2;-2.67
1645815600000;RNGO11.SA;47.88;47.99;47.83;47.83;47.83;137;49.42;-3.21;47.59;ESTAVEL;2022-02-25 19:00:00;fii;49.18;-2.74;49.18;-2.74
1646236800000;RNGO11.SA;47.31;47.99;47.1;47.94;47.94;135;49.4;-2.96;49.74;ESTAVEL;2022-03-02 16:00:00;fii;49.17;-2.49;49.17;-2.49
1646240400000;RNGO11.SA;47.92;47.93;47.4;47.4;47.4;370;49.38;-4.01;40.87;ESTAVEL;2022-03-02 17:00:00;fii;49.15;-3.55;49.15;-3.55
1646244000000;RNGO11.SA;47.4;47.4;46.54;46.8;46.8;294;49.36;-5.18;33.68;ESTAVEL;2022-03-02 18:00:00;fii;49.12;-4.72;49.12;-4.72
1646247600000;RNGO11.SA;46.78;47.66;46.78;47.66;47.66;210;49.34;-3.4;47.84;ESTAVEL;2022-03-02 19:00:00;fii;49.1;-2.94;49.1;-2.94
1646312400000;RNGO11.SA;46.86;47.44;46.85;47.37;47.37;0;49.32;-3.95;44.4;ESTAVEL;2022-03-03 13:00:00;fii;49.09;-3.49;49.09;-3.49
1646316000000;RNGO11.SA;47.37;47.37;47.3;47.34;47.34;127;49.3;-3.97;44.05;ESTAVEL;2022-03-03 14:00:00;fii;49.07;-3.52;49.07;-3.52
1646319600000;RNGO11.SA;47.32;47.32;47.04;47.21;47.21;34;49.28;-4.2;42.47;ESTAVEL;2022-03-03 15:00:00;fii;49.05;-3.74;49.05;-3.74
1646323200000;RNGO11.SA;47.21;47.31;47.2;47.31;47.31;94;49.26;-3.96;44.13;ESTAVEL;2022-03-03 16:00:00;fii;49.03;-3.5;49.03;-3.5
1646326800000;RNGO11.SA;47.3;47.3;47.0;47.29;47.29;67;49.24;-3.96;43.86;ESTAVEL;2022-03-03 17:00:00;fii;49.01;-3.5;49.01;-3.5
1646330400000;RNGO11.SA;47.23;47.24;47.13;47.13;47.13;76;49.22;-4.24;41.64;ESTAVEL;2022-03-03 18:00:00;fii;48.99;-3.79;48.99;-3.79
1646334000000;RNGO11.SA;47.13;47.13;46.97;46.97;46.97;97;49.19;-4.52;39.5;ESTAVEL;2022-03-03 19:00:00;fii;48.96;-4.07;48.96;-4.07
1646398800000;RNGO11.SA;47.19;47.19;46.86;46.88;46.88;0;49.17;-4.66;38.3;ESTAVEL;2022-03-04 13:00:00;fii;48.94;-4.21;48.94;-4.21
