open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;ROMI3.SA;12.07;12.1;11.9;12.05;12.05;81500;13.03;-7.49;33.15;ESTAVEL;2022-02-22 14:00:00;stocks;12.89;-6.54;12.89;-6.54
1645542000000;ROMI3.SA;12.02;12.07;11.96;11.98;11.98;33800;13.02;-7.95;31.4;ESTAVEL;2022-02-22 15:00:00;stocks;12.88;-7.01;12.88;-7.01
1645545600000;ROMI3.SA;11.98;11.98;11.78;11.8;11.8;92300;13.0;-9.25;27.38;SUBIR;2022-02-22 16:00:00;stocks;12.87;-8.32;12.87;-8.32
1645549200000;ROMI3.SA;11.81;11.86;11.76;11.76;11.76;44100;12.99;-9.47;26.57;SUBIR;2022-02-22 17:00:00;stocks;12.86;-8.54;12.86;-8.54
1645552800000;ROMI3.SA;11.77;11.83;11.59;11.65;11.65;160000;12.98;-10.22;24.42;SUBIR;2022-02-22 18:00:00;stocks;12.84;-9.29;12.84;-9.29
1645556400000;ROMI3.SA;11.67;11.8;11.61;11.79;11.79;93100;12.96;-9.06;31.96;ESTAVEL;2022-02-22 19:00:00;stocks;12.83;-8.12;12.83;-8.12
1645621200000;ROMI3.SA;11.79;12.0;11.75;11.88;11.88;0;12.95;-8.29;36.35;ESTAVEL;2022-02-23 13:00:00;stocks;12.82;-7.34;12.82;-7.34
1645624800000;ROMI3.SA;11.88;11.9;11.63;11.64;11.64;95200;12.94;-10.05;30.67;ESTAVEL;2022-02-23 14:00:00;stocks;12.81;-9.12;12.81;-9.12
1645628400000;ROMI3.SA;11.64;11.68;11.59;11.64;11.64;61800;12.93;-9.96;30.67;ESTAVEL;2022-02-23 15:00:00;stocks;12.79;-9.02;12.79;-9.02
1645632000000;ROMI3.SA;11.64;11.76;11.61;11.73;11.73;71100;12.92;-9.18;35.08;ESTAVEL;2022-02-23 16:00:00;stocks;12.78;-8.23;12.78;-8.23
1645635600000;ROMI3.SA;11.72;11.76;11.69;11.69;11.69;25300;12.9;-9.4;34.05;ESTAVEL;2022-02-23 17:00:00;stocks;12.77;-8.46;12.77;-8.46
1645639200000;ROMI3.SA;11.69;11.74;11.65;11.7;11.7;35700;12.89;-9.24;34.57;ESTAVEL;2022-02-23 18:00:00;stocks;12.76;-8.29;12.76;-8.29
1645642800000;ROMI3.SA;11.71;11.73;11.63;11.72;11.72;56300;12.88;-9.0;35.66;ESTAVEL;2022-02-23 19:00:00;stocks;12.75;-8.05;12.75;-8.05
1645707600000;ROMI3.SA;11.35;11.35;10.89;11.05;11.05;0;12.86;-14.08;22.23;SUBIR;2022-02-24 13:00:00;stocks;12.73;-13.17;12.73;-13.17
1645711200000;ROMI3.SA;11.07;11.34;11.03;11.26;11.26;125800;12.84;-12.33;31.0;ESTAVEL;2022-02-24 14:00:00;stocks;12.71;-11.41;12.71;-11.41
1645714800000;ROMI3.SA;11.26;11.47;11.24;11.36;11.36;57100;12.83;-11.45;34.78;ESTAVEL;2022-02-24 15:00:00;stocks;12.69;-10.52;12.69;-10.52
1645718400000;ROMI3.SA;11.36;11.5;11.32;11.39;11.39;55900;12.81;-11.12;35.91;ESTAVEL;2022-02-24 16:00:00;stocks;12.68;-10.18;12.68;-10.18
1645722000000;ROMI3.SA;11.39;11.43;11.21;11.26;11.26;43800;12.8;-12.02;33.22;ESTAVEL;2022-02-24 17:00:00;stocks;12.66;-11.09;12.66;-11.09
1645725600000;ROMI3.SA;11.26;11.4;11.22;11.33;11.33;55100;12.78;-11.37;36.0;ESTAVEL;2022-02-24 18:00:00;stocks;12.65;-10.43;12.65;-10.43
1645729200000;ROMI3.SA;11.32;11.67;11.31;11.6;11.6;83600;12.77;-9.18;45.43;ESTAVEL;2022-02-24 19:00:00;stocks;12.64;-8.21;12.64;-8.21
1645794000000;ROMI3.SA;11.56;11.75;11.48;11.52;11.52;0;12.76;-9.71;43.39;ESTAVEL;2022-02-25 13:00:00;stocks;12.63;-8.75;12.63;-8.75
1645797600000;ROMI3.SA;11.54;11.54;11.35;11.4;11.4;52800;12.75;-10.56;40.46;ESTAVEL;2022-02-25 14:00:00;stocks;12.61;-9.61;12.61;-9.61
1645801200000;ROMI3.SA;11.39;11.51;11.36;11.48;11.48;37400;12.73;-9.84;43.22;ESTAVEL;2022-02-25 15:00:00;stocks;12.6;-8.88;12.6;-8.88
1645804800000;ROMI3.SA;11.48;11.5;11.38;11.41;11.41;31600;12.72;-10.29;41.41;ESTAVEL;2022-02-25 16:00:00;stocks;12.59;-9.34;12.59;-9.34
1645808400000;ROMI3.SA;11.42;11.63;11.42;11.53;11.53;79200;12.71;-9.27;45.61;ESTAVEL;2022-02-25 17:00:00;stocks;12.57;-8.3;12.57;-8.3
1645812000000;ROMI3.SA;11.53;11.54;11.41;11.46;11.46;46300;12.69;-9.73;43.64;ESTAVEL;2022-02-25 18:00:00;stocks;12.56;-8.77;12.56;-8.77
1645815600000;ROMI3.SA;11.45;11.47;11.36;11.39;11.39;41100;12.68;-10.19;41.71;ESTAVEL;2022-02-25 19:00:00;stocks;12.55;-9.23;12.55;-9.23
1646236800000;ROMI3.SA;11.49;11.51;11.21;11.21;11.21;139200;12.67;-11.5;37.14;ESTAVEL;2022-03-02 16:00:00;stocks;12.53;-10.56;12.53;-10.56
1646240400000;ROMI3.SA;11.21;11.31;11.2;11.27;11.27;50700;12.65;-10.93;39.52;ESTAVEL;2022-03-02 17:00:00;stocks;12.52;-9.98;12.52;-9.98
1646244000000;ROMI3.SA;11.26;11.47;11.26;11.47;11.47;72400;12.64;-9.26;46.74;ESTAVEL;2022-03-02 18:00:00;stocks;12.51;-8.3;12.51;-8.3
1646312400000;ROMI3.SA;11.48;11.83;11.46;11.62;11.62;0;12.63;-8.0;51.43;ESTAVEL;2022-03-03 13:00:00;stocks;12.5;-7.03;12.5;-7.03
1646316000000;ROMI3.SA;11.62;11.79;11.57;11.6;11.6;58400;12.62;-8.08;50.79;ESTAVEL;2022-03-03 14:00:00;stocks;12.49;-7.11;12.49;-7.11
1646319600000;ROMI3.SA;11.6;11.69;11.5;11.5;11.5;55700;12.61;-8.79;47.59;ESTAVEL;2022-03-03 15:00:00;stocks;12.48;-7.83;12.48;-7.83
1646323200000;ROMI3.SA;11.5;11.62;11.49;11.56;11.56;51500;12.6;-8.24;49.64;ESTAVEL;2022-03-03 16:00:00;stocks;12.47;-7.28;12.47;-7.28
1646326800000;ROMI3.SA;11.57;11.6;11.5;11.5;11.5;30900;12.59;-8.64;47.63;ESTAVEL;2022-03-03 17:00:00;stocks;12.46;-7.68;12.46;-7.68
1646330400000;ROMI3.SA;11.5;11.58;11.45;11.57;11.57;56400;12.58;-8.01;50.16;ESTAVEL;2022-03-03 18:00:00;stocks;12.45;-7.04;12.45;-7.04
1646334000000;ROMI3.SA;11.55;11.65;11.53;11.64;11.64;51800;12.57;-7.38;52.63;ESTAVEL;2022-03-03 19:00:00;stocks;12.44;-6.41;12.44;-6.41
1646398800000;ROMI3.SA;11.53;11.61;11.36;11.37;11.37;0;12.56;-9.44;43.66;ESTAVEL;2022-03-04 13:00:00;stocks;12.43;-8.5;12.43;-8.5
1646402400000;ROMI3.SA;11.38;11.48;11.3;11.34;11.34;54600;12.54;-9.59;42.79;ESTAVEL;2022-03-04 14:00:00;stocks;12.41;-8.65;12.41;-8.65
1646406000000;ROMI3.SA;11.33;11.37;11.2;11.21;11.21;59800;12.53;-10.53;39.14;ESTAVEL;2022-03-04 15:00:00;stocks;12.4;-9.6;12.4;-9.6
1646409600000;ROMI3.SA;11.21;11.22;11.14;11.18;11.18;60100;12.52;-10.67;38.33;ESTAVEL;2022-03-04 16:00:00;stocks;12.39;-9.75;12.39;-9.75
1646413200000;ROMI3.SA;11.18;11.3;11.17;11.21;11.21;71000;12.5;-10.34;39.67;ESTAVEL;2022-03-04 17:00:00;stocks;12.37;-9.41;12.37;-9.41
1646416800000;ROMI3.SA;11.2;11.3;11.2;11.25;11.25;33800;12.49;-9.93;41.51;ESTAVEL;2022-03-04 18:00:00;stocks;12.36;-9.0;12.36;-9.0
1646420400000;ROMI3.SA;11.24;11.26;11.14;11.14;11.14;63200;12.48;-10.71;38.08;ESTAVEL;2022-03-04 19:00:00;stocks;12.35;-9.79;12.35;-9.79
1646658000000;ROMI3.SA;11.16;11.25;10.98;11.23;11.23;0;12.46;-9.9;42.28;ESTAVEL;2022-03-07 13:00:00;stocks;12.34;-8.97;12.34;-8.97
1646661600000;ROMI3.SA;11.23;11.23;10.98;10.98;10.98;77800;12.45;-11.8;35.14;ESTAVEL;2022-03-07 14:00:00;stocks;12.32;-10.89;12.32;-10.89
1646665200000;ROMI3.SA;10.98;11.03;10.79;10.83;10.83;101900;12.43;-12.89;31.69;ESTAVEL;2022-03-07 15:00:00;stocks;12.31;-11.99;12.31;-11.99
1646668800000;ROMI3.SA;10.86;10.88;10.65;10.69;10.69;120400;12.42;-13.9;28.84;SUBIR;2022-03-07 16:00:00;stocks;12.29;-13.01;12.29;-13.01
1646672400000;ROMI3.SA;10.68;10.72;10.64;10.64;10.64;78500;12.4;-14.18;27.87;SUBIR;2022-03-07 17:00:00;stocks;12.27;-13.29;12.27;-13.29
1646676000000;ROMI3.SA;10.64;10.74;10.64;10.7;10.7;39900;12.38;-13.57;30.86;ESTAVEL;2022-03-07 18:00:00;stocks;12.25;-12.68;12.25;-12.68
1646679600000;ROMI3.SA;10.72;10.72;10.62;10.69;10.69;96600;12.36;-13.54;30.63;ESTAVEL;2022-03-07 19:00:00;stocks;12.24;-12.64;12.24;-12.64
1646744400000;ROMI3.SA;10.7;10.88;10.6;10.68;10.68;0;12.35;-13.5;30.39;ESTAVEL;2022-03-08 13:00:00;stocks;12.22;-12.6;12.22;-12.6
1646748000000;ROMI3.SA;10.69;10.81;10.59;10.74;10.74;78200;12.33;-12.9;33.77;ESTAVEL;2022-03-08 14:00:00;stocks;12.2;-11.99;12.2;-11.99
1646751600000;ROMI3.SA;10.71;10.73;10.57;10.66;10.66;46200;12.31;-13.43;31.57;ESTAVEL;2022-03-08 15:00:00;stocks;12.19;-12.53;12.19;-12.53
1646755200000;ROMI3.SA;10.66;10.73;10.61;10.68;10.68;36400;12.3;-13.15;32.75;ESTAVEL;2022-03-08 16:00:00;stocks;12.17;-12.25;12.17;-12.25
1646758800000;ROMI3.SA;10.69;10.96;10.68;10.93;10.93;85500;12.28;-11.02;45.41;ESTAVEL;2022-03-08 17:00:00;stocks;12.16;-10.1;12.16;-10.1
1646762400000;ROMI3.SA;10.93;11.02;10.74;10.74;10.74;77200;12.27;-12.45;39.34;ESTAVEL;2022-03-08 18:00:00;stocks;12.14;-11.55;12.14;-11.55
1646766000000;ROMI3.SA;10.74;10.85;10.71;10.77;10.77;34800;12.25;-12.1;40.69;ESTAVEL;2022-03-08 19:00:00;stocks;12.13;-11.19;12.13;-11.19
1646830800000;ROMI3.SA;10.75;10.94;10.69;10.84;10.84;0;12.24;-11.43;43.82;ESTAVEL;2022-03-09 13:00:00;stocks;12.11;-10.51;12.11;-10.51
1646834400000;ROMI3.SA;10.84;11.03;10.79;10.91;10.91;250200;12.23;-10.76;46.85;ESTAVEL;2022-03-09 14:00:00;stocks;12.1;-9.84;12.1;-9.84
