open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645794000000;RSID3.SA;8.09;8.09;7.8;7.8;7.8;0;8.2;-4.88;48.42;ESTAVEL;2022-02-25 13:00:00;stocks;8.15;-4.25;8.15;-4.25
1645797600000;RSID3.SA;7.85;8.08;7.85;7.94;7.94;11700;8.2;-3.14;53.32;ESTAVEL;2022-02-25 14:00:00;stocks;8.14;-2.5;8.14;-2.5
1645801200000;RSID3.SA;8.01;8.03;7.81;7.85;7.85;5700;8.19;-4.2;50.03;ESTAVEL;2022-02-25 15:00:00;stocks;8.14;-3.56;8.14;-3.56
1645804800000;RSID3.SA;7.92;7.92;7.91;7.92;7.92;1000;8.19;-3.31;52.49;ESTAVEL;2022-02-25 16:00:00;stocks;8.14;-2.67;8.14;-2.67
1645808400000;RSID3.SA;7.91;7.97;7.89;7.94;7.94;2100;8.19;-3.04;53.19;ESTAVEL;2022-02-25 17:00:00;stocks;8.14;-2.4;8.14;-2.4
1645812000000;RSID3.SA;7.91;7.92;7.88;7.91;7.91;1600;8.19;-3.37;51.94;ESTAVEL;2022-02-25 18:00:00;stocks;8.13;-2.74;8.13;-2.74
1645815600000;RSID3.SA;7.92;8.06;7.92;7.93;7.93;10900;8.18;-3.1;52.74;ESTAVEL;2022-02-25 19:00:00;stocks;8.13;-2.47;8.13;-2.47
1646236800000;RSID3.SA;8.19;8.2;7.8;7.8;7.8;10900;8.18;-4.64;47.25;ESTAVEL;2022-03-02 16:00:00;stocks;8.13;-4.02;8.13;-4.02
1646240400000;RSID3.SA;7.8;8.0;7.8;7.95;7.95;5200;8.18;-2.78;53.29;ESTAVEL;2022-03-02 17:00:00;stocks;8.12;-2.15;8.12;-2.15
1646244000000;RSID3.SA;7.93;7.93;7.77;7.88;7.88;10600;8.17;-3.6;50.39;ESTAVEL;2022-03-02 18:00:00;stocks;8.12;-2.98;8.12;-2.98
1646247600000;RSID3.SA;7.88;7.88;7.79;7.85;7.85;6700;8.17;-3.93;49.16;ESTAVEL;2022-03-02 19:00:00;stocks;8.12;-3.31;8.12;-3.31
1646312400000;RSID3.SA;7.86;7.95;7.84;7.91;7.91;0;8.17;-3.16;51.71;ESTAVEL;2022-03-03 13:00:00;stocks;8.12;-2.54;8.12;-2.54
1646316000000;RSID3.SA;7.83;7.88;7.82;7.88;7.88;1300;8.17;-3.49;50.35;ESTAVEL;2022-03-03 14:00:00;stocks;8.11;-2.88;8.11;-2.88
1646323200000;RSID3.SA;7.86;7.86;7.79;7.79;7.79;3700;8.16;-4.55;46.41;ESTAVEL;2022-03-03 16:00:00;stocks;8.11;-3.95;8.11;-3.95
1646326800000;RSID3.SA;7.83;7.84;7.79;7.79;7.79;400;8.16;-4.51;46.41;ESTAVEL;2022-03-03 17:00:00;stocks;8.11;-3.91;8.11;-3.91
1646330400000;RSID3.SA;7.83;7.84;7.71;7.74;7.74;7000;8.15;-5.07;44.18;ESTAVEL;2022-03-03 18:00:00;stocks;8.1;-4.47;8.1;-4.47
1646334000000;RSID3.SA;7.73;7.73;7.71;7.71;7.71;1100;8.15;-5.39;42.85;ESTAVEL;2022-03-03 19:00:00;stocks;8.1;-4.79;8.1;-4.79
1646398800000;RSID3.SA;7.65;7.65;7.63;7.65;7.65;0;8.14;-6.07;40.24;ESTAVEL;2022-03-04 13:00:00;stocks;8.09;-5.47;8.09;-5.47
1646402400000;RSID3.SA;7.69;7.74;7.63;7.63;7.63;3400;8.14;-6.25;39.38;ESTAVEL;2022-03-04 14:00:00;stocks;8.09;-5.66;8.09;-5.66
1646406000000;RSID3.SA;7.6;7.61;7.56;7.56;7.56;1500;8.13;-7.05;36.44;ESTAVEL;2022-03-04 15:00:00;stocks;8.08;-6.46;8.08;-6.46
1646409600000;RSID3.SA;7.56;7.59;7.56;7.59;7.59;300;8.13;-6.61;38.56;ESTAVEL;2022-03-04 16:00:00;stocks;8.08;-6.02;8.08;-6.02
1646413200000;RSID3.SA;7.63;7.63;7.56;7.59;7.59;1700;8.12;-6.55;38.56;ESTAVEL;2022-03-04 17:00:00;stocks;8.07;-5.96;8.07;-5.96
1646416800000;RSID3.SA;7.59;7.65;7.59;7.62;7.62;900;8.12;-6.12;40.84;ESTAVEL;2022-03-04 18:00:00;stocks;8.07;-5.53;8.07;-5.53
1646420400000;RSID3.SA;7.61;7.61;7.61;7.61;7.61;100;8.11;-6.19;40.3;ESTAVEL;2022-03-04 19:00:00;stocks;8.06;-5.59;8.06;-5.59
1646658000000;RSID3.SA;7.58;7.76;7.45;7.6;7.6;20300;8.11;-6.25;39.74;ESTAVEL;2022-03-07 13:00:00;stocks;8.06;-5.66;8.06;-5.66
1646661600000;RSID3.SA;7.67;7.68;7.59;7.6;7.6;2500;8.1;-6.19;39.74;ESTAVEL;2022-03-07 14:00:00;stocks;8.05;-5.6;8.05;-5.6
1646665200000;RSID3.SA;7.68;7.71;7.58;7.58;7.58;1700;8.1;-6.38;38.49;ESTAVEL;2022-03-07 15:00:00;stocks;8.05;-5.78;8.05;-5.78
1646668800000;RSID3.SA;7.62;7.76;7.62;7.62;7.62;1900;8.09;-5.83;42.39;ESTAVEL;2022-03-07 16:00:00;stocks;8.04;-5.23;8.04;-5.23
1646672400000;RSID3.SA;7.63;7.63;7.62;7.62;7.62;200;8.09;-5.77;42.39;ESTAVEL;2022-03-07 17:00:00;stocks;8.04;-5.18;8.04;-5.18
1646676000000;RSID3.SA;7.59;7.62;7.52;7.52;7.52;2700;8.08;-6.94;35.81;ESTAVEL;2022-03-07 18:00:00;stocks;8.03;-6.35;8.03;-6.35
1646679600000;RSID3.SA;7.51;7.52;7.48;7.52;7.52;1100;8.08;-6.88;35.81;ESTAVEL;2022-03-07 19:00:00;stocks;8.02;-6.29;8.02;-6.29
1646744400000;RSID3.SA;7.51;7.78;7.36;7.45;7.45;21000;8.07;-7.67;31.8;ESTAVEL;2022-03-08 13:00:00;stocks;8.02;-7.09;8.02;-7.09
1646748000000;RSID3.SA;7.41;7.47;7.26;7.35;7.35;14400;8.06;-8.83;27.13;SUBIR;2022-03-08 14:00:00;stocks;8.01;-8.25;8.01;-8.25
1646751600000;RSID3.SA;7.33;7.36;7.33;7.36;7.36;700;8.05;-8.63;28.27;SUBIR;2022-03-08 15:00:00;stocks;8.0;-8.04;8.0;-8.04
1646755200000;RSID3.SA;7.37;7.42;7.34;7.42;7.42;37200;8.05;-7.81;34.82;ESTAVEL;2022-03-08 16:00:00;stocks;8.0;-7.22;8.0;-7.22
1646758800000;RSID3.SA;7.43;7.59;7.42;7.47;7.47;14700;8.04;-7.12;39.77;ESTAVEL;2022-03-08 17:00:00;stocks;7.99;-6.53;7.99;-6.53
1646762400000;RSID3.SA;7.52;7.73;7.49;7.73;7.73;38900;8.04;-3.85;57.72;ESTAVEL;2022-03-08 18:00:00;stocks;7.99;-3.24;7.99;-3.24
1646766000000;RSID3.SA;7.59;7.68;7.48;7.48;7.48;11700;8.03;-6.89;44.11;ESTAVEL;2022-03-08 19:00:00;stocks;7.98;-6.3;7.98;-6.3
1646830800000;RSID3.SA;7.61;7.82;7.47;7.72;7.72;0;8.03;-3.87;55.06;ESTAVEL;2022-03-09 13:00:00;stocks;7.98;-3.26;7.98;-3.26
1646834400000;RSID3.SA;7.67;7.73;7.47;7.61;7.61;14600;8.03;-5.19;50.2;ESTAVEL;2022-03-09 14:00:00;stocks;7.98;-4.59;7.98;-4.59
1646838000000;RSID3.SA;7.67;7.67;7.57;7.6;7.6;800;8.02;-5.26;49.77;ESTAVEL;2022-03-09 15:00:00;stocks;7.97;-4.67;7.97;-4.67
1646841600000;RSID3.SA;7.59;7.59;7.5;7.53;7.53;43000;8.02;-6.08;46.76;ESTAVEL;2022-03-09 16:00:00;stocks;7.97;-5.49;7.97;-5.49
1646845200000;RSID3.SA;7.55;7.59;7.55;7.59;7.59;900;8.01;-5.28;49.58;ESTAVEL;2022-03-09 17:00:00;stocks;7.96;-4.69;7.96;-4.69
1646848800000;RSID3.SA;7.57;7.57;7.56;7.56;7.56;300;8.01;-5.6;48.2;ESTAVEL;2022-03-09 18:00:00;stocks;7.96;-5.01;7.96;-5.01
1646852400000;RSID3.SA;7.52;7.56;7.5;7.56;7.56;53900;8.0;-5.54;48.2;ESTAVEL;2022-03-09 19:00:00;stocks;7.95;-4.96;7.95;-4.96
1646917200000;RSID3.SA;7.68;7.9;7.61;7.88;7.88;0;8.0;-1.53;61.44;ESTAVEL;2022-03-10 13:00:00;stocks;7.95;-0.92;7.95;-0.92
1646920800000;RSID3.SA;7.81;8.21;7.78;8.21;8.21;17400;8.0;2.57;69.96;ESTAVEL;2022-03-10 14:00:00;stocks;7.96;3.19;7.96;3.19
1646924400000;RSID3.SA;8.22;8.32;7.81;7.93;7.93;65700;8.0;-0.92;58.21;ESTAVEL;2022-03-10 15:00:00;stocks;7.96;-0.33;7.96;-0.33
1646928000000;RSID3.SA;7.96;8.14;7.85;8.11;8.11;10000;8.0;1.31;62.56;ESTAVEL;2022-03-10 16:00:00;stocks;7.96;1.91;7.96;1.91
1646931600000;RSID3.SA;8.12;8.21;8.03;8.21;8.21;8700;8.01;2.54;64.76;ESTAVEL;2022-03-10 17:00:00;stocks;7.96;3.14;7.96;3.14
1646935200000;RSID3.SA;8.21;8.37;8.05;8.08;8.08;24800;8.01;0.9;59.84;ESTAVEL;2022-03-10 18:00:00;stocks;7.96;1.49;7.96;1.49
1646938800000;RSID3.SA;8.09;8.44;8.09;8.39;8.39;24900;8.01;4.72;66.4;ESTAVEL;2022-03-10 19:00:00;stocks;7.97;5.32;7.97;5.32
1647003600000;RSID3.SA;8.42;8.9;8.12;8.33;8.33;0;8.01;3.93;64.21;ESTAVEL;2022-03-11 13:00:00;stocks;7.97;4.51;7.97;4.51
1647007200000;RSID3.SA;8.26;8.33;8.08;8.12;8.12;38900;8.02;1.3;57.13;ESTAVEL;2022-03-11 14:00:00;stocks;7.97;1.86;7.97;1.86
1647010800000;RSID3.SA;8.08;8.09;8.05;8.09;8.09;8300;8.02;0.92;56.17;ESTAVEL;2022-03-11 15:00:00;stocks;7.97;1.46;7.97;1.46
1647014400000;RSID3.SA;8.11;8.19;8.08;8.1;8.1;6500;8.02;1.03;56.44;ESTAVEL;2022-03-11 16:00:00;stocks;7.97;1.57;7.97;1.57
1647018000000;RSID3.SA;8.12;8.18;8.12;8.18;8.18;800;8.02;2.01;58.56;ESTAVEL;2022-03-11 17:00:00;stocks;7.98;2.55;7.98;2.55
1647021600000;RSID3.SA;8.17;8.17;7.91;7.92;7.92;24100;8.02;-1.22;50.02;ESTAVEL;2022-03-11 18:00:00;stocks;7.98;-0.7;7.98;-0.7
1647025200000;RSID3.SA;7.91;7.91;7.8;7.81;7.81;24200;8.02;-2.57;46.9;ESTAVEL;2022-03-11 19:00:00;stocks;7.97;-2.06;7.97;-2.06
1647262800000;RSID3.SA;7.92;7.92;7.7;7.7;7.7;0;8.01;-3.9;43.95;ESTAVEL;2022-03-14 13:00:00;stocks;7.97;-3.41;7.97;-3.41
1647266400000;RSID3.SA;7.72;7.9;7.72;7.82;7.82;5600;8.01;-2.38;47.81;ESTAVEL;2022-03-14 14:00:00;stocks;7.97;-1.88;7.97;-1.88
1647270000000;RSID3.SA;7.84;7.9;7.74;7.78;7.78;4100;8.01;-2.85;46.66;ESTAVEL;2022-03-14 15:00:00;stocks;7.97;-2.36;7.97;-2.36
1647273600000;RSID3.SA;7.78;7.84;7.78;7.84;7.84;800;8.01;-2.08;48.66;ESTAVEL;2022-03-14 16:00:00;stocks;7.97;-1.59;7.97;-1.59
1647277200000;RSID3.SA;7.83;7.91;7.83;7.86;7.86;3100;8.01;-1.82;49.34;ESTAVEL;2022-03-14 17:00:00;stocks;7.97;-1.32;7.97;-1.32
1647280800000;RSID3.SA;7.86;7.86;7.73;7.85;7.85;2200;8.0;-1.92;48.99;ESTAVEL;2022-03-14 18:00:00;stocks;7.96;-1.43;7.96;-1.43
1647284400000;RSID3.SA;7.85;7.94;7.78;7.94;7.94;7600;8.0;-0.79;52.27;ESTAVEL;2022-03-14 19:00:00;stocks;7.96;-0.3;7.96;-0.3
1647349200000;RSID3.SA;7.74;7.94;7.74;7.76;7.76;0;8.0;-3.01;45.91;ESTAVEL;2022-03-15 13:00:00;stocks;7.96;-2.53;7.96;-2.53
1647352800000;RSID3.SA;7.76;7.93;7.76;7.93;7.93;2200;8.0;-0.87;51.87;ESTAVEL;2022-03-15 14:00:00;stocks;7.96;-0.39;7.96;-0.39
1647356400000;RSID3.SA;7.93;8.15;7.85;8.02;8.02;19400;8.0;0.25;54.71;ESTAVEL;2022-03-15 15:00:00;stocks;7.96;0.73;7.96;0.73
1647360000000;RSID3.SA;8.02;8.06;7.95;7.97;7.97;2200;8.0;-0.37;52.84;ESTAVEL;2022-03-15 16:00:00;stocks;7.96;0.1;7.96;0.1
1647363600000;RSID3.SA;8.03;8.13;7.95;8.13;8.13;25600;8.0;1.61;57.81;ESTAVEL;2022-03-15 17:00:00;stocks;7.96;2.09;7.96;2.09
1647367200000;RSID3.SA;8.06;8.06;7.88;7.88;7.88;12200;8.0;-1.5;49.11;ESTAVEL;2022-03-15 18:00:00;stocks;7.96;-1.04;7.96;-1.04
1647370800000;RSID3.SA;7.88;7.94;7.82;7.84;7.84;11100;8.0;-1.98;47.87;ESTAVEL;2022-03-15 19:00:00;stocks;7.96;-1.53;7.96;-1.53
1647435600000;RSID3.SA;8.05;8.2;7.9;8.01;8.01;0;8.0;0.14;53.27;ESTAVEL;2022-03-16 13:00:00;stocks;7.96;0.6;7.96;0.6
1647439200000;RSID3.SA;7.98;8.09;7.9;7.96;7.96;23000;8.0;-0.48;51.58;ESTAVEL;2022-03-16 14:00:00;stocks;7.96;-0.03;7.96;-0.03
1647442800000;RSID3.SA;7.94;7.94;7.9;7.9;7.9;4700;8.0;-1.21;49.54;ESTAVEL;2022-03-16 15:00:00;stocks;7.96;-0.77;7.96;-0.77
1647446400000;RSID3.SA;7.94;7.98;7.9;7.9;7.9;0;8.0;-1.2;49.54;ESTAVEL;2022-03-16 16:00:00;stocks;7.96;-0.76;7.96;-0.76
1647450000000;RSID3.SA;7.93;7.95;7.9;7.95;7.95;1100;8.0;-0.57;51.4;ESTAVEL;2022-03-16 17:00:00;stocks;7.96;-0.13;7.96;-0.13
1647453600000;RSID3.SA;7.94;8.02;7.94;8.02;8.02;900;8.0;0.3;53.95;ESTAVEL;2022-03-16 18:00:00;stocks;7.96;0.74;7.96;0.74
1647457200000;RSID3.SA;7.99;8.06;7.97;7.99;7.99;3500;8.0;-0.07;52.67;ESTAVEL;2022-03-16 19:00:00;stocks;7.96;0.36;7.96;0.36
1647522000000;RSID3.SA;8.1;8.3;7.94;7.98;7.98;0;8.0;-0.2;52.23;ESTAVEL;2022-03-17 13:00:00;stocks;7.96;0.23;7.96;0.23
1647525600000;RSID3.SA;7.98;8.02;7.97;7.97;7.97;4300;8.0;-0.32;51.76;ESTAVEL;2022-03-17 14:00:00;stocks;7.96;0.1;7.96;0.1
1647529200000;RSID3.SA;7.98;8.02;7.98;8.02;8.02;1200;8.0;0.3;53.99;ESTAVEL;2022-03-17 15:00:00;stocks;7.96;0.72;7.96;0.72
1647532800000;RSID3.SA;8.05;8.1;8.02;8.02;8.02;6000;8.0;0.3;53.99;ESTAVEL;2022-03-17 16:00:00;stocks;7.96;0.72;7.96;0.72
