open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1682006400000;RZAT11.SA;84.05;84.13;84.05;84.13;84.13;281;84.66;-0.62;49.22;ESTAVEL;2023-04-20 16:00:00;fii;84.67;-0.64;84.67;-0.64
1682010000000;RZAT11.SA;84.13;84.47;84.12;84.47;84.47;1060;84.65;-0.22;54.35;ESTAVEL;2023-04-20 17:00:00;fii;84.67;-0.24;84.67;-0.24
1682013600000;RZAT11.SA;84.47;85.98;84.0;85.45;85.45;5137;84.66;0.93;65.26;ESTAVEL;2023-04-20 18:00:00;fii;84.68;0.91;84.68;0.91
1682017200000;RZAT11.SA;85.52;86.99;85.16;85.8;85.8;4147;84.67;1.33;68.18;ESTAVEL;2023-04-20 19:00:00;fii;84.69;1.31;84.69;1.31
1682341200000;RZAT11.SA;85.7;85.99;85.05;85.97;85.97;1121;84.69;1.52;69.52;ESTAVEL;2023-04-24 13:00:00;fii;84.71;1.49;84.71;1.49
1682344800000;RZAT11.SA;85.97;86.1;85.51;86.1;86.1;932;84.7;1.65;70.55;CAIR;2023-04-24 14:00:00;fii;84.72;1.62;84.72;1.62
1682348400000;RZAT11.SA;86.08;86.08;85.51;85.89;85.89;611;84.71;1.39;66.65;ESTAVEL;2023-04-24 15:00:00;fii;84.74;1.36;84.74;1.36
1682352000000;RZAT11.SA;85.55;85.88;85.51;85.52;85.52;698;84.72;0.94;60.34;ESTAVEL;2023-04-24 16:00:00;fii;84.75;0.91;84.75;0.91
1682355600000;RZAT11.SA;85.52;85.53;83.98;84.63;84.63;3903;84.72;-0.11;48.45;ESTAVEL;2023-04-24 17:00:00;fii;84.75;-0.14;84.75;-0.14
1682359200000;RZAT11.SA;85.11;85.18;84.05;84.51;84.51;1587;84.72;-0.25;47.1;ESTAVEL;2023-04-24 18:00:00;fii;84.74;-0.27;84.74;-0.27
