open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;SEER3.SA;11.38;11.53;11.36;11.42;11.42;141700;11.13;2.64;49.14;ESTAVEL;2022-02-22 14:00:00;stocks;11.26;1.42;11.26;1.42
1645542000000;SEER3.SA;11.41;11.5;11.32;11.35;11.35;71600;11.13;1.99;46.57;ESTAVEL;2022-02-22 15:00:00;stocks;11.26;0.79;11.26;0.79
1645545600000;SEER3.SA;11.36;11.37;11.27;11.28;11.28;36100;11.13;1.34;44.08;ESTAVEL;2022-02-22 16:00:00;stocks;11.26;0.16;11.26;0.16
1645549200000;SEER3.SA;11.28;11.45;11.26;11.41;11.41;61800;11.13;2.49;49.48;ESTAVEL;2022-02-22 17:00:00;stocks;11.26;1.3;11.26;1.3
1645552800000;SEER3.SA;11.41;11.43;11.3;11.31;11.31;29300;11.14;1.57;45.81;ESTAVEL;2022-02-22 18:00:00;stocks;11.26;0.41;11.26;0.41
1645556400000;SEER3.SA;11.3;11.49;11.29;11.49;11.49;39400;11.14;3.15;52.62;ESTAVEL;2022-02-22 19:00:00;stocks;11.27;1.99;11.27;1.99
1645621200000;SEER3.SA;11.36;11.6;11.35;11.47;11.47;0;11.14;2.94;51.84;ESTAVEL;2022-02-23 13:00:00;stocks;11.27;1.79;11.27;1.79
1645624800000;SEER3.SA;11.49;11.53;11.32;11.44;11.44;98300;11.15;2.65;50.63;ESTAVEL;2022-02-23 14:00:00;stocks;11.27;1.5;11.27;1.5
1645628400000;SEER3.SA;11.45;11.5;11.41;11.47;11.47;31400;11.15;2.89;51.84;ESTAVEL;2022-02-23 15:00:00;stocks;11.27;1.75;11.27;1.75
1645632000000;SEER3.SA;11.45;11.51;11.39;11.46;11.46;25800;11.15;2.77;51.39;ESTAVEL;2022-02-23 16:00:00;stocks;11.27;1.64;11.27;1.64
1645635600000;SEER3.SA;11.46;11.62;11.45;11.55;11.55;39400;11.16;3.54;55.18;ESTAVEL;2022-02-23 17:00:00;stocks;11.28;2.41;11.28;2.41
1645639200000;SEER3.SA;11.55;11.55;11.52;11.52;11.52;15100;11.16;3.23;53.68;ESTAVEL;2022-02-23 18:00:00;stocks;11.28;2.12;11.28;2.12
1645642800000;SEER3.SA;11.53;11.53;11.39;11.49;11.49;28800;11.16;2.93;52.15;ESTAVEL;2022-02-23 19:00:00;stocks;11.28;1.83;11.28;1.83
1645707600000;SEER3.SA;11.01;11.12;10.83;11.04;11.04;0;11.16;-1.09;35.71;ESTAVEL;2022-02-24 13:00:00;stocks;11.28;-2.13;11.28;-2.13
1645711200000;SEER3.SA;11.05;11.17;10.92;11.1;11.1;173200;11.16;-0.54;38.49;ESTAVEL;2022-02-24 14:00:00;stocks;11.28;-1.58;11.28;-1.58
1645714800000;SEER3.SA;11.08;11.29;11.03;11.29;11.29;92500;11.16;1.15;46.41;ESTAVEL;2022-02-24 15:00:00;stocks;11.28;0.1;11.28;0.1
1645718400000;SEER3.SA;11.28;11.33;11.22;11.31;11.31;26000;11.16;1.31;47.18;ESTAVEL;2022-02-24 16:00:00;stocks;11.28;0.28;11.28;0.28
1645722000000;SEER3.SA;11.3;11.36;11.13;11.15;11.15;92700;11.16;-0.12;41.98;ESTAVEL;2022-02-24 17:00:00;stocks;11.28;-1.13;11.28;-1.13
1645725600000;SEER3.SA;11.15;11.26;11.09;11.2;11.2;49700;11.16;0.32;44.05;ESTAVEL;2022-02-24 18:00:00;stocks;11.28;-0.68;11.28;-0.68
1645729200000;SEER3.SA;11.2;11.49;11.2;11.47;11.47;34800;11.17;2.71;53.69;ESTAVEL;2022-02-24 19:00:00;stocks;11.28;1.7;11.28;1.7
1645794000000;SEER3.SA;11.44;11.65;11.19;11.24;11.24;0;11.17;0.65;46.36;ESTAVEL;2022-02-25 13:00:00;stocks;11.28;-0.34;11.28;-0.34
1645797600000;SEER3.SA;11.24;11.29;11.12;11.16;11.16;66800;11.17;-0.07;44.11;ESTAVEL;2022-02-25 14:00:00;stocks;11.28;-1.04;11.28;-1.04
1645801200000;SEER3.SA;11.18;11.19;11.03;11.04;11.04;78700;11.17;-1.13;40.9;ESTAVEL;2022-02-25 15:00:00;stocks;11.27;-2.08;11.27;-2.08
1645804800000;SEER3.SA;11.04;11.09;11.0;11.08;11.08;84900;11.17;-0.76;42.4;ESTAVEL;2022-02-25 16:00:00;stocks;11.27;-1.7;11.27;-1.7
1645808400000;SEER3.SA;11.08;11.12;10.99;11.01;11.01;82400;11.16;-1.38;40.46;ESTAVEL;2022-02-25 17:00:00;stocks;11.27;-2.3;11.27;-2.3
1645812000000;SEER3.SA;11.01;11.07;10.97;11.02;11.02;55900;11.16;-1.28;40.88;ESTAVEL;2022-02-25 18:00:00;stocks;11.27;-2.19;11.27;-2.19
1645815600000;SEER3.SA;11.02;11.07;11.01;11.05;11.05;49900;11.16;-1.0;42.18;ESTAVEL;2022-02-25 19:00:00;stocks;11.26;-1.9;11.26;-1.9
1646236800000;SEER3.SA;11.0;11.04;10.83;10.84;10.84;50900;11.16;-2.85;36.16;ESTAVEL;2022-03-02 16:00:00;stocks;11.26;-3.72;11.26;-3.72
1646240400000;SEER3.SA;10.86;10.94;10.86;10.91;10.91;35100;11.16;-2.2;39.27;ESTAVEL;2022-03-02 17:00:00;stocks;11.26;-3.07;11.26;-3.07
