open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1648148400000;SLED3.SA;13.65;13.65;13.55;13.55;13.55;300;13.8;-1.79;49.01;ESTAVEL;2022-03-24 19:00:00;stocks;13.71;-1.16;13.71;-1.16
1648213200000;SLED3.SA;14.18;14.7;14.08;14.65;14.65;3100;13.81;6.12;63.05;ESTAVEL;2022-03-25 13:00:00;stocks;13.72;6.78;13.72;6.78
1648216800000;SLED3.SA;14.28;14.28;14.0;14.0;14.0;1100;13.81;1.4;53.65;ESTAVEL;2022-03-25 14:00:00;stocks;13.72;2.02;13.72;2.02
1648220400000;SLED3.SA;14.25;14.95;14.25;14.38;14.38;2600;13.81;4.1;57.63;ESTAVEL;2022-03-25 15:00:00;stocks;13.73;4.73;13.73;4.73
1648224000000;SLED3.SA;14.57;14.57;14.31;14.31;14.31;900;13.82;3.56;56.66;ESTAVEL;2022-03-25 16:00:00;stocks;13.74;4.17;13.74;4.17
1648231200000;SLED3.SA;14.48;14.48;14.09;14.09;14.09;1000;13.82;1.95;53.62;ESTAVEL;2022-03-25 18:00:00;stocks;13.74;2.54;13.74;2.54
1648234800000;SLED3.SA;14.01;14.01;13.8;13.8;13.8;700;13.82;-0.15;49.83;ESTAVEL;2022-03-25 19:00:00;stocks;13.74;0.42;13.74;0.42
1648472400000;SLED3.SA;13.78;13.78;13.7;13.7;13.7;0;13.82;-0.86;48.55;ESTAVEL;2022-03-28 13:00:00;stocks;13.74;-0.3;13.74;-0.3
1648476000000;SLED3.SA;13.69;13.69;13.69;13.69;13.69;200;13.82;-0.93;48.42;ESTAVEL;2022-03-28 14:00:00;stocks;13.74;-0.37;13.74;-0.37
1648479600000;SLED3.SA;13.22;13.22;13.22;13.22;13.22;100;13.81;-4.29;42.51;ESTAVEL;2022-03-28 15:00:00;stocks;13.73;-3.75;13.73;-3.75
1648483200000;SLED3.SA;13.46;13.46;13.18;13.18;13.18;2500;13.81;-4.53;42.03;ESTAVEL;2022-03-28 16:00:00;stocks;13.73;-4.0;13.73;-4.0
1648486800000;SLED3.SA;13.18;13.23;13.07;13.23;13.23;900;13.8;-4.13;42.89;ESTAVEL;2022-03-28 17:00:00;stocks;13.72;-3.59;13.72;-3.59
1648494000000;SLED3.SA;13.48;13.48;13.48;13.48;13.48;300;13.8;-2.3;47.07;ESTAVEL;2022-03-28 19:00:00;stocks;13.72;-1.75;13.72;-1.75
1648558800000;SLED3.SA;13.51;13.82;13.51;13.77;13.77;0;13.8;-0.19;51.51;ESTAVEL;2022-03-29 13:00:00;stocks;13.72;0.36;13.72;0.36
1648562400000;SLED3.SA;13.77;13.79;13.77;13.79;13.79;400;13.8;-0.05;51.81;ESTAVEL;2022-03-29 14:00:00;stocks;13.72;0.5;13.72;0.5
1648569600000;SLED3.SA;13.76;13.76;13.76;13.76;13.76;2400;13.8;-0.26;51.3;ESTAVEL;2022-03-29 16:00:00;stocks;13.72;0.28;13.72;0.28
1648580400000;SLED3.SA;13.76;13.76;13.76;13.76;13.76;800;13.8;-0.26;51.3;ESTAVEL;2022-03-29 19:00:00;stocks;13.72;0.27;13.72;0.27
1648645200000;SLED3.SA;14.85;14.85;14.85;14.85;14.85;0;13.81;7.56;65.64;ESTAVEL;2022-03-30 13:00:00;stocks;13.73;8.12;13.73;8.12
1648648800000;SLED3.SA;14.66;14.66;14.61;14.61;14.61;300;13.81;5.76;61.35;ESTAVEL;2022-03-30 14:00:00;stocks;13.74;6.29;13.74;6.29
1648656000000;SLED3.SA;14.4;14.4;14.0;14.0;14.0;700;13.82;1.33;52.06;ESTAVEL;2022-03-30 16:00:00;stocks;13.75;1.84;13.75;1.84
1648666800000;SLED3.SA;14.0;14.0;14.0;14.0;14.0;100;13.82;1.32;52.06;ESTAVEL;2022-03-30 19:00:00;stocks;13.75;1.81;13.75;1.81
1648735200000;SLED3.SA;14.54;14.54;14.54;14.54;14.54;0;13.83;5.17;58.51;ESTAVEL;2022-03-31 14:00:00;stocks;13.76;5.67;13.76;5.67
1648746000000;SLED3.SA;14.01;14.01;13.96;13.96;13.96;400;13.83;0.96;50.63;ESTAVEL;2022-03-31 17:00:00;stocks;13.76;1.44;13.76;1.44
1648749600000;SLED3.SA;14.43;14.43;14.43;14.43;14.43;100;13.83;4.32;55.82;ESTAVEL;2022-03-31 18:00:00;stocks;13.77;4.8;13.77;4.8
1648818000000;SLED3.SA;13.62;14.26;13.62;14.26;14.26;100;13.84;3.06;53.62;ESTAVEL;2022-04-01 13:00:00;stocks;13.77;3.52;13.77;3.52
1648821600000;SLED3.SA;14.26;14.26;14.26;14.26;14.26;100;13.84;3.02;53.62;ESTAVEL;2022-04-01 14:00:00;stocks;13.78;3.48;13.78;3.48
1648825200000;SLED3.SA;14.0;14.0;14.0;14.0;14.0;200;13.84;1.13;50.12;ESTAVEL;2022-04-01 15:00:00;stocks;13.78;1.58;13.78;1.58
1648828800000;SLED3.SA;14.2;14.2;14.2;14.2;14.2;100;13.85;2.55;52.68;ESTAVEL;2022-04-01 16:00:00;stocks;13.79;3.0;13.79;3.0
1648832400000;SLED3.SA;14.02;14.02;14.02;14.02;14.02;100;13.85;1.24;50.19;ESTAVEL;2022-04-01 17:00:00;stocks;13.79;1.67;13.79;1.67
1648839600000;SLED3.SA;14.19;14.19;14.1;14.1;14.1;500;13.85;1.8;51.29;ESTAVEL;2022-04-01 19:00:00;stocks;13.79;2.23;13.79;2.23
1649080800000;SLED3.SA;14.58;15.76;14.52;15.0;15.0;3000;13.86;8.21;61.6;ESTAVEL;2022-04-04 14:00:00;stocks;13.81;8.65;13.81;8.65
1649084400000;SLED3.SA;14.98;15.0;14.98;15.0;15.0;1000;13.87;8.12;61.6;ESTAVEL;2022-04-04 15:00:00;stocks;13.82;8.54;13.82;8.54
1649088000000;SLED3.SA;15.05;15.43;14.75;14.75;14.75;2700;13.88;6.25;57.67;ESTAVEL;2022-04-04 16:00:00;stocks;13.83;6.65;13.83;6.65
1649095200000;SLED3.SA;14.99;15.29;14.92;14.92;14.92;1100;13.89;7.39;59.56;ESTAVEL;2022-04-04 18:00:00;stocks;13.84;7.79;13.84;7.79
1649098800000;SLED3.SA;14.92;14.92;14.76;14.76;14.76;500;13.9;6.17;56.98;ESTAVEL;2022-04-04 19:00:00;stocks;13.85;6.56;13.85;6.56
1649163600000;SLED3.SA;14.54;14.54;14.54;14.54;14.54;0;13.91;4.54;53.55;ESTAVEL;2022-04-05 13:00:00;stocks;13.86;4.91;13.86;4.91
1649170800000;SLED3.SA;14.13;14.13;14.13;14.13;14.13;100;13.91;1.58;47.77;ESTAVEL;2022-04-05 15:00:00;stocks;13.86;1.93;13.86;1.93
1649174400000;SLED3.SA;14.5;14.5;14.1;14.3;14.3;600;13.91;2.77;50.17;ESTAVEL;2022-04-05 16:00:00;stocks;13.87;3.12;13.87;3.12
1649178000000;SLED3.SA;14.15;14.15;14.08;14.08;14.08;700;13.92;1.18;47.15;ESTAVEL;2022-04-05 17:00:00;stocks;13.87;1.52;13.87;1.52
