open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;TGMA3.SA;15.24;15.36;15.14;15.14;15.14;38100;14.63;3.47;53.7;ESTAVEL;2022-02-22 14:00:00;stocks;14.64;3.39;14.64;3.39
1645542000000;TGMA3.SA;15.12;15.12;15.02;15.02;15.02;10000;14.64;2.62;48.73;ESTAVEL;2022-02-22 15:00:00;stocks;14.65;2.54;14.65;2.54
1645545600000;TGMA3.SA;15.01;15.03;14.82;14.88;14.88;43600;14.64;1.65;43.66;ESTAVEL;2022-02-22 16:00:00;stocks;14.65;1.56;14.65;1.56
1645549200000;TGMA3.SA;14.87;14.89;14.8;14.8;14.8;31400;14.64;1.09;41.03;ESTAVEL;2022-02-22 17:00:00;stocks;14.65;1.01;14.65;1.01
1645552800000;TGMA3.SA;14.82;14.97;14.7;14.75;14.75;36900;14.64;0.74;39.43;ESTAVEL;2022-02-22 18:00:00;stocks;14.65;0.66;14.65;0.66
1645556400000;TGMA3.SA;14.72;15.0;14.7;14.95;14.95;35600;14.64;2.08;48.13;ESTAVEL;2022-02-22 19:00:00;stocks;14.66;2.0;14.66;2.0
1645621200000;TGMA3.SA;14.91;15.08;14.89;14.94;14.94;0;14.65;2.0;47.76;ESTAVEL;2022-02-23 13:00:00;stocks;14.66;1.91;14.66;1.91
1645624800000;TGMA3.SA;14.93;15.08;14.75;14.97;14.97;56300;14.65;2.18;49.03;ESTAVEL;2022-02-23 14:00:00;stocks;14.66;2.09;14.66;2.09
1645628400000;TGMA3.SA;15.0;15.02;14.86;14.99;14.99;13400;14.65;2.29;49.9;ESTAVEL;2022-02-23 15:00:00;stocks;14.67;2.2;14.67;2.2
1645632000000;TGMA3.SA;15.02;15.07;14.97;15.03;15.03;5800;14.66;2.54;51.68;ESTAVEL;2022-02-23 16:00:00;stocks;14.67;2.44;14.67;2.44
1645635600000;TGMA3.SA;15.0;15.19;15.0;15.14;15.14;15500;14.66;3.25;56.27;ESTAVEL;2022-02-23 17:00:00;stocks;14.68;3.16;14.68;3.16
1645639200000;TGMA3.SA;15.13;15.15;15.06;15.08;15.08;11600;14.67;2.81;53.29;ESTAVEL;2022-02-23 18:00:00;stocks;14.68;2.71;14.68;2.71
1645642800000;TGMA3.SA;15.07;15.1;14.94;14.98;14.98;8300;14.67;2.11;48.67;ESTAVEL;2022-02-23 19:00:00;stocks;14.68;2.01;14.68;2.01
1645707600000;TGMA3.SA;14.5;14.5;14.1;14.35;14.35;0;14.67;-2.16;30.65;ESTAVEL;2022-02-24 13:00:00;stocks;14.68;-2.25;14.68;-2.25
1645711200000;TGMA3.SA;14.38;14.65;14.3;14.57;14.57;125700;14.67;-0.66;39.12;ESTAVEL;2022-02-24 14:00:00;stocks;14.68;-0.75;14.68;-0.75
1645714800000;TGMA3.SA;14.57;14.77;14.57;14.7;14.7;31400;14.67;0.23;43.52;ESTAVEL;2022-02-24 15:00:00;stocks;14.68;0.14;14.68;0.14
1645718400000;TGMA3.SA;14.72;14.76;14.63;14.75;14.75;17700;14.67;0.56;45.16;ESTAVEL;2022-02-24 16:00:00;stocks;14.68;0.47;14.68;0.47
1645722000000;TGMA3.SA;14.75;14.76;14.56;14.6;14.6;31500;14.67;-0.46;41.29;ESTAVEL;2022-02-24 17:00:00;stocks;14.68;-0.54;14.68;-0.54
1645725600000;TGMA3.SA;14.6;14.76;14.56;14.72;14.72;24300;14.67;0.36;45.33;ESTAVEL;2022-02-24 18:00:00;stocks;14.68;0.27;14.68;0.27
1645729200000;TGMA3.SA;14.72;15.07;14.7;15.07;15.07;27200;14.67;2.72;55.04;ESTAVEL;2022-02-24 19:00:00;stocks;14.68;2.62;14.68;2.62
1645794000000;TGMA3.SA;15.13;15.2;14.9;14.98;14.98;0;14.67;2.08;52.46;ESTAVEL;2022-02-25 13:00:00;stocks;14.69;1.99;14.69;1.99
1645797600000;TGMA3.SA;14.96;14.96;14.78;14.79;14.79;16700;14.68;0.78;47.4;ESTAVEL;2022-02-25 14:00:00;stocks;14.69;0.69;14.69;0.69
1645801200000;TGMA3.SA;14.76;14.82;14.6;14.76;14.76;26800;14.68;0.57;46.64;ESTAVEL;2022-02-25 15:00:00;stocks;14.69;0.48;14.69;0.48
1645804800000;TGMA3.SA;14.74;14.82;14.73;14.81;14.81;9900;14.68;0.9;48.14;ESTAVEL;2022-02-25 16:00:00;stocks;14.69;0.81;14.69;0.81
1645808400000;TGMA3.SA;14.82;14.96;14.81;14.87;14.87;72100;14.68;1.3;49.96;ESTAVEL;2022-02-25 17:00:00;stocks;14.69;1.2;14.69;1.2
1645812000000;TGMA3.SA;14.89;15.27;14.8;14.99;14.99;61900;14.68;2.09;53.47;ESTAVEL;2022-02-25 18:00:00;stocks;14.7;2.0;14.7;2.0
1645815600000;TGMA3.SA;14.99;15.18;14.97;15.16;15.16;19600;14.69;3.22;57.98;ESTAVEL;2022-02-25 19:00:00;stocks;14.7;3.12;14.7;3.12
1646236800000;TGMA3.SA;15.3;15.47;14.89;14.89;14.89;21800;14.69;1.36;49.74;ESTAVEL;2022-03-02 16:00:00;stocks;14.7;1.27;14.7;1.27
1646240400000;TGMA3.SA;14.91;14.95;14.79;14.81;14.81;23000;14.69;0.81;47.59;ESTAVEL;2022-03-02 17:00:00;stocks;14.7;0.71;14.7;0.71
1646244000000;TGMA3.SA;14.84;14.97;14.82;14.95;14.95;7000;14.69;1.74;51.55;ESTAVEL;2022-03-02 18:00:00;stocks;14.71;1.65;14.71;1.65
1646312400000;TGMA3.SA;14.94;15.66;14.85;15.47;15.47;0;14.7;5.23;62.79;ESTAVEL;2022-03-03 13:00:00;stocks;14.72;5.12;14.72;5.12
1646316000000;TGMA3.SA;15.45;15.47;15.27;15.29;15.29;8100;14.71;3.96;57.79;ESTAVEL;2022-03-03 14:00:00;stocks;14.72;3.86;14.72;3.86
1646319600000;TGMA3.SA;15.32;15.42;15.25;15.32;15.32;7100;14.71;4.12;58.38;ESTAVEL;2022-03-03 15:00:00;stocks;14.73;4.01;14.73;4.01
1646323200000;TGMA3.SA;15.32;15.34;15.2;15.24;15.24;12200;14.72;3.54;56.11;ESTAVEL;2022-03-03 16:00:00;stocks;14.73;3.43;14.73;3.43
1646326800000;TGMA3.SA;15.23;15.47;15.12;15.21;15.21;53400;14.72;3.3;55.25;ESTAVEL;2022-03-03 17:00:00;stocks;14.74;3.19;14.74;3.19
1646330400000;TGMA3.SA;15.2;15.26;15.16;15.26;15.26;8700;14.73;3.6;56.45;ESTAVEL;2022-03-03 18:00:00;stocks;14.75;3.49;14.75;3.49
1646334000000;TGMA3.SA;15.26;15.31;15.14;15.21;15.21;20300;14.73;3.23;54.86;ESTAVEL;2022-03-03 19:00:00;stocks;14.75;3.11;14.75;3.11
1646398800000;TGMA3.SA;14.97;14.99;14.55;14.73;14.73;0;14.73;-0.03;42.46;ESTAVEL;2022-03-04 13:00:00;stocks;14.75;-0.14;14.75;-0.14
1646402400000;TGMA3.SA;14.73;15.22;14.67;15.13;15.13;66200;14.74;2.66;52.16;ESTAVEL;2022-03-04 14:00:00;stocks;14.75;2.54;14.75;2.54
1646406000000;TGMA3.SA;15.13;15.15;14.79;14.92;14.92;23600;14.74;1.22;47.62;ESTAVEL;2022-03-04 15:00:00;stocks;14.76;1.11;14.76;1.11
1646409600000;TGMA3.SA;14.91;14.92;14.8;14.88;14.88;20500;14.74;0.94;46.79;ESTAVEL;2022-03-04 16:00:00;stocks;14.76;0.83;14.76;0.83
1646413200000;TGMA3.SA;14.9;15.26;14.88;15.23;15.23;65200;14.75;3.28;54.34;ESTAVEL;2022-03-04 17:00:00;stocks;14.76;3.16;14.76;3.16
1646416800000;TGMA3.SA;15.21;15.36;15.17;15.3;15.3;72100;14.75;3.72;55.69;ESTAVEL;2022-03-04 18:00:00;stocks;14.77;3.6;14.77;3.6
1646420400000;TGMA3.SA;15.3;15.34;15.2;15.21;15.21;38500;14.76;3.07;53.49;ESTAVEL;2022-03-04 19:00:00;stocks;14.77;2.95;14.77;2.95
1646658000000;TGMA3.SA;15.04;15.21;14.74;15.19;15.19;0;14.76;2.91;52.99;ESTAVEL;2022-03-07 13:00:00;stocks;14.78;2.79;14.78;2.79
1646661600000;TGMA3.SA;15.2;15.33;14.9;14.9;14.9;72400;14.76;0.93;46.24;ESTAVEL;2022-03-07 14:00:00;stocks;14.78;0.82;14.78;0.82
