open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1651860000000;TRPL3.SA;32.48;32.48;32.48;32.48;32.48;200;33.49;-3.03;42.53;ESTAVEL;2022-05-06 18:00:00;stocks;33.85;-4.05;33.85;-4.05
1651863600000;TRPL3.SA;32.5;32.5;32.5;32.5;32.5;200;33.48;-2.94;42.82;ESTAVEL;2022-05-06 19:00:00;stocks;33.84;-3.95;33.84;-3.95
1652104800000;TRPL3.SA;31.35;31.35;31.2;31.2;31.2;600;33.46;-6.75;31.68;ESTAVEL;2022-05-09 14:00:00;stocks;33.81;-7.71;33.81;-7.71
1652108400000;TRPL3.SA;31.2;31.2;31.2;31.2;31.2;200;33.44;-6.69;31.68;ESTAVEL;2022-05-09 15:00:00;stocks;33.78;-7.63;33.78;-7.63
1652112000000;TRPL3.SA;31.2;31.49;30.99;31.49;31.49;300;33.42;-5.77;35.99;ESTAVEL;2022-05-09 16:00:00;stocks;33.75;-6.7;33.75;-6.7
1652119200000;TRPL3.SA;31.15;31.15;31.15;31.15;31.15;500;33.39;-6.72;33.34;ESTAVEL;2022-05-09 18:00:00;stocks;33.72;-7.62;33.72;-7.62
1652122800000;TRPL3.SA;31.5;31.5;31.5;31.5;31.5;200;33.38;-5.62;38.37;ESTAVEL;2022-05-09 19:00:00;stocks;33.69;-6.51;33.69;-6.51
1652187600000;TRPL3.SA;31.99;31.99;31.99;31.99;31.99;0;33.36;-4.11;44.67;ESTAVEL;2022-05-10 13:00:00;stocks;33.68;-5.0;33.68;-5.0
1652198400000;TRPL3.SA;31.1;31.1;31.1;31.1;31.1;100;33.34;-6.71;37.23;ESTAVEL;2022-05-10 16:00:00;stocks;33.65;-7.57;33.65;-7.57
1652202000000;TRPL3.SA;31.8;31.8;30.91;30.91;30.91;500;33.31;-7.22;35.85;ESTAVEL;2022-05-10 17:00:00;stocks;33.61;-8.05;33.61;-8.05
1652274000000;TRPL3.SA;30.52;30.73;30.5;30.73;30.73;0;33.29;-7.68;34.55;ESTAVEL;2022-05-11 13:00:00;stocks;33.58;-8.49;33.58;-8.49
1652277600000;TRPL3.SA;30.79;30.79;30.42;30.42;30.42;300;33.26;-8.54;32.37;ESTAVEL;2022-05-11 14:00:00;stocks;33.55;-9.32;33.55;-9.32
1652281200000;TRPL3.SA;30.56;30.88;30.56;30.88;30.88;300;33.23;-7.08;38.56;ESTAVEL;2022-05-11 15:00:00;stocks;33.52;-7.87;33.52;-7.87
1652288400000;TRPL3.SA;30.98;30.99;30.98;30.99;30.99;200;33.21;-6.69;39.98;ESTAVEL;2022-05-11 17:00:00;stocks;33.49;-7.46;33.49;-7.46
1652450400000;TRPL3.SA;31.01;31.01;31.01;31.01;31.01;100;33.19;-6.57;40.25;ESTAVEL;2022-05-13 14:00:00;stocks;33.46;-7.32;33.46;-7.32
1652454000000;TRPL3.SA;31.16;31.89;31.16;31.89;31.89;100;33.18;-3.88;50.73;ESTAVEL;2022-05-13 15:00:00;stocks;33.44;-4.64;33.44;-4.64
1652706000000;TRPL3.SA;31.89;31.89;31.89;31.89;31.89;0;33.16;-3.84;50.73;ESTAVEL;2022-05-16 13:00:00;stocks;33.42;-4.59;33.42;-4.59
1652709600000;TRPL3.SA;31.89;33.9;31.48;31.48;31.48;2800;33.15;-5.03;46.34;ESTAVEL;2022-05-16 14:00:00;stocks;33.4;-5.76;33.4;-5.76
1652716800000;TRPL3.SA;31.74;31.75;31.74;31.75;31.75;200;33.13;-4.17;49.44;ESTAVEL;2022-05-16 16:00:00;stocks;33.38;-4.9;33.38;-4.9
1652720400000;TRPL3.SA;31.88;31.88;31.06;31.06;31.06;200;33.11;-6.2;42.65;ESTAVEL;2022-05-16 17:00:00;stocks;33.36;-6.89;33.36;-6.89
1652792400000;TRPL3.SA;31.06;31.06;31.06;31.06;31.06;0;33.09;-6.14;42.65;ESTAVEL;2022-05-17 13:00:00;stocks;33.33;-6.82;33.33;-6.82
1652796000000;TRPL3.SA;31.9;31.93;31.9;31.93;31.93;500;33.08;-3.47;52.24;ESTAVEL;2022-05-17 14:00:00;stocks;33.32;-4.16;33.32;-4.16
1652799600000;TRPL3.SA;31.02;31.02;31.0;31.0;31.0;400;33.06;-6.23;43.81;ESTAVEL;2022-05-17 15:00:00;stocks;33.29;-6.88;33.29;-6.88
1652806800000;TRPL3.SA;30.5;30.5;30.5;30.5;30.5;200;33.03;-7.67;40.06;ESTAVEL;2022-05-17 17:00:00;stocks;33.26;-8.3;33.26;-8.3
1652810400000;TRPL3.SA;30.5;30.5;30.5;30.5;30.5;100;33.01;-7.59;40.06;ESTAVEL;2022-05-17 18:00:00;stocks;33.23;-8.21;33.23;-8.21
1652878800000;TRPL3.SA;30.6;30.6;30.23;30.23;30.23;0;32.98;-8.33;38.03;ESTAVEL;2022-05-18 13:00:00;stocks;33.2;-8.93;33.2;-8.93
1652889600000;TRPL3.SA;31.1;31.1;31.1;31.1;31.1;100;32.96;-5.64;47.32;ESTAVEL;2022-05-18 16:00:00;stocks;33.17;-6.25;33.17;-6.25
1652893200000;TRPL3.SA;31.1;31.1;31.1;31.1;31.1;100;32.94;-5.59;47.32;ESTAVEL;2022-05-18 17:00:00;stocks;33.15;-6.18;33.15;-6.18
1652896800000;TRPL3.SA;31.2;31.2;31.2;31.2;31.2;100;32.92;-5.23;48.35;ESTAVEL;2022-05-18 18:00:00;stocks;33.13;-5.82;33.13;-5.82
1652965200000;TRPL3.SA;30.65;32.0;30.64;32.0;32.0;300;32.91;-2.78;55.81;ESTAVEL;2022-05-19 13:00:00;stocks;33.12;-3.37;33.12;-3.37
1652968800000;TRPL3.SA;32.4;33.6;31.17;31.17;31.17;1800;32.9;-5.25;48.05;ESTAVEL;2022-05-19 14:00:00;stocks;33.09;-5.81;33.09;-5.81
1652979600000;TRPL3.SA;31.72;31.72;31.72;31.72;31.72;200;32.88;-3.54;52.74;ESTAVEL;2022-05-19 17:00:00;stocks;33.08;-4.11;33.08;-4.11
