open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1647529200000;VGIA11.SA;10.25;10.25;10.21;10.24;10.24;0;10.42;-1.76;45.32;ESTAVEL;2022-03-17 15:00:00;fii;10.44;-1.94;10.44;-1.94
1647532800000;VGIA11.SA;10.24;10.24;10.2;10.24;10.24;1213;10.42;-1.74;45.32;ESTAVEL;2022-03-17 16:00:00;fii;10.44;-1.91;10.44;-1.91
1647536400000;VGIA11.SA;10.24;10.24;10.22;10.22;10.22;2151;10.42;-1.91;43.78;ESTAVEL;2022-03-17 17:00:00;fii;10.44;-2.08;10.44;-2.08
1647540000000;VGIA11.SA;10.22;10.27;10.2;10.27;10.27;2084;10.42;-1.42;48.49;ESTAVEL;2022-03-17 18:00:00;fii;10.44;-1.59;10.44;-1.59
1647543600000;VGIA11.SA;10.28;10.28;10.19;10.25;10.25;3678;10.42;-1.6;46.8;ESTAVEL;2022-03-17 19:00:00;fii;10.43;-1.76;10.43;-1.76
1647608400000;VGIA11.SA;10.25;10.32;10.15;10.15;10.15;0;10.41;-2.53;39.41;ESTAVEL;2022-03-18 13:00:00;fii;10.43;-2.69;10.43;-2.69
1647612000000;VGIA11.SA;10.25;10.3;10.23;10.3;10.3;3083;10.41;-1.08;51.72;ESTAVEL;2022-03-18 14:00:00;fii;10.43;-1.23;10.43;-1.23
1647615600000;VGIA11.SA;10.3;10.5;10.3;10.5;10.5;4550;10.41;0.83;62.63;ESTAVEL;2022-03-18 15:00:00;fii;10.43;0.68;10.43;0.68
1647619200000;VGIA11.SA;10.5;10.5;10.34;10.37;10.37;2267;10.41;-0.41;54.08;ESTAVEL;2022-03-18 16:00:00;fii;10.43;-0.56;10.43;-0.56
1647622800000;VGIA11.SA;10.49;10.49;10.49;10.49;10.49;115;10.41;0.73;59.57;ESTAVEL;2022-03-18 17:00:00;fii;10.43;0.58;10.43;0.58
1647626400000;VGIA11.SA;10.4;10.49;10.4;10.4;10.4;2027;10.41;-0.13;54.32;ESTAVEL;2022-03-18 18:00:00;fii;10.43;-0.28;10.43;-0.28
1647630000000;VGIA11.SA;10.49;10.53;10.45;10.45;10.45;1795;10.41;0.35;56.61;ESTAVEL;2022-03-18 19:00:00;fii;10.43;0.2;10.43;0.2
1647867600000;VGIA11.SA;10.54;10.6;10.54;10.58;10.58;0;10.42;1.58;61.94;ESTAVEL;2022-03-21 13:00:00;fii;10.43;1.43;10.43;1.43
1647871200000;VGIA11.SA;10.58;10.59;10.56;10.59;10.59;5831;10.42;1.66;62.32;ESTAVEL;2022-03-21 14:00:00;fii;10.43;1.51;10.43;1.51
