open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao
1688486400000;VIIA3.SA;2.2;2.2;2.18;2.19;2.19;3428400;2.3672986;-7.4894905;46.44562451483106;ESTAVEL
1688490000000;VIIA3.SA;2.19;2.2;2.17;2.18;2.18;4989500;2.3651466;-7.828125;44.591236465824366;ESTAVEL
1688493600000;VIIA3.SA;2.18;2.19;2.13;2.16;2.16;12911700;2.3627932;-8.582774;41.060279734464665;ESTAVEL
1688497200000;VIIA3.SA;2.16;2.17;2.15;2.17;2.17;3758900;2.3605847;-8.073624;43.47058505334935;ESTAVEL
1688562000000;VIIA3.SA;2.15;2.21;2.14;2.19;2.19;0;2.3586338;-7.149637;48.04665043318207;ESTAVEL
1688565600000;VIIA3.SA;2.2;2.24;2.19;2.21;2.21;10380400;2.3569362;-6.2342043;52.21261594852098;ESTAVEL
1688569200000;VIIA3.SA;2.22;2.22;2.2;2.22;2.22;2294500;2.3553746;-5.7474756;54.19055033110348;ESTAVEL
1688572800000;VIIA3.SA;2.22;2.23;2.21;2.22;2.22;6593100;2.3538332;-5.6857553;54.19055033110348;ESTAVEL
1688576400000;VIIA3.SA;2.23;2.24;2.21;2.23;2.23;9473800;2.352425;-5.2042084;56.28881639088381;ESTAVEL
1688580000000;VIIA3.SA;2.23;2.25;2.22;2.22;2.22;4905200;2.3509214;-5.5689397;53.64274731716911;ESTAVEL
1688583600000;VIIA3.SA;2.23;2.24;2.2;2.22;2.22;6852800;2.349437;-5.5092773;53.64274731716911;ESTAVEL
1688648400000;VIIA3.SA;2.21;2.21;2.13;2.14;2.14;0;2.3470654;-8.822312;37.35170570138624;ESTAVEL
1688652000000;VIIA3.SA;2.13;2.14;2.06;2.06;2.06;25121500;2.3438196;-12.109278;28.14628557542908;SUBIR
1688655600000;VIIA3.SA;2.07;2.09;2.05;2.08;2.08;11658300;2.3408403;-11.143022;32.61730197931685;ESTAVEL
1688659200000;VIIA3.SA;2.08;2.1;2.07;2.09;2.09;7596200;2.3380117;-10.607805;34.801778963767575;ESTAVEL
1688662800000;VIIA3.SA;2.08;2.09;2.06;2.06;2.06;7756000;2.3348806;-11.77279;31.502286834488046;ESTAVEL
1688666400000;VIIA3.SA;2.07;2.09;2.06;2.08;2.08;6566700;2.332014;-10.806714;35.86761095504227;ESTAVEL
1688670000000;VIIA3.SA;2.09;2.09;2.06;2.08;2.08;11005900;2.329183;-10.698304;35.86761095504227;ESTAVEL
1688734800000;VIIA3.SA;2.09;2.15;2.08;2.09;2.09;0;2.3265;-10.1654825;38.15319432438586;ESTAVEL
1688738400000;VIIA3.SA;2.1;2.13;2.09;2.12;2.12;8083100;2.3241863;-8.785282;44.53896814830036;ESTAVEL
1688742000000;VIIA3.SA;2.12;2.13;2.11;2.12;2.12;2065200;2.3219013;-8.695517;44.53896814830036;ESTAVEL
1688745600000;VIIA3.SA;2.11;2.15;2.11;2.13;2.13;7803300;2.3197567;-8.180028;46.66776469591462;ESTAVEL
1688749200000;VIIA3.SA;2.14;2.15;2.12;2.13;2.13;5026400;2.3176384;-8.096104;46.66776469591463;ESTAVEL
1688752800000;VIIA3.SA;2.13;2.15;2.12;2.14;2.14;6121600;2.315658;-7.585666;48.940716839698645;ESTAVEL
1688756400000;VIIA3.SA;2.13;2.14;2.11;2.13;2.13;7939700;2.3135905;-7.9353075;46.79305174570467;ESTAVEL
1688994000000;VIIA3.SA;2.09;2.1;2.06;2.08;2.08;0;2.3109925;-9.99538;37.849482630319216;ESTAVEL
1688997600000;VIIA3.SA;2.07;2.09;2.05;2.06;2.06;7060300;2.308204;-10.753119;34.970273558791405;ESTAVEL
1689001200000;VIIA3.SA;2.06;2.07;2.04;2.06;2.06;5617100;2.3054497;-10.646501;34.970273558791405;ESTAVEL
1689004800000;VIIA3.SA;2.06;2.06;2.03;2.03;2.03;7112100;2.3023968;-11.831009;30.88333529975091;ESTAVEL
1689008400000;VIIA3.SA;2.04;2.05;2.03;2.04;2.04;4222100;2.2994916;-11.2847395;33.66623235426293;ESTAVEL
1689012000000;VIIA3.SA;2.04;2.04;2.01;2.02;2.02;5710300;2.2964008;-12.036261;30.979619280607096;ESTAVEL
1689015600000;VIIA3.SA;2.02;2.04;2.01;2.03;2.03;9976900;2.293458;-11.48737;33.823234509690224;ESTAVEL
1689080400000;VIIA3.SA;2.03;2.03;1.93;1.96;1.96;0;2.2897782;-14.402191;25.80779832872088;SUBIR
1689084000000;VIIA3.SA;1.96;1.99;1.95;1.97;1.97;9412800;2.2862535;-13.832826;28.417585027178504;SUBIR
1689087600000;VIIA3.SA;1.97;2.04;1.96;2.02;2.02;17138400;2.2833219;-11.532402;39.81683914638218;ESTAVEL
1689091200000;VIIA3.SA;2.02;2.03;2.0;2.02;2.02;4555900;2.2804255;-11.420042;39.81683914638218;ESTAVEL
1689094800000;VIIA3.SA;2.03;2.04;2.02;2.02;2.02;2048500;2.277564;-11.308751;39.81683914638217;ESTAVEL
1689098400000;VIIA3.SA;2.03;2.03;2.01;2.03;2.03;3551200;2.2748466;-10.763212;42.119277844499926;ESTAVEL
1689102000000;VIIA3.SA;2.03;2.03;2.01;2.02;2.02;5419600;2.2720523;-11.0935955;40.45262748165453;ESTAVEL
1689166800000;VIIA3.SA;2.05;2.06;2.01;2.02;2.02;0;2.2692912;-10.98542;40.45262748165453;ESTAVEL
1689170400000;VIIA3.SA;2.02;2.03;1.98;1.99;1.99;11491800;2.266235;-12.189164;35.55728779161363;ESTAVEL
1689174000000;VIIA3.SA;2.0;2.01;1.97;1.99;1.99;11324900;2.263215;-12.071989;35.55728779161363;ESTAVEL
1689177600000;VIIA3.SA;1.99;1.99;1.96;1.97;1.97;7763200;2.2600129;-12.832355;32.51501493003623;ESTAVEL
1689181200000;VIIA3.SA;1.96;1.98;1.95;1.96;1.96;8272000;2.2567394;-13.149032;31.08300123953289;ESTAVEL
1689184800000;VIIA3.SA;1.96;1.99;1.96;1.97;1.97;5742800;2.253614;-12.58485;34.20368298140352;ESTAVEL
1689188400000;VIIA3.SA;1.97;1.99;1.95;1.97;1.97;11004300;2.2505255;-12.464888;34.20368298140352;ESTAVEL
1689253200000;VIIA3.SA;1.98;2.01;1.97;2.01;2.01;0;2.2479086;-10.583552;45.62577298336089;ESTAVEL
1689256800000;VIIA3.SA;2.01;2.03;1.97;1.99;1.99;9759300;2.2451053;-11.362731;41.7254570783628;ESTAVEL
1689260400000;VIIA3.SA;1.99;1.99;1.96;1.98;1.98;5275000;2.2422261;-11.6949005;39.88933710229225;ESTAVEL
1689264000000;VIIA3.SA;1.98;1.99;1.96;1.98;1.98;3934100;2.239381;-11.582712;39.88933710229225;ESTAVEL
1689267600000;VIIA3.SA;1.98;1.98;1.96;1.96;1.96;3033700;2.2363527;-12.357294;36.19491220272098;ESTAVEL
1689271200000;VIIA3.SA;1.96;1.97;1.94;1.96;1.96;5653200;2.2333596;-12.239837;36.19491220272099;ESTAVEL
1689274800000;VIIA3.SA;1.96;1.96;1.94;1.96;1.96;7533100;2.2304015;-12.1234455;36.19491220272099;ESTAVEL
1689339600000;VIIA3.SA;1.95;1.97;1.9;1.94;1.94;0;2.227262;-12.89754;32.44212943024272;ESTAVEL
1689343200000;VIIA3.SA;1.93;1.97;1.92;1.94;1.94;10213100;2.224159;-12.77602;32.44212943024272;ESTAVEL
1689346800000;VIIA3.SA;1.95;1.95;1.94;1.94;1.94;1662100;2.221092;-12.655576;32.44212943024272;ESTAVEL
1689350400000;VIIA3.SA;1.94;1.95;1.93;1.94;1.94;4442100;2.2180607;-12.536209;32.44212943024272;ESTAVEL
1689354000000;VIIA3.SA;1.93;1.94;1.93;1.94;1.94;1738300;2.2150648;-12.417911;32.44212943024272;ESTAVEL
1689357600000;VIIA3.SA;1.93;1.94;1.92;1.93;1.93;3773100;2.2119956;-12.74847;30.17611512169769;ESTAVEL
1689361200000;VIIA3.SA;1.93;1.95;1.92;1.95;1.95;7455100;2.2091773;-11.731845;39.306885082645614;ESTAVEL
1689598800000;VIIA3.SA;1.92;1.95;1.88;1.93;1.93;0;2.2061765;-12.5183325;34.454707925533015;ESTAVEL
1689602400000;VIIA3.SA;1.93;1.95;1.91;1.94;1.94;9334400;2.2033179;-11.950971;38.539930778163146;ESTAVEL
1689606000000;VIIA3.SA;1.94;1.97;1.94;1.96;1.96;5464100;2.2007067;-10.937701;45.81397920432147;ESTAVEL
1689609600000;VIIA3.SA;1.95;1.96;1.94;1.94;1.94;3863600;2.197911;-11.73437;40.63474695874708;ESTAVEL
1689613200000;VIIA3.SA;1.94;1.99;1.94;1.97;1.97;9511600;2.195469;-10.269738;49.80183059882262;ESTAVEL
