open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;VLID3.SA;10.79;11.0;10.76;10.8;10.8;169900;9.81;10.12;58.62;ESTAVEL;2022-02-22 14:00:00;stocks;10.01;7.88;10.01;7.88
1645542000000;VLID3.SA;10.78;10.84;10.75;10.78;10.78;18000;9.82;9.8;57.16;ESTAVEL;2022-02-22 15:00:00;stocks;10.02;7.58;10.02;7.58
1645545600000;VLID3.SA;10.77;10.81;10.76;10.8;10.8;16700;9.83;9.9;58.28;ESTAVEL;2022-02-22 16:00:00;stocks;10.03;7.69;10.03;7.69
1645549200000;VLID3.SA;10.8;10.84;10.79;10.79;10.79;23600;9.84;9.69;57.47;ESTAVEL;2022-02-22 17:00:00;stocks;10.04;7.49;10.04;7.49
1645552800000;VLID3.SA;10.78;10.8;10.64;10.66;10.66;24800;9.85;8.27;48.12;ESTAVEL;2022-02-22 18:00:00;stocks;10.04;6.12;10.04;6.12
1645556400000;VLID3.SA;10.65;10.71;10.63;10.69;10.69;19100;9.85;8.48;50.13;ESTAVEL;2022-02-22 19:00:00;stocks;10.05;6.34;10.05;6.34
1645621200000;VLID3.SA;10.66;10.88;10.59;10.84;10.84;0;9.86;9.89;58.77;ESTAVEL;2022-02-23 13:00:00;stocks;10.06;7.74;10.06;7.74
1645624800000;VLID3.SA;10.84;10.84;10.76;10.77;10.77;14300;9.87;9.08;54.06;ESTAVEL;2022-02-23 14:00:00;stocks;10.07;6.96;10.07;6.96
1645628400000;VLID3.SA;10.75;10.78;10.69;10.7;10.7;11000;9.88;8.28;49.77;ESTAVEL;2022-02-23 15:00:00;stocks;10.08;6.19;10.08;6.19
1645632000000;VLID3.SA;10.7;10.75;10.69;10.71;10.71;25200;9.89;8.29;50.38;ESTAVEL;2022-02-23 16:00:00;stocks;10.08;6.21;10.08;6.21
1645635600000;VLID3.SA;10.69;11.11;10.69;10.97;10.97;312200;9.9;10.8;62.9;ESTAVEL;2022-02-23 17:00:00;stocks;10.09;8.68;10.09;8.68
1645639200000;VLID3.SA;10.96;11.24;10.96;11.19;11.19;181600;9.91;12.87;69.84;ESTAVEL;2022-02-23 18:00:00;stocks;10.11;10.73;10.11;10.73
1645642800000;VLID3.SA;11.19;11.24;11.12;11.21;11.21;81500;9.93;12.92;70.38;CAIR;2022-02-23 19:00:00;stocks;10.12;10.79;10.12;10.79
1645707600000;VLID3.SA;10.83;10.92;10.57;10.82;10.82;0;9.94;8.9;51.09;ESTAVEL;2022-02-24 13:00:00;stocks;10.13;6.85;10.13;6.85
