open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;VRTA11.SA;104.73;104.83;104.33;104.49;104.49;2588;104.48;0.01;45.99;ESTAVEL;2022-02-22 14:00:00;fii;104.52;-0.03;104.52;-0.03
1645542000000;VRTA11.SA;104.49;104.54;104.38;104.49;104.49;1215;104.48;0.01;45.99;ESTAVEL;2022-02-22 15:00:00;fii;104.52;-0.03;104.52;-0.03
1645545600000;VRTA11.SA;104.49;104.97;104.2;104.3;104.3;2432;104.48;-0.17;41.74;ESTAVEL;2022-02-22 16:00:00;fii;104.52;-0.21;104.52;-0.21
1645549200000;VRTA11.SA;104.39;104.54;104.21;104.43;104.43;816;104.48;-0.04;45.45;ESTAVEL;2022-02-22 17:00:00;fii;104.52;-0.08;104.52;-0.08
1645552800000;VRTA11.SA;104.49;104.59;104.31;104.33;104.33;1375;104.47;-0.14;43.17;ESTAVEL;2022-02-22 18:00:00;fii;104.51;-0.18;104.51;-0.18
1645556400000;VRTA11.SA;104.33;104.52;104.33;104.38;104.38;834;104.47;-0.09;44.67;ESTAVEL;2022-02-22 19:00:00;fii;104.51;-0.13;104.51;-0.13
1645621200000;VRTA11.SA;104.59;104.84;104.35;104.56;104.56;0;104.47;0.08;49.79;ESTAVEL;2022-02-23 13:00:00;fii;104.51;0.04;104.51;0.04
1645624800000;VRTA11.SA;104.58;104.7;104.39;104.51;104.51;2240;104.48;0.03;48.45;ESTAVEL;2022-02-23 14:00:00;fii;104.51;-0.0;104.51;-0.0
1645628400000;VRTA11.SA;104.5;104.6;104.33;104.48;104.48;1888;104.48;0.0;47.62;ESTAVEL;2022-02-23 15:00:00;fii;104.51;-0.03;104.51;-0.03
1645632000000;VRTA11.SA;104.48;104.6;104.48;104.55;104.55;868;104.48;0.07;49.78;ESTAVEL;2022-02-23 16:00:00;fii;104.51;0.04;104.51;0.04
1645635600000;VRTA11.SA;104.54;104.54;104.3;104.39;104.39;1993;104.48;-0.08;45.19;ESTAVEL;2022-02-23 17:00:00;fii;104.51;-0.12;104.51;-0.12
1645639200000;VRTA11.SA;104.4;104.6;104.38;104.52;104.52;1303;104.48;0.04;49.28;ESTAVEL;2022-02-23 18:00:00;fii;104.51;0.01;104.51;0.01
1645642800000;VRTA11.SA;104.53;104.54;104.37;104.38;104.38;965;104.47;-0.09;45.36;ESTAVEL;2022-02-23 19:00:00;fii;104.51;-0.12;104.51;-0.12
1645707600000;VRTA11.SA;104.5;104.5;103.03;103.9;103.9;0;104.47;-0.54;35.05;ESTAVEL;2022-02-24 13:00:00;fii;104.5;-0.58;104.5;-0.58
1645711200000;VRTA11.SA;103.9;104.26;103.7;103.73;103.73;2404;104.46;-0.7;32.26;ESTAVEL;2022-02-24 14:00:00;fii;104.49;-0.73;104.49;-0.73
1645714800000;VRTA11.SA;103.73;103.96;103.72;103.8;103.8;1394;104.45;-0.63;34.57;ESTAVEL;2022-02-24 15:00:00;fii;104.49;-0.66;104.49;-0.66
1645718400000;VRTA11.SA;103.8;103.94;103.76;103.79;103.79;818;104.45;-0.63;34.39;ESTAVEL;2022-02-24 16:00:00;fii;104.48;-0.66;104.48;-0.66
1645722000000;VRTA11.SA;103.8;104.02;103.78;103.86;103.86;1800;104.44;-0.56;36.88;ESTAVEL;2022-02-24 17:00:00;fii;104.47;-0.59;104.47;-0.59
1645725600000;VRTA11.SA;103.86;104.2;103.82;104.07;104.07;2591;104.44;-0.35;43.76;ESTAVEL;2022-02-24 18:00:00;fii;104.47;-0.38;104.47;-0.38
1645729200000;VRTA11.SA;104.07;104.22;103.95;104.05;104.05;2139;104.43;-0.37;43.28;ESTAVEL;2022-02-24 19:00:00;fii;104.46;-0.4;104.46;-0.4
1645794000000;VRTA11.SA;104.1;105.14;104.0;104.9;104.9;0;104.44;0.44;62.35;ESTAVEL;2022-02-25 13:00:00;fii;104.47;0.41;104.47;0.41
1645797600000;VRTA11.SA;104.89;105.3;104.7;105.14;105.14;5077;104.45;0.66;65.84;ESTAVEL;2022-02-25 14:00:00;fii;104.48;0.64;104.48;0.64
1645801200000;VRTA11.SA;105.2;105.35;105.0;105.11;105.11;2220;104.45;0.63;65.03;ESTAVEL;2022-02-25 15:00:00;fii;104.48;0.6;104.48;0.6
1645804800000;VRTA11.SA;105.18;105.19;105.11;105.13;105.13;1289;104.46;0.64;65.34;ESTAVEL;2022-02-25 16:00:00;fii;104.49;0.61;104.49;0.61
1645808400000;VRTA11.SA;105.19;105.19;105.12;105.15;105.15;1791;104.47;0.65;65.66;ESTAVEL;2022-02-25 17:00:00;fii;104.5;0.62;104.5;0.62
1645812000000;VRTA11.SA;105.15;105.3;105.14;105.2;105.2;3430;104.47;0.69;66.51;ESTAVEL;2022-02-25 18:00:00;fii;104.5;0.67;104.5;0.67
1645815600000;VRTA11.SA;105.2;105.34;104.91;104.98;104.98;3243;104.48;0.48;59.57;ESTAVEL;2022-02-25 19:00:00;fii;104.51;0.45;104.51;0.45
1646236800000;VRTA11.SA;104.8;104.84;104.02;104.67;104.67;2295;104.48;0.18;51.42;ESTAVEL;2022-03-02 16:00:00;fii;104.51;0.15;104.51;0.15
1646240400000;VRTA11.SA;104.67;104.95;104.52;104.75;104.75;2936;104.48;0.25;53.2;ESTAVEL;2022-03-02 17:00:00;fii;104.51;0.23;104.51;0.23
1646244000000;VRTA11.SA;104.75;104.77;104.31;104.5;104.5;2794;104.48;0.02;47.37;ESTAVEL;2022-03-02 18:00:00;fii;104.51;-0.01;104.51;-0.01
1646312400000;VRTA11.SA;104.25;104.57;104.25;104.45;104.45;0;104.48;-0.03;46.27;ESTAVEL;2022-03-03 13:00:00;fii;104.51;-0.06;104.51;-0.06
1646316000000;VRTA11.SA;104.44;104.44;104.07;104.26;104.26;2503;104.48;-0.21;42.28;ESTAVEL;2022-03-03 14:00:00;fii;104.51;-0.24;104.51;-0.24
1646319600000;VRTA11.SA;104.35;104.37;104.25;104.35;104.35;1441;104.48;-0.12;44.71;ESTAVEL;2022-03-03 15:00:00;fii;104.51;-0.15;104.51;-0.15
1646323200000;VRTA11.SA;104.35;106.98;104.0;106.47;106.47;14053;104.5;1.89;73.29;CAIR;2022-03-03 16:00:00;fii;104.53;1.86;104.53;1.86
1646326800000;VRTA11.SA;106.45;107.68;105.72;107.5;107.5;11953;104.53;2.84;78.97;CAIR;2022-03-03 17:00:00;fii;104.56;2.81;104.56;2.81
1646330400000;VRTA11.SA;107.5;108.15;106.82;107.59;107.59;13726;104.56;2.9;79.38;CAIR;2022-03-03 18:00:00;fii;104.6;2.86;104.6;2.86
1646334000000;VRTA11.SA;107.57;108.0;107.5;108.0;108.0;12826;104.6;3.25;81.2;CAIR;2022-03-03 19:00:00;fii;104.63;3.22;104.63;3.22
1646398800000;VRTA11.SA;107.4;107.4;105.03;105.87;105.87;0;104.61;1.21;54.44;ESTAVEL;2022-03-04 13:00:00;fii;104.65;1.17;104.65;1.17
1646402400000;VRTA11.SA;105.87;106.46;105.86;106.19;106.19;3678;104.62;1.5;56.74;ESTAVEL;2022-03-04 14:00:00;fii;104.66;1.46;104.66;1.46
