open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1655478000000;WLMM4.SA;28.77;28.77;28.77;28.77;28.77;100;31.64;-9.08;43.54;ESTAVEL;2022-06-17 15:00:00;stocks;31.17;-7.69;31.17;-7.69
1655492400000;WLMM4.SA;29.0;29.0;29.0;29.0;29.0;100;31.62;-8.28;44.63;ESTAVEL;2022-06-17 19:00:00;stocks;31.14;-6.88;31.14;-6.88
1655733600000;WLMM4.SA;30.7;30.7;30.7;30.7;30.7;0;31.61;-2.87;52.0;ESTAVEL;2022-06-20 14:00:00;stocks;31.14;-1.4;31.14;-1.4
1655748000000;WLMM4.SA;30.11;30.11;29.1;29.1;29.1;400;31.58;-7.86;45.82;ESTAVEL;2022-06-20 18:00:00;stocks;31.11;-6.47;31.11;-6.47
1655751600000;WLMM4.SA;29.8;29.8;29.8;29.8;29.8;100;31.57;-5.59;48.69;ESTAVEL;2022-06-20 19:00:00;stocks;31.1;-4.17;31.1;-4.17
1655816400000;WLMM4.SA;28.72;30.7;28.72;30.7;30.7;0;31.56;-2.71;52.2;ESTAVEL;2022-06-21 13:00:00;stocks;31.09;-1.27;31.09;-1.27
1655820000000;WLMM4.SA;28.86;29.0;28.54;29.0;29.0;1000;31.53;-8.03;45.82;ESTAVEL;2022-06-21 14:00:00;stocks;31.07;-6.66;31.07;-6.66
1655823600000;WLMM4.SA;29.0;29.43;29.0;29.43;29.43;300;31.51;-6.6;47.57;ESTAVEL;2022-06-21 15:00:00;stocks;31.05;-5.22;31.05;-5.22
1655827200000;WLMM4.SA;28.53;28.53;28.53;28.53;28.53;100;31.48;-9.37;44.35;ESTAVEL;2022-06-21 16:00:00;stocks;31.02;-8.03;31.02;-8.03
1655830800000;WLMM4.SA;28.86;28.86;28.85;28.85;28.85;200;31.45;-8.27;45.76;ESTAVEL;2022-06-21 17:00:00;stocks;31.0;-6.93;31.0;-6.93
1655834400000;WLMM4.SA;28.61;28.61;28.52;28.52;28.52;300;31.42;-9.24;44.51;ESTAVEL;2022-06-21 18:00:00;stocks;30.97;-7.91;30.97;-7.91
1655838000000;WLMM4.SA;28.87;28.87;28.18;28.18;28.18;400;31.39;-10.23;43.2;ESTAVEL;2022-06-21 19:00:00;stocks;30.94;-8.91;30.94;-8.91
1655902800000;WLMM4.SA;27.03;27.03;27.0;27.0;27.0;0;31.35;-13.86;38.92;ESTAVEL;2022-06-22 13:00:00;stocks;30.89;-12.6;30.89;-12.6
1655913600000;WLMM4.SA;27.69;27.69;26.57;26.75;26.75;600;31.3;-14.53;38.06;ESTAVEL;2022-06-22 16:00:00;stocks;30.85;-13.28;30.85;-13.28
1655920800000;WLMM4.SA;26.75;28.3;26.75;28.3;28.3;2700;31.27;-9.49;46.02;ESTAVEL;2022-06-22 18:00:00;stocks;30.82;-8.17;30.82;-8.17
1655924400000;WLMM4.SA;27.99;27.99;26.8;26.8;26.8;200;31.22;-14.17;40.59;ESTAVEL;2022-06-22 19:00:00;stocks;30.77;-12.91;30.77;-12.91
1655989200000;WLMM4.SA;26.06;26.79;26.06;26.79;26.79;0;31.18;-14.08;40.55;ESTAVEL;2022-06-23 13:00:00;stocks;30.73;-12.82;30.73;-12.82
1655992800000;WLMM4.SA;26.77;27.9;26.77;27.89;27.89;2200;31.15;-10.45;45.97;ESTAVEL;2022-06-23 14:00:00;stocks;30.7;-9.14;30.7;-9.14
1656000000000;WLMM4.SA;28.36;28.36;28.36;28.36;28.36;1500;31.12;-8.86;48.15;ESTAVEL;2022-06-23 16:00:00;stocks;30.67;-7.53;30.67;-7.53
1656003600000;WLMM4.SA;27.5;27.5;27.5;27.5;27.5;100;31.08;-11.52;44.61;ESTAVEL;2022-06-23 17:00:00;stocks;30.63;-10.23;30.63;-10.23
1656007200000;WLMM4.SA;27.11;27.89;27.0;27.89;27.89;4900;31.05;-10.17;46.53;ESTAVEL;2022-06-23 18:00:00;stocks;30.6;-8.87;30.6;-8.87
1656010800000;WLMM4.SA;27.01;27.88;27.0;27.88;27.88;300;31.02;-10.11;46.49;ESTAVEL;2022-06-23 19:00:00;stocks;30.57;-8.81;30.57;-8.81
1656079200000;WLMM4.SA;27.56;27.56;26.5;26.5;26.5;300;30.97;-14.44;40.7;ESTAVEL;2022-06-24 14:00:00;stocks;30.53;-13.19;30.53;-13.19
1656082800000;WLMM4.SA;26.01;26.49;26.01;26.49;26.49;200;30.93;-14.34;40.66;ESTAVEL;2022-06-24 15:00:00;stocks;30.48;-13.1;30.48;-13.1
1656090000000;WLMM4.SA;26.01;26.01;26.01;26.01;26.01;100;30.88;-15.76;38.72;ESTAVEL;2022-06-24 17:00:00;stocks;30.43;-14.53;30.43;-14.53
1656093600000;WLMM4.SA;26.01;26.01;26.01;26.01;26.01;300;30.83;-15.63;38.72;ESTAVEL;2022-06-24 18:00:00;stocks;30.38;-14.39;30.38;-14.39
1656097200000;WLMM4.SA;25.75;27.87;25.75;27.87;27.87;100;30.8;-9.5;49.55;ESTAVEL;2022-06-24 19:00:00;stocks;30.36;-8.19;30.36;-8.19
1656334800000;WLMM4.SA;24.21;24.21;24.21;24.21;24.21;0;30.73;-21.22;36.05;ESTAVEL;2022-06-27 13:00:00;stocks;30.29;-20.07;30.29;-20.07
1656338400000;WLMM4.SA;24.21;25.0;24.21;25.0;25.0;900;30.67;-18.49;39.86;ESTAVEL;2022-06-27 14:00:00;stocks;30.23;-17.3;30.23;-17.3
1656342000000;WLMM4.SA;25.0;25.5;25.0;25.5;25.5;200;30.62;-16.72;42.2;ESTAVEL;2022-06-27 15:00:00;stocks;30.18;-15.5;30.18;-15.5
1656349200000;WLMM4.SA;24.5;24.5;24.33;24.34;24.34;700;30.56;-20.35;38.46;ESTAVEL;2022-06-27 17:00:00;stocks;30.11;-19.17;30.11;-19.17
1656352800000;WLMM4.SA;24.29;24.29;24.0;24.0;24.0;400;30.49;-21.29;37.41;ESTAVEL;2022-06-27 18:00:00;stocks;30.04;-20.12;30.04;-20.12
1656421200000;WLMM4.SA;23.99;24.28;23.0;23.02;23.02;0;30.42;-24.32;34.49;ESTAVEL;2022-06-28 13:00:00;stocks;29.97;-23.18;29.97;-23.18
1656424800000;WLMM4.SA;22.8;22.8;22.71;22.71;22.71;400;30.34;-25.14;33.6;ESTAVEL;2022-06-28 14:00:00;stocks;29.89;-24.01;29.89;-24.01
1656428400000;WLMM4.SA;22.71;22.71;22.09;22.09;22.09;300;30.25;-26.99;31.82;ESTAVEL;2022-06-28 15:00:00;stocks;29.8;-25.88;29.8;-25.88
1656432000000;WLMM4.SA;21.51;21.99;21.51;21.99;21.99;400;30.17;-27.12;31.53;ESTAVEL;2022-06-28 16:00:00;stocks;29.72;-26.0;29.72;-26.0
1656435600000;WLMM4.SA;21.51;21.51;21.51;21.51;21.51;100;30.08;-28.5;30.12;ESTAVEL;2022-06-28 17:00:00;stocks;29.63;-27.39;29.63;-27.39
1656439200000;WLMM4.SA;21.5;21.51;21.23;21.23;21.23;400;29.99;-29.22;29.29;SUBIR;2022-06-28 18:00:00;stocks;29.53;-28.11;29.53;-28.11
1656442800000;WLMM4.SA;21.21;21.21;21.21;21.21;21.21;100;29.91;-29.08;29.23;SUBIR;2022-06-28 19:00:00;stocks;29.44;-27.96;29.44;-27.96
1656507600000;WLMM4.SA;21.35;21.35;20.8;20.8;20.8;0;29.81;-30.24;27.93;SUBIR;2022-06-29 13:00:00;stocks;29.35;-29.12;29.35;-29.12
1656511200000;WLMM4.SA;20.71;20.71;20.0;20.0;20.0;1100;29.72;-32.7;25.55;SUBIR;2022-06-29 14:00:00;stocks;29.24;-31.61;29.24;-31.61
1656514800000;WLMM4.SA;20.24;20.24;19.52;19.52;19.52;1100;29.61;-34.08;24.21;SUBIR;2022-06-29 15:00:00;stocks;29.14;-33.01;29.14;-33.01
1656522000000;WLMM4.SA;19.56;19.56;19.56;19.56;19.56;200;29.51;-33.72;24.56;SUBIR;2022-06-29 17:00:00;stocks;29.03;-32.63;29.03;-32.63
1656525600000;WLMM4.SA;19.56;19.56;19.45;19.56;19.56;2100;29.41;-33.5;24.56;SUBIR;2022-06-29 18:00:00;stocks;28.93;-32.39;28.93;-32.39
1656594000000;WLMM4.SA;20.37;20.37;20.37;20.37;20.37;0;29.32;-30.53;32.02;ESTAVEL;2022-06-30 13:00:00;stocks;28.84;-29.36;28.84;-29.36
1656604800000;WLMM4.SA;20.37;20.37;20.37;20.37;20.37;100;29.23;-30.31;32.02;ESTAVEL;2022-06-30 16:00:00;stocks;28.74;-29.14;28.74;-29.14
1656612000000;WLMM4.SA;19.61;19.61;19.52;19.61;19.61;2900;29.13;-32.69;28.91;SUBIR;2022-06-30 18:00:00;stocks;28.65;-31.54;28.65;-31.54
1656615600000;WLMM4.SA;20.0;20.69;20.0;20.69;20.69;4000;29.05;-28.77;38.11;ESTAVEL;2022-06-30 19:00:00;stocks;28.56;-27.55;28.56;-27.55
1656680400000;WLMM4.SA;19.99;20.0;19.99;20.0;20.0;0;28.96;-30.93;34.99;ESTAVEL;2022-07-01 13:00:00;stocks;28.47;-29.74;28.47;-29.74
1656694800000;WLMM4.SA;20.55;20.55;20.0;20.0;20.0;200;28.87;-30.72;34.99;ESTAVEL;2022-07-01 17:00:00;stocks;28.37;-29.51;28.37;-29.51
