open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1675346400000;WTSP11B.SA;36.19;36.19;36.0;36.0;36.0;0;40.07;-10.16;;ESTAVEL;2023-02-02 14:00:00;fii;;;;
1675353600000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;21;40.01;-12.52;;ESTAVEL;2023-02-02 16:00:00;fii;;;;
1675429200000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;0;39.95;-12.4;;ESTAVEL;2023-02-03 13:00:00;fii;;;;
1675436400000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;1;39.9;-12.27;;ESTAVEL;2023-02-03 15:00:00;fii;;;;
1675782000000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;0;39.84;-12.15;;ESTAVEL;2023-02-07 15:00:00;fii;;;;
1676052000000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;17;39.79;-12.03;;ESTAVEL;2023-02-10 18:00:00;fii;;;;
1676296800000;WTSP11B.SA;35.0;35.0;35.0;35.0;35.0;0;39.73;-11.91;;ESTAVEL;2023-02-13 14:00:00;fii;;;;
1676383200000;WTSP11B.SA;34.9;34.9;34.9;34.9;34.9;0;39.68;-12.04;;ESTAVEL;2023-02-14 14:00:00;fii;;;;
1676386800000;WTSP11B.SA;31.01;31.01;31.01;31.01;31.01;15;39.58;-21.65;;SUBIR;2023-02-14 15:00:00;fii;;;;
1676394000000;WTSP11B.SA;34.0;34.89;34.0;34.89;34.89;15;39.52;-11.72;;ESTAVEL;2023-02-14 17:00:00;fii;;;;
1676401200000;WTSP11B.SA;34.9;34.9;34.9;34.9;34.9;7;39.47;-11.58;;ESTAVEL;2023-02-14 19:00:00;fii;;;;
1676574000000;WTSP11B.SA;30.06;34.9;30.06;30.06;30.06;0;39.36;-23.64;;ESTAVEL;2023-02-16 19:00:00;fii;;;;
1677265200000;WTSP11B.SA;35.19;35.19;31.0;31.0;31.0;9;39.27;-21.06;;ESTAVEL;2023-02-24 19:00:00;fii;;;;
1677780000000;WTSP11B.SA;30.51;30.51;30.0;30.0;30.0;62;39.17;-23.4;;ESTAVEL;2023-03-02 18:00:00;fii;;;;
1677848400000;WTSP11B.SA;30.01;30.01;30.01;30.01;30.01;0;39.06;-23.17;30.89;ESTAVEL;2023-03-03 13:00:00;fii;;;;
1678107600000;WTSP11B.SA;30.0;30.0;30.0;30.0;30.0;70;38.96;-23.0;30.87;ESTAVEL;2023-03-06 13:00:00;fii;;;;
1678118400000;WTSP11B.SA;30.06;30.06;30.0;30.0;30.0;200;38.86;-22.8;30.87;ESTAVEL;2023-03-06 16:00:00;fii;;;;
1678294800000;WTSP11B.SA;36.0;36.0;36.0;36.0;36.0;0;38.83;-7.28;53.22;ESTAVEL;2023-03-08 17:00:00;fii;;;;
1678384800000;WTSP11B.SA;37.0;37.0;37.0;37.0;37.0;0;38.81;-4.66;55.79;ESTAVEL;2023-03-09 18:00:00;fii;;;;
1678388400000;WTSP11B.SA;37.0;37.0;37.0;37.0;37.0;5;38.79;-4.61;55.79;ESTAVEL;2023-03-09 19:00:00;fii;;;;
1678460400000;WTSP11B.SA;37.0;37.0;37.0;37.0;37.0;0;38.77;-4.56;55.79;ESTAVEL;2023-03-10 15:00:00;fii;;;;
