open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;XPPR11.SA;58.37;59.07;58.31;58.84;58.84;4339;62.32;-5.59;40.75;ESTAVEL;2022-02-22 14:00:00;fii;61.8;-4.8;61.8;-4.8
1645542000000;XPPR11.SA;58.84;58.99;58.7;58.97;58.97;2049;62.29;-5.33;43.33;ESTAVEL;2022-02-22 15:00:00;fii;61.77;-4.54;61.77;-4.54
1645545600000;XPPR11.SA;58.97;59.45;58.55;58.86;58.86;4784;62.25;-5.45;41.68;ESTAVEL;2022-02-22 16:00:00;fii;61.74;-4.66;61.74;-4.66
1645549200000;XPPR11.SA;58.91;58.91;58.41;58.62;58.62;2345;62.22;-5.78;38.25;ESTAVEL;2022-02-22 17:00:00;fii;61.7;-5.0;61.7;-5.0
1645552800000;XPPR11.SA;58.67;58.87;58.4;58.42;58.42;2920;62.18;-6.05;35.62;ESTAVEL;2022-02-22 18:00:00;fii;61.67;-5.26;61.67;-5.26
1645556400000;XPPR11.SA;58.41;58.78;58.3;58.4;58.4;4527;62.14;-6.02;35.36;ESTAVEL;2022-02-22 19:00:00;fii;61.63;-5.24;61.63;-5.24
1645621200000;XPPR11.SA;58.59;59.17;58.35;58.35;58.35;0;62.1;-6.04;34.68;ESTAVEL;2022-02-23 13:00:00;fii;61.59;-5.26;61.59;-5.26
1645624800000;XPPR11.SA;58.39;58.47;58.07;58.2;58.2;4166;62.06;-6.23;32.63;ESTAVEL;2022-02-23 14:00:00;fii;61.55;-5.45;61.55;-5.45
1645628400000;XPPR11.SA;58.21;58.38;58.07;58.11;58.11;3467;62.02;-6.31;31.43;ESTAVEL;2022-02-23 15:00:00;fii;61.51;-5.53;61.51;-5.53
1645632000000;XPPR11.SA;58.07;58.33;58.03;58.26;58.26;3423;61.99;-6.01;35.67;ESTAVEL;2022-02-23 16:00:00;fii;61.48;-5.23;61.48;-5.23
1645635600000;XPPR11.SA;58.21;58.43;58.11;58.21;58.21;1862;61.95;-6.03;34.9;ESTAVEL;2022-02-23 17:00:00;fii;61.44;-5.26;61.44;-5.26
1645639200000;XPPR11.SA;58.15;58.22;58.1;58.15;58.15;2124;61.91;-6.07;33.94;ESTAVEL;2022-02-23 18:00:00;fii;61.4;-5.3;61.4;-5.3
1645642800000;XPPR11.SA;58.1;58.34;58.1;58.25;58.25;2861;61.87;-5.85;37.03;ESTAVEL;2022-02-23 19:00:00;fii;61.37;-5.08;61.37;-5.08
1645707600000;XPPR11.SA;58.25;58.97;57.31;57.88;57.88;0;61.83;-6.39;31.22;ESTAVEL;2022-02-24 13:00:00;fii;61.33;-5.62;61.33;-5.62
1645711200000;XPPR11.SA;57.88;58.2;57.5;57.91;57.91;2568;61.79;-6.28;32.15;ESTAVEL;2022-02-24 14:00:00;fii;61.29;-5.51;61.29;-5.51
1645714800000;XPPR11.SA;57.91;58.2;57.5;58.18;58.18;3062;61.76;-5.79;40.01;ESTAVEL;2022-02-24 15:00:00;fii;61.25;-5.02;61.25;-5.02
1645718400000;XPPR11.SA;58.18;58.2;57.51;58.16;58.16;2655;61.72;-5.77;39.64;ESTAVEL;2022-02-24 16:00:00;fii;61.22;-5.0;61.22;-5.0
1645722000000;XPPR11.SA;58.15;58.2;57.5;57.52;57.52;4736;61.68;-6.74;30.14;ESTAVEL;2022-02-24 17:00:00;fii;61.18;-5.98;61.18;-5.98
1645725600000;XPPR11.SA;57.59;57.67;57.5;57.6;57.6;4842;61.64;-6.55;32.32;ESTAVEL;2022-02-24 18:00:00;fii;61.14;-5.78;61.14;-5.78
1645729200000;XPPR11.SA;57.51;58.07;57.5;57.52;57.52;2978;61.59;-6.61;31.27;ESTAVEL;2022-02-24 19:00:00;fii;61.1;-5.85;61.1;-5.85
1645794000000;XPPR11.SA;57.55;59.48;57.54;58.92;58.92;0;61.57;-4.3;57.41;ESTAVEL;2022-02-25 13:00:00;fii;61.07;-3.52;61.07;-3.52
1645797600000;XPPR11.SA;58.92;58.92;58.31;58.72;58.72;2148;61.54;-4.58;54.24;ESTAVEL;2022-02-25 14:00:00;fii;61.05;-3.81;61.05;-3.81
1645801200000;XPPR11.SA;58.72;58.8;58.35;58.7;58.7;2673;61.51;-4.57;53.92;ESTAVEL;2022-02-25 15:00:00;fii;61.02;-3.8;61.02;-3.8
1645804800000;XPPR11.SA;58.61;59.47;58.51;58.94;58.94;2229;61.48;-4.14;57.19;ESTAVEL;2022-02-25 16:00:00;fii;61.0;-3.37;61.0;-3.37
1645808400000;XPPR11.SA;58.94;58.96;58.47;58.9;58.9;2336;61.46;-4.16;56.47;ESTAVEL;2022-02-25 17:00:00;fii;60.97;-3.4;60.97;-3.4
1645812000000;XPPR11.SA;58.9;58.9;58.6;58.67;58.67;2009;61.43;-4.49;52.39;ESTAVEL;2022-02-25 18:00:00;fii;60.95;-3.74;60.95;-3.74
1645815600000;XPPR11.SA;58.72;58.79;58.47;58.65;58.65;1795;61.4;-4.48;52.03;ESTAVEL;2022-02-25 19:00:00;fii;60.92;-3.73;60.92;-3.73
1646236800000;XPPR11.SA;58.36;58.36;57.0;57.1;57.1;4685;61.36;-6.94;33.32;ESTAVEL;2022-03-02 16:00:00;fii;60.88;-6.21;60.88;-6.21
1646240400000;XPPR11.SA;57.11;57.55;57.05;57.55;57.55;4991;61.32;-6.15;40.06;ESTAVEL;2022-03-02 17:00:00;fii;60.84;-5.41;60.84;-5.41
1646244000000;XPPR11.SA;57.38;57.76;57.21;57.53;57.53;3814;61.28;-6.12;39.87;ESTAVEL;2022-03-02 18:00:00;fii;60.81;-5.39;60.81;-5.39
1646312400000;XPPR11.SA;57.41;58.85;57.41;58.75;58.75;0;61.26;-4.09;54.32;ESTAVEL;2022-03-03 13:00:00;fii;60.78;-3.34;60.78;-3.34
1646316000000;XPPR11.SA;58.73;59.48;58.0;58.7;58.7;3964;61.23;-4.13;53.75;ESTAVEL;2022-03-03 14:00:00;fii;60.76;-3.39;60.76;-3.39
1646319600000;XPPR11.SA;58.7;59.39;58.52;59.36;59.36;1742;61.21;-3.02;59.75;ESTAVEL;2022-03-03 15:00:00;fii;60.74;-2.28;60.74;-2.28
1646323200000;XPPR11.SA;59.36;59.36;58.06;58.54;58.54;1357;61.18;-4.32;50.91;ESTAVEL;2022-03-03 16:00:00;fii;60.72;-3.59;60.72;-3.59
1646326800000;XPPR11.SA;58.56;58.83;58.0;58.55;58.55;1642;61.16;-4.26;51.0;ESTAVEL;2022-03-03 17:00:00;fii;60.7;-3.54;60.7;-3.54
1646330400000;XPPR11.SA;58.5;58.56;57.67;58.05;58.05;2230;61.13;-5.03;46.18;ESTAVEL;2022-03-03 18:00:00;fii;60.67;-4.31;60.67;-4.31
