open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;XPSF11.SA;72.1;72.12;71.4;71.4;71.4;1757;76.65;-6.85;35.16;ESTAVEL;2022-02-22 14:00:00;fii;76.3;-6.42;76.3;-6.42
1645542000000;XPSF11.SA;71.46;71.75;71.15;71.73;71.73;2492;76.6;-6.36;39.28;ESTAVEL;2022-02-22 15:00:00;fii;76.24;-5.92;76.24;-5.92
1645545600000;XPSF11.SA;71.59;71.7;71.4;71.6;71.6;1087;76.55;-6.47;38.25;ESTAVEL;2022-02-22 16:00:00;fii;76.19;-6.02;76.19;-6.02
1645549200000;XPSF11.SA;71.6;71.79;71.4;71.78;71.78;1637;76.5;-6.18;40.57;ESTAVEL;2022-02-22 17:00:00;fii;76.14;-5.73;76.14;-5.73
1645552800000;XPSF11.SA;71.73;72.4;71.73;72.1;72.1;3094;76.46;-5.7;44.57;ESTAVEL;2022-02-22 18:00:00;fii;76.09;-5.25;76.09;-5.25
1645556400000;XPSF11.SA;72.1;72.13;71.6;71.95;71.95;1307;76.41;-5.84;43.1;ESTAVEL;2022-02-22 19:00:00;fii;76.05;-5.39;76.05;-5.39
1645621200000;XPSF11.SA;71.78;72.13;71.49;72.12;72.12;0;76.37;-5.57;45.3;ESTAVEL;2022-02-23 13:00:00;fii;76.0;-5.11;76.0;-5.11
1645624800000;XPSF11.SA;72.12;72.32;71.86;72.21;72.21;1251;76.33;-5.4;46.47;ESTAVEL;2022-02-23 14:00:00;fii;75.96;-4.93;75.96;-4.93
1645628400000;XPSF11.SA;72.48;72.49;71.69;72.16;72.16;645;76.29;-5.41;45.88;ESTAVEL;2022-02-23 15:00:00;fii;75.91;-4.95;75.91;-4.95
1645632000000;XPSF11.SA;72.02;72.44;71.99;72.21;72.21;414;76.25;-5.29;46.61;ESTAVEL;2022-02-23 16:00:00;fii;75.87;-4.83;75.87;-4.83
1645635600000;XPSF11.SA;72.2;72.41;72.05;72.22;72.22;544;76.2;-5.23;46.77;ESTAVEL;2022-02-23 17:00:00;fii;75.83;-4.76;75.83;-4.76
1645639200000;XPSF11.SA;72.24;72.45;71.61;71.65;71.65;2158;76.16;-5.92;39.71;ESTAVEL;2022-02-23 18:00:00;fii;75.78;-5.46;75.78;-5.46
1645642800000;XPSF11.SA;71.68;72.68;71.67;72.65;72.65;1512;76.12;-4.56;53.09;ESTAVEL;2022-02-23 19:00:00;fii;75.75;-4.09;75.75;-4.09
1645707600000;XPSF11.SA;72.3;72.5;70.95;72.5;72.5;0;76.09;-4.71;51.25;ESTAVEL;2022-02-24 13:00:00;fii;75.71;-4.24;75.71;-4.24
1645711200000;XPSF11.SA;72.36;72.36;71.72;71.91;71.91;1166;76.04;-5.44;44.7;ESTAVEL;2022-02-24 14:00:00;fii;75.67;-4.97;75.67;-4.97
1645714800000;XPSF11.SA;71.91;73.47;71.9;72.85;72.85;2684;76.01;-4.16;54.65;ESTAVEL;2022-02-24 15:00:00;fii;75.64;-3.69;75.64;-3.69
