open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1673982000000;ZAMP3.SA;5.43;5.5;5.42;5.43;5.43;86100;5.32;2.05;51.42;ESTAVEL;2023-01-17 19:00:00;stocks;5.21;4.28;5.21;4.28
1674046800000;ZAMP3.SA;5.44;5.57;5.44;5.57;5.57;46000;5.32;4.63;59.93;ESTAVEL;2023-01-18 13:00:00;stocks;5.21;6.88;5.21;6.88
1674050400000;ZAMP3.SA;5.56;5.6;5.5;5.59;5.59;24400;5.33;4.96;60.98;ESTAVEL;2023-01-18 14:00:00;stocks;5.22;7.18;5.22;7.18
1674054000000;ZAMP3.SA;5.59;5.62;5.41;5.41;5.41;58200;5.33;1.56;48.62;ESTAVEL;2023-01-18 15:00:00;stocks;5.22;3.68;5.22;3.68
1674057600000;ZAMP3.SA;5.41;5.41;5.34;5.38;5.38;46400;5.33;0.99;46.91;ESTAVEL;2023-01-18 16:00:00;stocks;5.22;3.07;5.22;3.07
1674061200000;ZAMP3.SA;5.39;5.4;5.24;5.24;5.24;101300;5.33;-1.63;39.87;ESTAVEL;2023-01-18 17:00:00;stocks;5.22;0.38;5.22;0.38
1674064800000;ZAMP3.SA;5.24;5.25;5.18;5.22;5.22;108000;5.33;-1.98;38.97;ESTAVEL;2023-01-18 18:00:00;stocks;5.22;0.0;5.22;0.0
1674068400000;ZAMP3.SA;5.21;5.23;5.08;5.11;5.11;158100;5.32;-4.01;34.38;ESTAVEL;2023-01-18 19:00:00;stocks;5.22;-2.08;5.22;-2.08
1674133200000;ZAMP3.SA;5.1;5.14;4.99;5.06;5.06;56500;5.32;-4.9;32.5;ESTAVEL;2023-01-19 13:00:00;stocks;5.22;-3.01;5.22;-3.01
1674136800000;ZAMP3.SA;5.07;5.15;5.02;5.09;5.09;56500;5.32;-4.29;34.8;ESTAVEL;2023-01-19 14:00:00;stocks;5.22;-2.4;5.22;-2.4
1674140400000;ZAMP3.SA;5.08;5.09;5.02;5.05;5.05;23200;5.32;-5.0;33.18;ESTAVEL;2023-01-19 15:00:00;stocks;5.21;-3.14;5.21;-3.14
1674144000000;ZAMP3.SA;5.06;5.08;5.02;5.07;5.07;26300;5.31;-4.58;34.82;ESTAVEL;2023-01-19 16:00:00;stocks;5.21;-2.72;5.21;-2.72
1674147600000;ZAMP3.SA;5.07;5.13;5.07;5.09;5.09;24800;5.31;-4.16;36.49;ESTAVEL;2023-01-19 17:00:00;stocks;5.21;-2.31;5.21;-2.31
1674151200000;ZAMP3.SA;5.09;5.2;5.08;5.15;5.15;24900;5.31;-3.0;41.36;ESTAVEL;2023-01-19 18:00:00;stocks;5.21;-1.15;5.21;-1.15
1674154800000;ZAMP3.SA;5.16;5.19;5.13;5.14;5.14;47500;5.31;-3.16;40.8;ESTAVEL;2023-01-19 19:00:00;stocks;5.21;-1.33;5.21;-1.33
1674219600000;ZAMP3.SA;5.07;5.09;4.96;5.06;5.06;38000;5.31;-4.62;36.53;ESTAVEL;2023-01-20 13:00:00;stocks;5.21;-2.83;5.21;-2.83
1674223200000;ZAMP3.SA;5.07;5.11;5.06;5.09;5.09;36300;5.3;-4.01;39.1;ESTAVEL;2023-01-20 14:00:00;stocks;5.21;-2.23;5.21;-2.23
1674226800000;ZAMP3.SA;5.08;5.09;5.0;5.05;5.05;23100;5.3;-4.72;36.95;ESTAVEL;2023-01-20 15:00:00;stocks;5.2;-2.97;5.2;-2.97
1674230400000;ZAMP3.SA;5.05;5.09;5.0;5.03;5.03;27600;5.3;-5.05;35.89;ESTAVEL;2023-01-20 16:00:00;stocks;5.2;-3.31;5.2;-3.31
1674234000000;ZAMP3.SA;5.02;5.08;5.0;5.03;5.03;25500;5.29;-5.0;35.89;ESTAVEL;2023-01-20 17:00:00;stocks;5.2;-3.28;5.2;-3.28
1674237600000;ZAMP3.SA;5.04;5.08;5.04;5.06;5.06;31200;5.29;-4.39;38.94;ESTAVEL;2023-01-20 18:00:00;stocks;5.2;-2.67;5.2;-2.67
1674241200000;ZAMP3.SA;5.06;5.12;5.04;5.1;5.1;64700;5.29;-3.6;42.85;ESTAVEL;2023-01-20 19:00:00;stocks;5.2;-1.88;5.2;-1.88
1674478800000;ZAMP3.SA;5.07;5.14;5.07;5.1;5.1;36200;5.29;-3.57;42.85;ESTAVEL;2023-01-23 13:00:00;stocks;5.2;-1.86;5.2;-1.86
1674482400000;ZAMP3.SA;5.1;5.17;5.03;5.14;5.14;119600;5.29;-2.78;46.81;ESTAVEL;2023-01-23 14:00:00;stocks;5.2;-1.08;5.2;-1.08
1674486000000;ZAMP3.SA;5.15;5.23;5.15;5.23;5.23;40900;5.29;-1.07;54.44;ESTAVEL;2023-01-23 15:00:00;stocks;5.2;0.65;5.2;0.65
1674489600000;ZAMP3.SA;5.22;5.24;5.16;5.19;5.19;21900;5.29;-1.81;50.94;ESTAVEL;2023-01-23 16:00:00;stocks;5.2;-0.12;5.2;-0.12
1674493200000;ZAMP3.SA;5.17;5.19;5.13;5.15;5.15;17400;5.28;-2.54;47.64;ESTAVEL;2023-01-23 17:00:00;stocks;5.2;-0.88;5.2;-0.88
1674496800000;ZAMP3.SA;5.15;5.17;5.12;5.15;5.15;33500;5.28;-2.51;47.64;ESTAVEL;2023-01-23 18:00:00;stocks;5.2;-0.87;5.2;-0.87
1674500400000;ZAMP3.SA;5.14;5.15;5.05;5.06;5.06;91800;5.28;-4.18;40.76;ESTAVEL;2023-01-23 19:00:00;stocks;5.19;-2.58;5.19;-2.58
1674565200000;ZAMP3.SA;5.01;5.13;5.01;5.07;5.07;60700;5.28;-3.95;41.76;ESTAVEL;2023-01-24 13:00:00;stocks;5.19;-2.36;5.19;-2.36
1674568800000;ZAMP3.SA;5.08;5.12;5.03;5.04;5.04;55800;5.28;-4.47;39.59;ESTAVEL;2023-01-24 14:00:00;stocks;5.19;-2.9;5.19;-2.9
1674572400000;ZAMP3.SA;5.04;5.09;5.02;5.08;5.08;31700;5.27;-3.68;43.79;ESTAVEL;2023-01-24 15:00:00;stocks;5.19;-2.11;5.19;-2.11
1674576000000;ZAMP3.SA;5.08;5.1;5.04;5.05;5.05;30500;5.27;-4.21;41.46;ESTAVEL;2023-01-24 16:00:00;stocks;5.19;-2.66;5.19;-2.66
1674579600000;ZAMP3.SA;5.06;5.06;5.01;5.01;5.01;21800;5.27;-4.92;38.52;ESTAVEL;2023-01-24 17:00:00;stocks;5.19;-3.39;5.19;-3.39
1674583200000;ZAMP3.SA;5.01;5.1;4.98;5.08;5.08;122200;5.27;-3.56;45.77;ESTAVEL;2023-01-24 18:00:00;stocks;5.18;-2.02;5.18;-2.02
1674586800000;ZAMP3.SA;5.08;5.19;5.07;5.19;5.19;62000;5.27;-1.45;54.8;ESTAVEL;2023-01-24 19:00:00;stocks;5.18;0.1;5.18;0.1
1674651600000;ZAMP3.SA;5.13;5.19;5.1;5.18;5.18;48800;5.27;-1.63;53.92;ESTAVEL;2023-01-25 13:00:00;stocks;5.18;-0.09;5.18;-0.09
1674655200000;ZAMP3.SA;5.19;5.25;5.17;5.22;5.22;42300;5.27;-0.86;56.89;ESTAVEL;2023-01-25 14:00:00;stocks;5.19;0.67;5.19;0.67
1674658800000;ZAMP3.SA;5.22;5.34;5.18;5.31;5.31;42400;5.27;0.84;62.73;ESTAVEL;2023-01-25 15:00:00;stocks;5.19;2.38;5.19;2.38
1674662400000;ZAMP3.SA;5.32;5.39;5.29;5.33;5.33;45100;5.27;1.21;63.9;ESTAVEL;2023-01-25 16:00:00;stocks;5.19;2.73;5.19;2.73
1674666000000;ZAMP3.SA;5.32;5.36;5.28;5.29;5.29;69100;5.27;0.45;59.85;ESTAVEL;2023-01-25 17:00:00;stocks;5.19;1.94;5.19;1.94
1674669600000;ZAMP3.SA;5.31;5.36;5.31;5.35;5.35;27500;5.27;1.57;63.58;ESTAVEL;2023-01-25 18:00:00;stocks;5.19;3.06;5.19;3.06
1674673200000;ZAMP3.SA;5.35;5.41;5.35;5.38;5.38;34200;5.27;2.12;65.31;ESTAVEL;2023-01-25 19:00:00;stocks;5.19;3.6;5.19;3.6
1674738000000;ZAMP3.SA;5.27;5.33;5.18;5.25;5.25;39100;5.27;-0.35;53.45;ESTAVEL;2023-01-26 13:00:00;stocks;5.19;1.08;5.19;1.08
1674741600000;ZAMP3.SA;5.25;5.35;5.2;5.22;5.22;62700;5.27;-0.91;51.14;ESTAVEL;2023-01-26 14:00:00;stocks;5.19;0.5;5.19;0.5
1674745200000;ZAMP3.SA;5.22;5.26;5.19;5.22;5.22;32200;5.27;-0.9;51.14;ESTAVEL;2023-01-26 15:00:00;stocks;5.19;0.49;5.19;0.49
1674748800000;ZAMP3.SA;5.2;5.25;5.19;5.24;5.24;23500;5.27;-0.51;52.72;ESTAVEL;2023-01-26 16:00:00;stocks;5.19;0.87;5.19;0.87
1674752400000;ZAMP3.SA;5.25;5.26;5.2;5.24;5.24;23100;5.27;-0.51;52.72;ESTAVEL;2023-01-26 17:00:00;stocks;5.2;0.86;5.2;0.86
1674756000000;ZAMP3.SA;5.24;5.31;5.22;5.29;5.29;32300;5.27;0.44;56.77;ESTAVEL;2023-01-26 18:00:00;stocks;5.2;1.8;5.2;1.8
1674759600000;ZAMP3.SA;5.29;5.29;5.25;5.27;5.27;19500;5.27;0.06;54.75;ESTAVEL;2023-01-26 19:00:00;stocks;5.2;1.4;5.2;1.4
1674824400000;ZAMP3.SA;5.28;5.29;5.18;5.23;5.23;48300;5.27;-0.7;50.85;ESTAVEL;2023-01-27 13:00:00;stocks;5.2;0.63;5.2;0.63
1674828000000;ZAMP3.SA;5.2;5.25;5.06;5.13;5.13;212900;5.27;-2.57;42.67;ESTAVEL;2023-01-27 14:00:00;stocks;5.2;-1.28;5.2;-1.28
1674831600000;ZAMP3.SA;5.11;5.15;5.06;5.08;5.08;32900;5.26;-3.49;39.27;ESTAVEL;2023-01-27 15:00:00;stocks;5.2;-2.22;5.2;-2.22
1674835200000;ZAMP3.SA;5.08;5.09;5.05;5.07;5.07;54500;5.26;-3.64;38.6;ESTAVEL;2023-01-27 16:00:00;stocks;5.19;-2.39;5.19;-2.39
1674838800000;ZAMP3.SA;5.08;5.13;5.06;5.13;5.13;30200;5.26;-2.47;44.64;ESTAVEL;2023-01-27 17:00:00;stocks;5.19;-1.22;5.19;-1.22
1674842400000;ZAMP3.SA;5.13;5.16;5.08;5.15;5.15;43800;5.26;-2.07;46.53;ESTAVEL;2023-01-27 18:00:00;stocks;5.19;-0.83;5.19;-0.83
1674846000000;ZAMP3.SA;5.15;5.15;5.0;5.07;5.07;256400;5.26;-3.56;40.57;ESTAVEL;2023-01-27 19:00:00;stocks;5.19;-2.34;5.19;-2.34
1675083600000;ZAMP3.SA;5.06;5.17;5.06;5.1;5.1;16300;5.26;-2.96;43.49;ESTAVEL;2023-01-30 13:00:00;stocks;5.19;-1.75;5.19;-1.75
1675087200000;ZAMP3.SA;5.12;5.12;5.05;5.05;5.05;15300;5.25;-3.87;39.97;ESTAVEL;2023-01-30 14:00:00;stocks;5.19;-2.68;5.19;-2.68
1675090800000;ZAMP3.SA;5.07;5.07;5.01;5.03;5.03;26800;5.25;-4.21;38.62;ESTAVEL;2023-01-30 15:00:00;stocks;5.19;-3.03;5.19;-3.03
1675094400000;ZAMP3.SA;5.02;5.03;5.01;5.03;5.03;8500;5.25;-4.17;38.62;ESTAVEL;2023-01-30 16:00:00;stocks;5.19;-3.0;5.19;-3.0
