s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-01-27;1643241600000;ALLD3.SA;16.01;16.08;15.11;15.55;14.08;114600;stock;17.6;-20.0;19.85;-21.67;50.19;ESTAVEL
2022-01-28;1643328000000;ALLD3.SA;15.12;15.58;15.02;15.3;13.85;45700;stock;17.56;-21.11;19.8;-22.73;47.95;ESTAVEL
2022-01-31;1643587200000;ALLD3.SA;15.3;16.27;15.3;16.05;14.53;77500;stock;17.52;-17.07;19.76;-18.76;54.43;ESTAVEL
2022-02-01;1643673600000;ALLD3.SA;16.34;16.5;15.86;15.99;14.48;107600;stock;17.49;-17.19;19.71;-18.89;53.9;ESTAVEL
2022-02-02;1643760000000;ALLD3.SA;16.12;16.7;15.57;15.66;14.18;139900;stock;17.45;-18.73;19.67;-20.37;50.7;ESTAVEL
2022-02-03;1643846400000;ALLD3.SA;15.75;16.32;15.0;15.07;13.64;121600;stock;17.41;-21.63;19.61;-23.17;45.47;ESTAVEL
2022-02-04;1643932800000;ALLD3.SA;15.19;15.19;14.21;14.4;13.04;231500;stock;17.36;-24.87;19.56;-26.36;40.47;ESTAVEL
2022-02-07;1644192000000;ALLD3.SA;14.47;14.8;14.21;14.8;13.4;102700;stock;17.31;-22.59;19.5;-24.11;44.42;ESTAVEL
2022-02-08;1644278400000;ALLD3.SA;14.89;14.89;14.11;14.48;13.11;111200;stock;17.26;-24.06;19.44;-25.53;42.0;ESTAVEL
2022-02-09;1644364800000;ALLD3.SA;14.84;14.84;14.23;14.23;12.88;82100;stock;17.21;-25.17;19.38;-26.59;40.14;ESTAVEL
2022-02-10;1644451200000;ALLD3.SA;14.26;14.58;13.78;14.49;13.12;83900;stock;17.17;-23.57;19.33;-25.04;42.98;ESTAVEL
2022-02-11;1644537600000;ALLD3.SA;14.42;14.74;14.03;14.05;12.72;129100;stock;17.12;-25.68;19.27;-27.09;39.61;ESTAVEL
2022-02-14;1644796800000;ALLD3.SA;14.0;14.29;13.26;13.62;12.33;242900;stock;17.06;-27.73;19.21;-29.08;36.59;ESTAVEL
2022-02-15;1644883200000;ALLD3.SA;13.99;14.31;13.66;14.28;12.93;64000;stock;17.02;-24.01;19.15;-25.43;43.7;ESTAVEL
2022-02-16;1644969600000;ALLD3.SA;14.28;14.33;14.03;14.33;12.97;39300;stock;16.97;-23.57;19.1;-24.96;44.15;ESTAVEL
2022-02-17;1645056000000;ALLD3.SA;14.32;14.5;13.9;13.9;12.58;88600;stock;16.92;-25.65;19.04;-26.98;40.73;ESTAVEL
2022-02-18;1645142400000;ALLD3.SA;14.01;14.29;13.8;13.92;12.6;72300;stock;16.87;-25.32;18.98;-26.66;40.98;ESTAVEL
2022-02-21;1645401600000;ALLD3.SA;13.92;14.0;13.42;13.6;12.31;75900;stock;16.82;-26.82;18.92;-28.11;38.43;ESTAVEL
2022-02-22;1645488000000;ALLD3.SA;14.0;14.0;13.26;13.45;12.18;93800;stock;16.77;-27.36;18.86;-28.68;37.31;ESTAVEL
2022-02-23;1645574400000;ALLD3.SA;13.69;13.77;13.1;13.17;11.92;100500;stock;16.71;-28.68;18.79;-29.92;35.1;ESTAVEL
2022-02-24;1645660800000;ALLD3.SA;13.0;13.32;12.24;12.92;11.7;174600;stock;16.66;-29.76;18.73;-31.01;33.31;ESTAVEL
2022-02-25;1645747200000;ALLD3.SA;13.06;13.19;12.75;13.19;11.94;66500;stock;16.61;-28.1;18.67;-29.34;37.09;ESTAVEL
2022-03-02;1646179200000;ALLD3.SA;13.2;13.33;12.68;13.33;12.07;61400;stock;16.55;-27.09;18.61;-28.36;39.1;ESTAVEL
2022-03-03;1646265600000;ALLD3.SA;13.3;13.59;12.53;13.1;11.86;151600;stock;16.5;-28.13;18.55;-29.36;37.04;ESTAVEL
2022-03-04;1646352000000;ALLD3.SA;12.86;13.41;12.73;13.0;11.77;108200;stock;16.45;-28.45;18.48;-29.67;36.16;ESTAVEL
2022-03-07;1646611200000;ALLD3.SA;12.72;13.1;12.0;12.17;11.02;92100;stock;16.39;-32.76;18.41;-33.91;29.8;SUBIR
2022-03-08;1646697600000;ALLD3.SA;12.02;12.41;11.76;12.4;11.23;81800;stock;16.33;-31.24;18.35;-32.41;33.34;ESTAVEL
