s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2018-10-22;1540166400000;ALZR11.SA;91.68;91.69;90.96;90.96;76.68;1719;fii;79.96;-4.11;94.86;-4.11;46.97;ESTAVEL
2018-10-23;1540252800000;ALZR11.SA;91.49;91.49;90.15;90.61;76.38;1574;fii;79.92;-4.43;94.81;-4.43;44.82;ESTAVEL
2018-10-24;1540339200000;ALZR11.SA;90.62;91.18;90.0;90.8;76.54;1886;fii;79.88;-4.18;94.76;-4.18;46.23;ESTAVEL
2018-10-25;1540425600000;ALZR11.SA;90.81;91.2;90.5;90.99;76.7;2072;fii;79.85;-3.94;94.72;-3.94;47.68;ESTAVEL
2018-10-26;1540512000000;ALZR11.SA;90.99;91.1;90.01;90.75;76.5;794;fii;79.81;-4.15;94.68;-4.15;46.01;ESTAVEL
2018-10-29;1540771200000;ALZR11.SA;90.97;91.03;90.25;90.25;76.08;1728;fii;79.77;-4.62;94.62;-4.62;42.65;ESTAVEL
2018-10-30;1540857600000;ALZR11.SA;90.89;90.89;90.0;90.21;76.04;1965;fii;79.72;-4.62;94.57;-4.61;42.33;ESTAVEL
2018-10-31;1540944000000;ALZR11.SA;90.7;91.74;90.04;91.74;77.33;2097;fii;79.7;-2.97;94.54;-2.96;54.19;ESTAVEL
2018-11-01;1541030400000;ALZR11.SA;91.76;91.76;90.0;91.5;77.13;3781;fii;79.67;-3.18;94.51;-3.18;52.39;ESTAVEL
2018-11-05;1541376000000;ALZR11.SA;91.0;91.8;91.0;91.15;76.84;3438;fii;79.63;-3.51;94.47;-3.51;49.81;ESTAVEL
2018-11-06;1541462400000;ALZR11.SA;91.32;91.63;90.8;90.9;76.63;3851;fii;79.6;-3.73;94.43;-3.74;47.96;ESTAVEL
2018-11-07;1541548800000;ALZR11.SA;91.2;91.29;90.89;90.9;76.63;1355;fii;79.57;-3.69;94.39;-3.7;47.96;ESTAVEL
2018-11-08;1541635200000;ALZR11.SA;91.05;91.2;90.82;90.88;76.61;2288;fii;79.53;-3.68;94.35;-3.68;47.77;ESTAVEL
2018-11-09;1541721600000;ALZR11.SA;90.88;90.89;90.85;90.89;76.62;1392;fii;79.5;-3.62;94.31;-3.63;47.88;ESTAVEL
2018-11-12;1541980800000;ALZR11.SA;90.89;91.05;90.52;90.89;76.62;1039;fii;79.47;-3.58;94.27;-3.59;47.88;ESTAVEL
2018-11-13;1542067200000;ALZR11.SA;91.03;91.27;90.53;90.7;76.46;3217;fii;79.43;-3.74;94.23;-3.75;46.02;ESTAVEL
2018-11-14;1542153600000;ALZR11.SA;91.15;91.3;90.6;91.19;76.87;2265;fii;79.41;-3.19;94.2;-3.19;51.26;ESTAVEL
2018-11-16;1542326400000;ALZR11.SA;91.0;91.08;90.55;90.6;76.37;3075;fii;79.37;-3.78;94.16;-3.78;45.46;ESTAVEL
2018-11-19;1542585600000;ALZR11.SA;90.21;91.14;90.21;91.06;76.76;1428;fii;79.34;-3.25;94.12;-3.25;50.19;ESTAVEL
2018-11-21;1542758400000;ALZR11.SA;91.02;91.39;90.52;91.28;76.95;4090;fii;79.32;-2.98;94.09;-2.99;52.36;ESTAVEL
2018-11-22;1542844800000;ALZR11.SA;91.19;91.98;90.9;91.96;77.52;2773;fii;79.3;-2.24;94.07;-2.24;58.24;ESTAVEL
2018-11-23;1542931200000;ALZR11.SA;91.88;92.5;91.7;92.0;77.55;2101;fii;79.28;-2.18;94.04;-2.17;58.53;ESTAVEL
2018-11-26;1543190400000;ALZR11.SA;92.49;92.99;91.73;91.73;77.33;4037;fii;79.25;-2.43;94.02;-2.43;55.49;ESTAVEL
2018-11-27;1543276800000;ALZR11.SA;91.92;92.99;91.91;92.1;77.64;1227;fii;79.24;-2.01;94.0;-2.02;58.74;ESTAVEL
