s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-08-15;1218758400000;AMAR3.SA;21.12;21.12;20.38;20.62;20.29;149896;stock;23.53;-13.77;23.92;-13.8;59.78;ESTAVEL
2008-08-18;1219017600000;AMAR3.SA;20.79;20.79;19.96;20.29;19.96;101606;stock;23.49;-15.02;23.88;-15.03;56.35;ESTAVEL
2008-08-19;1219104000000;AMAR3.SA;20.38;20.38;19.54;20.21;19.88;299744;stock;23.45;-15.22;23.84;-15.22;55.52;ESTAVEL
2008-08-20;1219190400000;AMAR3.SA;20.75;20.87;20.38;20.79;20.45;74022;stock;23.41;-12.66;23.8;-12.66;60.04;ESTAVEL
2008-08-21;1219276800000;AMAR3.SA;20.92;21.04;20.38;20.38;20.04;89221;stock;23.37;-14.27;23.76;-14.24;55.66;ESTAVEL
2008-08-22;1219363200000;AMAR3.SA;20.54;20.54;20.17;20.38;20.04;107257;stock;23.34;-14.13;23.73;-14.1;55.66;ESTAVEL
2008-08-25;1219622400000;AMAR3.SA;20.75;20.79;20.17;20.17;19.84;115218;stock;23.3;-14.84;23.68;-14.84;53.45;ESTAVEL
2008-08-26;1219708800000;AMAR3.SA;20.17;20.46;19.96;20.38;20.04;257996;stock;23.26;-13.84;23.65;-13.82;55.36;ESTAVEL
2008-08-27;1219795200000;AMAR3.SA;20.42;20.42;20.17;20.38;20.04;12264;stock;23.22;-13.71;23.61;-13.68;55.36;ESTAVEL
2008-08-28;1219881600000;AMAR3.SA;20.17;20.33;19.75;19.96;19.63;135563;stock;23.18;-15.32;23.57;-15.31;50.44;ESTAVEL
2008-08-29;1219968000000;AMAR3.SA;19.96;20.29;19.96;19.96;19.63;61228;stock;23.14;-15.18;23.53;-15.16;50.44;ESTAVEL
2008-09-01;1220227200000;AMAR3.SA;20.13;20.13;19.92;20.0;19.67;123418;stock;23.1;-14.86;23.49;-14.85;50.94;ESTAVEL
2008-09-02;1220313600000;AMAR3.SA;20.29;20.29;19.67;19.67;19.35;67721;stock;23.06;-16.09;23.44;-16.1;46.91;ESTAVEL
2008-09-03;1220400000000;AMAR3.SA;20.25;20.25;19.63;19.92;19.59;203549;stock;23.02;-14.9;23.4;-14.89;50.1;ESTAVEL
2008-09-04;1220486400000;AMAR3.SA;19.54;19.88;19.42;19.88;19.55;80852;stock;22.98;-14.93;23.36;-14.91;49.56;ESTAVEL
2008-09-05;1220572800000;AMAR3.SA;19.88;20.0;19.63;20.0;19.67;18036;stock;22.94;-14.27;23.33;-14.26;51.24;ESTAVEL
2008-09-08;1220832000000;AMAR3.SA;20.17;20.79;20.17;20.71;20.37;12481;stock;22.92;-11.11;23.3;-11.11;59.66;ESTAVEL
2008-09-09;1220918400000;AMAR3.SA;20.71;20.92;20.5;20.83;20.49;48602;stock;22.89;-10.48;23.27;-10.48;60.91;ESTAVEL
2008-09-10;1221004800000;AMAR3.SA;20.79;20.79;20.42;20.67;20.33;10437;stock;22.86;-11.07;23.24;-11.06;58.32;ESTAVEL
2008-09-11;1221091200000;AMAR3.SA;20.58;20.67;20.38;20.67;20.33;27151;stock;22.83;-10.96;23.21;-10.95;58.32;ESTAVEL
2008-09-12;1221177600000;AMAR3.SA;20.38;20.71;20.38;20.71;20.37;13804;stock;22.8;-10.67;23.18;-10.67;58.83;ESTAVEL
2008-09-15;1221436800000;AMAR3.SA;20.17;20.71;19.79;20.04;19.71;54807;stock;22.77;-13.44;23.15;-13.43;48.37;ESTAVEL
2008-09-16;1221523200000;AMAR3.SA;19.75;20.13;19.54;19.88;19.55;48771;stock;22.73;-14.0;23.11;-13.98;46.22;ESTAVEL
2008-09-17;1221609600000;AMAR3.SA;19.63;19.63;18.92;19.34;19.02;169231;stock;22.69;-16.18;23.07;-16.17;39.91;ESTAVEL
2008-09-18;1221696000000;AMAR3.SA;19.13;19.21;18.59;18.92;18.61;73805;stock;22.65;-17.82;23.02;-17.82;35.83;ESTAVEL
2008-09-19;1221782400000;AMAR3.SA;20.17;20.17;19.13;19.54;19.22;65340;stock;22.61;-14.99;22.99;-14.99;44.86;ESTAVEL
2008-09-22;1222041600000;AMAR3.SA;19.96;19.96;19.34;19.46;19.14;80467;stock;22.57;-15.2;22.95;-15.19;43.98;ESTAVEL
2008-09-23;1222128000000;AMAR3.SA;19.13;19.34;18.71;18.92;18.61;149704;stock;22.53;-17.38;22.9;-17.38;38.62;ESTAVEL
2008-09-24;1222214400000;AMAR3.SA;19.13;19.13;18.3;18.38;18.08;70342;stock;22.48;-19.56;22.85;-19.57;34.13;ESTAVEL
2008-09-25;1222300800000;AMAR3.SA;18.46;18.5;18.25;18.42;18.12;203934;stock;22.43;-19.21;22.8;-19.22;34.75;ESTAVEL
2008-09-26;1222387200000;AMAR3.SA;18.5;18.5;17.46;17.67;17.38;250661;stock;22.37;-22.32;22.75;-22.31;29.29;SUBIR
