s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2005-07-01;1120176000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;13048.18;-99.99;13959.82;-99.99;0.0;SUBIR
2005-07-04;1120435200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12918.37;-99.99;13820.92;-99.99;0.0;SUBIR
2005-07-05;1120521600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12789.84;-99.99;13683.42;-99.99;0.0;SUBIR
2005-07-06;1120608000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12662.59;-99.99;13547.28;-99.99;0.0;SUBIR
2005-07-07;1120694400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12536.61;-99.99;13412.49;-99.99;0.0;SUBIR
2005-07-08;1120780800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12411.88;-99.99;13279.05;-99.99;0.0;SUBIR
2005-07-11;1121040000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12288.39;-99.99;13146.93;-99.99;0.0;SUBIR
2005-07-12;1121126400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12166.13;-99.99;13016.13;-99.99;0.0;SUBIR
2005-07-13;1121212800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;12045.09;-99.99;12886.63;-99.99;0.0;SUBIR
2005-07-14;1121299200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11925.25;-99.99;12758.42;-99.99;0.0;SUBIR
2005-07-15;1121385600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11806.6;-99.99;12631.48;-99.99;0.0;SUBIR
2005-07-18;1121644800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11689.14;-99.99;12505.81;-99.99;0.0;SUBIR
2005-07-19;1121731200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11572.84;-99.99;12381.39;-99.99;0.0;SUBIR
2005-07-20;1121817600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11457.7;-99.99;12258.21;-99.99;0.0;SUBIR
2005-07-21;1121904000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11343.7;-99.99;12136.25;-99.99;0.0;SUBIR
2005-07-22;1121990400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11230.85;-99.99;12015.5;-99.99;0.0;SUBIR
2005-07-25;1122249600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11119.11;-99.99;11895.96;-99.99;0.0;SUBIR
2005-07-26;1122336000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;11008.48;-99.99;11777.61;-99.99;0.0;SUBIR
2005-07-27;1122422400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10898.96;-99.99;11660.43;-99.99;0.0;SUBIR
2005-07-28;1122508800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10790.52;-99.99;11544.42;-99.99;0.0;SUBIR
2005-07-29;1122595200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10683.17;-99.99;11429.56;-99.99;0.0;SUBIR
2005-08-01;1122854400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10576.88;-99.99;11315.85;-99.99;0.0;SUBIR
2005-08-02;1122940800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10471.65;-99.99;11203.27;-99.99;0.0;SUBIR
2005-08-03;1123027200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10367.47;-99.99;11091.81;-99.99;0.0;SUBIR
2005-08-04;1123113600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;100000;stock;10264.32;-99.99;10981.46;-99.99;0.0;SUBIR
2005-08-05;1123200000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10162.21;-99.99;10872.2;-99.99;0.0;SUBIR
2005-08-08;1123459200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;10061.1;-99.99;10764.03;-99.99;0.0;SUBIR
2005-08-09;1123545600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9961.0;-99.99;10656.94;-99.99;0.0;SUBIR
2005-08-10;1123632000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9861.9;-99.99;10550.92;-99.99;0.0;SUBIR
2005-08-11;1123718400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9763.79;-99.99;10445.95;-99.99;0.0;SUBIR
2005-08-12;1123804800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9666.65;-99.99;10342.02;-99.99;0.0;SUBIR
2005-08-15;1124064000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9570.48;-99.99;10239.13;-99.99;0.0;SUBIR
2005-08-16;1124150400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9475.26;-99.99;10137.26;-99.99;0.0;SUBIR
2005-08-17;1124236800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9380.99;-99.99;10036.41;-99.99;0.0;SUBIR
2005-08-18;1124323200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9287.66;-99.99;9936.56;-99.99;0.0;SUBIR
2005-08-19;1124409600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9195.26;-99.99;9837.7;-99.99;0.0;SUBIR
2005-08-22;1124668800000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9103.78;-99.99;9739.83;-99.99;0.0;SUBIR
2005-08-23;1124755200000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;9013.21;-99.99;9642.93;-99.99;0.0;SUBIR
2005-08-24;1124841600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;8923.54;-99.99;9546.99;-99.99;0.0;SUBIR
2005-08-25;1124928000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;8834.76;-99.99;9452.01;-99.99;0.0;SUBIR
2005-08-26;1125014400000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;8746.86;-99.98;9357.97;-99.98;0.0;SUBIR
2005-08-29;1125273600000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;8659.84;-99.98;9264.87;-99.98;0.0;SUBIR
2005-08-30;1125360000000;AZEV4.SA;1.41;1.41;1.41;1.41;1.32;0;stock;8573.69;-99.98;9172.7;-99.98;0.0;SUBIR
