s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-02-08;1644278400000;BDIF11.SA;95.09;95.09;93.65;94.18;85.87;6809;fii;86.42;-0.64;94.79;-0.64;46.89;ESTAVEL
2022-02-09;1644364800000;BDIF11.SA;94.52;94.53;93.66;93.68;85.41;6263;fii;86.41;-1.16;94.78;-1.16;44.55;ESTAVEL
2022-02-10;1644451200000;BDIF11.SA;94.15;94.15;93.5;93.98;85.68;6068;fii;86.4;-0.84;94.77;-0.83;46.25;ESTAVEL
2022-02-11;1644537600000;BDIF11.SA;94.07;94.07;93.61;93.99;85.69;7099;fii;86.39;-0.82;94.76;-0.81;46.31;ESTAVEL
2022-02-14;1644796800000;BDIF11.SA;93.81;94.15;93.7;94.0;85.7;8843;fii;86.39;-0.79;94.75;-0.79;46.38;ESTAVEL
2022-02-15;1644883200000;BDIF11.SA;93.55;93.75;92.79;93.0;84.79;4333;fii;86.37;-1.83;94.73;-1.83;41.1;ESTAVEL
2022-02-16;1644969600000;BDIF11.SA;93.15;93.15;92.05;92.4;84.24;5798;fii;86.34;-2.44;94.7;-2.43;38.27;ESTAVEL
2022-02-17;1645056000000;BDIF11.SA;92.85;93.33;92.4;93.33;85.09;8283;fii;86.33;-1.44;94.69;-1.43;44.62;ESTAVEL
2022-02-18;1645142400000;BDIF11.SA;93.49;93.49;92.25;92.25;84.11;9712;fii;86.3;-2.54;94.66;-2.55;39.57;ESTAVEL
2022-02-21;1645401600000;BDIF11.SA;93.41;93.41;92.0;92.33;84.18;11940;fii;86.28;-2.43;94.63;-2.43;40.09;ESTAVEL
2022-02-22;1645488000000;BDIF11.SA;92.1;92.4;91.06;91.06;83.02;22839;fii;86.24;-3.74;94.59;-3.74;34.73;ESTAVEL
2022-02-23;1645574400000;BDIF11.SA;92.15;92.31;91.11;92.25;84.11;3571;fii;86.22;-2.45;94.57;-2.45;42.51;ESTAVEL
2022-02-24;1645660800000;BDIF11.SA;91.96;91.96;91.17;91.74;83.64;5032;fii;86.19;-2.96;94.53;-2.96;40.28;ESTAVEL
2022-02-25;1645747200000;BDIF11.SA;91.96;92.4;91.96;92.4;84.24;11440;fii;86.17;-2.24;94.51;-2.23;44.29;ESTAVEL
2022-03-02;1646179200000;BDIF11.SA;92.39;92.4;92.07;92.1;83.97;5257;fii;86.14;-2.52;94.48;-2.52;42.9;ESTAVEL
2022-03-03;1646265600000;BDIF11.SA;92.1;92.2;91.74;92.15;84.02;4814;fii;86.12;-2.44;94.46;-2.44;43.25;ESTAVEL
2022-03-04;1646352000000;BDIF11.SA;92.15;92.36;91.93;92.35;84.2;2790;fii;86.1;-2.2;94.43;-2.21;44.6;ESTAVEL
2022-03-07;1646611200000;BDIF11.SA;92.29;92.4;92.0;92.4;84.24;8594;fii;86.08;-2.13;94.41;-2.13;44.91;ESTAVEL
2022-03-08;1646697600000;BDIF11.SA;92.39;92.4;91.86;91.86;83.75;6394;fii;86.05;-2.67;94.38;-2.67;41.8;ESTAVEL
2022-03-09;1646784000000;BDIF11.SA;92.0;92.0;91.28;91.87;83.76;15955;fii;86.03;-2.63;94.35;-2.63;41.89;ESTAVEL
2022-03-10;1646870400000;BDIF11.SA;91.9;92.0;91.35;91.9;83.79;11637;fii;86.0;-2.57;94.33;-2.57;42.17;ESTAVEL
2022-03-11;1646956800000;BDIF11.SA;92.0;92.0;91.79;92.0;83.88;5526;fii;85.98;-2.44;94.3;-2.44;43.07;ESTAVEL
2022-03-14;1647216000000;BDIF11.SA;92.0;92.0;91.4;91.61;83.52;6453;fii;85.95;-2.83;94.27;-2.82;40.37;ESTAVEL
2022-03-15;1647302400000;BDIF11.SA;91.49;92.14;89.51;91.16;83.11;11345;fii;85.92;-3.27;94.24;-3.26;37.49;ESTAVEL
2022-03-16;1647388800000;BDIF11.SA;91.26;92.49;91.04;92.49;84.33;11823;fii;85.9;-1.83;94.22;-1.83;49.13;ESTAVEL
2022-03-17;1647475200000;BDIF11.SA;91.7;92.58;91.7;92.58;84.41;6321;fii;85.88;-1.72;94.2;-1.72;49.79;ESTAVEL
2022-03-18;1647561600000;BDIF11.SA;92.68;92.73;92.19;92.73;84.54;3130;fii;85.87;-1.55;94.18;-1.54;50.9;ESTAVEL
2022-03-21;1647820800000;BDIF11.SA;92.7;93.2;92.15;92.27;84.13;7744;fii;85.85;-2.0;94.16;-2.01;47.33;ESTAVEL
2022-03-22;1647907200000;BDIF11.SA;93.38;93.38;92.31;92.31;84.16;4633;fii;85.83;-1.95;94.14;-1.94;47.62;ESTAVEL
2022-03-23;1647993600000;BDIF11.SA;92.49;92.94;92.0;92.18;84.04;8109;fii;85.81;-2.06;94.12;-2.06;46.52;ESTAVEL
2022-03-24;1648080000000;BDIF11.SA;93.33;93.33;91.01;92.59;84.42;15066;fii;85.8;-1.6;94.1;-1.61;50.43;ESTAVEL
2022-03-25;1648166400000;BDIF11.SA;92.74;92.74;92.18;92.72;84.54;2675;fii;85.78;-1.45;94.09;-1.45;51.63;ESTAVEL
2022-03-28;1648425600000;BDIF11.SA;92.72;93.27;92.52;93.19;84.96;5664;fii;85.77;-0.95;94.08;-0.94;55.68;ESTAVEL
2022-03-29;1648512000000;BDIF11.SA;92.98;93.3;92.5;92.63;84.45;5543;fii;85.76;-1.52;94.06;-1.52;50.19;ESTAVEL
2022-03-30;1648598400000;BDIF11.SA;92.79;94.09;92.57;93.02;84.81;7270;fii;85.75;-1.09;94.05;-1.09;53.66;ESTAVEL
2022-03-31;1648684800000;BDIF11.SA;93.94;94.55;93.54;94.45;86.11;9231;fii;85.75;0.42;94.05;0.42;63.56;ESTAVEL
2022-04-01;1648771200000;BDIF11.SA;93.88;95.64;93.88;95.4;86.98;7008;fii;85.76;1.42;94.07;1.42;68.42;ESTAVEL
2022-04-04;1649030400000;BDIF11.SA;95.1;95.9;95.0;95.4;86.98;4549;fii;85.78;1.4;94.08;1.4;68.42;ESTAVEL
2022-04-05;1649116800000;BDIF11.SA;95.89;95.89;94.68;94.7;86.34;7451;fii;85.78;0.65;94.09;0.65;61.43;ESTAVEL
2022-04-06;1649203200000;BDIF11.SA;95.48;95.66;94.8;94.85;86.48;7014;fii;85.79;0.8;94.1;0.8;62.33;ESTAVEL
