s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-10-17;1224201600000;BGIP4.SA;8.0;8.0;8.0;8.0;3.22;0;stock;4.7;-31.42;11.68;-31.52;23.04;SUBIR
2008-10-20;1224460800000;BGIP4.SA;7.25;7.25;7.25;7.25;2.91;725;stock;4.68;-37.75;11.63;-37.67;17.15;SUBIR
2008-10-21;1224547200000;BGIP4.SA;7.59;7.59;7.59;7.59;3.05;145;stock;4.66;-34.5;11.58;-34.48;26.32;SUBIR
2008-10-22;1224633600000;BGIP4.SA;7.59;7.59;7.59;7.59;3.05;0;stock;4.64;-34.24;11.54;-34.22;26.32;SUBIR
2008-10-23;1224720000000;BGIP4.SA;7.32;7.32;6.98;6.98;2.81;290;stock;4.62;-39.14;11.49;-39.23;21.57;SUBIR
2008-10-24;1224806400000;BGIP4.SA;6.97;6.97;6.9;6.9;2.77;1740;stock;4.6;-39.73;11.43;-39.66;20.89;SUBIR
2008-10-27;1225065600000;BGIP4.SA;6.93;6.93;6.9;6.9;2.77;290;stock;4.58;-39.46;11.38;-39.38;20.89;SUBIR
2008-10-28;1225152000000;BGIP4.SA;6.81;6.81;6.81;6.81;2.74;290;stock;4.55;-39.84;11.33;-39.9;20.34;SUBIR
2008-10-29;1225238400000;BGIP4.SA;6.9;7.03;6.9;7.03;2.83;725;stock;4.53;-37.59;11.28;-37.69;26.63;SUBIR
2008-10-30;1225324800000;BGIP4.SA;7.24;7.31;7.24;7.31;2.94;290;stock;4.52;-34.91;11.24;-34.94;33.55;ESTAVEL
2008-10-31;1225411200000;BGIP4.SA;7.31;7.31;7.31;7.31;2.94;0;stock;4.5;-34.65;11.19;-34.69;33.55;ESTAVEL
2008-11-03;1225670400000;BGIP4.SA;7.0;7.0;6.9;6.9;2.77;725;stock;4.48;-38.16;11.14;-38.08;28.7;SUBIR
2008-11-04;1225756800000;BGIP4.SA;7.25;7.25;7.25;7.25;2.91;7250;stock;4.46;-34.77;11.1;-34.68;36.8;ESTAVEL
2008-11-05;1225843200000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;12615;stock;4.44;-34.52;11.06;-34.51;36.8;ESTAVEL
2008-11-06;1225929600000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;9425;stock;4.43;-34.26;11.01;-34.26;36.8;ESTAVEL
2008-11-07;1226016000000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.41;-34.01;10.97;-34.0;36.8;ESTAVEL
2008-11-10;1226275200000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.39;-33.75;10.93;-33.75;36.8;ESTAVEL
2008-11-11;1226361600000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;1595;stock;4.38;-33.5;10.89;-33.5;36.8;ESTAVEL
2008-11-12;1226448000000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.36;-33.25;10.85;-33.25;36.8;ESTAVEL
2008-11-13;1226534400000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.34;-33.0;10.81;-33.0;36.8;ESTAVEL
2008-11-14;1226620800000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.33;-32.75;10.77;-32.75;36.8;ESTAVEL
2008-11-17;1226880000000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.31;-32.5;10.73;-32.5;36.8;ESTAVEL
2008-11-18;1226966400000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;435;stock;4.3;-32.26;10.69;-32.26;36.8;ESTAVEL
2008-11-19;1227052800000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;9425;stock;4.28;-32.01;10.65;-32.01;36.8;ESTAVEL
2008-11-21;1227225600000;BGIP4.SA;7.03;7.03;7.03;7.03;2.83;580;stock;4.26;-33.63;10.61;-33.73;31.78;ESTAVEL
2008-11-24;1227484800000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;290;stock;4.25;-24.98;10.58;-25.04;58.93;ESTAVEL
2008-11-25;1227571200000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.24;-24.77;10.55;-24.83;58.93;ESTAVEL
2008-11-26;1227657600000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.23;-24.56;10.52;-24.62;58.93;ESTAVEL
2008-11-27;1227744000000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.22;-24.36;10.49;-24.42;58.93;ESTAVEL
2008-11-28;1227830400000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.21;-24.15;10.46;-24.21;58.93;ESTAVEL
2008-12-01;1228089600000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;580;stock;4.19;-23.95;10.44;-24.01;58.93;ESTAVEL
2008-12-02;1228176000000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.18;-23.75;10.41;-23.81;58.93;ESTAVEL
2008-12-03;1228262400000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;870;stock;4.17;-23.55;10.38;-23.61;58.93;ESTAVEL
2008-12-04;1228348800000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.16;-23.35;10.35;-23.41;58.93;ESTAVEL
2008-12-05;1228435200000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.15;-23.15;10.33;-23.21;58.93;ESTAVEL
2008-12-08;1228694400000;BGIP4.SA;7.93;7.93;7.93;7.93;3.19;0;stock;4.14;-22.96;10.3;-23.01;58.93;ESTAVEL
2008-12-09;1228780800000;BGIP4.SA;7.24;7.25;7.24;7.25;2.91;1595;stock;4.13;-29.49;10.27;-29.38;34.68;ESTAVEL
2008-12-10;1228867200000;BGIP4.SA;7.25;7.25;7.25;7.25;2.91;0;stock;4.11;-29.26;10.23;-29.16;34.68;ESTAVEL
2008-12-11;1228953600000;BGIP4.SA;7.25;7.25;7.1;7.1;2.86;435;stock;4.1;-30.24;10.2;-30.39;31.95;ESTAVEL
2008-12-12;1229040000000;BGIP4.SA;7.1;7.1;7.1;7.1;2.86;0;stock;4.09;-30.01;10.17;-30.15;31.95;ESTAVEL
2008-12-15;1229299200000;BGIP4.SA;7.1;7.1;7.1;7.1;2.86;0;stock;4.07;-29.78;10.13;-29.92;31.95;ESTAVEL
2008-12-16;1229385600000;BGIP4.SA;7.12;7.24;7.1;7.24;2.91;8700;stock;4.06;-28.33;10.1;-28.32;38.03;ESTAVEL
2008-12-17;1229472000000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;0;stock;4.05;-28.1;10.07;-28.1;38.03;ESTAVEL
2008-12-18;1229558400000;BGIP4.SA;7.24;7.24;7.24;7.24;2.91;4785;stock;4.04;-27.88;10.04;-27.87;38.03;ESTAVEL
2008-12-19;1229644800000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;145;stock;4.02;-24.95;10.01;-24.88;50.24;ESTAVEL
2008-12-22;1229904000000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;145;stock;4.01;-24.75;9.98;-24.68;50.24;ESTAVEL
2008-12-23;1229990400000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;290;stock;4.0;-24.54;9.96;-24.47;50.24;ESTAVEL
2008-12-26;1230249600000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.99;-24.34;9.93;-24.27;50.24;ESTAVEL
2008-12-29;1230508800000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.98;-24.14;9.9;-24.07;50.24;ESTAVEL
2008-12-30;1230595200000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.97;-23.94;9.88;-23.87;50.24;ESTAVEL
2009-01-02;1230854400000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.96;-23.74;9.85;-23.67;50.24;ESTAVEL
2009-01-05;1231113600000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.95;-23.55;9.83;-23.48;50.24;ESTAVEL
2009-01-06;1231200000000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.94;-23.35;9.8;-23.28;50.24;ESTAVEL
2009-01-07;1231286400000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.93;-23.16;9.78;-23.09;50.24;ESTAVEL
2009-01-08;1231372800000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.92;-22.97;9.75;-22.9;50.24;ESTAVEL
2009-01-09;1231459200000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.91;-22.77;9.73;-22.71;50.24;ESTAVEL
2009-01-12;1231718400000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.9;-22.58;9.71;-22.52;50.24;ESTAVEL
2009-01-13;1231804800000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.89;-22.4;9.68;-22.33;50.24;ESTAVEL
2009-01-14;1231891200000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.88;-22.21;9.66;-22.14;50.24;ESTAVEL
2009-01-15;1231977600000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.87;-22.02;9.64;-21.96;50.24;ESTAVEL
2009-01-16;1232064000000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.86;-21.84;9.61;-21.77;50.24;ESTAVEL
2009-01-19;1232323200000;BGIP4.SA;7.52;7.52;7.52;7.52;3.02;0;stock;3.85;-21.65;9.59;-21.59;50.24;ESTAVEL
2009-01-20;1232409600000;BGIP4.SA;8.52;8.52;8.52;8.52;3.42;145;stock;3.85;-11.17;9.58;-11.05;86.63;ESTAVEL
2009-01-21;1232496000000;BGIP4.SA;8.52;8.52;8.52;8.52;3.42;0;stock;3.85;-11.06;9.57;-10.95;86.63;ESTAVEL
2009-01-22;1232582400000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;1015;stock;3.84;-13.28;9.55;-13.33;72.75;ESTAVEL
2009-01-23;1232668800000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;145;stock;3.83;-13.15;9.54;-13.21;72.75;ESTAVEL
2009-01-26;1232928000000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.83;-13.03;9.53;-13.09;72.75;ESTAVEL
2009-01-27;1233014400000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.82;-12.91;9.51;-12.96;72.75;ESTAVEL
2009-01-28;1233100800000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;20445;stock;3.82;-12.79;9.5;-12.84;72.75;ESTAVEL
2009-01-29;1233187200000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.81;-12.67;9.49;-12.72;72.75;ESTAVEL
2009-01-30;1233273600000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.81;-12.55;9.47;-12.6;72.75;ESTAVEL
2009-02-02;1233532800000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.8;-12.44;9.46;-12.49;72.75;ESTAVEL
2009-02-03;1233619200000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.8;-12.32;9.45;-12.37;72.75;ESTAVEL
2009-02-04;1233705600000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.79;-12.2;9.44;-12.25;72.75;ESTAVEL
2009-02-05;1233792000000;BGIP4.SA;8.28;8.28;8.28;8.28;3.33;0;stock;3.79;-12.09;9.42;-12.14;72.75;ESTAVEL
