s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-10-17;1224201600000;BMEB4.SA;5.0;5.0;4.75;4.99;1.58;43026;stock;99.58;-98.41;313.85;-98.41;28.69;SUBIR
2008-10-20;1224460800000;BMEB4.SA;5.25;5.34;4.75;4.99;1.58;63238;stock;98.45;-98.4;310.3;-98.39;28.69;SUBIR
2008-10-21;1224547200000;BMEB4.SA;4.5;4.75;4.5;4.74;1.5;101862;stock;97.34;-98.46;306.8;-98.46;25.77;SUBIR
2008-10-22;1224633600000;BMEB4.SA;4.5;4.51;4.45;4.5;1.43;13608;stock;96.24;-98.51;303.34;-98.52;23.51;SUBIR
2008-10-23;1224720000000;BMEB4.SA;4.36;4.36;4.15;4.25;1.35;25815;stock;95.16;-98.58;299.92;-98.58;21.23;SUBIR
2008-10-24;1224806400000;BMEB4.SA;4.48;4.48;3.9;4.09;1.3;10006;stock;94.08;-98.62;296.54;-98.62;19.92;SUBIR
2008-10-27;1225065600000;BMEB4.SA;4.0;4.11;3.95;4.11;1.3;127878;stock;93.03;-98.6;293.2;-98.6;19.92;SUBIR
2008-10-28;1225152000000;BMEB4.SA;3.5;4.0;3.5;4.0;1.27;159698;stock;91.98;-98.62;289.91;-98.62;19.11;SUBIR
2008-10-29;1225238400000;BMEB4.SA;3.6;3.82;3.55;3.75;1.19;114270;stock;90.95;-98.69;286.66;-98.69;17.09;SUBIR
2008-10-30;1225324800000;BMEB4.SA;3.8;3.9;3.6;3.85;1.22;126277;stock;89.93;-98.64;283.44;-98.64;20.48;SUBIR
2008-10-31;1225411200000;BMEB4.SA;3.65;3.9;3.63;3.89;1.24;62838;stock;88.92;-98.61;280.27;-98.61;22.74;SUBIR
2008-11-03;1225670400000;BMEB4.SA;3.95;4.37;3.85;4.22;1.34;123676;stock;87.93;-98.48;277.15;-98.48;33.01;ESTAVEL
2008-11-04;1225756800000;BMEB4.SA;4.35;4.64;4.35;4.6;1.46;32820;stock;86.95;-98.32;274.07;-98.32;42.82;ESTAVEL
2008-11-05;1225843200000;BMEB4.SA;4.5;4.65;4.5;4.65;1.47;31819;stock;85.99;-98.29;271.02;-98.28;43.57;ESTAVEL
2008-11-06;1225929600000;BMEB4.SA;4.39;4.57;4.3;4.57;1.45;7204;stock;85.04;-98.29;268.02;-98.29;42.38;ESTAVEL
2008-11-07;1226016000000;BMEB4.SA;4.29;4.64;4.26;4.64;1.47;37222;stock;84.09;-98.25;265.05;-98.25;44.02;ESTAVEL
2008-11-10;1226275200000;BMEB4.SA;4.57;4.6;4.38;4.5;1.43;44827;stock;83.16;-98.28;262.12;-98.28;41.48;ESTAVEL
2008-11-11;1226361600000;BMEB4.SA;4.35;4.35;4.0;4.0;1.27;129880;stock;82.24;-98.46;259.22;-98.46;33.21;ESTAVEL
2008-11-12;1226448000000;BMEB4.SA;3.95;4.06;3.75;3.75;1.19;75846;stock;81.34;-98.54;256.36;-98.54;30.0;ESTAVEL
2008-11-13;1226534400000;BMEB4.SA;3.95;3.95;3.79;3.8;1.2;19812;stock;80.44;-98.51;253.53;-98.5;30.9;ESTAVEL
2008-11-14;1226620800000;BMEB4.SA;4.0;4.0;3.77;3.9;1.24;3402;stock;79.55;-98.44;250.73;-98.44;34.53;ESTAVEL
2008-11-17;1226880000000;BMEB4.SA;4.02;4.02;3.75;3.75;1.19;9005;stock;78.68;-98.49;247.97;-98.49;32.25;ESTAVEL
2008-11-18;1226966400000;BMEB4.SA;3.95;3.95;3.95;3.95;1.25;200;stock;77.81;-98.39;245.25;-98.39;37.58;ESTAVEL
2008-11-19;1227052800000;BMEB4.SA;3.9;3.92;3.6;3.7;1.17;27216;stock;76.96;-98.48;242.56;-98.47;33.76;ESTAVEL
2008-11-21;1227225600000;BMEB4.SA;3.9;3.9;3.9;3.9;1.24;200;stock;76.11;-98.37;239.9;-98.37;39.54;ESTAVEL
2008-11-24;1227484800000;BMEB4.SA;3.91;3.91;3.75;3.89;1.23;38823;stock;75.28;-98.37;237.27;-98.36;39.02;ESTAVEL
2008-11-25;1227571200000;BMEB4.SA;3.92;3.92;3.92;3.92;1.24;200;stock;74.46;-98.33;234.68;-98.33;39.88;ESTAVEL
2008-11-26;1227657600000;BMEB4.SA;3.9;3.9;3.55;3.75;1.19;17410;stock;73.65;-98.38;232.12;-98.38;37.07;ESTAVEL
2008-11-27;1227744000000;BMEB4.SA;3.6;3.8;3.55;3.75;1.19;33220;stock;72.84;-98.37;229.59;-98.37;37.07;ESTAVEL
2008-11-28;1227830400000;BMEB4.SA;3.6;3.75;3.5;3.69;1.17;17010;stock;72.05;-98.38;227.09;-98.38;35.9;ESTAVEL
2008-12-01;1228089600000;BMEB4.SA;3.79;3.79;3.74;3.74;1.19;1000;stock;71.27;-98.33;224.62;-98.33;38.01;ESTAVEL
2008-12-02;1228176000000;BMEB4.SA;3.82;3.82;3.5;3.7;1.17;42626;stock;70.49;-98.34;222.18;-98.33;36.71;ESTAVEL
2008-12-03;1228262400000;BMEB4.SA;3.55;3.59;3.5;3.5;1.11;58636;stock;69.73;-98.41;219.76;-98.41;33.05;ESTAVEL
2008-12-04;1228348800000;BMEB4.SA;3.55;3.62;3.45;3.6;1.14;90455;stock;68.97;-98.35;217.38;-98.34;36.46;ESTAVEL
2008-12-05;1228435200000;BMEB4.SA;3.87;3.87;3.87;3.87;1.23;200;stock;68.22;-98.2;215.03;-98.2;45.44;ESTAVEL
2008-12-08;1228694400000;BMEB4.SA;3.82;3.82;3.82;3.82;1.21;4602;stock;67.49;-98.21;212.71;-98.2;43.95;ESTAVEL
2008-12-09;1228780800000;BMEB4.SA;3.89;3.89;3.45;3.72;1.18;170905;stock;66.76;-98.23;210.41;-98.23;41.75;ESTAVEL
