s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2015-05-26;1432598400000;BRCR11.SA;105.01;105.21;104.1;105.0;86.69;16058;fii;88.58;-2.14;107.3;-2.14;47.08;ESTAVEL
2015-05-27;1432684800000;BRCR11.SA;105.01;105.79;105.0;105.4;87.02;14459;fii;88.57;-1.75;107.27;-1.75;50.22;ESTAVEL
2015-05-28;1432771200000;BRCR11.SA;105.69;105.75;104.99;105.03;86.71;14409;fii;88.55;-2.07;107.25;-2.07;47.38;ESTAVEL
2015-05-29;1432857600000;BRCR11.SA;105.64;105.7;104.1;105.0;86.69;20550;fii;88.52;-2.07;107.22;-2.07;47.19;ESTAVEL
2015-06-01;1433116800000;BRCR11.SA;105.0;105.0;104.5;104.98;86.67;14023;fii;88.5;-2.07;107.2;-2.07;46.99;ESTAVEL
2015-06-02;1433203200000;BRCR11.SA;104.89;104.89;104.02;104.3;86.11;38800;fii;88.48;-2.67;107.16;-2.67;41.7;ESTAVEL
2015-06-03;1433289600000;BRCR11.SA;104.5;105.13;104.3;104.74;86.48;31740;fii;88.45;-2.23;107.14;-2.24;46.03;ESTAVEL
2015-06-05;1433462400000;BRCR11.SA;104.55;104.99;104.31;104.7;86.44;16564;fii;88.43;-2.25;107.11;-2.25;45.63;ESTAVEL
2015-06-08;1433721600000;BRCR11.SA;104.4;105.94;104.4;105.79;87.34;25505;fii;88.42;-1.22;107.09;-1.22;54.97;ESTAVEL
2015-06-09;1433808000000;BRCR11.SA;104.85;105.17;103.4;104.65;86.4;25375;fii;88.39;-2.26;107.07;-2.26;46.07;ESTAVEL
2015-06-10;1433894400000;BRCR11.SA;104.9;105.69;104.61;105.5;87.1;136212;fii;88.38;-1.45;107.05;-1.45;52.27;ESTAVEL
2015-06-11;1433980800000;BRCR11.SA;105.5;106.96;104.7;104.7;86.44;36982;fii;88.36;-2.17;107.02;-2.17;46.81;ESTAVEL
2015-06-12;1434067200000;BRCR11.SA;104.7;106.35;104.7;105.0;86.69;27189;fii;88.34;-1.87;107.0;-1.87;48.98;ESTAVEL
2015-06-15;1434326400000;BRCR11.SA;106.0;107.46;105.1;106.49;87.92;50302;fii;88.33;-0.47;106.99;-0.47;58.06;ESTAVEL
2015-06-16;1434412800000;BRCR11.SA;106.25;107.72;105.93;107.01;88.35;50694;fii;88.33;0.02;106.99;0.02;60.7;ESTAVEL
2015-06-17;1434499200000;BRCR11.SA;107.74;107.99;107.0;107.9;89.08;35471;fii;88.34;0.83;107.0;0.84;64.75;ESTAVEL
2015-06-18;1434585600000;BRCR11.SA;107.9;109.36;107.52;108.99;89.98;33732;fii;88.36;1.83;107.03;1.84;68.99;ESTAVEL
2015-06-19;1434672000000;BRCR11.SA;108.98;110.2;108.0;108.0;89.17;103715;fii;88.37;0.9;107.04;0.9;61.78;ESTAVEL
2015-06-22;1434931200000;BRCR11.SA;108.01;109.29;107.06;107.99;89.16;39500;fii;88.38;0.88;107.05;0.88;61.7;ESTAVEL
2015-06-23;1435017600000;BRCR11.SA;107.97;108.99;107.0;107.5;88.75;49497;fii;88.38;0.41;107.05;0.42;58.14;ESTAVEL
2015-06-24;1435104000000;BRCR11.SA;107.9;108.98;107.52;107.61;88.84;24585;fii;88.39;0.51;107.06;0.52;58.7;ESTAVEL
2015-06-25;1435190400000;BRCR11.SA;108.39;108.39;107.0;107.45;88.71;23660;fii;88.39;0.36;107.06;0.36;57.5;ESTAVEL
2015-06-26;1435276800000;BRCR11.SA;107.7;108.29;107.0;107.5;88.75;25856;fii;88.4;0.4;107.07;0.4;57.78;ESTAVEL
2015-06-29;1435536000000;BRCR11.SA;107.33;107.83;106.5;107.49;88.75;17507;fii;88.4;0.4;107.07;0.39;57.78;ESTAVEL
2015-06-30;1435622400000;BRCR11.SA;107.0;107.39;106.62;106.9;88.26;17302;fii;88.4;-0.16;107.07;-0.16;52.73;ESTAVEL
