s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-09;971049600000;BRIV3.SA;2.91;2.91;2.91;2.91;2.25;1000;stock;2.51;-10.44;3.25;-10.55;20.14;SUBIR
2000-10-10;971136000000;BRIV3.SA;2.9;2.9;2.9;2.9;2.24;31000;stock;2.51;-10.73;3.25;-10.75;18.69;SUBIR
2000-10-11;971222400000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;4000;stock;2.5;-15.36;3.24;-15.22;9.65;SUBIR
2000-10-12;971308800000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;0;stock;2.5;-15.21;3.24;-15.07;9.65;SUBIR
2000-10-13;971395200000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;0;stock;2.5;-15.06;3.23;-14.92;9.65;SUBIR
2000-10-16;971654400000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;0;stock;2.49;-14.92;3.23;-14.78;9.65;SUBIR
2000-10-17;971740800000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;3000;stock;2.49;-14.77;3.22;-14.63;9.65;SUBIR
2000-10-18;971827200000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;0;stock;2.48;-14.63;3.22;-14.49;9.65;SUBIR
2000-10-19;971913600000;BRIV3.SA;2.75;2.75;2.75;2.75;2.12;0;stock;2.48;-14.49;3.21;-14.35;9.65;SUBIR
2000-10-20;972000000000;BRIV3.SA;2.8;2.8;2.8;2.8;2.16;3000;stock;2.48;-12.75;3.21;-12.67;28.9;SUBIR
2000-10-23;972259200000;BRIV3.SA;2.8;2.8;2.8;2.8;2.16;0;stock;2.47;-12.62;3.2;-12.54;28.9;SUBIR
2000-10-24;972345600000;BRIV3.SA;2.8;2.8;2.8;2.8;2.16;0;stock;2.47;-12.49;3.2;-12.42;28.9;SUBIR
2000-10-25;972432000000;BRIV3.SA;2.71;2.71;2.7;2.7;2.08;5000;stock;2.46;-15.59;3.19;-15.39;18.86;SUBIR
2000-10-26;972518400000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;10000;stock;2.46;-15.44;3.19;-15.25;18.86;SUBIR
2000-10-27;972604800000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.46;-15.29;3.18;-15.1;18.86;SUBIR
2000-10-30;972864000000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.45;-15.14;3.17;-14.96;18.86;SUBIR
2000-10-31;972950400000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.45;-15.0;3.17;-14.81;18.86;SUBIR
2000-11-01;973036800000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.44;-14.85;3.16;-14.67;18.86;SUBIR
2000-11-02;973123200000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.44;-14.71;3.16;-14.53;18.86;SUBIR
2000-11-03;973209600000;BRIV3.SA;2.71;2.71;2.7;2.7;2.08;5000;stock;2.43;-14.57;3.15;-14.39;18.86;SUBIR
2000-11-06;973468800000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.43;-14.43;3.15;-14.25;18.86;SUBIR
2000-11-07;973555200000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;1000;stock;2.43;-14.29;3.14;-14.12;18.86;SUBIR
2000-11-08;973641600000;BRIV3.SA;2.7;2.7;2.7;2.7;2.08;0;stock;2.42;-14.16;3.14;-13.98;18.86;SUBIR
2000-11-09;973728000000;BRIV3.SA;2.7;2.71;2.7;2.71;2.09;6000;stock;2.42;-13.61;3.13;-13.53;26.11;SUBIR
2000-11-10;973814400000;BRIV3.SA;2.71;2.71;2.71;2.71;2.09;0;stock;2.42;-13.48;3.13;-13.4;26.11;SUBIR
2000-11-13;974073600000;BRIV3.SA;2.65;2.65;2.65;2.65;2.05;5000;stock;2.41;-14.99;3.12;-15.17;18.46;SUBIR
2000-11-14;974160000000;BRIV3.SA;2.65;2.65;2.65;2.65;2.05;0;stock;2.41;-14.85;3.12;-15.03;18.46;SUBIR
2000-11-15;974246400000;BRIV3.SA;2.65;2.65;2.65;2.65;2.05;0;stock;2.4;-14.71;3.11;-14.89;18.46;SUBIR
