s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-04-05;1680652800000;BROF11.SA;78.0;78.0;60.0;63.52;59.73;164157;fii;;;;;
2023-04-06;1680739200000;BROF11.SA;60.23;62.5;56.02;60.0;56.42;212501;fii;;;;;
2023-04-10;1681084800000;BROF11.SA;60.0;61.98;56.92;61.0;57.36;125860;fii;;;;;
2023-04-11;1681171200000;BROF11.SA;59.51;64.94;58.94;58.94;55.43;73134;fii;;;;;
2023-04-12;1681257600000;BROF11.SA;58.94;61.48;58.62;60.12;56.54;17277;fii;;;;;
2023-04-13;1681344000000;BROF11.SA;60.4;60.5;59.06;60.0;56.42;33688;fii;;;;;
2023-04-14;1681430400000;BROF11.SA;60.0;61.94;59.31;61.23;57.58;3652;fii;;;;;
2023-04-17;1681689600000;BROF11.SA;59.51;62.87;58.51;62.87;59.12;192344;fii;;;;;
2023-04-18;1681776000000;BROF11.SA;60.02;62.77;60.02;62.16;58.45;18607;fii;;;;;
2023-04-19;1681862400000;BROF11.SA;60.02;62.49;58.2;58.2;54.73;91675;fii;;;;;
2023-04-20;1681948800000;BROF11.SA;60.85;60.85;58.97;59.65;56.09;5853;fii;;;;;
2023-04-24;1682294400000;BROF11.SA;59.65;60.0;55.27;56.2;52.85;70728;fii;;;;;
2023-04-25;1682380800000;BROF11.SA;57.0;59.25;56.46;58.85;55.34;7935;fii;;;;;
2023-04-26;1682467200000;BROF11.SA;57.07;59.89;57.07;59.0;55.48;6851;fii;;;;;
2023-04-27;1682553600000;BROF11.SA;58.01;59.84;58.01;58.5;55.01;4289;fii;;;;;39.37
2023-04-28;1682640000000;BROF11.SA;58.51;59.39;58.5;58.77;55.27;13508;fii;;;;;40.12
2023-05-02;1682985600000;BROF11.SA;58.0;59.55;56.17;58.0;54.54;23182;fii;;;;;38.67
2023-05-03;1683072000000;BROF11.SA;57.51;59.4;57.51;58.21;54.74;4283;fii;;;;;39.32
2023-05-04;1683158400000;BROF11.SA;57.96;59.15;57.95;58.6;55.11;8868;fii;;;;;40.57
2023-05-05;1683244800000;BROF11.SA;58.5;59.0;57.51;58.96;55.44;7688;fii;;;;;41.73
2023-05-08;1683504000000;BROF11.SA;57.85;59.0;57.85;58.5;55.01;7953;fii;;;;;40.62
2023-05-09;1683590400000;BROF11.SA;58.5;59.98;57.96;58.05;54.59;11437;fii;;;;;39.51
2023-05-10;1683676800000;BROF11.SA;58.1;59.6;58.1;58.63;55.13;10601;fii;;;;;41.71
2023-05-11;1683763200000;BROF11.SA;58.3;60.0;58.3;58.92;55.41;17173;fii;;;;;42.87
2023-05-12;1683849600000;BROF11.SA;59.05;59.59;58.06;58.3;54.82;14246;fii;;;;;41.02
2023-05-15;1684108800000;BROF11.SA;58.32;60.99;58.05;59.66;56.1;42709;fii;;;;;46.42
2023-05-16;1684195200000;BROF11.SA;59.05;60.02;58.61;59.05;55.53;10076;fii;;;;;44.47
2023-05-17;1684281600000;BROF11.SA;59.05;60.9;59.05;60.9;57.27;22964;fii;;;;;51.22
2023-05-18;1684368000000;BROF11.SA;60.7;60.79;59.12;59.51;56.49;27539;fii;;;;;48.38
2023-05-19;1684454400000;BROF11.SA;60.99;64.4;59.61;61.82;58.68;14907;fii;;;;;55.79
2023-05-22;1684713600000;BROF11.SA;63.8;64.5;63.11;64.0;60.75;123824;fii;;;;;61.42
2023-05-23;1684800000000;BROF11.SA;64.58;65.39;63.01;63.01;59.81;106478;fii;;;;;57.82
2023-05-24;1684886400000;BROF11.SA;64.31;64.89;63.52;64.89;61.6;22015;fii;;;;;62.35
2023-05-25;1684972800000;BROF11.SA;64.5;66.18;64.15;66.0;62.65;26108;fii;;;;;64.74
2023-05-26;1685059200000;BROF11.SA;66.3;67.49;65.8;66.74;63.36;24752;fii;;;;;66.3
2023-05-29;1685318400000;BROF11.SA;67.99;68.58;65.22;66.78;63.39;30653;fii;;;;;66.37
2023-05-30;1685404800000;BROF11.SA;66.81;67.0;65.95;66.99;63.59;26703;fii;;;;;66.84
2023-05-31;1685491200000;BROF11.SA;66.98;73.2;66.33;68.7;65.22;59276;fii;;;;;70.52
2023-06-01;1685577600000;BROF11.SA;68.7;70.49;67.73;70.49;66.91;22948;fii;;;;;73.77
2023-06-02;1685664000000;BROF11.SA;70.73;70.9;68.51;70.9;67.3;38077;fii;;;;;74.47
2023-06-05;1685923200000;BROF11.SA;68.73;70.9;68.73;69.11;65.6;33976;fii;;;;;66.19
2023-06-06;1686009600000;BROF11.SA;69.14;70.44;67.8;70.44;66.87;45110;fii;;;;;68.96
2023-06-07;1686096000000;BROF11.SA;68.71;70.93;68.71;70.5;66.92;15263;fii;;;;;69.07
2023-06-09;1686268800000;BROF11.SA;70.48;70.49;68.8;70.49;66.91;47333;fii;;;;;69.02
2023-06-12;1686528000000;BROF11.SA;70.21;70.96;69.08;70.77;67.18;29706;fii;;;;;69.68
2023-06-13;1686614400000;BROF11.SA;70.03;70.99;69.5;69.95;66.4;14046;fii;;;;;65.36
2023-06-14;1686700800000;BROF11.SA;69.72;70.96;69.38;69.7;66.16;14000;fii;;;;;64.04
2023-06-15;1686787200000;BROF11.SA;70.29;70.29;69.55;69.8;66.26;5105;fii;;;;;64.36
2023-06-16;1686873600000;BROF11.SA;69.7;70.5;68.13;68.9;65.41;78000;fii;;;;;59.49
2023-06-19;1687132800000;BROF11.SA;69.96;70.49;69.2;70.2;66.64;19590;fii;;;;;63.76
2023-06-20;1687219200000;BROF11.SA;68.99;70.0;68.65;69.4;66.46;20272;fii;;;;;62.72
2023-06-21;1687305600000;BROF11.SA;69.17;70.1;69.17;69.95;66.98;9184;fii;;;;;64.53
2023-06-22;1687392000000;BROF11.SA;69.56;70.07;69.0;69.79;66.83;29333;fii;;;;;63.57
2023-06-23;1687478400000;BROF11.SA;69.52;69.98;69.43;69.7;66.74;11884;fii;;;;;62.97
2023-06-26;1687737600000;BROF11.SA;69.96;69.96;68.74;69.05;66.12;14607;fii;;;;;58.82
2023-06-27;1687824000000;BROF11.SA;69.27;69.97;69.02;69.65;66.7;12237;fii;;;;;61.38
2023-06-28;1687910400000;BROF11.SA;69.74;69.81;69.0;69.46;66.52;209437;fii;;;;;60.13
2023-06-29;1687996800000;BROF11.SA;69.45;69.48;68.9;68.91;65.99;5656;fii;;;;;56.49
2023-06-30;1688083200000;BROF11.SA;68.84;70.0;68.84;70.0;67.03;12258;fii;;;;;61.43
2023-07-03;1688342400000;BROF11.SA;70.0;70.0;69.0;69.32;66.38;11169;fii;;;;;57.07
2023-07-04;1688428800000;BROF11.SA;69.32;69.5;69.1;69.1;66.17;6210;fii;;;;;55.69
2023-07-05;1688515200000;BROF11.SA;69.48;69.95;68.9;69.49;66.54;23532;fii;;;;;57.63
2023-07-06;1688601600000;BROF11.SA;69.51;69.8;69.05;69.4;66.46;21633;fii;;;;;57.05
2023-07-07;1688688000000;BROF11.SA;69.39;70.6;69.1;69.56;66.61;27802;fii;;;;;57.91
2023-07-10;1688947200000;BROF11.SA;69.58;70.49;69.25;69.56;66.61;12117;fii;;;;;57.91
2023-07-11;1689033600000;BROF11.SA;69.93;70.48;69.3;69.33;66.39;23398;fii;;;;;56.01
2023-07-12;1689120000000;BROF11.SA;69.34;70.19;69.34;69.38;66.44;13913;fii;;;;;56.36
2023-07-13;1689206400000;BROF11.SA;70.04;70.06;69.5;69.72;66.76;6100;fii;;;;;58.63
2023-07-14;1689292800000;BROF11.SA;69.72;69.99;69.34;69.34;66.4;16978;fii;;;;;55.15
2023-07-17;1689552000000;BROF11.SA;70.0;70.0;69.5;69.57;66.62;11462;fii;;;;;56.84
2023-07-18;1689638400000;BROF11.SA;69.87;69.9;69.5;69.51;66.56;14094;fii;;;;;56.22
2023-07-19;1689724800000;BROF11.SA;69.0;69.73;68.99;69.6;67.35;12671;fii;;;;;62.09
2023-07-20;1689811200000;BROF11.SA;69.6;69.8;69.07;69.48;67.23;27580;fii;;;;;60.75
2023-07-21;1689897600000;BROF11.SA;69.75;69.75;69.3;69.5;67.25;15047;fii;;;;;60.9
2023-07-24;1690156800000;BROF11.SA;69.5;69.8;69.3;69.3;67.06;12569;fii;;;;;58.6
2023-07-25;1690243200000;BROF11.SA;69.8;70.09;69.25;69.25;67.01;15463;fii;;;;;57.98
2023-07-26;1690329600000;BROF11.SA;69.3;69.79;69.29;69.5;67.25;13203;fii;;;;;60.16
2023-07-27;1690416000000;BROF11.SA;69.5;69.7;69.25;69.5;67.25;5188;fii;;;;;60.16
2023-07-28;1690502400000;BROF11.SA;69.3;69.99;69.3;69.84;67.58;9073;fii;;;;;63.21
2023-07-31;1690761600000;BROF11.SA;69.54;69.98;69.49;69.75;67.49;42846;fii;;;;;61.82
2023-08-01;1690848000000;BROF11.SA;69.5;69.87;69.4;69.42;67.17;5722;fii;;;;;57.03
2023-08-02;1690934400000;BROF11.SA;69.7;69.7;69.41;69.41;67.16;5501;fii;;;;;56.88
2023-08-03;1691020800000;BROF11.SA;69.7;69.8;69.41;69.52;67.27;9293;fii;;;;;58.17
2023-08-04;1691107200000;BROF11.SA;69.5;69.89;69.43;69.6;67.35;23487;fii;;;;;59.13
2023-08-07;1691366400000;BROF11.SA;69.45;70.12;69.4;69.4;67.15;7770;fii;;;;;55.69
2023-08-08;1691452800000;BROF11.SA;69.4;70.39;69.4;69.64;67.39;11626;fii;;;;;58.78
2023-08-09;1691539200000;BROF11.SA;69.48;69.7;69.22;69.25;67.01;14527;fii;;;;;52.53
2023-08-10;1691625600000;BROF11.SA;69.27;69.95;69.27;69.47;67.22;8894;fii;;;;;55.36
2023-08-11;1691712000000;BROF11.SA;69.51;69.8;69.35;69.8;67.54;27016;fii;;;;;59.33
2023-08-14;1691971200000;BROF11.SA;69.78;69.8;69.6;69.65;67.39;3157;fii;;;;;56.78
2023-08-15;1692057600000;BROF11.SA;69.7;69.91;69.45;69.5;67.25;4855;fii;;;;;54.43
2023-08-16;1692144000000;BROF11.SA;69.83;69.83;69.51;69.51;67.26;4916;fii;;;;;54.57
2023-08-17;1692230400000;BROF11.SA;68.98;69.03;67.01;69.0;67.28;8192;fii;;;;;54.88
2023-08-18;1692316800000;BROF11.SA;69.0;69.0;68.09;68.54;66.83;3411;fii;;;;;47.12
2023-08-21;1692576000000;BROF11.SA;68.54;69.3;68.36;69.3;67.57;21506;fii;;;;;57.71
2023-08-22;1692662400000;BROF11.SA;69.3;69.55;68.54;69.54;67.81;40840;fii;;;;;60.47
2023-08-23;1692748800000;BROF11.SA;69.48;69.5;68.83;69.5;67.77;17149;fii;;;;;59.77
2023-08-24;1692835200000;BROF11.SA;69.5;69.5;68.7;68.7;66.99;7514;fii;;;;;48.07
2023-08-25;1692921600000;BROF11.SA;68.72;69.17;68.48;68.48;66.77;9200;fii;;;;;45.37
2023-08-28;1693180800000;BROF11.SA;68.5;68.9;68.33;68.33;66.63;20908;fii;;;;;43.69
2023-08-29;1693267200000;BROF11.SA;68.32;68.8;67.41;67.41;65.73;7747;fii;;;;;34.77
2023-08-30;1693353600000;BROF11.SA;67.84;68.1;65.51;66.3;64.65;25870;fii;;;;;27.51
2023-08-31;1693440000000;BROF11.SA;66.67;67.07;65.75;66.33;64.68;11977;fii;;;;;27.96
