s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-05-17;1652745600000;BTRA11.SA;101.63;102.0;100.33;100.51;94.42;6845;fii;91.59;3.09;97.49;3.09;49.29;ESTAVEL
2022-05-18;1652832000000;BTRA11.SA;101.69;102.4;101.12;102.3;96.1;5809;fii;91.64;4.87;97.55;4.87;56.4;ESTAVEL
2022-05-19;1652918400000;BTRA11.SA;102.25;102.39;99.99;101.97;95.79;12406;fii;91.69;4.48;97.6;4.48;54.88;ESTAVEL
2022-05-20;1653004800000;BTRA11.SA;101.5;102.4;101.0;102.05;95.87;6212;fii;91.73;4.51;97.65;4.51;55.21;ESTAVEL
2022-05-23;1653264000000;BTRA11.SA;102.4;102.4;101.11;101.11;94.98;7071;fii;91.77;3.5;97.69;3.5;50.67;ESTAVEL
2022-05-24;1653350400000;BTRA11.SA;101.11;104.5;100.71;102.01;95.83;22236;fii;91.82;4.37;97.74;4.37;54.52;ESTAVEL
2022-05-25;1653436800000;BTRA11.SA;101.0;102.75;99.57;99.6;93.56;9265;fii;91.84;1.88;97.76;1.88;44.53;ESTAVEL
2022-05-26;1653523200000;BTRA11.SA;99.95;100.47;99.62;99.99;93.93;7714;fii;91.86;2.25;97.79;2.25;46.26;ESTAVEL
2022-05-27;1653609600000;BTRA11.SA;100.99;102.11;100.09;102.0;95.82;8346;fii;91.91;4.26;97.83;4.26;54.12;ESTAVEL
2022-05-30;1653868800000;BTRA11.SA;101.47;102.0;100.18;102.0;95.82;7862;fii;91.95;4.21;97.88;4.21;54.12;ESTAVEL
2022-05-31;1653955200000;BTRA11.SA;102.0;102.0;100.71;102.0;95.82;6509;fii;91.99;4.16;97.93;4.16;54.12;ESTAVEL
2022-06-01;1654041600000;BTRA11.SA;102.2;102.22;100.1;101.0;94.88;13923;fii;92.03;3.1;97.96;3.1;49.61;ESTAVEL
2022-06-02;1654128000000;BTRA11.SA;101.0;101.46;100.5;101.08;94.96;5502;fii;92.06;3.15;98.0;3.15;50.0;ESTAVEL
2022-06-03;1654214400000;BTRA11.SA;101.09;101.99;100.6;101.5;95.35;10195;fii;92.1;3.53;98.04;3.53;51.91;ESTAVEL
2022-06-06;1654473600000;BTRA11.SA;101.69;101.69;100.86;101.31;95.17;6869;fii;92.13;3.3;98.07;3.3;50.94;ESTAVEL
2022-06-07;1654560000000;BTRA11.SA;101.66;101.99;100.7;101.5;95.35;9124;fii;92.17;3.45;98.11;3.45;51.91;ESTAVEL
2022-06-08;1654646400000;BTRA11.SA;101.9;101.9;100.7;101.09;94.96;13661;fii;92.2;2.99;98.15;3.0;49.63;ESTAVEL
2022-06-09;1654732800000;BTRA11.SA;101.5;103.56;100.75;101.85;95.68;7282;fii;92.24;3.73;98.19;3.73;53.67;ESTAVEL
2022-06-10;1654819200000;BTRA11.SA;101.92;103.0;100.75;101.82;95.65;7888;fii;92.28;3.66;98.23;3.66;53.48;ESTAVEL
2022-06-13;1655078400000;BTRA11.SA;101.79;102.41;101.35;101.38;95.24;8745;fii;92.31;3.17;98.26;3.17;50.79;ESTAVEL
2022-06-14;1655164800000;BTRA11.SA;101.38;101.98;99.13;99.31;93.29;20669;fii;92.32;1.05;98.28;1.05;40.4;ESTAVEL
2022-06-15;1655251200000;BTRA11.SA;100.0;100.39;99.6;100.25;94.18;12032;fii;92.34;1.99;98.3;1.99;45.85;ESTAVEL
2022-06-17;1655424000000;BTRA11.SA;100.33;101.77;100.08;101.32;95.18;9491;fii;92.37;3.04;98.33;3.04;51.24;ESTAVEL
2022-06-20;1655683200000;BTRA11.SA;101.2;101.96;100.21;101.63;95.47;10526;fii;92.41;3.31;98.37;3.32;52.71;ESTAVEL
2022-06-21;1655769600000;BTRA11.SA;101.3;101.73;100.47;101.69;95.53;14053;fii;92.44;3.34;98.41;3.34;53.03;ESTAVEL
2022-06-22;1655856000000;BTRA11.SA;101.69;101.77;83.05;84.92;79.77;86404;fii;92.3;-13.58;98.26;-13.57;18.36;SUBIR
2022-06-23;1655942400000;BTRA11.SA;77.49;83.0;76.0;82.28;77.29;71106;fii;92.13;-16.11;98.08;-16.11;16.53;SUBIR
2022-06-24;1656028800000;BTRA11.SA;80.31;85.35;79.22;85.0;79.85;28168;fii;92.0;-13.21;97.93;-13.21;24.86;SUBIR
