s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2007-03-28;1175040000000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;2.95;221.56;3.04;221.65;71.86;CAIR
2007-03-29;1175126400000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.02;213.58;3.12;213.66;71.86;CAIR
2007-03-30;1175212800000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.1;206.08;3.2;206.15;71.86;CAIR
2007-04-02;1175472000000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.17;199.02;3.27;199.09;71.86;CAIR
2007-04-03;1175558400000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.24;192.37;3.35;192.43;71.86;CAIR
2007-04-04;1175644800000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.31;186.08;3.42;186.14;71.86;CAIR
2007-04-05;1175731200000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.38;180.14;3.49;180.2;71.86;CAIR
2007-04-09;1176076800000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.45;174.51;3.57;174.56;71.86;CAIR
2007-04-10;1176163200000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.52;169.17;3.64;169.22;71.86;CAIR
2007-04-11;1176249600000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.59;164.09;3.71;164.14;71.86;CAIR
2007-04-12;1176336000000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.66;159.27;3.78;159.32;71.86;CAIR
2007-04-13;1176422400000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.72;154.68;3.84;154.72;71.86;CAIR
2007-04-16;1176681600000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.79;150.3;3.91;150.34;71.86;CAIR
2007-04-17;1176768000000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.85;146.12;3.98;146.16;71.86;CAIR
2007-04-18;1176854400000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.92;142.13;4.04;142.17;71.86;CAIR
2007-04-19;1176940800000;CASN3.SA;9.79;9.79;9.79;9.79;9.48;0;stock;3.98;138.32;4.11;138.35;71.86;CAIR
2007-04-20;1177027200000;CASN3.SA;7.91;7.91;7.91;7.91;7.66;101;stock;4.02;90.58;4.15;90.6;31.1;ESTAVEL
2007-04-23;1177286400000;CASN3.SA;7.91;7.91;7.91;7.91;7.66;202;stock;4.06;88.66;4.19;88.68;31.1;ESTAVEL
2007-04-24;1177372800000;CASN3.SA;7.93;7.93;7.93;7.93;7.68;202;stock;4.1;87.28;4.23;87.28;31.6;ESTAVEL
2007-04-25;1177459200000;CASN3.SA;7.93;7.93;7.93;7.93;7.68;202;stock;4.14;85.47;4.28;85.47;31.6;ESTAVEL
2007-04-26;1177545600000;CASN3.SA;7.42;7.42;7.42;7.42;7.18;202;stock;4.17;71.98;4.31;72.12;26.15;ESTAVEL
2007-04-27;1177632000000;CASN3.SA;6.43;6.43;6.43;6.43;6.23;101;stock;4.2;48.41;4.33;48.34;19.34;ESTAVEL
2007-04-30;1177891200000;CASN3.SA;6.55;6.55;6.55;6.55;6.34;101;stock;4.22;50.17;4.36;50.25;21.88;ESTAVEL
2007-05-02;1178064000000;CASN3.SA;6.55;6.55;6.55;6.55;6.34;0;stock;4.25;49.34;4.38;49.42;21.88;ESTAVEL
2007-05-03;1178150400000;CASN3.SA;6.55;6.55;6.55;6.55;6.34;0;stock;4.27;48.52;4.41;48.6;21.88;ESTAVEL
2007-05-04;1178236800000;CASN3.SA;6.55;6.55;6.55;6.55;6.34;0;stock;4.29;47.72;4.43;47.8;21.88;ESTAVEL
