s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-10-17;1224201600000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-1.03;29.31;-1.04;72.19;ESTAVEL
2008-10-20;1224460800000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-1.02;29.3;-1.03;72.19;ESTAVEL
2008-10-21;1224547200000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-1.01;29.3;-1.02;72.19;ESTAVEL
2008-10-22;1224633600000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-1.0;29.3;-1.01;72.19;ESTAVEL
2008-10-23;1224720000000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-0.99;29.29;-1.0;72.19;ESTAVEL
2008-10-24;1224806400000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-0.98;29.29;-0.99;72.19;ESTAVEL
2008-10-27;1225065600000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.95;-0.97;29.29;-0.97;72.19;ESTAVEL
2008-10-28;1225152000000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.96;29.28;-0.96;72.19;ESTAVEL
2008-10-29;1225238400000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.94;29.28;-0.95;72.19;ESTAVEL
2008-10-30;1225324800000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.93;29.28;-0.94;72.19;ESTAVEL
2008-10-31;1225411200000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.92;29.27;-0.93;72.19;ESTAVEL
2008-11-03;1225670400000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.91;29.27;-0.92;72.19;ESTAVEL
2008-11-04;1225756800000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.9;29.27;-0.91;72.19;ESTAVEL
2008-11-05;1225843200000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.89;29.26;-0.9;72.19;ESTAVEL
2008-11-06;1225929600000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.88;29.26;-0.89;72.19;ESTAVEL
2008-11-07;1226016000000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.94;-0.87;29.26;-0.88;72.19;ESTAVEL
2008-11-10;1226275200000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.86;29.25;-0.87;72.19;ESTAVEL
2008-11-11;1226361600000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.85;29.25;-0.86;72.19;ESTAVEL
2008-11-12;1226448000000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.84;29.25;-0.85;72.19;ESTAVEL
2008-11-13;1226534400000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.83;29.25;-0.84;72.19;ESTAVEL
2008-11-14;1226620800000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.83;29.24;-0.83;72.19;ESTAVEL
2008-11-17;1226880000000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.82;29.24;-0.82;72.19;ESTAVEL
2008-11-18;1226966400000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.81;29.24;-0.81;72.19;ESTAVEL
2008-11-19;1227052800000;CEEB5.SA;29.0;29.0;29.0;29.0;10.84;0;stock;10.93;-0.8;29.24;-0.81;72.19;ESTAVEL
2008-11-21;1227225600000;CEEB5.SA;27.49;27.49;27.49;27.49;10.28;1200;stock;10.92;-5.86;29.22;-5.91;5.23;SUBIR
