s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-04-23;1208908800000;COCE6.SA;24.21;24.23;24.21;24.22;8.86;21800;stock;4.55;94.88;12.43;94.9;100.0;ESTAVEL
2008-04-24;1208995200000;COCE6.SA;24.02;24.02;24.0;24.0;8.78;10000;stock;4.59;91.22;12.55;91.23;98.06;ESTAVEL
2008-04-25;1209081600000;COCE6.SA;24.9;24.9;24.55;24.55;8.98;200;stock;4.64;93.61;12.68;93.65;98.16;ESTAVEL
2008-04-28;1209340800000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;300;stock;4.68;91.28;12.8;91.35;97.64;ESTAVEL
2008-04-29;1209427200000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.73;89.45;12.93;89.52;97.64;ESTAVEL
2008-04-30;1209513600000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.77;87.67;13.05;87.73;97.64;ESTAVEL
2008-05-01;1209600000000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.82;85.94;13.17;86.0;97.64;ESTAVEL
2008-05-02;1209686400000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.86;84.26;13.29;84.32;97.64;ESTAVEL
2008-05-05;1209945600000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.91;82.63;13.41;82.69;97.64;ESTAVEL
2008-05-06;1210032000000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.95;81.04;13.53;81.1;97.64;ESTAVEL
2008-05-07;1210118400000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;4.99;79.5;13.64;79.56;97.64;ESTAVEL
2008-05-08;1210204800000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.03;78.01;13.76;78.06;97.64;ESTAVEL
2008-05-09;1210291200000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.07;76.55;13.87;76.61;97.64;ESTAVEL
2008-05-12;1210550400000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.12;75.14;13.98;75.19;97.64;ESTAVEL
2008-05-13;1210636800000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.16;73.76;14.1;73.81;97.64;ESTAVEL
2008-05-14;1210723200000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.2;72.42;14.21;72.47;97.64;ESTAVEL
2008-05-15;1210809600000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.24;71.11;14.31;71.16;97.64;ESTAVEL
2008-05-16;1210896000000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.28;69.84;14.42;69.89;97.64;ESTAVEL
2008-05-19;1211155200000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.31;68.6;14.53;68.64;97.64;ESTAVEL
2008-05-20;1211241600000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.35;67.39;14.63;67.44;97.64;ESTAVEL
2008-05-21;1211328000000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.39;66.21;14.74;66.26;97.64;ESTAVEL
2008-05-22;1211414400000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.43;65.06;14.84;65.11;97.64;ESTAVEL
2008-05-23;1211500800000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.47;63.94;14.94;63.98;97.64;ESTAVEL
2008-05-27;1211846400000;COCE6.SA;24.5;24.5;24.5;24.5;8.96;0;stock;5.5;62.85;15.04;62.89;97.64;ESTAVEL
