s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-04-03;1680480000000;CRAA11.SA;102.5;102.5;102.5;102.5;93.1;1336;fii;;;;;
2023-04-04;1680566400000;CRAA11.SA;102.56;102.56;102.52;102.52;93.12;463;fii;;;;;
2023-04-05;1680652800000;CRAA11.SA;102.6;102.6;102.6;102.6;93.2;572;fii;;;;;
2023-04-06;1680739200000;CRAA11.SA;102.66;102.76;102.66;102.69;93.28;4027;fii;;;;;
2023-04-10;1681084800000;CRAA11.SA;102.73;102.73;100.01;102.73;93.31;689;fii;;;;;
2023-04-11;1681171200000;CRAA11.SA;101.25;101.25;101.2;101.2;91.92;661;fii;;;;;
2023-04-12;1681257600000;CRAA11.SA;101.27;101.32;101.27;101.32;92.03;22;fii;;;;;
2023-04-13;1681344000000;CRAA11.SA;101.32;101.32;101.32;101.32;92.03;30;fii;;;;;
2023-04-14;1681430400000;CRAA11.SA;101.44;101.44;101.1;101.44;92.14;394;fii;;;;;
2023-04-17;1681689600000;CRAA11.SA;101.49;101.49;101.49;101.49;92.19;224;fii;;;;;
2023-04-18;1681776000000;CRAA11.SA;101.57;101.57;101.57;101.57;92.26;451;fii;;;;;
2023-04-19;1681862400000;CRAA11.SA;101.58;101.67;101.45;101.67;92.35;37;fii;;;;;
2023-04-20;1681948800000;CRAA11.SA;101.77;101.77;101.77;101.77;92.44;32;fii;;;;;
2023-04-24;1682294400000;CRAA11.SA;101.87;101.87;101.87;101.87;92.53;362;fii;;;;;
2023-04-25;1682380800000;CRAA11.SA;102.03;102.03;101.53;102.03;92.68;547;fii;;;;;41.1
2023-04-26;1682467200000;CRAA11.SA;102.19;102.19;102.19;102.19;92.82;32;fii;;;;;44.64
2023-04-27;1682553600000;CRAA11.SA;102.25;102.25;102.04;102.25;92.88;96;fii;;;;;46.13
2023-04-28;1682640000000;CRAA11.SA;102.4;102.4;101.95;102.4;93.01;147;fii;;;;;49.32
2023-05-02;1682985600000;CRAA11.SA;102.59;102.59;102.59;102.59;93.19;288;fii;;;;;53.43
2023-05-03;1683072000000;CRAA11.SA;102.74;102.74;102.24;102.24;92.87;507;fii;;;;;46.25
2023-05-04;1683158400000;CRAA11.SA;102.09;102.89;102.09;102.89;93.46;504;fii;;;;;57.57
2023-05-05;1683244800000;CRAA11.SA;103.09;103.09;103.08;103.09;93.64;546;fii;;;;;60.32
2023-05-08;1683504000000;CRAA11.SA;103.24;103.49;103.24;103.49;94.0;2437;fii;;;;;65.18
2023-05-09;1683590400000;CRAA11.SA;102.99;103.0;102.0;103.0;95.12;1139;fii;;;;;75.3
2023-05-10;1683676800000;CRAA11.SA;102.45;102.99;102.35;102.99;95.11;653;fii;;;;;75.09
2023-05-11;1683763200000;CRAA11.SA;102.56;103.29;102.5;103.29;95.39;435;fii;;;;;77.02
2023-05-12;1683849600000;CRAA11.SA;103.29;103.29;103.0;103.29;95.39;69;fii;;;;;77.02
2023-05-15;1684108800000;CRAA11.SA;103.34;103.34;103.34;103.34;95.43;1179;fii;;;;;77.31
2023-05-16;1684195200000;CRAA11.SA;103.34;103.39;103.34;103.38;95.47;435;fii;;;;;77.62
2023-05-17;1684281600000;CRAA11.SA;103.43;103.44;103.37;103.37;95.46;457;fii;;;;;77.34
2023-05-18;1684368000000;CRAA11.SA;103.44;103.54;103.35;103.54;95.62;151;fii;;;;;78.67
2023-05-19;1684454400000;CRAA11.SA;103.5;103.69;103.35;103.69;95.76;1692;fii;;;;;79.79
2023-05-22;1684713600000;CRAA11.SA;103.84;103.84;103.75;103.84;95.9;2260;fii;;;;;80.86
2023-05-23;1684800000000;CRAA11.SA;103.99;103.99;103.84;103.99;96.04;600;fii;;;;;81.91
2023-05-24;1684886400000;CRAA11.SA;103.99;104.09;103.99;104.09;96.13;294;fii;;;;;82.56
2023-05-25;1684972800000;CRAA11.SA;104.14;104.14;104.12;104.14;96.17;1717;fii;;;;;82.86
2023-05-26;1685059200000;CRAA11.SA;104.19;104.39;104.0;104.39;96.4;1967;fii;;;;;84.5
2023-05-29;1685318400000;CRAA11.SA;104.54;104.54;104.4;104.54;96.54;1293;fii;;;;;85.41
2023-05-30;1685404800000;CRAA11.SA;104.69;104.69;104.0;104.68;96.67;1325;fii;;;;;86.22
2023-05-31;1685491200000;CRAA11.SA;104.68;104.68;103.5;104.68;96.67;933;fii;;;;;86.22
2023-06-01;1685577600000;CRAA11.SA;104.69;104.69;104.69;104.69;96.68;2660;fii;;;;;86.29
2023-06-02;1685664000000;CRAA11.SA;104.69;104.69;104.66;104.69;96.68;249;fii;;;;;86.29
2023-06-05;1685923200000;CRAA11.SA;104.69;104.69;104.5;104.69;96.68;1699;fii;;;;;86.29
2023-06-06;1686009600000;CRAA11.SA;104.7;104.74;104.5;104.5;96.51;1609;fii;;;;;78.1
2023-06-07;1686096000000;CRAA11.SA;104.74;104.74;104.5;104.74;96.73;2835;fii;;;;;80.66
2023-06-09;1686268800000;CRAA11.SA;103.29;103.29;102.0;103.29;96.77;3134;fii;;;;;81.09
2023-06-12;1686528000000;CRAA11.SA;103.29;103.34;103.0;103.34;96.82;1136;fii;;;;;81.64
2023-06-13;1686614400000;CRAA11.SA;103.38;103.39;102.51;103.39;96.87;1724;fii;;;;;82.2
2023-06-14;1686700800000;CRAA11.SA;103.38;103.44;103.01;103.01;96.51;1996;fii;;;;;66.47
2023-06-15;1686787200000;CRAA11.SA;103.11;103.45;103.01;103.45;96.92;784;fii;;;;;72.84
2023-06-16;1686873600000;CRAA11.SA;103.48;103.49;103.48;103.49;96.96;1077;fii;;;;;73.38
2023-06-19;1687132800000;CRAA11.SA;103.54;103.54;103.5;103.54;97.01;359;fii;;;;;74.06
2023-06-20;1687219200000;CRAA11.SA;103.55;103.59;103.54;103.54;97.01;1434;fii;;;;;74.06
2023-06-21;1687305600000;CRAA11.SA;103.64;103.64;103.64;103.64;97.1;830;fii;;;;;75.38
2023-06-22;1687392000000;CRAA11.SA;103.64;103.74;103.5;103.5;96.97;1779;fii;;;;;69.85
2023-06-23;1687478400000;CRAA11.SA;103.76;103.76;103.57;103.76;97.22;245;fii;;;;;73.83
2023-06-26;1687737600000;CRAA11.SA;103.84;103.84;103.75;103.84;97.29;311;fii;;;;;74.83
2023-06-27;1687824000000;CRAA11.SA;103.89;103.89;103.86;103.89;97.34;543;fii;;;;;75.55
2023-06-28;1687910400000;CRAA11.SA;103.75;103.94;103.06;103.94;97.38;632;fii;;;;;76.13
2023-06-29;1687996800000;CRAA11.SA;103.96;103.96;103.06;103.96;97.4;1170;fii;;;;;76.44
2023-06-30;1688083200000;CRAA11.SA;104.01;104.01;103.9;103.9;97.35;336;fii;;;;;73.9
2023-07-03;1688342400000;CRAA11.SA;104.05;104.05;103.92;104.05;97.49;428;fii;;;;;76.28
2023-07-04;1688428800000;CRAA11.SA;104.1;104.1;104.05;104.1;97.53;1934;fii;;;;;76.92
2023-07-05;1688515200000;CRAA11.SA;104.15;104.15;103.91;104.15;97.58;2633;fii;;;;;77.74
2023-07-06;1688601600000;CRAA11.SA;104.19;104.19;104.19;104.19;97.62;1974;fii;;;;;78.4
2023-07-07;1688688000000;CRAA11.SA;104.24;104.24;104.0;104.24;97.66;3645;fii;;;;;79.07
2023-07-10;1688947200000;CRAA11.SA;102.94;102.94;102.01;102.9;97.82;949;fii;;;;;81.53
2023-07-11;1689033600000;CRAA11.SA;102.95;102.95;102.9;102.95;97.86;2302;fii;;;;;82.09
2023-07-12;1689120000000;CRAA11.SA;102.97;102.99;102.52;102.99;97.9;927;fii;;;;;82.66
2023-07-13;1689206400000;CRAA11.SA;103.04;103.04;102.99;103.04;97.95;2630;fii;;;;;83.38
2023-07-14;1689292800000;CRAA11.SA;103.09;103.09;103.05;103.09;98.0;393;fii;;;;;84.09
2023-07-17;1689552000000;CRAA11.SA;103.19;103.19;103.15;103.15;98.05;550;fii;;;;;84.78
2023-07-18;1689638400000;CRAA11.SA;103.19;103.19;102.85;103.17;98.07;1959;fii;;;;;85.07
2023-07-19;1689724800000;CRAA11.SA;103.17;103.24;103.0;103.22;98.12;1012;fii;;;;;85.77
2023-07-20;1689811200000;CRAA11.SA;103.0;103.29;103.0;103.29;98.19;2215;fii;;;;;86.73
2023-07-21;1689897600000;CRAA11.SA;103.34;103.34;103.0;103.29;98.19;1368;fii;;;;;86.73
2023-07-24;1690156800000;CRAA11.SA;103.3;103.34;103.0;103.34;98.24;3571;fii;;;;;87.42
2023-07-25;1690243200000;CRAA11.SA;103.35;103.39;102.9;103.39;98.28;3082;fii;;;;;87.97
2023-07-26;1690329600000;CRAA11.SA;103.39;103.4;103.3;103.39;98.28;472;fii;;;;;87.97
2023-07-27;1690416000000;CRAA11.SA;103.44;103.44;102.03;102.85;97.77;475;fii;;;;;53.66
2023-07-28;1690502400000;CRAA11.SA;102.9;103.45;102.85;103.44;98.33;1481;fii;;;;;68.29
2023-07-31;1690761600000;CRAA11.SA;103.49;103.49;101.99;103.48;98.37;3399;fii;;;;;69.04
2023-08-01;1690848000000;CRAA11.SA;103.48;103.49;102.7;103.49;98.38;1340;fii;;;;;69.23
2023-08-02;1690934400000;CRAA11.SA;103.54;103.54;103.49;103.54;98.43;2910;fii;;;;;70.25
2023-08-03;1691020800000;CRAA11.SA;103.59;103.59;103.58;103.59;98.47;12004;fii;;;;;71.07
2023-08-04;1691107200000;CRAA11.SA;103.59;103.64;103.53;103.64;98.52;3059;fii;;;;;72.11
2023-08-07;1691366400000;CRAA11.SA;103.64;103.69;103.59;103.69;98.57;2847;fii;;;;;73.15
2023-08-08;1691452800000;CRAA11.SA;102.28;102.45;102.05;102.45;98.58;3779;fii;;;;;73.36
2023-08-09;1691539200000;CRAA11.SA;102.43;102.49;102.09;102.09;98.23;671;fii;;;;;56.44
2023-08-10;1691625600000;CRAA11.SA;102.1;102.49;101.4;102.0;98.14;1746;fii;;;;;53.06
2023-08-11;1691712000000;CRAA11.SA;102.01;102.49;101.75;102.39;98.52;1288;fii;;;;;63.12
2023-08-14;1691971200000;CRAA11.SA;102.48;102.49;101.82;102.3;98.43;718;fii;;;;;59.85
2023-08-15;1692057600000;CRAA11.SA;102.42;102.49;101.05;102.37;98.5;2381;fii;;;;;61.52
2023-08-16;1692144000000;CRAA11.SA;102.37;102.47;101.13;102.46;98.59;1515;fii;;;;;63.62
2023-08-17;1692230400000;CRAA11.SA;102.45;102.49;100.12;102.37;98.5;2502;fii;;;;;60.09
2023-08-18;1692316800000;CRAA11.SA;102.38;102.39;100.95;100.95;97.13;1608;fii;;;;;31.48
2023-08-21;1692576000000;CRAA11.SA;102.35;102.35;100.95;101.79;97.94;293;fii;;;;;47.42
2023-08-22;1692662400000;CRAA11.SA;101.79;102.38;101.03;101.22;97.39;848;fii;;;;;40.53
2023-08-23;1692748800000;CRAA11.SA;101.89;102.39;101.3;102.38;98.51;2907;fii;;;;;54.9
2023-08-24;1692835200000;CRAA11.SA;102.38;102.38;101.31;101.8;97.95;975;fii;;;;;48.58
2023-08-25;1692921600000;CRAA11.SA;102.25;102.27;101.32;102.15;98.29;409;fii;;;;;52.18
2023-08-28;1693180800000;CRAA11.SA;102.12;102.13;101.6;102.0;98.14;372;fii;;;;;50.5
2023-08-29;1693267200000;CRAA11.SA;101.32;101.97;101.32;101.87;98.02;1125;fii;;;;;49.14
2023-08-30;1693353600000;CRAA11.SA;101.87;102.18;101.62;102.14;98.28;1656;fii;;;;;52.15
2023-08-31;1693440000000;CRAA11.SA;102.27;102.34;101.37;102.3;98.43;1609;fii;;;;;53.85
2023-09-01;1693526400000;CRAA11.SA;102.3;102.34;101.64;102.0;98.14;314;fii;;;;;50.14
2023-09-04;1693785600000;CRAA11.SA;102.0;102.39;101.63;102.38;98.51;1545;fii;;;;;54.45
2023-09-05;1693872000000;CRAA11.SA;102.3;102.38;101.81;102.3;98.43;158;fii;;;;;53.38
2023-09-06;1693958400000;CRAA11.SA;102.49;102.49;102.2;102.48;98.61;1053;fii;;;;;55.5
2023-09-08;1694131200000;CRAA11.SA;102.64;102.64;102.6;102.64;98.76;2573;fii;;;;;57.25
2023-09-11;1694390400000;CRAA11.SA;101.43;101.43;101.35;101.43;98.91;938;fii;;;;;58.99
2023-09-12;1694476800000;CRAA11.SA;101.47;101.53;101.4;101.53;99.0;951;fii;;;;;60.04
