s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2018-05-02;1525219200000;CRFB3.SA;15.17;15.19;14.76;14.8;13.11;930800;stock;13.37;-1.94;15.09;-1.95;51.58;ESTAVEL
2018-05-03;1525305600000;CRFB3.SA;14.81;14.85;14.63;14.7;13.02;754700;stock;13.36;-2.58;15.09;-2.59;49.42;ESTAVEL
2018-05-04;1525392000000;CRFB3.SA;14.63;14.84;14.5;14.56;12.98;1019900;stock;13.36;-2.85;15.08;-3.47;48.45;ESTAVEL
2018-05-07;1525651200000;CRFB3.SA;14.65;15.17;14.63;14.63;13.04;1011400;stock;13.36;-2.37;15.08;-2.98;50.04;ESTAVEL
2018-05-08;1525737600000;CRFB3.SA;14.73;14.99;14.62;14.88;13.27;1040000;stock;13.36;-0.64;15.08;-1.3;55.66;ESTAVEL
2018-05-09;1525824000000;CRFB3.SA;14.94;15.75;14.75;15.75;14.04;4624600;stock;13.36;5.06;15.08;4.41;68.47;ESTAVEL
2018-05-10;1525910400000;CRFB3.SA;15.66;16.14;15.45;16.14;14.39;3244700;stock;13.38;7.59;15.1;6.91;72.37;ESTAVEL
2018-05-11;1525996800000;CRFB3.SA;16.03;16.15;15.95;16.1;14.36;1473700;stock;13.39;7.27;15.11;6.57;71.55;ESTAVEL
2018-05-14;1526256000000;CRFB3.SA;15.93;16.29;15.91;16.25;14.49;2049500;stock;13.4;8.14;15.12;7.47;72.98;ESTAVEL
2018-05-15;1526342400000;CRFB3.SA;16.0;16.39;15.43;15.55;13.87;2845700;stock;13.4;3.47;15.13;2.81;58.04;ESTAVEL
2018-05-16;1526428800000;CRFB3.SA;15.39;16.15;15.29;16.1;14.36;1277800;stock;13.42;7.04;15.14;6.36;64.27;ESTAVEL
2018-05-17;1526515200000;CRFB3.SA;15.94;16.25;15.58;15.63;13.94;2154800;stock;13.42;3.87;15.14;3.22;56.53;ESTAVEL
2018-05-18;1526601600000;CRFB3.SA;15.6;15.6;15.08;15.17;13.53;2235600;stock;13.42;0.8;15.14;0.18;50.17;ESTAVEL
2018-05-21;1526860800000;CRFB3.SA;15.28;15.37;14.99;15.15;13.51;893900;stock;13.42;0.65;15.14;0.05;49.88;ESTAVEL
2018-05-22;1526947200000;CRFB3.SA;15.05;15.6;15.0;15.31;13.65;620200;stock;13.43;1.67;15.14;1.09;52.0;ESTAVEL
