s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-10-17;1224201600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.14;-3.16;8.68;-3.29;94.93;ESTAVEL
2008-10-20;1224460800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.14;-3.12;8.67;-3.25;94.93;ESTAVEL
2008-10-21;1224547200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.14;-3.09;8.67;-3.21;94.93;ESTAVEL
2008-10-22;1224633600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;500;stock;2.14;-3.05;8.67;-3.18;94.93;ESTAVEL
2008-10-23;1224720000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-3.02;8.66;-3.14;94.93;ESTAVEL
2008-10-24;1224806400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.99;8.66;-3.11;94.93;ESTAVEL
2008-10-27;1225065600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.95;8.66;-3.07;94.93;ESTAVEL
2008-10-28;1225152000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.92;8.65;-3.04;94.93;ESTAVEL
2008-10-29;1225238400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.89;8.65;-3.01;94.93;ESTAVEL
2008-10-30;1225324800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.86;8.65;-2.97;94.93;ESTAVEL
2008-10-31;1225411200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.83;8.64;-2.94;94.93;ESTAVEL
2008-11-03;1225670400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.79;8.64;-2.91;94.93;ESTAVEL
2008-11-04;1225756800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.76;8.64;-2.88;94.93;ESTAVEL
2008-11-05;1225843200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.73;8.64;-2.85;94.93;ESTAVEL
2008-11-06;1225929600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.7;8.63;-2.81;94.93;ESTAVEL
2008-11-07;1226016000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.67;8.63;-2.78;94.93;ESTAVEL
2008-11-10;1226275200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.64;8.63;-2.75;94.93;ESTAVEL
2008-11-11;1226361600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.13;-2.62;8.62;-2.72;94.93;ESTAVEL
2008-11-12;1226448000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.59;8.62;-2.69;94.93;ESTAVEL
2008-11-13;1226534400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.56;8.62;-2.66;94.93;ESTAVEL
2008-11-14;1226620800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.53;8.62;-2.63;94.93;ESTAVEL
2008-11-17;1226880000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.5;8.61;-2.61;94.93;ESTAVEL
2008-11-18;1226966400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.48;8.61;-2.58;94.93;ESTAVEL
2008-11-19;1227052800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.45;8.61;-2.55;94.93;ESTAVEL
2008-11-21;1227225600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.42;8.61;-2.52;94.93;ESTAVEL
2008-11-24;1227484800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.4;8.6;-2.49;94.93;ESTAVEL
2008-11-25;1227571200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.37;8.6;-2.47;94.93;ESTAVEL
2008-11-26;1227657600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.34;8.6;-2.44;94.93;ESTAVEL
2008-11-27;1227744000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.32;8.6;-2.41;94.93;ESTAVEL
2008-11-28;1227830400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.29;8.6;-2.39;94.93;ESTAVEL
2008-12-01;1228089600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.27;8.59;-2.36;94.93;ESTAVEL
2008-12-02;1228176000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.25;8.59;-2.34;94.93;ESTAVEL
2008-12-03;1228262400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.22;8.59;-2.31;94.93;ESTAVEL
2008-12-04;1228348800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.2;8.59;-2.29;94.93;ESTAVEL
2008-12-05;1228435200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.17;8.58;-2.26;94.93;ESTAVEL
2008-12-08;1228694400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.12;-2.15;8.58;-2.24;94.93;ESTAVEL
2008-12-09;1228780800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.13;8.58;-2.21;94.93;ESTAVEL
2008-12-10;1228867200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.1;8.58;-2.19;94.93;ESTAVEL
2008-12-11;1228953600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.08;8.58;-2.17;94.93;ESTAVEL
2008-12-12;1229040000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.06;8.57;-2.14;94.93;ESTAVEL
2008-12-15;1229299200000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.04;8.57;-2.12;94.93;ESTAVEL
2008-12-16;1229385600000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-2.02;8.57;-2.1;94.93;ESTAVEL
2008-12-17;1229472000000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-1.99;8.57;-2.08;94.93;ESTAVEL
2008-12-18;1229558400000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-1.97;8.57;-2.05;94.93;ESTAVEL
2008-12-19;1229644800000;CSRN6.SA;8.39;8.39;8.39;8.39;2.07;0;stock;2.11;-1.95;8.56;-2.03;94.93;ESTAVEL
2008-12-22;1229904000000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;100;stock;2.11;-2.4;8.56;-2.13;19.56;SUBIR
2008-12-23;1229990400000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.37;8.56;-2.1;19.56;SUBIR
2008-12-26;1230249600000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.35;8.56;-2.08;19.56;SUBIR
2008-12-29;1230508800000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.32;8.56;-2.06;19.56;SUBIR
2008-12-30;1230595200000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.3;8.55;-2.04;19.56;SUBIR
2009-01-02;1230854400000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.27;8.55;-2.01;19.56;SUBIR
2009-01-05;1231113600000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.25;8.55;-1.99;19.56;SUBIR
2009-01-06;1231200000000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.23;8.55;-1.97;19.56;SUBIR
2009-01-07;1231286400000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.2;8.55;-1.95;19.56;SUBIR
2009-01-08;1231372800000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.18;8.54;-1.93;19.56;SUBIR
2009-01-09;1231459200000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.11;-2.16;8.54;-1.91;19.56;SUBIR
2009-01-12;1231718400000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.1;-2.13;8.54;-1.89;19.56;SUBIR
2009-01-13;1231804800000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.1;-2.11;8.54;-1.87;19.56;SUBIR
2009-01-14;1231891200000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.1;-2.09;8.54;-1.85;19.56;SUBIR
2009-01-15;1231977600000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.1;-2.07;8.54;-1.83;19.56;SUBIR
2009-01-16;1232064000000;CSRN6.SA;8.38;8.38;8.38;8.38;2.06;0;stock;2.1;-2.05;8.53;-1.81;19.56;SUBIR
2009-01-19;1232323200000;CSRN6.SA;8.6;8.6;8.6;8.6;2.12;5300;stock;2.1;0.8;8.54;0.76;95.15;ESTAVEL
2009-01-20;1232409600000;CSRN6.SA;8.6;8.6;8.6;8.6;2.12;0;stock;2.1;0.79;8.54;0.75;95.15;ESTAVEL
