s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2006-05-02;1146528000000;CSUD3.SA;18.5;18.79;17.25;17.5;9.64;4194900;stock;0.11;8992.31;0.18;9390.33;100.0;CAIR
2006-05-03;1146614400000;CSUD3.SA;17.51;17.65;16.2;17.0;9.36;2588800;stock;0.2;4620.22;0.35;4728.61;96.96;CAIR
2006-05-04;1146700800000;CSUD3.SA;17.2;17.65;17.01;17.5;9.64;535400;stock;0.29;3196.42;0.52;3245.77;97.06;CAIR
2006-05-05;1146787200000;CSUD3.SA;17.9;18.36;16.88;18.0;9.91;670400;stock;0.39;2451.94;0.7;2481.36;97.15;CAIR
2006-05-08;1147046400000;CSUD3.SA;18.0;18.15;17.81;18.15;10.0;333100;stock;0.48;1965.41;0.87;1983.05;97.19;CAIR
2006-05-09;1147132800000;CSUD3.SA;18.0;18.25;17.9;18.15;10.0;7420293;stock;0.58;1627.0;1.04;1639.19;97.19;CAIR
2006-05-10;1147219200000;CSUD3.SA;18.01;18.6;18.0;18.25;10.05;13295756;stock;0.67;1392.28;1.22;1401.88;97.21;CAIR
2006-05-11;1147305600000;CSUD3.SA;18.22;18.81;17.9;18.4;10.13;12171534;stock;0.77;1219.44;1.39;1227.11;97.24;CAIR
2006-05-12;1147392000000;CSUD3.SA;18.0;18.3;17.8;18.0;9.91;10697773;stock;0.86;1053.81;1.55;1059.72;93.82;CAIR
2006-05-15;1147651200000;CSUD3.SA;17.8;18.0;17.41;17.95;9.88;1259968;stock;0.95;941.28;1.72;946.29;93.34;CAIR
2006-05-16;1147737600000;CSUD3.SA;18.0;18.1;17.3;17.8;9.8;13190619;stock;1.04;844.97;1.88;848.86;91.98;CAIR
2006-05-17;1147824000000;CSUD3.SA;18.05;18.2;17.5;18.0;9.91;229800;stock;1.13;780.48;2.04;783.79;92.15;CAIR
2006-05-18;1147910400000;CSUD3.SA;17.5;18.0;17.5;17.9;9.86;82100;stock;1.21;713.13;2.19;715.56;91.21;CAIR
2006-05-19;1147996800000;CSUD3.SA;17.7;18.0;17.7;17.9;9.86;252600;stock;1.3;659.16;2.35;661.26;91.21;CAIR
