s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2015-05-28;1432771200000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;698.86;-9.61;829.76;-9.61;1.38;SUBIR
2015-05-29;1432857600000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;698.09;-9.51;828.84;-9.51;1.38;SUBIR
2015-06-01;1433116800000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;697.33;-9.41;827.94;-9.41;1.38;SUBIR
2015-06-02;1433203200000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;696.58;-9.32;827.04;-9.32;1.38;SUBIR
2015-06-03;1433289600000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;695.83;-9.22;826.16;-9.22;1.38;SUBIR
2015-06-05;1433462400000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;695.1;-9.12;825.29;-9.12;1.38;SUBIR
2015-06-08;1433721600000;CXRI11.SA;750.0;750.0;750.0;750.0;631.69;0;fii;694.38;-9.03;824.43;-9.03;1.38;SUBIR
2015-06-09;1433808000000;CXRI11.SA;751.0;751.0;751.0;751.0;632.53;100;fii;693.67;-8.81;823.6;-8.81;16.25;SUBIR
2015-06-10;1433894400000;CXRI11.SA;751.0;751.0;751.0;751.0;632.53;0;fii;692.98;-8.72;822.77;-8.72;16.25;SUBIR
2015-06-11;1433980800000;CXRI11.SA;751.0;751.0;751.0;751.0;632.53;0;fii;692.29;-8.63;821.96;-8.63;16.25;SUBIR
2015-06-12;1434067200000;CXRI11.SA;751.0;751.0;751.0;751.0;632.53;0;fii;691.62;-8.54;821.15;-8.54;16.25;SUBIR
2015-06-15;1434326400000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;4;fii;691.22;-4.96;820.69;-4.96;87.86;ESTAVEL
2015-06-16;1434412800000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;690.84;-4.9;820.23;-4.9;87.86;ESTAVEL
2015-06-17;1434499200000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;690.45;-4.85;819.77;-4.85;87.86;ESTAVEL
2015-06-18;1434585600000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;690.07;-4.8;819.32;-4.8;87.86;ESTAVEL
2015-06-19;1434672000000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;689.7;-4.75;818.88;-4.75;87.86;ESTAVEL
2015-06-22;1434931200000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;689.33;-4.7;818.44;-4.7;87.86;ESTAVEL
2015-06-23;1435017600000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;5;fii;688.97;-4.65;818.01;-4.65;87.86;ESTAVEL
2015-06-24;1435104000000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;688.61;-4.6;817.59;-4.6;87.86;ESTAVEL
2015-06-25;1435190400000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;688.26;-4.55;817.16;-4.55;87.86;ESTAVEL
2015-06-26;1435276800000;CXRI11.SA;780.0;780.0;780.0;780.0;656.95;0;fii;687.91;-4.5;816.75;-4.5;87.86;ESTAVEL
