s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-05-11;1652227200000;DESK3.SA;12.05;12.22;11.34;11.34;11.31;134100;stock;16.66;-32.13;16.72;-32.16;32.51;ESTAVEL
2022-05-12;1652313600000;DESK3.SA;11.21;11.58;11.02;11.58;11.55;256300;stock;16.6;-30.44;16.66;-30.48;34.74;ESTAVEL
2022-05-13;1652400000000;DESK3.SA;11.6;12.6;11.58;12.33;12.3;258900;stock;16.56;-25.7;16.61;-25.76;41.27;ESTAVEL
2022-05-16;1652659200000;DESK3.SA;12.45;12.49;12.05;12.49;12.46;221800;stock;16.51;-24.52;16.56;-24.58;42.59;ESTAVEL
2022-05-17;1652745600000;DESK3.SA;12.79;13.03;12.22;12.47;12.44;270400;stock;16.46;-24.43;16.51;-24.49;42.46;ESTAVEL
2022-05-18;1652832000000;DESK3.SA;12.47;12.47;11.62;11.62;11.59;203400;stock;16.41;-29.36;16.46;-29.39;37.31;ESTAVEL
2022-05-19;1652918400000;DESK3.SA;11.75;11.88;11.46;11.54;11.51;193200;stock;16.35;-29.6;16.4;-29.64;36.86;ESTAVEL
2022-05-20;1653004800000;DESK3.SA;11.56;11.9;10.84;11.02;11.0;338400;stock;16.29;-32.47;16.34;-32.56;34.02;ESTAVEL
2022-05-23;1653264000000;DESK3.SA;11.2;11.6;11.01;11.1;11.08;280300;stock;16.23;-31.73;16.28;-31.82;34.87;ESTAVEL
2022-05-24;1653350400000;DESK3.SA;11.0;11.03;10.4;10.43;10.41;338800;stock;16.16;-35.6;16.21;-35.67;31.25;ESTAVEL
2022-05-25;1653436800000;DESK3.SA;10.43;10.51;9.59;9.63;9.61;700400;stock;16.09;-40.27;16.14;-40.33;27.57;SUBIR
2022-05-26;1653523200000;DESK3.SA;9.66;10.03;9.41;9.6;9.58;4982100;stock;16.02;-40.18;16.07;-40.24;27.44;SUBIR
2022-05-27;1653609600000;DESK3.SA;9.62;10.18;9.62;9.95;9.93;683600;stock;15.95;-37.73;16.0;-37.8;31.51;ESTAVEL
2022-05-30;1653868800000;DESK3.SA;9.95;10.13;9.45;9.47;9.45;330800;stock;15.87;-40.47;15.92;-40.53;29.1;SUBIR
2022-05-31;1653955200000;DESK3.SA;9.63;9.63;9.02;9.02;9.0;670000;stock;15.8;-43.02;15.84;-43.07;27.01;SUBIR
2022-06-01;1654041600000;DESK3.SA;9.14;9.98;9.07;9.15;9.13;1153500;stock;15.72;-41.93;15.77;-41.98;28.61;SUBIR
2022-06-02;1654128000000;DESK3.SA;9.27;9.48;9.09;9.09;9.07;367800;stock;15.65;-42.03;15.69;-42.08;28.3;SUBIR
2022-06-03;1654214400000;DESK3.SA;9.18;9.18;8.73;8.86;8.84;339900;stock;15.57;-43.22;15.62;-43.27;27.1;SUBIR
2022-06-06;1654473600000;DESK3.SA;8.87;9.09;8.26;8.31;8.29;647100;stock;15.49;-46.48;15.54;-46.51;24.43;SUBIR
2022-06-07;1654560000000;DESK3.SA;8.25;8.37;8.04;8.16;8.14;411900;stock;15.41;-47.16;15.45;-47.19;23.74;SUBIR
2022-06-08;1654646400000;DESK3.SA;8.09;8.16;7.61;7.68;7.66;1092100;stock;15.32;-50.0;15.37;-50.02;21.65;SUBIR
2022-06-09;1654732800000;DESK3.SA;7.7;7.97;7.35;7.38;7.36;582800;stock;15.23;-51.68;15.28;-51.69;20.43;SUBIR
2022-06-10;1654819200000;DESK3.SA;7.3;7.35;6.98;7.1;7.08;651200;stock;15.14;-53.23;15.19;-53.24;19.34;SUBIR
2022-06-13;1655078400000;DESK3.SA;6.91;6.91;6.4;6.4;6.39;675000;stock;15.04;-57.52;15.09;-57.58;16.94;SUBIR
2022-06-14;1655164800000;DESK3.SA;6.5;6.57;6.04;6.28;6.27;759200;stock;14.94;-58.04;14.99;-58.1;16.55;SUBIR
2022-06-15;1655251200000;DESK3.SA;6.4;6.74;6.35;6.72;6.7;746300;stock;14.85;-54.89;14.9;-54.89;23.28;SUBIR
2022-06-17;1655424000000;DESK3.SA;6.59;6.75;6.23;6.75;6.73;380100;stock;14.76;-54.41;14.81;-54.41;23.74;SUBIR
2022-06-20;1655683200000;DESK3.SA;6.75;6.99;6.36;6.99;6.97;495000;stock;14.68;-52.51;14.72;-52.51;27.5;SUBIR
2022-06-21;1655769600000;DESK3.SA;7.01;7.19;6.79;7.19;7.17;517200;stock;14.59;-50.87;14.64;-50.88;30.57;ESTAVEL
2022-06-22;1655856000000;DESK3.SA;7.05;7.27;6.97;7.12;7.1;411600;stock;14.51;-51.07;14.55;-51.08;30.09;ESTAVEL
2022-06-23;1655942400000;DESK3.SA;7.17;7.28;6.81;6.91;6.89;475400;stock;14.43;-52.24;14.47;-52.24;28.64;SUBIR
2022-06-24;1656028800000;DESK3.SA;6.91;7.69;6.91;7.69;7.67;354800;stock;14.35;-46.55;14.39;-46.58;40.2;ESTAVEL
2022-06-27;1656288000000;DESK3.SA;7.82;7.82;7.51;7.79;7.77;250400;stock;14.28;-45.58;14.32;-45.61;41.51;ESTAVEL
2022-06-28;1656374400000;DESK3.SA;7.73;7.76;7.32;7.6;7.58;333500;stock;14.2;-46.64;14.25;-46.66;39.73;ESTAVEL
2022-06-29;1656460800000;DESK3.SA;7.65;7.65;7.3;7.65;7.63;416100;stock;14.13;-46.01;14.17;-46.03;40.45;ESTAVEL
2022-06-30;1656547200000;DESK3.SA;7.42;7.89;7.3;7.89;7.87;529000;stock;14.06;-44.04;14.11;-44.06;43.93;ESTAVEL
2022-07-01;1656633600000;DESK3.SA;7.62;8.2;7.59;8.2;8.18;305900;stock;14.0;-41.56;14.04;-41.6;48.14;ESTAVEL
2022-07-04;1656892800000;DESK3.SA;8.2;8.63;8.0;8.44;8.42;995300;stock;13.94;-39.59;13.98;-39.62;51.2;ESTAVEL
2022-07-05;1656979200000;DESK3.SA;8.42;8.74;8.08;8.61;8.59;338400;stock;13.88;-38.11;13.92;-38.15;53.3;ESTAVEL
2022-07-06;1657065600000;DESK3.SA;8.58;9.2;8.51;9.05;9.03;441700;stock;13.83;-34.69;13.87;-34.74;58.3;ESTAVEL
2022-07-07;1657152000000;DESK3.SA;9.1;9.3;8.93;9.3;9.28;223400;stock;13.78;-32.63;13.82;-32.69;60.86;ESTAVEL
2022-07-08;1657238400000;DESK3.SA;9.15;9.44;9.0;9.44;9.42;272200;stock;13.73;-31.38;13.77;-31.44;62.26;ESTAVEL
2022-07-11;1657497600000;DESK3.SA;9.24;9.62;9.1;9.38;9.36;345400;stock;13.68;-31.58;13.72;-31.64;61.25;ESTAVEL
2022-07-12;1657584000000;DESK3.SA;9.4;9.76;9.22;9.35;9.33;214500;stock;13.63;-31.56;13.67;-31.62;60.72;ESTAVEL
2022-07-13;1657670400000;DESK3.SA;9.28;9.76;9.28;9.41;9.39;154700;stock;13.59;-30.89;13.63;-30.95;61.44;ESTAVEL
2022-07-14;1657756800000;DESK3.SA;9.45;9.46;8.84;8.98;8.96;390000;stock;13.54;-33.81;13.58;-33.86;53.83;ESTAVEL
2022-07-15;1657843200000;DESK3.SA;9.15;9.35;8.8;9.13;9.11;218200;stock;13.49;-32.46;13.53;-32.51;55.88;ESTAVEL
2022-07-18;1658102400000;DESK3.SA;9.38;9.65;8.97;8.97;8.95;188100;stock;13.44;-33.4;13.48;-33.45;53.17;ESTAVEL
2022-07-19;1658188800000;DESK3.SA;8.78;9.24;8.78;9.02;9.0;193600;stock;13.39;-32.79;13.43;-32.84;53.92;ESTAVEL
2022-07-20;1658275200000;DESK3.SA;9.04;9.57;8.97;9.45;9.43;178100;stock;13.35;-29.35;13.39;-29.41;59.9;ESTAVEL
2022-07-21;1658361600000;DESK3.SA;9.41;10.07;9.35;10.04;10.02;428100;stock;13.31;-24.73;13.35;-24.8;66.35;ESTAVEL
2022-07-22;1658448000000;DESK3.SA;10.04;10.18;9.79;9.84;9.82;246300;stock;13.27;-26.02;13.31;-26.08;62.67;ESTAVEL
2022-07-25;1658707200000;DESK3.SA;9.84;9.84;9.57;9.64;9.62;157500;stock;13.23;-27.31;13.27;-27.37;59.14;ESTAVEL
2022-07-26;1658793600000;DESK3.SA;9.63;9.71;9.27;9.35;9.33;153300;stock;13.19;-29.27;13.23;-29.33;54.35;ESTAVEL
2022-07-27;1658880000000;DESK3.SA;9.29;9.61;9.15;9.29;9.27;161300;stock;13.15;-29.5;13.19;-29.56;53.39;ESTAVEL
2022-07-28;1658966400000;DESK3.SA;9.22;10.03;9.22;9.7;9.68;312700;stock;13.11;-26.18;13.15;-26.24;58.76;ESTAVEL
2022-07-29;1659052800000;DESK3.SA;9.73;9.84;9.42;9.76;9.74;194800;stock;13.08;-25.51;13.11;-25.57;59.5;ESTAVEL
2022-08-01;1659312000000;DESK3.SA;9.5;9.63;8.91;9.06;9.04;471400;stock;13.03;-30.63;13.07;-30.68;48.6;ESTAVEL
2022-08-02;1659398400000;DESK3.SA;9.15;9.45;9.02;9.17;9.15;168300;stock;12.99;-29.56;13.03;-29.61;50.15;ESTAVEL
2022-08-03;1659484800000;DESK3.SA;9.12;9.41;9.06;9.35;9.33;218500;stock;12.95;-27.96;12.99;-28.01;52.66;ESTAVEL
2022-08-04;1659571200000;DESK3.SA;9.4;9.94;9.15;9.89;9.87;374200;stock;12.92;-23.59;12.96;-23.66;59.27;ESTAVEL
2022-08-05;1659657600000;DESK3.SA;9.92;10.54;9.47;10.53;10.51;360000;stock;12.89;-18.48;12.93;-18.55;65.44;ESTAVEL
2022-08-08;1659916800000;DESK3.SA;10.55;11.08;10.36;10.48;10.46;306700;stock;12.87;-18.7;12.9;-18.78;64.62;ESTAVEL
2022-08-09;1660003200000;DESK3.SA;10.43;10.46;10.07;10.44;10.42;154400;stock;12.84;-18.85;12.88;-18.92;63.93;ESTAVEL
2022-08-10;1660089600000;DESK3.SA;10.51;10.74;10.27;10.38;10.36;488500;stock;12.81;-19.15;12.85;-19.22;62.84;ESTAVEL
2022-08-11;1660176000000;DESK3.SA;10.51;10.61;9.71;9.71;9.69;216500;stock;12.78;-24.18;12.82;-24.23;52.16;ESTAVEL
2022-08-12;1660262400000;DESK3.SA;9.94;10.51;9.55;10.05;10.03;280600;stock;12.75;-21.34;12.79;-21.4;56.22;ESTAVEL
2022-08-15;1660521600000;DESK3.SA;10.01;10.7;9.79;10.41;10.39;252600;stock;12.73;-18.35;12.76;-18.42;60.09;ESTAVEL
2022-08-16;1660608000000;DESK3.SA;11.0;11.35;10.51;10.59;10.57;667600;stock;12.7;-16.79;12.74;-16.86;61.9;ESTAVEL
2022-08-17;1660694400000;DESK3.SA;10.51;10.77;10.2;10.23;10.21;170000;stock;12.68;-19.45;12.71;-19.52;56.39;ESTAVEL
2022-08-18;1660780800000;DESK3.SA;10.34;10.45;9.95;9.95;9.93;248300;stock;12.65;-21.48;12.68;-21.54;52.47;ESTAVEL
2022-08-19;1660867200000;DESK3.SA;9.92;10.2;9.77;10.2;10.18;164800;stock;12.62;-19.33;12.66;-19.4;55.45;ESTAVEL
2022-08-22;1661126400000;DESK3.SA;10.2;10.37;9.78;9.82;9.8;190200;stock;12.59;-22.16;12.62;-22.22;50.29;ESTAVEL
2022-08-23;1661212800000;DESK3.SA;10.07;11.0;10.02;10.9;10.88;257700;stock;12.57;-13.46;12.61;-13.54;61.3;ESTAVEL
2022-08-24;1661299200000;DESK3.SA;10.85;11.72;10.85;11.29;11.26;212500;stock;12.56;-10.33;12.59;-10.34;64.3;ESTAVEL
2022-08-25;1661385600000;DESK3.SA;11.27;11.91;11.27;11.65;11.62;144300;stock;12.55;-7.39;12.58;-7.41;66.91;ESTAVEL
2022-08-26;1661472000000;DESK3.SA;11.61;11.64;11.01;11.48;11.45;150900;stock;12.54;-8.66;12.57;-8.68;64.51;ESTAVEL
2022-08-29;1661731200000;DESK3.SA;11.51;11.95;11.31;11.47;11.44;229800;stock;12.52;-8.66;12.56;-8.67;64.36;ESTAVEL
2022-08-30;1661817600000;DESK3.SA;11.63;11.63;10.98;11.07;11.05;204200;stock;12.51;-11.66;12.54;-11.75;58.76;ESTAVEL
2022-08-31;1661904000000;DESK3.SA;11.17;11.26;10.54;10.58;10.56;213600;stock;12.49;-15.44;12.52;-15.51;52.58;ESTAVEL
2022-09-01;1661990400000;DESK3.SA;10.7;11.56;10.41;11.25;11.22;502400;stock;12.47;-10.06;12.51;-10.06;58.86;ESTAVEL
2022-09-02;1662076800000;DESK3.SA;11.38;12.49;11.38;12.26;12.23;1163800;stock;12.47;-1.94;12.51;-1.97;66.23;ESTAVEL
2022-09-05;1662336000000;DESK3.SA;12.09;12.09;11.52;11.61;11.58;261400;stock;12.46;-7.08;12.5;-7.1;58.92;ESTAVEL
2022-09-06;1662422400000;DESK3.SA;11.59;11.64;10.88;10.94;10.92;181100;stock;12.45;-12.26;12.48;-12.34;52.56;ESTAVEL
2022-09-08;1662595200000;DESK3.SA;10.84;11.16;10.79;11.1;11.08;166900;stock;12.43;-10.87;12.47;-10.96;53.86;ESTAVEL
2022-09-09;1662681600000;DESK3.SA;11.3;12.17;11.29;11.91;11.88;202800;stock;12.43;-4.39;12.46;-4.41;59.79;ESTAVEL
2022-09-12;1662940800000;DESK3.SA;12.0;12.35;11.95;11.98;11.95;107900;stock;12.42;-3.79;12.45;-3.81;60.27;ESTAVEL
2022-09-13;1663027200000;DESK3.SA;11.95;12.08;11.5;11.51;11.48;190700;stock;12.41;-7.5;12.44;-7.51;55.47;ESTAVEL
