s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.04;7.83;4.45;7.78;55.94;ESTAVEL
2000-10-09;971049600000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.04;7.74;4.46;7.68;55.94;ESTAVEL
2000-10-10;971136000000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.04;7.64;4.46;7.59;55.94;ESTAVEL
2000-10-11;971222400000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.55;4.47;7.49;55.94;ESTAVEL
2000-10-12;971308800000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.45;4.47;7.4;55.94;ESTAVEL
2000-10-13;971395200000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.36;4.47;7.31;55.94;ESTAVEL
2000-10-16;971654400000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.27;4.48;7.22;55.94;ESTAVEL
2000-10-17;971740800000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.18;4.48;7.13;55.94;ESTAVEL
2000-10-18;971827200000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.05;7.1;4.48;7.05;55.94;ESTAVEL
2000-10-19;971913600000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;7.01;4.49;6.96;55.94;ESTAVEL
2000-10-20;972000000000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;6.93;4.49;6.88;55.94;ESTAVEL
2000-10-23;972259200000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;6.84;4.49;6.79;55.94;ESTAVEL
2000-10-24;972345600000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;6.76;4.5;6.71;55.94;ESTAVEL
2000-10-25;972432000000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;6.68;4.5;6.63;55.94;ESTAVEL
2000-10-26;972518400000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.06;6.6;4.5;6.55;55.94;ESTAVEL
2000-10-27;972604800000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.52;4.51;6.47;55.94;ESTAVEL
2000-10-30;972864000000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.44;4.51;6.39;55.94;ESTAVEL
2000-10-31;972950400000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.36;4.51;6.32;55.94;ESTAVEL
2000-11-01;973036800000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.29;4.52;6.24;55.94;ESTAVEL
2000-11-02;973123200000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.21;4.52;6.17;55.94;ESTAVEL
2000-11-03;973209600000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.07;6.14;4.52;6.09;55.94;ESTAVEL
2000-11-06;973468800000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;1;stock;2.07;6.07;4.53;6.02;55.94;ESTAVEL
2000-11-07;973555200000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.08;5.99;4.53;5.95;55.94;ESTAVEL
2000-11-08;973641600000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.08;5.92;4.53;5.88;55.94;ESTAVEL
2000-11-09;973728000000;ECPR3.SA;4.8;4.8;4.8;4.8;2.2;0;stock;2.08;5.85;4.54;5.81;55.94;ESTAVEL
2000-11-10;973814400000;ECPR3.SA;5.7;5.7;5.7;5.7;2.61;0;stock;2.08;25.22;4.55;25.29;98.31;ESTAVEL
2000-11-13;974073600000;ECPR3.SA;5.7;5.7;5.7;5.7;2.61;0;stock;2.09;24.87;4.56;24.94;98.31;ESTAVEL
2000-11-14;974160000000;ECPR3.SA;5.7;5.7;5.7;5.7;2.61;0;stock;2.1;24.53;4.57;24.6;98.31;ESTAVEL
2000-11-15;974246400000;ECPR3.SA;5.7;5.7;5.7;5.7;2.61;0;stock;2.1;24.19;4.59;24.26;98.31;ESTAVEL
2000-11-16;974332800000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.11;25.27;4.6;25.0;98.46;ESTAVEL
2000-11-17;974419200000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.11;24.92;4.61;24.65;98.46;ESTAVEL
2000-11-20;974678400000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.12;24.57;4.63;24.32;98.46;ESTAVEL
2000-11-21;974764800000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.12;24.24;4.64;23.98;98.46;ESTAVEL
2000-11-22;974851200000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.13;23.91;4.65;23.66;98.46;ESTAVEL
2000-11-23;974937600000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.14;23.58;4.66;23.33;98.46;ESTAVEL
2000-11-24;975024000000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.14;23.26;4.67;23.02;98.46;ESTAVEL
2000-11-27;975283200000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.15;22.95;4.69;22.71;98.46;ESTAVEL
2000-11-28;975369600000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.15;22.64;4.7;22.4;98.46;ESTAVEL
2000-11-29;975456000000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.16;22.33;4.71;22.1;98.46;ESTAVEL
2000-11-30;975542400000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.16;22.04;4.72;21.81;98.46;ESTAVEL
2000-12-01;975628800000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.17;21.74;4.73;21.52;98.46;ESTAVEL
2000-12-04;975888000000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.17;21.45;4.74;21.23;98.46;ESTAVEL
2000-12-05;975974400000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.18;21.17;4.75;20.95;98.46;ESTAVEL
2000-12-06;976060800000;ECPR3.SA;5.75;5.75;5.75;5.75;2.64;0;stock;2.18;20.89;4.76;20.68;98.46;ESTAVEL
2000-12-07;976147200000;ECPR3.SA;5.73;5.73;5.73;5.73;2.63;0;stock;2.19;20.16;4.78;19.99;90.53;ESTAVEL
2000-12-08;976233600000;ECPR3.SA;5.73;5.73;5.73;5.73;2.63;0;stock;2.19;19.9;4.79;19.73;90.53;ESTAVEL
2000-12-11;976492800000;ECPR3.SA;6.2;6.2;6.2;6.2;2.84;0;stock;2.2;29.06;4.8;29.14;96.8;ESTAVEL
2000-12-12;976579200000;ECPR3.SA;6.2;6.2;6.2;6.2;2.84;0;stock;2.21;28.65;4.82;28.73;96.8;ESTAVEL
2000-12-13;976665600000;ECPR3.SA;6.2;6.2;6.2;6.2;2.84;0;stock;2.21;28.26;4.83;28.33;96.8;ESTAVEL
2000-12-14;976752000000;ECPR3.SA;5.99;5.99;5.99;5.99;2.75;0;stock;2.22;23.87;4.84;23.66;71.46;ESTAVEL
2000-12-15;976838400000;ECPR3.SA;5.0;5.0;5.0;5.0;2.29;1;stock;2.22;3.11;4.85;3.19;29.28;SUBIR
2000-12-18;977097600000;ECPR3.SA;5.0;5.0;5.0;5.0;2.29;0;stock;2.22;3.08;4.85;3.15;29.28;SUBIR
2000-12-19;977184000000;ECPR3.SA;5.0;5.0;5.0;5.0;2.29;0;stock;2.22;3.04;4.85;3.12;29.28;SUBIR
2000-12-20;977270400000;ECPR3.SA;5.0;5.0;5.0;5.0;2.29;0;stock;2.22;3.01;4.85;3.08;29.28;SUBIR
2000-12-21;977356800000;ECPR3.SA;5.0;5.0;5.0;5.0;2.29;0;stock;2.22;2.97;4.85;3.05;29.28;SUBIR
2000-12-22;977443200000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;1;stock;2.22;-12.2;4.85;-12.29;17.94;SUBIR
2000-12-25;977702400000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.22;-12.08;4.84;-12.18;17.94;SUBIR
2000-12-26;977788800000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.22;-11.97;4.83;-12.06;17.94;SUBIR
2000-12-27;977875200000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.21;-11.85;4.83;-11.95;17.94;SUBIR
2000-12-28;977961600000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.21;-11.74;4.82;-11.83;17.94;SUBIR
2000-12-29;978048000000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.21;-11.63;4.81;-11.72;17.94;SUBIR
2001-01-01;978307200000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.2;-11.52;4.81;-11.61;17.94;SUBIR
2001-01-02;978393600000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.2;-11.41;4.8;-11.5;17.94;SUBIR
2001-01-03;978480000000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.2;-11.3;4.8;-11.39;17.94;SUBIR
2001-01-04;978566400000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.2;-11.19;4.79;-11.28;17.94;SUBIR
2001-01-05;978652800000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.19;-11.09;4.78;-11.17;17.94;SUBIR
2001-01-08;978912000000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.19;-10.98;4.78;-11.07;17.94;SUBIR
2001-01-09;978998400000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.19;-10.88;4.77;-10.96;17.94;SUBIR
2001-01-10;979084800000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.19;-10.77;4.77;-10.86;17.94;SUBIR
2001-01-11;979171200000;ECPR3.SA;4.25;4.25;4.25;4.25;1.95;0;stock;2.18;-10.67;4.76;-10.76;17.94;SUBIR
2001-01-12;979257600000;ECPR3.SA;4.5;4.5;4.5;4.5;2.06;3;stock;2.18;-5.57;4.76;-5.45;40.57;ESTAVEL
2001-01-15;979516800000;ECPR3.SA;4.5;4.5;4.5;4.5;2.06;0;stock;2.18;-5.52;4.76;-5.39;40.57;ESTAVEL
2001-01-16;979603200000;ECPR3.SA;4.5;4.5;4.5;4.5;2.06;0;stock;2.18;-5.46;4.75;-5.34;40.57;ESTAVEL
2001-01-17;979689600000;ECPR3.SA;5.01;5.01;5.01;5.01;2.3;0;stock;2.18;5.49;4.76;5.33;66.07;ESTAVEL
2001-01-18;979776000000;ECPR3.SA;5.49;5.49;5.49;5.49;2.52;1;stock;2.18;15.39;4.76;15.23;76.16;ESTAVEL
2001-01-19;979862400000;ECPR3.SA;5.5;5.5;5.5;5.5;2.52;0;stock;2.19;15.2;4.77;15.25;76.16;ESTAVEL
2001-01-22;980121600000;ECPR3.SA;5.5;5.5;5.5;5.5;2.52;0;stock;2.19;15.01;4.78;15.06;76.16;ESTAVEL
2001-01-23;980208000000;ECPR3.SA;5.5;5.5;5.5;5.5;2.52;0;stock;2.19;14.83;4.79;14.88;76.16;ESTAVEL
2001-01-24;980294400000;ECPR3.SA;5.5;5.5;5.5;5.5;2.52;1;stock;2.2;14.65;4.8;14.7;76.16;ESTAVEL
2001-01-25;980380800000;ECPR3.SA;5.5;5.5;5.5;5.5;2.52;0;stock;2.2;14.47;4.8;14.52;76.16;ESTAVEL
