s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;EKTR4.SA;12.0;12.0;12.0;12.0;3.7;0;stock;3.37;9.7;10.93;9.74;40.27;ESTAVEL
2000-10-09;971049600000;EKTR4.SA;12.0;12.0;12.0;12.0;3.7;0;stock;3.38;9.58;10.95;9.62;40.27;ESTAVEL
2000-10-10;971136000000;EKTR4.SA;12.0;12.0;12.0;12.0;3.7;0;stock;3.38;9.46;10.96;9.5;40.27;ESTAVEL
2000-10-11;971222400000;EKTR4.SA;11.2;11.2;11.2;11.2;3.45;0;stock;3.38;2.04;10.96;2.17;28.97;SUBIR
2000-10-12;971308800000;EKTR4.SA;11.2;11.2;11.2;11.2;3.45;0;stock;3.38;2.02;10.96;2.15;28.97;SUBIR
2000-10-13;971395200000;EKTR4.SA;11.2;11.2;11.2;11.2;3.45;0;stock;3.38;1.99;10.97;2.12;28.97;SUBIR
2000-10-16;971654400000;EKTR4.SA;10.7;10.7;10.7;10.7;3.3;0;stock;3.38;-2.41;10.96;-2.41;23.94;SUBIR
2000-10-17;971740800000;EKTR4.SA;10.7;10.7;10.7;10.7;3.3;0;stock;3.38;-2.39;10.96;-2.38;23.94;SUBIR
2000-10-18;971827200000;EKTR4.SA;10.7;10.7;10.7;10.7;3.3;0;stock;3.38;-2.36;10.96;-2.36;23.94;SUBIR
2000-10-19;971913600000;EKTR4.SA;10.7;10.7;10.7;10.7;3.3;0;stock;3.38;-2.33;10.96;-2.33;23.94;SUBIR
2000-10-20;972000000000;EKTR4.SA;10.7;10.7;10.7;10.7;3.3;0;stock;3.38;-2.31;10.95;-2.31;23.94;SUBIR
2000-10-23;972259200000;EKTR4.SA;9.7;9.7;9.7;9.7;2.99;0;stock;3.37;-11.37;10.94;-11.32;15.75;SUBIR
2000-10-24;972345600000;EKTR4.SA;9.7;9.7;9.7;9.7;2.99;0;stock;3.37;-11.26;10.92;-11.21;15.75;SUBIR
2000-10-25;972432000000;EKTR4.SA;9.7;9.7;9.7;9.7;2.99;0;stock;3.36;-11.14;10.91;-11.1;15.75;SUBIR
2000-10-26;972518400000;EKTR4.SA;9.7;9.7;9.7;9.7;2.99;0;stock;3.36;-11.03;10.9;-10.98;15.75;SUBIR
2000-10-27;972604800000;EKTR4.SA;9.6;9.6;9.6;9.6;2.96;0;stock;3.36;-11.81;10.88;-11.78;15.08;SUBIR
2000-10-30;972864000000;EKTR4.SA;9.6;9.6;9.6;9.6;2.96;0;stock;3.35;-11.69;10.87;-11.67;15.08;SUBIR
2000-10-31;972950400000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.35;-8.02;10.86;-7.9;29.1;SUBIR
2000-11-01;973036800000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.35;-7.94;10.85;-7.82;29.1;SUBIR
2000-11-02;973123200000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.34;-7.86;10.84;-7.74;29.1;SUBIR
2000-11-03;973209600000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.34;-7.78;10.83;-7.66;29.1;SUBIR
2000-11-06;973468800000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.34;-7.7;10.82;-7.58;29.1;SUBIR
2000-11-07;973555200000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.33;-7.62;10.81;-7.5;29.1;SUBIR
2000-11-08;973641600000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.33;-7.54;10.8;-7.43;29.1;SUBIR
2000-11-09;973728000000;EKTR4.SA;9.96;9.96;9.8;9.8;3.02;2;stock;3.33;-9.25;10.79;-9.18;25.56;SUBIR
2000-11-10;973814400000;EKTR4.SA;9.8;9.8;9.8;9.8;3.02;0;stock;3.32;-9.15;10.78;-9.09;25.56;SUBIR
2000-11-13;974073600000;EKTR4.SA;9.8;9.8;9.8;9.8;3.02;0;stock;3.32;-9.06;10.77;-9.0;25.56;SUBIR
2000-11-14;974160000000;EKTR4.SA;9.8;9.8;9.8;9.8;3.02;0;stock;3.32;-8.97;10.76;-8.91;25.56;SUBIR
2000-11-15;974246400000;EKTR4.SA;9.8;9.8;9.8;9.8;3.02;0;stock;3.31;-8.88;10.75;-8.82;25.56;SUBIR
2000-11-16;974332800000;EKTR4.SA;9.0;9.0;9.0;9.0;2.78;0;stock;3.31;-15.97;10.73;-16.11;14.98;SUBIR
2000-11-17;974419200000;EKTR4.SA;9.0;9.0;9.0;9.0;2.78;0;stock;3.3;-15.82;10.71;-15.96;14.98;SUBIR
2000-11-20;974678400000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.3;-6.67;10.7;-6.55;46.86;ESTAVEL
2000-11-21;974764800000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.3;-6.6;10.69;-6.49;46.86;ESTAVEL
2000-11-22;974851200000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.3;-6.53;10.69;-6.42;46.86;ESTAVEL
2000-11-23;974937600000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.29;-6.46;10.68;-6.35;46.86;ESTAVEL
2000-11-24;975024000000;EKTR4.SA;10.0;10.0;10.0;10.0;3.08;0;stock;3.29;-6.4;10.67;-6.29;46.86;ESTAVEL
2000-11-27;975283200000;EKTR4.SA;9.02;9.02;9.0;9.0;2.78;0;stock;3.28;-15.37;10.65;-15.51;30.37;ESTAVEL
