s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-12-28;1672185600000;FATN11.SA;93.8;93.97;93.0;93.0;84.28;227;fii;84.85;-0.67;96.22;-3.34;50.09;ESTAVEL
2022-12-29;1672272000000;FATN11.SA;93.0;93.97;93.0;93.96;85.15;194;fii;84.85;0.35;96.19;-2.32;56.86;ESTAVEL
2023-01-02;1672617600000;FATN11.SA;92.83;99.97;92.83;95.25;86.32;227;fii;84.87;1.71;96.18;-0.97;63.95;ESTAVEL
2023-01-03;1672704000000;FATN11.SA;95.0;95.0;93.13;94.3;85.46;275;fii;84.87;0.69;96.16;-1.93;56.59;ESTAVEL
2023-01-04;1672790400000;FATN11.SA;94.3;94.3;93.59;93.75;84.96;35;fii;84.88;0.1;96.13;-2.48;52.79;ESTAVEL
2023-01-05;1672876800000;FATN11.SA;94.3;94.87;93.71;94.0;85.19;170;fii;84.88;0.37;96.11;-2.19;54.31;ESTAVEL
2023-01-06;1672963200000;FATN11.SA;94.95;95.2;94.0;94.8;86.76;238;fii;84.9;2.19;96.09;-1.34;63.06;ESTAVEL
2023-01-09;1673222400000;FATN11.SA;94.8;94.8;93.25;93.4;85.48;372;fii;84.91;0.67;96.06;-2.77;53.98;ESTAVEL
2023-01-10;1673308800000;FATN11.SA;94.09;94.09;93.22;94.09;86.11;343;fii;84.92;1.4;96.04;-2.03;57.24;ESTAVEL
2023-01-11;1673395200000;FATN11.SA;94.09;94.1;93.31;93.9;85.94;170;fii;84.93;1.19;96.01;-2.2;56.09;ESTAVEL
2023-01-12;1673481600000;FATN11.SA;93.8;94.1;93.43;93.47;85.54;230;fii;84.94;0.71;95.99;-2.62;53.36;ESTAVEL
2023-01-13;1673568000000;FATN11.SA;94.1;94.95;94.09;94.56;86.54;9274;fii;84.96;1.86;95.97;-1.47;58.76;ESTAVEL
2023-01-16;1673827200000;FATN11.SA;93.81;94.91;93.81;94.89;86.84;61;fii;84.98;2.19;95.96;-1.11;60.25;ESTAVEL
2023-01-17;1673913600000;FATN11.SA;94.88;94.89;94.88;94.89;86.84;110;fii;85.0;2.17;95.95;-1.1;60.25;ESTAVEL
2023-01-18;1674000000000;FATN11.SA;94.75;94.87;93.28;94.35;86.35;494;fii;85.01;1.57;95.93;-1.64;56.4;ESTAVEL
2023-01-19;1674086400000;FATN11.SA;94.58;94.94;93.5;94.63;86.6;248;fii;85.03;1.84;95.91;-1.34;57.88;ESTAVEL
2023-01-20;1674172800000;FATN11.SA;94.63;95.0;94.1;94.1;86.12;292;fii;85.04;1.26;95.89;-1.87;54.08;ESTAVEL
2023-01-23;1674432000000;FATN11.SA;95.0;95.0;93.21;93.21;85.3;288;fii;85.05;0.3;95.86;-2.77;48.26;ESTAVEL
2023-01-24;1674518400000;FATN11.SA;94.6;94.97;93.1;93.1;85.2;149;fii;85.05;0.18;95.83;-2.85;47.58;ESTAVEL
2023-01-25;1674604800000;FATN11.SA;93.11;94.78;93.11;94.74;86.7;42;fii;85.07;1.92;95.82;-1.13;57.22;ESTAVEL
2023-01-26;1674691200000;FATN11.SA;94.59;94.59;93.11;94.3;86.3;222;fii;85.08;1.43;95.8;-1.57;54.35;ESTAVEL
2023-01-27;1674777600000;FATN11.SA;93.23;94.25;93.23;94.21;86.22;210;fii;85.09;1.32;95.78;-1.64;53.77;ESTAVEL
2023-01-30;1675036800000;FATN11.SA;94.22;94.22;93.45;94.21;86.22;109;fii;85.11;1.31;95.77;-1.63;53.77;ESTAVEL
2023-01-31;1675123200000;FATN11.SA;94.2;94.2;93.85;93.9;85.94;215;fii;85.12;0.97;95.75;-1.93;51.53;ESTAVEL
2023-02-01;1675209600000;FATN11.SA;94.17;94.18;94.0;94.0;86.03;976;fii;85.13;1.06;95.73;-1.8;52.22;ESTAVEL
2023-02-02;1675296000000;FATN11.SA;94.18;94.18;94.07;94.17;86.18;158;fii;85.14;1.22;95.71;-1.61;53.41;ESTAVEL
2023-02-03;1675382400000;FATN11.SA;94.0;94.22;94.0;94.22;86.23;991;fii;85.15;1.27;95.69;-1.54;53.82;ESTAVEL
2023-02-06;1675641600000;FATN11.SA;94.0;94.28;94.0;94.01;86.04;188;fii;85.16;1.03;95.67;-1.74;51.94;ESTAVEL
2023-02-07;1675728000000;FATN11.SA;97.66;97.66;93.9;93.9;86.77;603;fii;85.18;1.87;95.65;-1.83;58.01;ESTAVEL
2023-02-08;1675814400000;FATN11.SA;94.0;94.0;93.24;93.95;86.81;90;fii;85.2;1.89;95.64;-1.76;58.32;ESTAVEL
2023-02-09;1675900800000;FATN11.SA;93.98;93.98;93.9;93.9;86.77;22;fii;85.21;1.83;95.62;-1.8;57.86;ESTAVEL
2023-02-10;1675987200000;FATN11.SA;93.9;93.99;93.9;93.97;86.83;71;fii;85.23;1.88;95.6;-1.7;58.39;ESTAVEL
2023-02-13;1676246400000;FATN11.SA;93.97;93.99;93.9;93.99;86.85;32029;fii;85.25;1.88;95.58;-1.66;58.57;ESTAVEL
2023-02-14;1676332800000;FATN11.SA;93.98;93.98;93.97;93.97;86.83;91;fii;85.27;1.83;95.56;-1.67;58.29;ESTAVEL
2023-02-15;1676419200000;FATN11.SA;93.97;94.0;93.92;94.0;86.86;215;fii;85.28;1.85;95.55;-1.62;58.61;ESTAVEL
2023-02-16;1676505600000;FATN11.SA;93.92;94.0;93.91;94.0;86.86;132;fii;85.3;1.83;95.53;-1.6;58.61;ESTAVEL
2023-02-17;1676592000000;FATN11.SA;94.0;94.04;93.9;94.04;86.9;412;fii;85.32;1.85;95.51;-1.54;59.1;ESTAVEL
2023-02-22;1677024000000;FATN11.SA;94.04;95.0;94.04;95.0;87.78;269;fii;85.35;2.85;95.51;-0.53;68.05;ESTAVEL
2023-02-23;1677110400000;FATN11.SA;94.1;94.99;94.1;94.97;87.76;257;fii;85.37;2.8;95.5;-0.56;67.68;ESTAVEL
2023-02-24;1677196800000;FATN11.SA;94.34;94.99;94.3;94.95;87.74;185;fii;85.4;2.74;95.49;-0.57;67.3;ESTAVEL
2023-02-27;1677456000000;FATN11.SA;94.95;94.95;94.7;94.8;87.6;295;fii;85.42;2.55;95.49;-0.72;64.52;ESTAVEL
2023-02-28;1677542400000;FATN11.SA;94.8;94.8;94.75;94.8;87.6;483;fii;85.45;2.52;95.48;-0.71;64.52;ESTAVEL
2023-03-01;1677628800000;FATN11.SA;94.8;94.98;94.61;94.98;87.76;192;fii;85.47;2.68;95.47;-0.52;66.36;ESTAVEL
2023-03-02;1677715200000;FATN11.SA;94.98;95.0;94.57;95.0;87.78;269;fii;85.5;2.67;95.47;-0.49;66.59;ESTAVEL
