s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-02-15;1203033600000;FIEI3.SA;265.8;265.8;257.8;258.0;176.46;310;stock;246.42;-28.39;360.28;-28.39;48.35;ESTAVEL
2008-02-18;1203292800000;FIEI3.SA;259.8;260.0;259.8;260.0;177.83;3475;stock;245.63;-27.6;359.13;-27.6;49.31;ESTAVEL
2008-02-19;1203379200000;FIEI3.SA;254.0;261.0;254.0;261.0;178.51;15;stock;244.86;-27.1;358.0;-27.1;49.81;ESTAVEL
2008-02-20;1203465600000;FIEI3.SA;252.2;259.4;252.2;259.4;177.42;15;stock;244.09;-27.31;356.87;-27.31;48.97;ESTAVEL
2008-02-21;1203552000000;FIEI3.SA;259.8;260.0;244.2;253.8;173.59;690;stock;243.28;-28.65;355.7;-28.65;46.06;ESTAVEL
2008-02-22;1203638400000;FIEI3.SA;265.8;265.8;265.8;265.8;181.8;15;stock;242.58;-25.06;354.67;-25.06;52.57;ESTAVEL
2008-02-25;1203897600000;FIEI3.SA;251.8;251.8;251.8;251.8;172.22;250;stock;241.78;-28.77;353.5;-28.77;45.65;ESTAVEL
2008-02-26;1203984000000;FIEI3.SA;251.8;251.8;243.4;249.8;170.85;515;stock;240.97;-29.1;352.31;-29.1;44.74;ESTAVEL
2008-02-27;1204070400000;FIEI3.SA;248.8;248.8;240.0;240.0;164.15;675;stock;240.1;-31.63;351.04;-31.63;40.5;ESTAVEL
2008-02-28;1204156800000;FIEI3.SA;236.6;238.0;236.0;236.0;161.42;780;stock;239.2;-32.52;349.73;-32.52;38.88;ESTAVEL
2008-02-29;1204243200000;FIEI3.SA;228.0;228.0;228.0;228.0;155.94;255;stock;238.26;-34.55;348.35;-34.55;35.79;ESTAVEL
2008-03-03;1204502400000;FIEI3.SA;227.6;236.0;227.6;236.0;161.42;620;stock;237.39;-32.0;347.08;-32.0;40.86;ESTAVEL
2008-03-04;1204588800000;FIEI3.SA;236.0;236.0;236.0;236.0;161.42;0;stock;236.53;-31.75;345.82;-31.76;40.86;ESTAVEL
