s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2015-05-29;1432857600000;FPAB11.SA;332.01;335.0;329.0;329.0;270.38;79;fii;265.62;1.79;323.2;1.79;51.11;ESTAVEL
2015-06-01;1433116800000;FPAB11.SA;329.0;329.0;329.0;329.0;270.38;0;fii;265.67;1.77;323.27;1.77;51.11;ESTAVEL
2015-06-02;1433203200000;FPAB11.SA;330.0;332.99;329.99;332.99;273.66;289;fii;265.76;2.97;323.38;2.97;54.56;ESTAVEL
2015-06-03;1433289600000;FPAB11.SA;332.99;332.99;332.99;332.99;273.66;0;fii;265.85;2.94;323.49;2.94;54.56;ESTAVEL
2015-06-05;1433462400000;FPAB11.SA;346.55;346.55;346.55;346.55;284.8;2;fii;266.07;7.04;323.75;7.04;64.46;ESTAVEL
2015-06-08;1433721600000;FPAB11.SA;345.0;345.0;345.0;345.0;283.53;20;fii;266.27;6.48;324.0;6.48;62.78;ESTAVEL
2015-06-09;1433808000000;FPAB11.SA;345.0;345.0;345.0;345.0;283.53;106;fii;266.47;6.4;324.24;6.4;62.78;ESTAVEL
2015-06-10;1433894400000;FPAB11.SA;345.0;345.0;344.97;345.0;283.53;53;fii;266.66;6.33;324.47;6.33;62.78;ESTAVEL
2015-06-11;1433980800000;FPAB11.SA;344.9;345.0;344.9;345.0;283.53;20;fii;266.85;6.25;324.71;6.25;62.78;ESTAVEL
2015-06-12;1434067200000;FPAB11.SA;345.0;345.0;345.0;345.0;283.53;0;fii;267.04;6.17;324.94;6.17;62.78;ESTAVEL
2015-06-15;1434326400000;FPAB11.SA;330.0;330.0;330.0;330.0;271.2;46;fii;267.09;1.54;324.99;1.54;45.95;ESTAVEL
2015-06-16;1434412800000;FPAB11.SA;339.0;339.0;335.0;339.0;278.6;49;fii;267.22;4.26;325.15;4.26;53.93;ESTAVEL
2015-06-17;1434499200000;FPAB11.SA;339.0;339.0;339.0;339.0;278.6;0;fii;267.35;4.21;325.31;4.21;53.93;ESTAVEL
2015-06-18;1434585600000;FPAB11.SA;339.0;339.0;339.0;339.0;278.6;0;fii;267.47;4.16;325.46;4.16;53.93;ESTAVEL
2015-06-19;1434672000000;FPAB11.SA;340.0;340.0;340.0;340.0;279.42;67;fii;267.61;4.41;325.63;4.41;54.86;ESTAVEL
2015-06-22;1434931200000;FPAB11.SA;340.0;340.0;340.0;340.0;279.42;100;fii;267.74;4.36;325.79;4.36;54.86;ESTAVEL
2015-06-23;1435017600000;FPAB11.SA;340.0;340.0;330.02;330.02;271.22;105;fii;267.78;1.28;325.84;1.28;44.52;ESTAVEL
2015-06-24;1435104000000;FPAB11.SA;330.02;330.02;330.02;330.02;271.22;0;fii;267.82;1.27;325.88;1.27;44.52;ESTAVEL
2015-06-25;1435190400000;FPAB11.SA;330.5;330.5;330.5;330.5;271.61;11;fii;267.86;1.4;325.94;1.4;45.09;ESTAVEL
2015-06-26;1435276800000;FPAB11.SA;330.5;330.5;330.5;330.5;271.61;0;fii;267.9;1.38;325.99;1.38;45.09;ESTAVEL
