s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2007-01-24;1169596800000;HAGA3.SA;1.45;1.45;1.45;1.45;1.45;138000;stock;0.17;738.95;0.17;738.95;100.0;CAIR
2007-01-26;1169769600000;HAGA3.SA;4.1;4.1;4.1;4.1;4.1;156;stock;0.21;1834.76;0.21;1834.76;100.0;CAIR
2007-01-29;1170028800000;HAGA3.SA;3.55;3.55;3.55;3.55;3.55;146000;stock;0.25;1348.23;0.25;1348.23;86.66;CAIR
2007-01-30;1170115200000;HAGA3.SA;3.4;3.4;3.4;3.4;3.4;146;stock;0.28;1129.57;0.28;1129.57;83.39;CAIR
2007-01-31;1170201600000;HAGA3.SA;3.38;3.38;3.38;3.38;3.38;32000;stock;0.31;999.55;0.31;999.55;82.94;CAIR
2007-02-01;1170288000000;HAGA3.SA;3.0;3.0;3.0;3.0;3.0;141000;stock;0.33;797.69;0.33;797.69;74.71;CAIR
2007-02-02;1170374400000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;159;stock;0.35;496.99;0.35;496.99;59.62;ESTAVEL
2007-02-05;1170633600000;HAGA3.SA;3.59;3.59;3.59;3.59;3.59;596;stock;0.38;834.94;0.38;834.94;70.31;CAIR
2007-02-06;1170720000000;HAGA3.SA;2.71;2.71;2.71;2.71;2.71;106000;stock;0.41;565.64;0.41;565.64;60.18;ESTAVEL
2007-02-07;1170806400000;HAGA3.SA;2.8;2.8;2.8;2.8;2.8;67000;stock;0.43;549.75;0.43;549.75;60.8;ESTAVEL
2007-02-08;1170892800000;HAGA3.SA;2.6;2.6;2.6;2.6;2.6;92000;stock;0.45;474.56;0.45;474.56;58.61;ESTAVEL
2007-02-09;1170979200000;HAGA3.SA;2.7;2.7;2.7;2.7;2.7;27;stock;0.47;468.56;0.47;468.56;59.4;ESTAVEL
2007-02-12;1171238400000;HAGA3.SA;2.5;2.5;2.5;2.5;2.5;9000;stock;0.5;405.02;0.5;405.02;57.06;ESTAVEL
2007-02-13;1171324800000;HAGA3.SA;2.39;2.39;2.39;2.39;2.39;74000;stock;0.51;365.08;0.51;365.08;55.76;ESTAVEL
2007-02-14;1171411200000;HAGA3.SA;2.17;2.17;2.17;2.17;2.17;74;stock;0.53;309.15;0.53;309.15;53.15;ESTAVEL
2007-02-15;1171497600000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;8;stock;0.55;284.62;0.55;284.62;52.31;ESTAVEL
2007-02-16;1171584000000;HAGA3.SA;2.15;2.15;2.15;2.15;2.15;15;stock;0.56;282.6;0.56;282.6;52.88;ESTAVEL
2007-02-21;1172016000000;HAGA3.SA;2.15;2.15;2.15;2.15;2.15;0;stock;0.58;272.13;0.58;272.13;52.88;ESTAVEL
2007-02-22;1172102400000;HAGA3.SA;2.15;2.15;2.15;2.15;2.15;57;stock;0.59;262.32;0.59;262.32;52.88;ESTAVEL
2007-02-23;1172188800000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;10000;stock;0.61;245.18;0.61;245.18;52.1;ESTAVEL
2007-02-26;1172448000000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;0;stock;0.62;236.96;0.62;236.96;52.1;ESTAVEL
2007-02-27;1172534400000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;35000;stock;0.64;229.19;0.64;229.19;52.1;ESTAVEL
2007-02-28;1172620800000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;0;stock;0.65;221.85;0.65;221.85;52.1;ESTAVEL
2007-03-01;1172707200000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;0;stock;0.67;214.9;0.67;214.9;52.1;ESTAVEL
2007-03-02;1172793600000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;5;stock;0.68;208.31;0.68;208.31;52.1;ESTAVEL
2007-03-05;1173052800000;HAGA3.SA;2.1;2.1;2.1;2.1;2.1;0;stock;0.7;202.05;0.7;202.05;52.1;ESTAVEL
2007-03-06;1173139200000;HAGA3.SA;2.5;2.5;2.5;2.5;2.5;3;stock;0.71;250.53;0.71;250.53;60.03;ESTAVEL
2007-03-07;1173225600000;HAGA3.SA;2.15;2.15;2.15;2.15;2.15;2000;stock;0.73;195.53;0.73;195.53;51.93;ESTAVEL
2007-03-08;1173312000000;HAGA3.SA;2.15;2.15;2.15;2.15;2.15;0;stock;0.74;189.89;0.74;189.89;51.93;ESTAVEL
2007-03-09;1173398400000;HAGA3.SA;2.16;2.16;2.16;2.16;2.16;2;stock;0.76;185.8;0.76;185.8;52.14;ESTAVEL
2007-03-12;1173657600000;HAGA3.SA;2.16;2.16;2.16;2.16;2.16;0;stock;0.77;180.61;0.77;180.61;52.14;ESTAVEL
2007-03-13;1173744000000;HAGA3.SA;2.16;2.16;2.16;2.16;2.16;0;stock;0.78;175.66;0.78;175.66;52.14;ESTAVEL
