s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-03-02;1677715200000;HDEL11.SA;104.17;104.17;104.17;104.17;102.33;100;fii;;;;;
2023-03-03;1677801600000;HDEL11.SA;104.17;104.17;104.17;104.17;102.33;0;fii;;;;;
2023-03-06;1678060800000;HDEL11.SA;104.26;104.26;104.26;104.26;102.42;50;fii;;;;;
2023-03-07;1678147200000;HDEL11.SA;104.3;104.3;104.3;104.3;102.46;100;fii;;;;;
2023-03-08;1678233600000;HDEL11.SA;104.3;104.3;104.3;104.3;102.46;0;fii;;;;;
2023-03-09;1678320000000;HDEL11.SA;104.3;104.3;104.3;104.3;102.46;0;fii;;;;;
2023-03-13;1678665600000;HDEL11.SA;104.3;104.3;104.3;104.3;102.46;0;fii;;;;;
2023-03-14;1678752000000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;125;fii;;;;;
2023-03-15;1678838400000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-16;1678924800000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-17;1679011200000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-20;1679270400000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-21;1679356800000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-22;1679443200000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;
2023-03-23;1679529600000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;100.0
2023-03-24;1679616000000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;100.0
2023-03-27;1679875200000;HDEL11.SA;104.53;104.53;104.53;104.53;102.69;0;fii;;;;;100.0
