s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-06-18;1592438400000;HGFF11.SA;103.34;103.98;100.5;100.5;84.9;1688;fii;83.17;2.08;98.45;2.08;63.78;ESTAVEL
2020-06-19;1592524800000;HGFF11.SA;101.03;101.74;100.1;100.6;84.98;2386;fii;83.19;2.15;98.47;2.16;63.98;ESTAVEL
2020-06-22;1592784000000;HGFF11.SA;100.59;100.59;98.03;98.08;82.86;1347;fii;83.19;-0.39;98.47;-0.4;55.19;ESTAVEL
2020-06-23;1592870400000;HGFF11.SA;99.43;100.5;92.2;96.0;81.1;3934;fii;83.16;-2.48;98.44;-2.48;49.15;ESTAVEL
2020-06-24;1592956800000;HGFF11.SA;96.68;102.0;95.8;102.0;86.17;2490;fii;83.2;3.57;98.48;3.57;62.04;ESTAVEL
2020-06-25;1593043200000;HGFF11.SA;101.98;104.5;100.54;102.53;86.61;1197;fii;83.23;4.06;98.53;4.06;62.91;ESTAVEL
2020-06-26;1593129600000;HGFF11.SA;102.51;104.41;101.2;104.1;87.94;2160;fii;83.29;5.58;98.59;5.59;65.51;ESTAVEL
2020-06-29;1593388800000;HGFF11.SA;104.19;104.74;98.8;100.07;84.54;2298;fii;83.3;1.49;98.61;1.48;54.92;ESTAVEL
2020-06-30;1593475200000;HGFF11.SA;100.08;101.93;99.1;101.89;86.07;481;fii;83.33;3.28;98.65;3.29;58.2;ESTAVEL
2020-07-01;1593561600000;HGFF11.SA;101.31;103.86;98.0;99.5;84.06;2181;fii;83.34;0.86;98.66;0.86;52.77;ESTAVEL
2020-07-02;1593648000000;HGFF11.SA;99.61;100.4;98.0;98.76;83.43;3765;fii;83.34;0.1;98.66;0.1;51.16;ESTAVEL
2020-07-03;1593734400000;HGFF11.SA;98.99;100.5;98.0;100.0;84.48;3497;fii;83.36;1.35;98.67;1.35;53.7;ESTAVEL
2020-07-06;1593993600000;HGFF11.SA;99.5;102.93;99.0;101.78;85.98;3824;fii;83.39;3.11;98.71;3.11;57.12;ESTAVEL
2020-07-07;1594080000000;HGFF11.SA;101.78;102.02;98.99;99.07;83.69;4073;fii;83.39;0.36;98.71;0.36;50.93;ESTAVEL
2020-07-08;1594166400000;HGFF11.SA;99.91;99.91;98.26;98.35;83.08;3008;fii;83.39;-0.37;98.71;-0.36;49.39;ESTAVEL
2020-07-09;1594252800000;HGFF11.SA;99.0;99.44;98.5;98.85;83.51;792;fii;83.39;0.15;98.71;0.14;50.53;ESTAVEL
2020-07-10;1594339200000;HGFF11.SA;98.85;100.0;98.85;100.0;84.48;2431;fii;83.4;1.3;98.72;1.29;53.08;ESTAVEL
2020-07-13;1594598400000;HGFF11.SA;100.0;100.1;96.53;96.96;81.91;3744;fii;83.38;-1.77;98.7;-1.77;46.27;ESTAVEL
2020-07-14;1594684800000;HGFF11.SA;96.96;99.0;96.76;98.0;82.79;1010;fii;83.38;-0.7;98.7;-0.71;48.7;ESTAVEL
