s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2019-05-22;1558483200000;HGRU11.SA;112.45;112.45;111.17;112.0;96.12;266;fii;93.08;3.27;108.45;3.28;48.47;ESTAVEL
2019-05-23;1558569600000;HGRU11.SA;110.37;112.49;110.37;112.49;96.55;862;fii;93.12;3.69;108.49;3.68;50.18;ESTAVEL
2019-05-24;1558656000000;HGRU11.SA;112.48;112.48;110.5;111.0;95.27;270;fii;93.14;2.29;108.52;2.28;45.35;ESTAVEL
2019-05-27;1558915200000;HGRU11.SA;111.0;112.49;111.0;112.49;96.55;1350;fii;93.18;3.62;108.57;3.61;50.48;ESTAVEL
2019-05-28;1559001600000;HGRU11.SA;112.39;112.44;111.1;112.4;96.47;716;fii;93.22;3.49;108.61;3.49;50.17;ESTAVEL
2019-05-29;1559088000000;HGRU11.SA;112.4;112.4;106.51;108.63;93.23;25758;fii;93.22;0.01;108.61;0.02;39.38;ESTAVEL
2019-05-30;1559174400000;HGRU11.SA;109.47;110.0;109.12;109.69;94.14;1870;fii;93.23;0.98;108.62;0.98;43.08;ESTAVEL
2019-05-31;1559260800000;HGRU11.SA;109.7;109.79;108.21;109.49;93.97;2150;fii;93.24;0.79;108.63;0.79;42.56;ESTAVEL
2019-06-03;1559520000000;HGRU11.SA;108.14;109.39;107.5;108.46;93.09;1615;fii;93.23;-0.15;108.63;-0.16;39.86;ESTAVEL
2019-06-04;1559606400000;HGRU11.SA;108.5;108.5;107.1;108.0;92.69;2396;fii;93.23;-0.58;108.63;-0.58;38.66;ESTAVEL
2019-06-05;1559692800000;HGRU11.SA;108.0;108.35;107.61;107.91;92.61;1240;fii;93.22;-0.66;108.62;-0.65;38.41;ESTAVEL
2019-06-06;1559779200000;HGRU11.SA;107.8;108.78;107.51;108.0;92.69;4830;fii;93.22;-0.56;108.61;-0.56;38.84;ESTAVEL
2019-06-07;1559865600000;HGRU11.SA;108.01;108.55;107.01;107.87;92.58;5343;fii;93.21;-0.67;108.6;-0.67;38.44;ESTAVEL
2019-06-10;1560124800000;HGRU11.SA;107.87;108.12;107.0;107.3;92.09;1586;fii;93.2;-1.19;108.59;-1.19;36.67;ESTAVEL
2019-06-11;1560211200000;HGRU11.SA;107.35;108.36;107.3;108.36;93.0;1014;fii;93.19;-0.21;108.58;-0.21;42.02;ESTAVEL
2019-06-12;1560297600000;HGRU11.SA;108.32;108.32;107.0;107.16;91.97;1395;fii;93.18;-1.3;108.57;-1.3;38.1;ESTAVEL
2019-06-13;1560384000000;HGRU11.SA;107.18;108.46;106.92;107.56;92.31;848;fii;93.17;-0.92;108.56;-0.92;40.09;ESTAVEL
2019-06-14;1560470400000;HGRU11.SA;107.51;107.99;107.0;107.0;91.83;2033;fii;93.15;-1.42;108.54;-1.42;38.22;ESTAVEL
2019-06-17;1560729600000;HGRU11.SA;107.07;107.87;107.0;107.45;92.22;1493;fii;93.14;-0.99;108.53;-0.99;40.64;ESTAVEL
2019-06-18;1560816000000;HGRU11.SA;107.36;107.76;106.5;106.95;91.79;3256;fii;93.13;-1.44;108.51;-1.44;38.83;ESTAVEL
