s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2001-09-26;1001462400000;ITUB4.SA;2.71;2.72;2.62;2.67;1.54;131248512;stock;1.71;-9.97;2.97;-10.15;44.87;ESTAVEL
2001-09-27;1001548800000;ITUB4.SA;2.71;2.72;2.62;2.67;1.54;131248512;stock;1.71;-9.86;2.97;-10.05;44.87;ESTAVEL
2001-09-28;1001635200000;ITUB4.SA;2.75;2.81;2.73;2.81;1.62;208166470;stock;1.71;-5.12;2.97;-5.27;53.04;ESTAVEL
2001-10-01;1001894400000;ITUB4.SA;2.78;2.81;2.72;2.72;1.56;90554951;stock;1.71;-8.55;2.96;-8.22;47.37;ESTAVEL
2001-10-02;1001980800000;ITUB4.SA;2.72;2.72;2.62;2.62;1.51;148050158;stock;1.7;-11.36;2.96;-11.47;43.23;ESTAVEL
2001-10-03;1002067200000;ITUB4.SA;2.64;2.65;2.58;2.61;1.5;132770444;stock;1.7;-11.83;2.96;-11.69;42.43;ESTAVEL
2001-10-04;1002153600000;ITUB4.SA;2.63;2.65;2.61;2.63;1.51;114495182;stock;1.7;-11.13;2.95;-10.9;43.55;ESTAVEL
2001-10-05;1002240000000;ITUB4.SA;2.63;2.63;2.58;2.59;1.49;90760291;stock;1.7;-12.18;2.95;-12.14;41.79;ESTAVEL
2001-10-08;1002499200000;ITUB4.SA;2.59;2.65;2.53;2.61;1.5;45766667;stock;1.69;-11.47;2.94;-11.34;43.03;ESTAVEL
2001-10-09;1002585600000;ITUB4.SA;2.62;2.62;2.58;2.62;1.51;99275862;stock;1.69;-10.77;2.94;-10.89;44.31;ESTAVEL
2001-10-10;1002672000000;ITUB4.SA;2.6;2.62;2.6;2.62;1.51;96207841;stock;1.69;-10.66;2.94;-10.78;44.31;ESTAVEL
2001-10-11;1002758400000;ITUB4.SA;2.68;2.77;2.65;2.76;1.59;54499658;stock;1.69;-5.87;2.93;-5.95;53.89;ESTAVEL
2001-10-12;1002844800000;ITUB4.SA;2.76;2.76;2.76;2.76;1.59;0;stock;1.69;-5.81;2.93;-5.89;53.89;ESTAVEL
2001-10-15;1003104000000;ITUB4.SA;2.76;2.83;2.73;2.78;1.6;86194495;stock;1.69;-5.16;2.93;-5.15;55.01;ESTAVEL
2001-10-16;1003190400000;ITUB4.SA;2.8;2.85;2.77;2.83;1.63;104022840;stock;1.69;-3.34;2.93;-3.41;58.29;ESTAVEL
2001-10-17;1003276800000;ITUB4.SA;2.84;2.85;2.8;2.84;1.63;100266326;stock;1.69;-3.31;2.93;-3.03;58.29;ESTAVEL
2001-10-18;1003363200000;ITUB4.SA;2.8;2.87;2.8;2.85;1.64;101510445;stock;1.69;-2.68;2.93;-2.66;59.43;ESTAVEL
2001-10-19;1003449600000;ITUB4.SA;2.82;2.87;2.8;2.85;1.64;110279672;stock;1.68;-2.65;2.93;-2.63;59.43;ESTAVEL
2001-10-22;1003708800000;ITUB4.SA;2.86;2.95;2.85;2.92;1.68;85433529;stock;1.68;-0.28;2.93;-0.24;64.01;ESTAVEL
2001-10-23;1003795200000;ITUB4.SA;2.96;2.99;2.91;2.96;1.71;98176689;stock;1.68;1.49;2.93;1.12;67.01;ESTAVEL
2001-10-24;1003881600000;ITUB4.SA;2.93;2.96;2.91;2.92;1.68;91001867;stock;1.68;-0.29;2.93;-0.25;61.48;ESTAVEL
2001-10-25;1003968000000;ITUB4.SA;2.95;2.96;2.86;2.93;1.68;35185617;stock;1.68;-0.29;2.93;0.09;61.48;ESTAVEL
2001-10-26;1004054400000;ITUB4.SA;2.97;3.03;2.95;2.96;1.7;141286016;stock;1.69;0.89;2.93;1.11;63.79;ESTAVEL
