s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-12-07;1607299200000;LGCP11.SA;100.09;101.5;99.11;99.4;85.24;4247;fii;86.35;-1.29;100.69;-1.28;35.17;ESTAVEL
2020-12-08;1607385600000;LGCP11.SA;100.1;100.8;99.49;99.49;85.32;1427;fii;86.34;-1.18;100.68;-1.18;36.02;ESTAVEL
2020-12-09;1607472000000;LGCP11.SA;99.41;100.1;99.03;99.06;84.95;1562;fii;86.32;-1.59;100.66;-1.59;33.83;ESTAVEL
2020-12-10;1607558400000;LGCP11.SA;99.99;99.99;99.0;99.0;84.9;3074;fii;86.31;-1.63;100.64;-1.63;33.53;ESTAVEL
2020-12-11;1607644800000;LGCP11.SA;99.01;99.98;99.01;99.74;85.53;1344;fii;86.3;-0.89;100.63;-0.88;40.6;ESTAVEL
2020-12-14;1607904000000;LGCP11.SA;99.75;100.09;99.75;99.99;85.75;3818;fii;86.29;-0.63;100.62;-0.63;42.88;ESTAVEL
2020-12-15;1607990400000;LGCP11.SA;99.99;100.0;99.06;99.98;85.74;1602;fii;86.28;-0.63;100.62;-0.63;42.8;ESTAVEL
2020-12-16;1608076800000;LGCP11.SA;99.98;99.99;99.5;99.95;85.71;1101;fii;86.28;-0.66;100.61;-0.65;42.54;ESTAVEL
2020-12-17;1608163200000;LGCP11.SA;100.15;100.45;99.03;99.06;84.95;3749;fii;86.26;-1.52;100.59;-1.52;36.53;ESTAVEL
2020-12-18;1608249600000;LGCP11.SA;99.1;99.86;99.0;99.58;85.4;2742;fii;86.25;-0.99;100.58;-0.99;41.78;ESTAVEL
2020-12-21;1608508800000;LGCP11.SA;99.59;100.45;99.58;100.45;86.14;3193;fii;86.25;-0.13;100.58;-0.13;49.21;ESTAVEL
2020-12-22;1608595200000;LGCP11.SA;100.44;100.45;100.03;100.28;86.0;3468;fii;86.25;-0.29;100.57;-0.29;47.96;ESTAVEL
