s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2019-10-11;1570752000000;LOGG3.SA;24.01;24.8;23.5;24.0;21.66;109600;stock;19.21;12.76;21.32;12.56;52.09;ESTAVEL
2019-10-14;1571011200000;LOGG3.SA;24.52;24.52;23.9;24.2;21.84;68100;stock;19.24;13.52;21.35;13.33;54.3;ESTAVEL
2019-10-15;1571097600000;LOGG3.SA;24.3;24.97;24.16;24.97;22.54;171400;stock;19.28;16.93;21.4;16.71;61.72;ESTAVEL
2019-10-16;1571184000000;LOGG3.SA;24.8;24.89;24.5;24.8;22.38;81300;stock;19.31;15.88;21.43;15.7;59.35;ESTAVEL
2019-10-17;1571270400000;LOGG3.SA;24.86;24.9;24.5;24.85;22.43;66800;stock;19.35;15.93;21.47;15.72;59.87;ESTAVEL
2019-10-18;1571356800000;LOGG3.SA;24.85;24.85;24.23;24.32;21.95;84800;stock;19.38;13.27;21.51;13.08;52.89;ESTAVEL
2019-10-21;1571616000000;LOGG3.SA;24.03;24.72;23.89;24.32;21.95;84200;stock;19.41;13.1;21.54;12.91;52.89;ESTAVEL
2019-10-22;1571702400000;LOGG3.SA;24.32;24.69;24.15;24.59;22.19;146500;stock;19.44;14.15;21.57;13.98;55.87;ESTAVEL
2019-10-23;1571788800000;LOGG3.SA;24.5;24.5;23.44;23.51;21.22;630200;stock;19.46;9.05;21.6;8.87;43.8;ESTAVEL
2019-10-24;1571875200000;LOGG3.SA;23.65;23.7;23.11;23.35;21.08;609200;stock;19.48;8.23;21.62;8.03;42.38;ESTAVEL
2019-10-25;1571961600000;LOGG3.SA;23.3;23.86;23.0;23.1;20.85;647600;stock;19.49;6.96;21.63;6.79;40.07;ESTAVEL
2019-10-28;1572220800000;LOGG3.SA;23.13;24.09;23.13;24.09;21.74;357100;stock;19.52;11.38;21.66;11.22;51.14;ESTAVEL
2019-10-29;1572307200000;LOGG3.SA;23.99;24.2;23.48;24.0;21.66;474700;stock;19.54;10.83;21.69;10.67;50.24;ESTAVEL
2019-10-30;1572393600000;LOGG3.SA;24.12;24.79;23.87;24.79;22.37;318300;stock;19.57;14.28;21.72;14.13;57.4;ESTAVEL
2019-10-31;1572480000000;LOGG3.SA;24.96;25.65;24.56;25.3;22.84;666000;stock;19.61;16.46;21.76;16.26;61.36;ESTAVEL
2019-11-01;1572566400000;LOGG3.SA;25.41;26.5;25.41;26.09;23.55;360500;stock;19.66;19.81;21.81;19.62;66.43;ESTAVEL
2019-11-04;1572825600000;LOGG3.SA;26.09;27.5;25.75;27.5;24.82;545900;stock;19.71;25.9;21.87;25.72;73.21;CAIR
2019-11-05;1572912000000;LOGG3.SA;27.36;27.38;26.7;27.0;24.37;645800;stock;19.77;23.29;21.93;23.11;67.97;ESTAVEL
2019-11-06;1572998400000;LOGG3.SA;27.03;27.03;26.23;26.9;24.28;483100;stock;19.82;22.52;21.99;22.34;66.94;ESTAVEL
2019-11-07;1573084800000;LOGG3.SA;26.72;26.95;26.57;26.95;24.32;168800;stock;19.87;22.41;22.04;22.26;67.18;ESTAVEL
2019-11-08;1573171200000;LOGG3.SA;26.46;26.99;26.43;26.8;24.19;225200;stock;19.92;21.46;22.1;21.29;65.53;ESTAVEL
2019-11-11;1573430400000;LOGG3.SA;26.79;26.87;26.52;26.75;24.14;269100;stock;19.96;20.92;22.15;20.78;64.86;ESTAVEL
2019-11-12;1573516800000;LOGG3.SA;26.75;27.19;26.63;26.98;24.35;432200;stock;20.01;21.68;22.2;21.52;66.4;ESTAVEL
2019-11-13;1573603200000;LOGG3.SA;27.04;27.04;25.81;26.1;23.56;433800;stock;20.05;17.5;22.25;17.33;56.42;ESTAVEL
2019-11-14;1573689600000;LOGG3.SA;26.11;27.0;26.0;26.9;24.28;525300;stock;20.1;20.8;22.3;20.64;62.02;ESTAVEL
2019-11-18;1574035200000;LOGG3.SA;26.91;27.16;26.18;26.2;23.65;443600;stock;20.14;17.44;22.34;17.27;55.32;ESTAVEL
2019-11-19;1574121600000;LOGG3.SA;26.27;26.84;26.27;26.4;23.83;400000;stock;20.18;18.09;22.39;17.93;56.76;ESTAVEL
2019-11-21;1574294400000;LOGG3.SA;26.5;26.79;26.44;26.53;23.95;290000;stock;20.22;18.44;22.43;18.27;57.73;ESTAVEL
2019-11-22;1574380800000;LOGG3.SA;26.53;26.76;26.44;26.6;24.01;215300;stock;20.26;18.49;22.48;18.34;58.24;ESTAVEL
2019-11-25;1574640000000;LOGG3.SA;26.33;26.59;26.16;26.34;23.77;182900;stock;20.3;17.08;22.52;16.96;55.38;ESTAVEL
2019-11-26;1574726400000;LOGG3.SA;26.34;27.5;25.41;27.5;24.82;743900;stock;20.35;21.96;22.58;21.81;63.77;ESTAVEL
2019-11-27;1574812800000;LOGG3.SA;27.49;28.11;27.0;28.0;25.27;562300;stock;20.41;23.84;22.64;23.7;66.67;ESTAVEL
2019-11-28;1574899200000;LOGG3.SA;28.01;28.52;27.9;28.52;25.74;227500;stock;20.46;25.78;22.7;25.63;69.42;ESTAVEL
2019-11-29;1574985600000;LOGG3.SA;28.52;28.52;27.87;28.14;25.4;281700;stock;20.52;23.79;22.76;23.63;65.23;ESTAVEL
2019-12-02;1575244800000;LOGG3.SA;28.14;28.39;27.65;27.95;25.23;381800;stock;20.57;22.65;22.82;22.49;63.17;ESTAVEL
2019-12-03;1575331200000;LOGG3.SA;27.95;28.21;27.4;27.64;24.95;210000;stock;20.62;21.0;22.87;20.85;59.83;ESTAVEL
2019-12-04;1575417600000;LOGG3.SA;27.64;27.85;27.52;27.68;24.98;249700;stock;20.67;20.87;22.92;20.75;60.08;ESTAVEL
2019-12-05;1575504000000;LOGG3.SA;27.86;28.12;27.75;28.05;25.32;212700;stock;20.72;22.21;22.98;22.06;62.83;ESTAVEL
2019-12-06;1575590400000;LOGG3.SA;28.24;28.3;27.82;27.87;25.15;317300;stock;20.77;21.11;23.03;21.0;60.58;ESTAVEL
2019-12-09;1575849600000;LOGG3.SA;27.94;28.98;27.64;28.67;25.88;528300;stock;20.82;24.29;23.1;24.14;66.18;ESTAVEL
2019-12-10;1575936000000;LOGG3.SA;28.67;29.0;27.97;28.91;26.09;353400;stock;20.88;24.95;23.16;24.83;67.6;ESTAVEL
2019-12-11;1576022400000;LOGG3.SA;28.91;29.19;28.43;29.02;26.19;254200;stock;20.94;25.08;23.22;24.96;68.29;ESTAVEL
2019-12-12;1576108800000;LOGG3.SA;29.18;29.74;28.74;29.74;26.84;585100;stock;21.0;27.79;23.29;27.67;72.38;CAIR
2019-12-13;1576195200000;LOGG3.SA;29.74;30.14;29.53;30.14;27.2;628600;stock;21.07;29.09;23.37;28.97;74.35;CAIR
2019-12-16;1576454400000;LOGG3.SA;30.03;32.0;29.95;32.0;28.88;597500;stock;21.16;36.51;23.46;36.38;81.13;CAIR
2019-12-17;1576540800000;LOGG3.SA;31.99;31.99;31.21;31.5;28.43;403200;stock;21.23;33.88;23.55;33.75;75.38;CAIR
2019-12-18;1576627200000;LOGG3.SA;31.5;31.61;30.8;31.55;28.48;343300;stock;21.31;33.62;23.64;33.47;75.59;CAIR
2019-12-19;1576713600000;LOGG3.SA;31.57;31.59;31.29;31.29;28.24;286100;stock;21.39;32.03;23.72;31.91;72.44;CAIR
2019-12-20;1576800000000;LOGG3.SA;31.29;31.5;31.05;31.5;28.43;299300;stock;21.47;32.44;23.81;32.32;73.39;CAIR
2019-12-23;1577059200000;LOGG3.SA;31.5;31.83;31.16;31.83;28.73;441600;stock;21.54;33.35;23.89;33.22;74.85;CAIR
2019-12-26;1577318400000;LOGG3.SA;31.84;31.99;31.58;31.72;28.63;531700;stock;21.62;32.42;23.98;32.29;73.4;CAIR
2019-12-27;1577404800000;LOGG3.SA;31.57;32.37;31.53;32.11;28.98;400400;stock;21.7;33.54;24.07;33.43;75.21;CAIR
2019-12-30;1577664000000;LOGG3.SA;32.31;32.46;31.66;32.46;29.3;513500;stock;21.78;34.51;24.16;34.38;76.77;CAIR
2020-01-02;1577923200000;LOGG3.SA;32.49;32.64;32.1;32.35;29.2;349700;stock;21.86;33.56;24.24;33.43;75.18;CAIR
2020-01-03;1578009600000;LOGG3.SA;31.74;32.73;31.29;31.29;28.24;694400;stock;21.93;28.76;24.32;28.65;61.92;ESTAVEL
2020-01-06;1578268800000;LOGG3.SA;31.29;32.19;30.36;32.19;29.05;398600;stock;22.01;31.99;24.41;31.89;67.18;ESTAVEL
2020-01-07;1578355200000;LOGG3.SA;32.19;32.52;31.96;32.5;29.33;512700;stock;22.09;32.79;24.49;32.69;68.79;ESTAVEL
2020-01-08;1578441600000;LOGG3.SA;32.51;32.51;31.6;32.01;28.89;357800;stock;22.16;30.36;24.57;30.26;63.53;ESTAVEL
2020-01-09;1578528000000;LOGG3.SA;32.37;32.37;31.7;31.93;28.82;448800;stock;22.23;29.63;24.65;29.52;62.71;ESTAVEL
2020-01-10;1578614400000;LOGG3.SA;32.05;32.05;31.73;31.9;28.79;247700;stock;22.3;29.08;24.73;28.99;62.34;ESTAVEL
2020-01-13;1578873600000;LOGG3.SA;31.73;32.33;31.6;31.68;28.59;328500;stock;22.37;27.8;24.81;27.71;59.79;ESTAVEL
2020-01-14;1578960000000;LOGG3.SA;31.71;32.5;31.49;32.49;29.32;399600;stock;22.45;30.63;24.89;30.54;65.35;ESTAVEL
2020-01-15;1579046400000;LOGG3.SA;32.55;33.85;32.55;33.3;30.06;531300;stock;22.53;33.44;24.98;33.31;69.9;ESTAVEL
2020-01-16;1579132800000;LOGG3.SA;33.6;34.4;33.02;33.51;30.25;408900;stock;22.61;33.79;25.07;33.66;70.95;CAIR
2020-01-17;1579219200000;LOGG3.SA;33.93;34.4;32.52;34.4;31.05;471900;stock;22.7;36.78;25.17;36.67;74.93;CAIR
2020-01-20;1579478400000;LOGG3.SA;34.39;34.39;33.5;34.3;30.96;372300;stock;22.79;35.85;25.27;35.74;73.71;CAIR
2020-01-21;1579564800000;LOGG3.SA;34.4;34.5;33.65;34.03;30.71;737000;stock;22.87;34.26;25.36;34.18;70.28;CAIR
2020-01-22;1579651200000;LOGG3.SA;33.77;34.04;32.89;33.97;30.66;521700;stock;22.96;33.55;25.45;33.46;69.58;ESTAVEL
2020-01-23;1579737600000;LOGG3.SA;34.09;34.16;33.19;34.0;30.69;367500;stock;23.04;33.21;25.55;33.1;69.77;ESTAVEL
2020-01-24;1579824000000;LOGG3.SA;33.99;33.99;33.47;33.7;30.42;292000;stock;23.12;31.58;25.63;31.48;65.71;ESTAVEL
2020-01-27;1580083200000;LOGG3.SA;33.15;33.19;32.17;32.46;29.3;395000;stock;23.18;26.38;25.7;26.28;52.16;ESTAVEL
2020-01-28;1580169600000;LOGG3.SA;32.52;33.47;32.01;33.44;30.18;386800;stock;23.26;29.76;25.79;29.68;59.27;ESTAVEL
2020-01-29;1580256000000;LOGG3.SA;33.43;33.7;32.58;32.58;29.41;297200;stock;23.32;26.09;25.86;25.99;51.99;ESTAVEL
2020-01-30;1580342400000;LOGG3.SA;32.0;32.29;31.11;31.69;28.6;467600;stock;23.38;22.32;25.92;22.25;45.63;ESTAVEL
2020-01-31;1580428800000;LOGG3.SA;31.7;32.48;31.26;31.6;28.52;373800;stock;23.44;21.7;25.98;21.62;45.05;ESTAVEL
2020-02-03;1580688000000;LOGG3.SA;31.5;32.79;31.3;32.28;29.14;197000;stock;23.5;24.02;26.05;23.92;50.36;ESTAVEL
2020-02-04;1580774400000;LOGG3.SA;32.6;33.48;32.6;32.99;29.78;321000;stock;23.56;26.39;26.12;26.29;55.18;ESTAVEL
2020-02-05;1580860800000;LOGG3.SA;33.05;33.8;32.48;32.78;29.59;460400;stock;23.63;25.24;26.19;25.15;53.52;ESTAVEL
2020-02-06;1580947200000;LOGG3.SA;32.86;32.98;31.15;31.25;28.21;730100;stock;23.68;19.15;26.25;19.06;43.32;ESTAVEL
2020-02-07;1581033600000;LOGG3.SA;31.5;31.83;30.51;30.8;27.8;289500;stock;23.72;17.21;26.3;17.13;40.83;ESTAVEL
2020-02-10;1581292800000;LOGG3.SA;30.8;31.29;29.01;29.54;26.66;424200;stock;23.75;12.25;26.33;12.19;34.84;ESTAVEL
2020-02-11;1581379200000;LOGG3.SA;30.15;30.93;30.15;30.32;27.37;873600;stock;23.79;15.06;26.37;14.97;40.68;ESTAVEL
2020-02-12;1581465600000;LOGG3.SA;30.67;31.76;30.59;31.76;28.67;501000;stock;23.84;20.26;26.43;20.17;49.59;ESTAVEL
2020-02-13;1581552000000;LOGG3.SA;31.23;32.0;31.0;32.0;28.88;434400;stock;23.89;20.87;26.49;20.81;50.87;ESTAVEL
2020-02-14;1581638400000;LOGG3.SA;32.0;32.01;30.91;31.0;27.98;404100;stock;23.94;16.89;26.54;16.82;45.52;ESTAVEL
2020-02-17;1581897600000;LOGG3.SA;31.05;31.26;30.6;31.0;27.98;222900;stock;23.98;16.68;26.58;16.62;45.52;ESTAVEL
2020-02-18;1581984000000;LOGG3.SA;30.89;30.99;30.6;30.99;27.97;235300;stock;24.02;16.44;26.63;16.38;45.46;ESTAVEL
2020-02-19;1582070400000;LOGG3.SA;30.7;31.03;30.12;30.78;27.78;470100;stock;24.06;15.46;26.67;15.4;44.24;ESTAVEL
2020-02-20;1582156800000;LOGG3.SA;30.54;30.64;30.26;30.48;27.51;274700;stock;24.1;14.16;26.71;14.1;42.48;ESTAVEL
2020-02-21;1582243200000;LOGG3.SA;30.48;30.78;29.81;30.62;27.64;240200;stock;24.13;14.52;26.75;14.45;43.64;ESTAVEL
2020-02-26;1582675200000;LOGG3.SA;29.6;29.7;28.01;28.27;25.52;489300;stock;24.15;5.68;26.77;5.6;32.25;ESTAVEL
2020-02-27;1582761600000;LOGG3.SA;27.85;28.38;27.07;27.87;25.15;1070000;stock;24.16;4.1;26.78;4.06;30.74;ESTAVEL
2020-02-28;1582848000000;LOGG3.SA;27.86;27.86;27.01;27.58;24.89;741500;stock;24.17;2.99;26.79;2.95;29.69;SUBIR
2020-03-02;1583107200000;LOGG3.SA;27.23;28.61;27.21;27.52;24.84;517400;stock;24.17;2.75;26.8;2.69;29.48;SUBIR
2020-03-03;1583193600000;LOGG3.SA;27.9;29.84;27.9;29.33;26.47;684400;stock;24.2;9.39;26.82;9.34;43.44;ESTAVEL
2020-03-04;1583280000000;LOGG3.SA;29.76;29.78;28.65;29.73;26.83;386900;stock;24.23;10.75;26.86;10.71;45.98;ESTAVEL
2020-03-05;1583366400000;LOGG3.SA;29.65;29.65;27.15;28.07;25.34;297600;stock;24.24;4.55;26.87;4.47;38.3;ESTAVEL
2020-03-06;1583452800000;LOGG3.SA;27.2;27.46;26.31;26.73;24.13;542100;stock;24.24;-0.44;26.87;-0.51;33.42;ESTAVEL
2020-03-09;1583712000000;LOGG3.SA;25.49;25.49;22.3;22.3;20.13;598200;stock;24.19;-16.8;26.82;-16.85;22.99;SUBIR
2020-03-10;1583798400000;LOGG3.SA;24.01;25.5;24.01;24.87;22.45;488700;stock;24.18;-7.14;26.8;-7.2;35.56;ESTAVEL
2020-03-11;1583884800000;LOGG3.SA;24.17;24.76;21.43;23.24;20.98;416100;stock;24.14;-13.1;26.76;-13.16;31.99;ESTAVEL
2020-03-12;1583971200000;LOGG3.SA;20.8;21.0;18.82;19.62;17.71;507900;stock;24.07;-26.44;26.69;-26.48;25.8;SUBIR
2020-03-13;1584057600000;LOGG3.SA;22.0;22.73;19.05;22.5;20.31;923500;stock;24.04;-15.5;26.64;-15.55;36.35;ESTAVEL
2020-03-16;1584316800000;LOGG3.SA;19.5;20.88;19.37;20.02;18.07;312600;stock;23.97;-24.62;26.57;-24.66;32.11;ESTAVEL
2020-03-17;1584403200000;LOGG3.SA;20.03;20.4;18.81;19.05;17.19;816400;stock;23.9;-28.08;26.49;-28.1;30.61;ESTAVEL
2020-03-18;1584489600000;LOGG3.SA;18.0;18.12;15.19;15.54;14.03;766300;stock;23.8;-41.05;26.38;-41.09;25.9;SUBIR
2020-03-19;1584576000000;LOGG3.SA;15.15;18.56;14.65;17.4;15.7;565500;stock;23.71;-33.8;26.29;-33.81;31.86;ESTAVEL
2020-03-20;1584662400000;LOGG3.SA;18.0;18.73;16.15;16.27;14.68;1552300;stock;23.62;-37.85;26.18;-37.86;30.26;ESTAVEL
2020-03-23;1584921600000;LOGG3.SA;15.9;16.39;15.03;15.88;14.33;403600;stock;23.52;-39.08;26.07;-39.1;29.71;SUBIR
2020-03-24;1585008000000;LOGG3.SA;17.0;17.39;15.9;16.0;14.44;1584600;stock;23.43;-38.37;25.97;-38.39;30.14;ESTAVEL
2020-03-25;1585094400000;LOGG3.SA;16.2;20.45;16.2;20.14;18.18;925800;stock;23.37;-22.22;25.91;-22.27;42.95;ESTAVEL
2020-03-26;1585180800000;LOGG3.SA;20.01;22.3;19.8;22.3;20.13;453700;stock;23.34;-13.75;25.87;-13.8;48.28;ESTAVEL
2020-03-27;1585267200000;LOGG3.SA;20.96;22.26;20.45;21.52;19.42;329700;stock;23.3;-16.65;25.83;-16.67;46.57;ESTAVEL
2020-03-30;1585526400000;LOGG3.SA;20.8;22.19;20.6;21.9;19.77;312500;stock;23.26;-15.01;25.78;-15.07;47.56;ESTAVEL
2020-03-31;1585612800000;LOGG3.SA;20.71;22.3;20.71;21.9;19.77;575100;stock;23.23;-14.88;25.74;-14.93;47.56;ESTAVEL
2020-04-01;1585699200000;LOGG3.SA;20.76;20.92;18.39;18.7;16.88;1074300;stock;23.16;-27.12;25.67;-27.16;40.43;ESTAVEL
2020-04-02;1585785600000;LOGG3.SA;18.9;19.25;17.9;18.09;16.33;811000;stock;23.09;-29.27;25.59;-29.32;39.23;ESTAVEL
2020-04-03;1585872000000;LOGG3.SA;18.1;18.18;16.84;17.58;15.87;476300;stock;23.01;-31.04;25.51;-31.08;38.2;ESTAVEL
2020-04-06;1586131200000;LOGG3.SA;18.39;20.49;18.39;19.85;17.92;1121000;stock;22.96;-21.96;25.45;-22.01;45.09;ESTAVEL
2020-04-07;1586217600000;LOGG3.SA;20.55;21.63;20.03;20.4;18.41;703800;stock;22.91;-19.66;25.4;-19.68;46.62;ESTAVEL
2020-04-08;1586304000000;LOGG3.SA;20.4;21.61;20.35;21.14;19.08;561500;stock;22.87;-16.59;25.35;-16.62;48.73;ESTAVEL
2020-04-09;1586390400000;LOGG3.SA;21.31;21.8;20.5;20.81;18.78;430800;stock;22.83;-17.75;25.31;-17.77;47.82;ESTAVEL
2020-04-13;1586736000000;LOGG3.SA;20.85;21.12;19.91;20.85;18.82;439000;stock;22.79;-17.42;25.26;-17.46;47.96;ESTAVEL
2020-04-14;1586822400000;LOGG3.SA;20.99;21.97;20.99;21.77;19.65;619800;stock;22.76;-13.66;25.22;-13.69;50.89;ESTAVEL
2020-04-15;1586908800000;LOGG3.SA;22.03;22.03;20.99;21.62;19.51;200700;stock;22.72;-14.14;25.19;-14.16;50.37;ESTAVEL
2020-04-16;1586995200000;LOGG3.SA;21.85;22.84;21.49;21.89;19.76;257800;stock;22.69;-12.93;25.15;-12.97;51.32;ESTAVEL
2020-04-17;1587081600000;LOGG3.SA;22.59;22.59;21.62;22.33;20.15;363600;stock;22.67;-11.11;25.12;-11.12;52.84;ESTAVEL
2020-04-20;1587340800000;LOGG3.SA;21.61;22.62;21.5;21.61;19.5;475500;stock;22.63;-13.85;25.09;-13.86;50.04;ESTAVEL
2020-04-22;1587513600000;LOGG3.SA;21.62;22.69;21.55;21.94;19.8;464600;stock;22.61;-12.41;25.05;-12.43;51.32;ESTAVEL
