s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2007-10-08;1191801600000;LPSB3.SA;14.0;14.0;13.9;13.9;12.81;3043;stock;11.23;14.03;12.19;14.05;63.23;ESTAVEL
2007-10-09;1191888000000;LPSB3.SA;14.0;14.0;13.9;13.9;12.81;3043;stock;11.25;13.84;12.21;13.87;63.23;ESTAVEL
2007-10-10;1191974400000;LPSB3.SA;13.95;14.54;13.9;14.27;13.15;87645;stock;11.27;16.64;12.23;16.67;67.65;ESTAVEL
2007-10-11;1192060800000;LPSB3.SA;13.95;14.54;13.9;14.27;13.15;87645;stock;11.3;16.42;12.25;16.45;67.65;ESTAVEL
2007-10-15;1192406400000;LPSB3.SA;14.52;14.64;13.8;14.22;13.11;102861;stock;11.32;15.85;12.28;15.83;66.55;ESTAVEL
2007-10-16;1192492800000;LPSB3.SA;14.52;14.64;13.8;14.22;13.11;102861;stock;11.34;15.64;12.3;15.62;66.55;ESTAVEL
2007-10-17;1192579200000;LPSB3.SA;14.37;14.37;14.2;14.2;13.09;1069594;stock;11.36;15.26;12.32;15.26;65.94;ESTAVEL
2007-10-18;1192665600000;LPSB3.SA;14.37;14.37;14.2;14.2;13.09;1069594;stock;11.38;15.06;12.34;15.06;65.94;ESTAVEL
2007-10-19;1192752000000;LPSB3.SA;14.29;14.29;13.78;14.14;13.04;102658;stock;11.4;14.43;12.36;14.38;64.21;ESTAVEL
2007-10-22;1193011200000;LPSB3.SA;14.05;14.37;14.05;14.15;13.04;8318;stock;11.41;14.24;12.38;14.27;64.21;ESTAVEL
2007-10-23;1193097600000;LPSB3.SA;14.05;14.37;14.05;14.15;13.04;8318;stock;11.43;14.06;12.4;14.09;64.21;ESTAVEL
2007-10-24;1193184000000;LPSB3.SA;14.1;14.15;13.83;13.83;12.75;139380;stock;11.45;11.38;12.42;11.36;53.98;ESTAVEL
2007-10-25;1193270400000;LPSB3.SA;13.8;13.85;13.6;13.75;12.68;39967;stock;11.46;10.63;12.43;10.59;51.83;ESTAVEL
2007-10-26;1193356800000;LPSB3.SA;13.58;13.58;13.31;13.5;12.45;22317;stock;11.47;8.52;12.45;8.47;45.44;ESTAVEL
2007-10-29;1193616000000;LPSB3.SA;13.75;13.78;13.06;13.28;12.25;32258;stock;11.48;6.69;12.46;6.62;40.73;ESTAVEL
