s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-12-28;1672185600000;MATV11.SA;86.98;88.55;86.98;88.55;86.86;35;fii;88.35;-1.69;93.19;-4.98;53.27;ESTAVEL
2022-12-29;1672272000000;MATV11.SA;88.55;88.55;88.55;88.55;86.86;0;fii;88.33;-1.67;93.14;-4.93;53.27;ESTAVEL
2023-01-02;1672617600000;MATV11.SA;87.54;87.55;87.54;87.55;85.87;4;fii;88.31;-2.76;93.08;-5.94;49.65;ESTAVEL
2023-01-03;1672704000000;MATV11.SA;87.55;87.55;87.55;87.55;85.87;0;fii;88.28;-2.73;93.01;-5.87;49.65;ESTAVEL
2023-01-04;1672790400000;MATV11.SA;87.47;87.47;87.47;87.47;85.8;1;fii;88.25;-2.78;92.95;-5.89;49.38;ESTAVEL
2023-01-05;1672876800000;MATV11.SA;87.47;87.47;87.47;87.47;85.8;0;fii;88.22;-2.74;92.89;-5.83;49.38;ESTAVEL
2023-01-06;1672963200000;MATV11.SA;85.01;85.05;85.01;85.01;83.38;12;fii;88.17;-5.43;92.8;-8.39;40.41;ESTAVEL
2023-01-09;1673222400000;MATV11.SA;85.01;85.01;84.9;84.9;83.28;18;fii;88.11;-5.48;92.71;-8.42;40.09;ESTAVEL
2023-01-10;1673308800000;MATV11.SA;84.6;84.6;84.6;84.6;82.98;50;fii;88.05;-5.76;92.61;-8.65;39.07;ESTAVEL
2023-01-11;1673395200000;MATV11.SA;87.48;87.48;87.48;87.48;85.81;5;fii;88.03;-2.52;92.56;-5.48;51.51;ESTAVEL
2023-01-12;1673481600000;MATV11.SA;84.25;86.99;83.9;86.99;85.33;176;fii;88.0;-3.03;92.49;-5.95;49.66;ESTAVEL
2023-01-13;1673568000000;MATV11.SA;84.69;84.69;84.69;84.69;83.07;2;fii;87.94;-5.54;92.4;-8.35;42.0;ESTAVEL
2023-01-16;1673827200000;MATV11.SA;85.0;85.02;85.0;85.02;83.39;200;fii;87.89;-5.12;92.32;-7.91;43.34;ESTAVEL
2023-01-17;1673913600000;MATV11.SA;83.0;83.0;82.99;83.0;81.41;578;fii;87.82;-7.29;92.22;-9.99;37.58;ESTAVEL
2023-01-18;1674000000000;MATV11.SA;83.0;83.0;83.0;83.0;81.41;26;fii;87.74;-7.22;92.11;-9.89;37.58;ESTAVEL
2023-01-19;1674086400000;MATV11.SA;83.0;83.0;83.0;83.0;81.41;519;fii;87.67;-7.14;92.01;-9.79;37.58;ESTAVEL
2023-01-20;1674172800000;MATV11.SA;83.0;83.0;83.0;83.0;81.41;200;fii;87.6;-7.07;91.91;-9.69;37.58;ESTAVEL
2023-01-23;1674432000000;MATV11.SA;83.0;85.05;82.07;85.05;83.42;480;fii;87.56;-4.72;91.83;-7.38;47.16;ESTAVEL
2023-01-24;1674518400000;MATV11.SA;85.05;85.05;85.05;85.05;83.42;0;fii;87.51;-4.67;91.76;-7.31;47.16;ESTAVEL
2023-01-25;1674604800000;MATV11.SA;83.24;85.98;83.18;85.98;84.33;358;fii;87.47;-3.59;91.69;-6.23;51.1;ESTAVEL
2023-01-26;1674691200000;MATV11.SA;83.01;85.93;83.0;85.93;84.29;75;fii;87.44;-3.6;91.63;-6.22;50.92;ESTAVEL
