s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-10-11;1665446400000;MEGA3.SA;10.6;10.73;10.43;10.46;10.46;2891100;stock;11.1;-5.74;11.1;-5.74;43.98;ESTAVEL
2022-10-13;1665619200000;MEGA3.SA;10.32;10.74;10.13;10.64;10.64;2456200;stock;11.09;-4.07;11.09;-4.07;47.87;ESTAVEL
2022-10-14;1665705600000;MEGA3.SA;10.64;11.03;10.57;10.71;10.71;1676000;stock;11.09;-3.41;11.09;-3.41;49.34;ESTAVEL
2022-10-17;1665964800000;MEGA3.SA;10.75;10.94;10.63;10.68;10.68;973000;stock;11.08;-3.64;11.08;-3.64;48.71;ESTAVEL
2022-10-18;1666051200000;MEGA3.SA;10.79;11.02;10.44;10.78;10.78;1448700;stock;11.08;-2.7;11.08;-2.7;50.97;ESTAVEL
2022-10-19;1666137600000;MEGA3.SA;10.74;10.75;10.49;10.66;10.66;1433300;stock;11.07;-3.74;11.07;-3.74;48.22;ESTAVEL
2022-10-20;1666224000000;MEGA3.SA;10.72;10.8;10.27;10.34;10.34;1394100;stock;11.07;-6.56;11.07;-6.56;41.75;ESTAVEL
2022-10-21;1666310400000;MEGA3.SA;10.29;10.34;10.03;10.19;10.19;2233700;stock;11.06;-7.84;11.06;-7.84;39.1;ESTAVEL
2022-10-24;1666569600000;MEGA3.SA;10.2;10.35;10.03;10.05;10.05;777900;stock;11.04;-9.01;11.04;-9.01;36.76;ESTAVEL
2022-10-25;1666656000000;MEGA3.SA;10.04;10.28;9.97;10.12;10.12;976800;stock;11.03;-8.29;11.03;-8.29;38.74;ESTAVEL
2022-10-26;1666742400000;MEGA3.SA;10.12;10.39;10.01;10.2;10.2;1376100;stock;11.02;-7.48;11.02;-7.48;41.01;ESTAVEL
2022-10-27;1666828800000;MEGA3.SA;10.28;10.59;10.19;10.55;10.55;1007100;stock;11.02;-4.26;11.02;-4.26;49.77;ESTAVEL
2022-10-28;1666915200000;MEGA3.SA;10.47;10.65;10.43;10.58;10.58;425700;stock;11.01;-3.95;11.01;-3.95;50.45;ESTAVEL
2022-10-31;1667174400000;MEGA3.SA;10.34;10.86;10.06;10.75;10.75;1608700;stock;11.01;-2.38;11.01;-2.38;54.23;ESTAVEL
2022-11-01;1667260800000;MEGA3.SA;10.8;10.9;10.52;10.78;10.78;2100100;stock;11.01;-2.08;11.01;-2.08;54.89;ESTAVEL
2022-11-03;1667433600000;MEGA3.SA;10.64;10.86;10.4;10.79;10.79;2135200;stock;11.01;-1.97;11.01;-1.97;55.12;ESTAVEL
2022-11-04;1667520000000;MEGA3.SA;10.96;11.02;10.52;10.59;10.59;1159500;stock;11.0;-3.74;11.0;-3.74;49.66;ESTAVEL
2022-11-07;1667779200000;MEGA3.SA;10.49;10.57;10.05;10.17;10.17;1595600;stock;10.99;-7.48;10.99;-7.48;40.57;ESTAVEL
2022-11-08;1667865600000;MEGA3.SA;10.09;10.4;9.98;10.25;10.25;1384000;stock;10.98;-6.68;10.98;-6.68;42.72;ESTAVEL
2022-11-09;1667952000000;MEGA3.SA;10.21;10.41;10.14;10.25;10.25;1874500;stock;10.98;-6.61;10.98;-6.61;42.72;ESTAVEL
2022-11-10;1668038400000;MEGA3.SA;10.11;10.17;9.7;10.09;10.09;4267900;stock;10.97;-7.99;10.97;-7.99;39.41;ESTAVEL
2022-11-11;1668124800000;MEGA3.SA;10.1;10.53;9.62;10.31;10.31;4272100;stock;10.96;-5.92;10.96;-5.92;45.65;ESTAVEL
2022-11-14;1668384000000;MEGA3.SA;10.47;10.58;10.18;10.23;10.23;1784900;stock;10.95;-6.58;10.95;-6.58;43.88;ESTAVEL
2022-11-16;1668556800000;MEGA3.SA;10.19;10.3;9.75;9.94;9.94;2277400;stock;10.94;-9.13;10.94;-9.13;38.12;ESTAVEL
2022-11-17;1668643200000;MEGA3.SA;9.79;9.87;9.47;9.64;9.64;1500400;stock;10.92;-11.76;10.92;-11.76;33.25;ESTAVEL
2022-11-18;1668729600000;MEGA3.SA;9.79;10.06;9.64;9.72;9.72;6843500;stock;10.91;-10.92;10.91;-10.92;35.61;ESTAVEL
2022-11-21;1668988800000;MEGA3.SA;9.8;10.4;9.8;10.37;10.37;2682900;stock;10.91;-4.91;10.91;-4.91;50.82;ESTAVEL
2022-11-22;1669075200000;MEGA3.SA;10.36;10.53;10.03;10.12;10.12;804400;stock;10.9;-7.13;10.9;-7.13;46.29;ESTAVEL
2022-11-23;1669161600000;MEGA3.SA;10.08;10.09;9.85;9.87;9.87;588900;stock;10.89;-9.33;10.89;-9.33;42.24;ESTAVEL
2022-11-24;1669248000000;MEGA3.SA;9.93;10.37;9.91;10.16;10.16;610500;stock;10.88;-6.59;10.88;-6.59;47.94;ESTAVEL
2022-11-25;1669334400000;MEGA3.SA;10.19;10.38;10.0;10.01;10.01;769600;stock;10.87;-7.89;10.87;-7.89;45.44;ESTAVEL
2022-11-28;1669593600000;MEGA3.SA;9.93;10.23;9.92;10.08;10.08;567000;stock;10.86;-7.17;10.86;-7.17;46.83;ESTAVEL
2022-11-29;1669680000000;MEGA3.SA;10.11;10.21;9.95;10.13;10.13;617300;stock;10.85;-6.64;10.85;-6.64;47.85;ESTAVEL
2022-11-30;1669766400000;MEGA3.SA;10.13;10.15;9.75;10.02;10.02;3694300;stock;10.84;-7.58;10.84;-7.58;45.77;ESTAVEL
2022-12-01;1669852800000;MEGA3.SA;9.99;10.25;9.92;10.05;10.05;1286200;stock;10.83;-7.23;10.83;-7.23;46.45;ESTAVEL
2022-12-02;1669939200000;MEGA3.SA;10.06;10.3;9.96;10.04;10.04;1127600;stock;10.82;-7.25;10.82;-7.25;46.24;ESTAVEL
2022-12-05;1670198400000;MEGA3.SA;10.02;10.09;9.84;10.03;10.03;1057500;stock;10.82;-7.26;10.82;-7.26;46.02;ESTAVEL
2022-12-06;1670284800000;MEGA3.SA;10.07;10.11;9.79;9.86;9.86;891800;stock;10.81;-8.75;10.81;-8.75;42.27;ESTAVEL
2022-12-07;1670371200000;MEGA3.SA;9.81;10.0;9.8;9.94;9.94;570600;stock;10.8;-7.93;10.8;-7.93;44.56;ESTAVEL
2022-12-08;1670457600000;MEGA3.SA;9.91;10.11;9.65;10.0;10.0;3811900;stock;10.79;-7.3;10.79;-7.3;46.28;ESTAVEL
2022-12-09;1670544000000;MEGA3.SA;10.01;10.01;9.67;9.78;9.78;1156100;stock;10.78;-9.24;10.78;-9.24;41.23;ESTAVEL
2022-12-12;1670803200000;MEGA3.SA;9.7;9.82;9.57;9.72;9.72;700900;stock;10.76;-9.7;10.76;-9.7;39.95;ESTAVEL
2022-12-13;1670889600000;MEGA3.SA;9.74;9.85;9.44;9.44;9.44;733200;stock;10.75;-12.19;10.75;-12.19;34.56;ESTAVEL
2022-12-14;1670976000000;MEGA3.SA;9.43;9.43;8.98;9.32;9.32;1230800;stock;10.73;-13.18;10.73;-13.18;32.53;ESTAVEL
