s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-04-30;1619740800000;MFAI11.SA;101.96;102.96;101.01;102.05;97.35;1269;fii;109.76;-11.31;115.06;-11.31;52.18;ESTAVEL
2021-05-03;1620000000000;MFAI11.SA;99.9;101.87;98.51;99.05;94.49;1628;fii;109.59;-13.78;114.88;-13.78;38.99;ESTAVEL
2021-05-04;1620086400000;MFAI11.SA;100.24;100.24;98.86;99.0;94.44;1029;fii;109.41;-13.68;114.7;-13.69;38.8;ESTAVEL
2021-05-05;1620172800000;MFAI11.SA;99.9;99.99;99.1;99.87;95.27;358;fii;109.25;-12.8;114.53;-12.8;43.58;ESTAVEL
2021-05-06;1620259200000;MFAI11.SA;99.87;99.87;99.12;99.21;94.64;414;fii;109.08;-13.24;114.35;-13.24;40.96;ESTAVEL
2021-05-07;1620345600000;MFAI11.SA;99.0;99.6;98.62;99.0;94.44;1678;fii;108.92;-13.29;114.18;-13.29;40.14;ESTAVEL
2021-05-10;1620604800000;MFAI11.SA;99.0;99.19;98.05;98.7;94.15;943;fii;108.75;-13.42;114.0;-13.42;38.92;ESTAVEL
2021-05-11;1620691200000;MFAI11.SA;98.7;98.7;98.01;98.05;93.53;662;fii;108.57;-13.86;113.82;-13.85;36.37;ESTAVEL
2021-05-12;1620777600000;MFAI11.SA;98.11;98.11;97.05;97.34;92.86;1898;fii;108.4;-14.33;113.63;-14.34;33.8;ESTAVEL
2021-05-13;1620864000000;MFAI11.SA;97.34;98.75;97.34;98.65;94.11;411;fii;108.23;-13.05;113.46;-13.05;42.04;ESTAVEL
2021-05-14;1620950400000;MFAI11.SA;98.59;99.0;97.99;98.5;93.96;1217;fii;108.07;-13.06;113.29;-13.06;41.38;ESTAVEL
2021-05-17;1621209600000;MFAI11.SA;98.5;98.9;98.3;98.31;93.78;520;fii;107.91;-13.09;113.12;-13.09;40.55;ESTAVEL
