s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2023-01-25;1674604800000;MGCR11.SA;8.42;8.44;8.36;8.44;4.5;4433;fii;3.34;34.84;8.94;-5.6;83.98;ESTAVEL
2023-01-26;1674691200000;MGCR11.SA;8.44;8.44;8.35;8.39;4.47;7027;fii;3.35;33.42;8.93;-6.1;78.85;ESTAVEL
2023-01-27;1674777600000;MGCR11.SA;8.39;8.44;8.35;8.43;4.49;2622;fii;3.36;33.5;8.93;-5.59;79.74;ESTAVEL
2023-01-30;1675036800000;MGCR11.SA;8.44;8.44;8.27;8.3;4.43;19101;fii;3.38;31.24;8.92;-6.97;70.22;ESTAVEL
2023-01-31;1675123200000;MGCR11.SA;8.3;8.31;8.27;8.3;4.42;4961;fii;3.39;30.48;8.91;-6.89;68.75;ESTAVEL
2023-02-01;1675209600000;MGCR11.SA;8.3;8.3;8.22;8.29;4.42;11923;fii;3.4;30.03;8.91;-6.93;68.75;ESTAVEL
2023-02-02;1675296000000;MGCR11.SA;8.3;8.4;8.3;8.33;4.44;4820;fii;3.41;30.16;8.9;-6.41;70.2;ESTAVEL
2023-02-03;1675382400000;MGCR11.SA;8.33;8.41;8.32;8.32;4.44;12149;fii;3.42;29.72;8.89;-6.46;70.2;ESTAVEL
2023-02-06;1675641600000;MGCR11.SA;8.32;8.4;8.32;8.34;4.45;3244;fii;3.43;29.57;8.89;-6.17;70.98;ESTAVEL
2023-02-07;1675728000000;MGCR11.SA;8.34;8.4;8.33;8.39;4.47;4499;fii;3.45;29.7;8.88;-5.54;72.53;ESTAVEL
2023-02-08;1675814400000;MGCR11.SA;8.41;8.41;8.39;8.41;4.48;990;fii;3.46;29.55;8.88;-5.26;73.3;ESTAVEL
2023-02-09;1675900800000;MGCR11.SA;8.41;8.47;8.37;8.42;4.49;3801;fii;3.47;29.41;8.87;-5.09;74.08;ESTAVEL
2023-02-10;1675987200000;MGCR11.SA;8.46;8.46;8.37;8.42;4.49;11253;fii;3.48;28.98;8.87;-5.04;74.08;ESTAVEL
2023-02-13;1676246400000;MGCR11.SA;8.42;8.42;8.32;8.39;4.47;11366;fii;3.49;27.99;8.86;-5.32;69.37;ESTAVEL
2023-02-14;1676332800000;MGCR11.SA;8.3;8.37;8.06;8.29;4.92;19714;fii;3.51;40.23;8.85;-6.38;87.94;ESTAVEL
2023-02-15;1676419200000;MGCR11.SA;8.29;8.29;8.1;8.23;4.89;17611;fii;3.52;38.76;8.85;-6.98;84.27;ESTAVEL
2023-02-16;1676505600000;MGCR11.SA;8.32;8.32;8.19;8.26;4.91;14385;fii;3.54;38.71;8.84;-6.57;84.73;ESTAVEL
2023-02-17;1676592000000;MGCR11.SA;8.33;8.47;8.28;8.35;4.96;32081;fii;3.56;39.5;8.84;-5.5;85.84;ESTAVEL
2023-02-22;1677024000000;MGCR11.SA;8.35;8.43;8.32;8.4;4.99;3669;fii;3.57;39.71;8.83;-4.88;86.47;ESTAVEL
2023-02-23;1677110400000;MGCR11.SA;8.4;8.57;8.35;8.44;5.01;23308;fii;3.59;39.64;8.83;-4.38;86.89;ESTAVEL
2023-02-24;1677196800000;MGCR11.SA;8.47;8.58;8.46;8.5;5.05;14243;fii;3.6;40.11;8.82;-3.66;87.72;ESTAVEL
2023-02-27;1677456000000;MGCR11.SA;8.58;8.58;8.42;8.54;5.07;12460;fii;3.62;40.03;8.82;-3.17;88.12;ESTAVEL
2023-02-28;1677542400000;MGCR11.SA;8.54;8.75;8.44;8.54;5.07;16535;fii;3.64;39.41;8.82;-3.14;88.12;ESTAVEL
2023-03-01;1677628800000;MGCR11.SA;8.49;8.55;8.39;8.52;5.06;17394;fii;3.65;38.53;8.81;-3.33;86.48;ESTAVEL
2023-03-02;1677715200000;MGCR11.SA;8.52;8.69;8.47;8.5;5.05;17696;fii;3.67;37.67;8.81;-3.52;84.77;ESTAVEL
2023-03-03;1677801600000;MGCR11.SA;8.5;8.77;8.5;8.59;5.1;29242;fii;3.68;38.43;8.81;-2.47;86.23;ESTAVEL
2023-03-06;1678060800000;MGCR11.SA;8.57;8.57;8.4;8.53;5.07;21874;fii;3.7;37.05;8.8;-3.11;81.21;ESTAVEL
2023-03-07;1678147200000;MGCR11.SA;8.53;8.77;8.51;8.54;5.07;59757;fii;3.71;36.48;8.8;-2.97;81.21;ESTAVEL
2023-03-08;1678233600000;MGCR11.SA;8.52;8.58;8.48;8.49;5.04;5763;fii;3.73;35.14;8.8;-3.5;76.06;ESTAVEL
