s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2004-10-04;1096848000000;MGEL3.SA;31.5;31.5;31.5;31.5;-51.47;0;stock;-20464356.0;-100.0;12523448.0;-100.0;99.86;ESTAVEL
2004-10-07;1097107200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-20229228.0;-100.0;12379557.0;-100.0;99.86;ESTAVEL
2004-10-08;1097193600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-19997158.0;-100.0;12237539.0;-100.0;99.86;ESTAVEL
2004-10-11;1097452800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-19768098.0;-100.0;12097363.0;-100.0;99.86;ESTAVEL
2004-10-12;1097539200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-19542004.0;-100.0;11959002.0;-100.0;99.86;ESTAVEL
2004-10-13;1097625600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-19318826.0;-100.0;11822426.0;-100.0;99.86;ESTAVEL
2004-10-14;1097712000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-19098522.0;-100.0;11687606.0;-100.0;99.86;ESTAVEL
2004-10-15;1097798400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-18881046.0;-100.0;11554518.0;-100.0;99.86;ESTAVEL
2004-10-18;1098057600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-18666354.0;-100.0;11423135.0;-100.0;99.86;ESTAVEL
2004-10-19;1098144000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-18454404.0;-100.0;11293430.0;-100.0;99.86;ESTAVEL
2004-10-20;1098230400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-18245156.0;-100.0;11165377.0;-100.0;99.86;ESTAVEL
2004-10-21;1098316800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-18038566.0;-100.0;11038952.0;-100.0;99.86;ESTAVEL
2004-10-22;1098403200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-17834596.0;-100.0;10914130.0;-100.0;99.86;ESTAVEL
2004-10-25;1098662400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-17633206.0;-100.0;10790886.0;-100.0;99.86;ESTAVEL
2004-10-26;1098748800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-17434358.0;-100.0;10669198.0;-100.0;99.86;ESTAVEL
2004-10-27;1098835200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-17238010.0;-100.0;10549041.0;-100.0;99.86;ESTAVEL
2004-10-28;1098921600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-17044130.0;-100.0;10430393.0;-100.0;99.86;ESTAVEL
2004-10-29;1099008000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-16852678.0;-100.0;10313231.0;-100.0;99.86;ESTAVEL
2004-11-01;1099267200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-16663620.0;-100.0;10197534.0;-100.0;99.86;ESTAVEL
2004-11-02;1099353600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-16476919.0;-100.0;10083280.0;-100.0;99.86;ESTAVEL
2004-11-03;1099440000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-16292541.0;-100.0;9970447.0;-100.0;99.86;ESTAVEL
2004-11-04;1099526400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-16110451.0;-100.0;9859015.0;-100.0;99.86;ESTAVEL
2004-11-05;1099612800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15930618.0;-100.0;9748963.0;-100.0;99.86;ESTAVEL
2004-11-08;1099872000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15753007.0;-100.0;9640272.0;-100.0;99.86;ESTAVEL
2004-11-09;1099958400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15577587.0;-100.0;9532921.0;-100.0;99.86;ESTAVEL
2004-11-10;1100044800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15404325.0;-100.0;9426891.0;-100.0;99.86;ESTAVEL
2004-11-11;1100131200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15233192.0;-100.0;9322164.0;-100.0;99.86;ESTAVEL
2004-11-12;1100217600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-15064155.0;-100.0;9218719.0;-100.0;99.86;ESTAVEL
2004-11-15;1100476800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14897187.0;-100.0;9116540.0;-100.0;99.86;ESTAVEL
2004-11-16;1100563200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14732253.0;-100.0;9015608.0;-100.0;99.86;ESTAVEL
2004-11-17;1100649600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14569331.0;-100.0;8915905.0;-100.0;99.86;ESTAVEL
2004-11-18;1100736000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14408388.0;-100.0;8817413.0;-100.0;99.86;ESTAVEL
2004-11-19;1100822400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14249396.0;-100.0;8720117.0;-100.0;99.86;ESTAVEL
2004-11-22;1101081600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-14092332.0;-100.0;8623998.0;-100.0;99.86;ESTAVEL
2004-11-23;1101168000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13937164.0;-100.0;8529041.0;-100.0;99.86;ESTAVEL
2004-11-24;1101254400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13783866.0;-100.0;8435229.0;-100.0;99.86;ESTAVEL
2004-11-26;1101427200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13632413.0;-100.0;8342545.5;-100.0;99.86;ESTAVEL
2004-11-29;1101686400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13482781.0;-100.0;8250975.5;-100.0;99.86;ESTAVEL
2004-11-30;1101772800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13334941.0;-100.0;8160503.5;-100.0;99.86;ESTAVEL
2004-12-01;1101859200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13188873.0;-100.0;8071114.0;-100.0;99.86;ESTAVEL
2004-12-02;1101945600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-13044549.0;-100.0;7982793.0;-100.0;99.86;ESTAVEL
2004-12-03;1102032000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12901946.0;-100.0;7895525.0;-100.0;99.86;ESTAVEL
2004-12-06;1102291200000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12761039.0;-100.0;7809295.5;-100.0;99.86;ESTAVEL
2004-12-07;1102377600000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12621807.0;-100.0;7724090.0;-100.0;99.86;ESTAVEL
2004-12-08;1102464000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12484227.0;-100.0;7639895.5;-100.0;99.86;ESTAVEL
2004-12-09;1102550400000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12348274.0;-100.0;7556698.0;-100.0;99.86;ESTAVEL
2004-12-10;1102636800000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12213929.0;-100.0;7474483.0;-100.0;99.86;ESTAVEL
2004-12-13;1102896000000;MGEL3.SA;41.25;41.25;41.25;41.25;-67.41;0;stock;-12081167.0;-100.0;7393239.0;-100.0;99.86;ESTAVEL
